T,O,H,L,C,V
1713844800,518.2,527.525,518.2,522.26,34804
1713931200,520.53,525.53,518.41,522.22,42435
1714017600,516.14,517.47,506.57,515.52,46898
1714104000,525.41,531.32,524.17,526.6,26859
1714363200,531.34,537.23,527.2475,529,42586
1714449600,527.8,527.8,512.34,513.72,63729
1714536000,490.535,505.42,482.98,492.58,170946
1714622400,491.27,502.34,484.35,501.16,69876
1714708800,507.41,511.33,503.405,506.28,50001
1714968000,505.91,522.26,505.91,522.17,38867
1715054400,525.15,530.26,525.15,528.6,39652
1715140800,523.12,523.12,512.61,513.99,48974
1715227200,517.1,523.82,514.52,523.82,23419
1715313600,525.11,525.11,508.835,514.94,28372
1715572800,521,528.41,517.585,518.2,45017
1715659200,519.33,531.63,519.33,525.18,38489
1715745600,528.96,531.06,516.91,519.88,36424
1715832000,517.15,517.16,494.37,498.41,91390
1715918400,497.01,500,492,497,58215
1716177600,497,497,491.45,493.79,41261
1716264000,494.37,497.09,490.99,493.48,45573
1716350400,490.01,494.85,483.28,486.49,44137
1716436800,485.31,485.31,473.7,476.01,45547
1716523200,477.51,482.19,477.51,481.29,25259
1716868800,484.04,493.23,484.04,485.72,39524
1716955200,479.53,482.35,477.4,478.36,34778
1717041600,480.23,491.3,478.38,487.39,27724
1717128000,488.5,490.83,480.31,490.83,39089
1717387200,494.35,494.35,482.885,486.81,34956
1717473600,485.49,488,482.05,485.81,29839
1717560000,487.68,496.31,485.0471,494.62,30988
1717646400,492.005,492.94,484.3,485.31,38944
1717732800,481.46,485.81,476.69,479.72,38054
1717992000,475.6,482.99,470.375,474.33,32730
1718078400,470,475.285,469.19,470.51,28006
1718164800,481.32,489.91,480.635,481.12,32860
1718251200,481.62,482,471.485,475.06,38822
1718337600,469.17,473,465.055,471.05,57879
1718596800,471.05,483.51,471.05,482.92,31625
1718683200,484.19,486.12,481.18,482.54,31033
1718856000,481.65,485.2,480.375,485.17,21640
1718942400,484,489.945,482.675,488.79,61622
1719201600,494,494.79,489.99,490.42,31049
1719288000,485.18,491.12,485.18,490.18,32731
1719374400,487.21,498,487.21,497,32793
1719460800,497.5,498.14,495.6,495.92,38883
1719547200,498,516.5,498,514.68,202787
1719806400,516.55,520.65,513.1,517.22,49011
1719892800,517.435,522.5,513.69,522.5,80303
1719979200,523.29,529.27,518.73,519,34908
1720152000,514.57,522.25,512.28,521.56,89878
1720411200,524,525.346,520.81,522.18,30738
1720497600,523.97,526.66,521.83,523.96,25283
1720584000,525.9,532.98,523.67,532.98,25666
1720670400,539.64,563.18,539.64,560.29,44406
1720756800,564.67,590.87,564.67,576.77,82101
1721016000,578,592.81,578,584.96,45107
1721102400,586.69,611.11,586.69,611.11,75047
1721188800,607.36,614.955,599.72,606.95,55203
