T,O,H,L,C,V
1713844800,100.72,104.42,99.5,102.62,564167
1713931200,102.68,103.87,100.67,103.3,467089
1714017600,101.08,101.215,93.53,99.57,1658153
1714104000,98.38,102.405,98.38,100.75,737755
1714363200,101.99,105.36,101.26,103.56,626155
1714449600,101.01,102.06,94.71,95.45,1246618
1714536000,95.44,97.9,93.9,94.75,915988
1714622400,110.27,118.44,109.45,113.77,2401349
1714708800,116.43,118.2,111.88,115.6,1058913
1714968000,117.11,122,116.8,121.48,953814
1715054400,122,124,120.93,121.61,731921
1715140800,119.19,121.33,118.8801,120.44,726978
1715227200,120.79,122.5,119.745,120.21,427926
1715313600,121.59,121.59,117.44,119.36,431675
1715572800,120.58,126.44,119.35,123.54,1429307
1715659200,127.12,132.25,125.89,127.91,811809
1715745600,129.62,130,121.56,121.95,552555
1715832000,121.36,122.5,120,121.82,371908
1715918400,121.41,121.99,117.44,118.31,843384
1716177600,117.63,119.5,116.64,118.27,781666
1716264000,117.63,118.0673,113.28,113.85,611807
1716350400,113.6,115.4409,112.92,113.65,364387
1716436800,114.15,114.15,107.9,109.86,397241
1716523200,110.59,112.04,108.85,111.91,366789
1716868800,113.31,113.925,110.77,111.24,429620
1716955200,108.9,111,108.825,109.26,558658
1717041600,109.96,112.28,109.765,111.11,307443
1717128000,112.25,114.02,110.985,113.73,406357
1717387200,114.85,114.9799,111.83,113.04,356518
1717473600,112.17,113.22,108.41,109.19,403619
1717560000,109.9,111.22,108.4,110.98,262840
1717646400,110.78,110.78,106.5,108.23,410408
1717732800,106.19,109.54,105.5,108.21,295369
1717992000,106.43,108.75,105.5,106.98,493373
1718078400,105.23,105.84,103.99,104.26,524029
1718164800,107.7,113.725,107.35,111.6,950493
1718251200,111.43,111.43,107.01,108.21,330137
1718337600,106.03,107.73,103.305,105.25,655167
1718596800,104.78,106.08,102.53,105.53,351622
1718683200,105.27,106.96,104.34,104.41,470199
1718856000,104.05,113.05,102.59,111.77,1134286
1718942400,111.47,114,110.57,112.38,772477
1719201600,112.38,115.65,111.825,112.495,624733
1719288000,111.83,112.2,108.22,110.81,791338
1719374400,109.81,110.3,107.97,108.06,535184
1719460800,108.11,109.74,105.37,105.66,1091123
1719547200,106.66,109,102.39,104.52,727166
1719806400,104.73,108.18,100.8,101.28,520997
1719892800,102.15,105.14,101.89,105.03,433380
1719979200,106.64,109.55,105.15,107.28,347750
1720152000,106.99,107.74,104.78,105.15,416719
1720411200,105.7,106.69,101.5,102.02,836384
1720497600,101.58,102.74,99.0301,102.03,675951
1720584000,101.43,101.91,98.21,99.01,615694
1720670400,101.84,104.51,100.1,103.68,790586
1720756800,105.07,107.93,103.58,107.43,636485
1721016000,107.44,111.59,106.02,108.13,529743
1721102400,109.84,110.97,107.665,110.92,376824
1721188800,109.06,114.06,109.06,112.13,498871
1721275200,110.41,113.14,108.64,109.15,291818
1721361600,108.64,108.64,101.67,101.85,465285
1721620800,102.21,106.59,99.73,105.76,513511
1721707200,104.54,105.53,103.27,104.53,238477
1721793600,103.6,104.8372,97.14,97.28,535002
