T,O,H,L,C,V
1713844800,60.25,62.4496,60.0901,61.19,1132650
1713931200,61.98,61.99,60.1449,60.41,1061490
1714017600,59.59,63.15,59.02,62.59,2666728
1714104000,63.2,69.97,62.74,69.16,5833566
1714363200,69.22,70.84,67.8,70.59,2850533
1714449600,70.38,74.58,70.08,71.94,3569781
1714536000,71.12,71.985,66.6,67.45,3817261
1714622400,68.85,68.9499,66.15,68.2,1475540
1714708800,70.05,72.6299,69.2798,72.17,2391388
1714968000,74,77.14,73.1686,74.31,3117788
1715054400,74,75.9,72.02,74.24,2001282
1715140800,72.75,75.3524,72.56,74.16,1177563
1715227200,73.99,76.3,73.165,75.38,1448494
1715313600,77,80.3349,76.9,79.07,2775232
1715572800,79.09,79.09,75,76.39,2610990
1715659200,76.07,78.9,76.0386,78.51,1913981
1715745600,79.35,79.46,77.1012,78.63,1470416
1715832000,78.48,79.1999,77.29,77.32,1476050
1715918400,78.11,78.11,75.41,77.28,1718389
1716177600,77.59,80.7,77.1701,80.47,2059420
1716264000,80.88,81.74,77.54,78.22,2065440
1716350400,78.67,79.3358,76.9011,78.74,1775108
1716436800,79.97,79.97,76.34,77.6,1641742
1716523200,79.07,84.2,79.03,82.93,3402979
1716868800,85.85,86.25,81.78,82.4,8953166
1716955200,79.27,89.69,74.26,88.16,13457734
1717041600,87.35,96.93,86.66,93.15,10357851
1717128000,93.23,95.64,89.13,92.55,6131532
1717387200,89.5,91.96,86,88,4845663
1717473600,88.29,89.67,85.1401,88.34,4191075
1717560000,89.35,92.5261,87.04,92.04,2995929
1717646400,87.18,89.02,83.38,85.04,7824901
1717732800,84.66,86.73,84.13,85.04,3153853
1717992000,84.62,89.15,84.55,88.77,3532885
1718078400,87.75,90,85.86,89.9,2396571
1718164800,90.21,92.61,89.12,91.52,2700581
1718251200,92.4,93.18,89.75,92.52,2387529
1718337600,91.61,91.82,88.03,89.93,2501401
1718596800,90.05,94.78,89.1864,93.94,3416189
1718683200,94,96.93,93.136,95.39,2560937
1718856000,95.75,97.6411,90.62,92.23,3309902
1718942400,91.01,92.83,87.52,92.44,2746095
1719201600,91.8,93.3877,89.57,90.9,2171972
1719288000,92.19,93.2,89.76,93.11,1961365
1719374400,92.86,94.6,90.35,91.79,2009256
1719460800,91.85,92.35,89.22,91.57,1729926
1719547200,91.74,94.1,91.1904,92.75,5194704
1719806400,93.75,96.16,91.7,95.27,2812538
1719892800,94.5,95.98,92.8162,94.59,1903398
1719979200,94.98,96.45,94.03,94.92,1193452
1720152000,95.51,95.51,93.3001,94.99,1317986
1720411200,96,98.69,93.89,94.74,2882068
1720497600,94.47,95.85,89.16,90.24,3400206
1720584000,89.95,90,83.56,85.3,5916385
1720670400,85.69,87.97,83.86,85.19,2598238
1720756800,85.46,86.78,83.43,84.25,3446399
1721016000,84.5,87.3,83.9101,86.63,2650827
1721102400,87.1,88.55,85.23,87.5,2245398
1721188800,85.15,87.3,80.5,81.48,3419396
1721275200,80.61,81.7,78.11,79.99,3209265
1721361600,79.99,81.5542,79.01,79.99,1433529
1721620800,80.8,81.19,79.18,80.31,1454426
1721707200,80.75,83.82,80.54,82.59,1661873
1721793600,81.47,82.03,77.77,77.92,2002070
1721880000,78.14,79.05,76.07,78.23,1587778
1721966400,80.8,81,79.32,79.84,1735104
1722225600,80.35,83.98,79.9,82.47,2125443
1722312000,82.72,83.95,80.26,81.44,1626502
1722398400,83.455,84.65,82.14,84.22,1659853
1722484800,85.11,86.56,83.09,84.48,2900292
1722571200,80.645,82.2499,77.0045,81.24,2589472
1722830400,73.25,81.68,72.1,79.88,2249994
1722916800,81,84.19,79,82.67,1596788
1723003200,83.91,86.06,82.46,82.65,1516037
1723089600,82.82,84.25,79.7,83.98,2520566
1723176000,86.41,91.6777,85.77,90.29,4379358
1723435200,90,91.35,89.01,89.91,1731898
1723521600,90.35,95.37,90.2,94.45,2349824
1723608000,94.29,96.39,93.061,95.76,1848099
1723694400,96.94,98.4049,95.38,97.24,1757495
1723780800,96.7,99.5,96.7,98.96,1867241
1724040000,99.37,100.38,96.5,100.2,2237723
1724126400,100.2,101.1999,96.93,98.21,1505301
1724212800,97.86,102.9,97.35,102.87,2442346
1724299200,102.96,104.84,101.8,101.98,6508773
1724385600,110.23,125.87,110,122,21800501
1724644800,123.41,128.18,121.88,125.8,10981806
1724731200,115.9,120.2,113.9,118.1,12333459
1724817600,117.85,119.92,116.44,118.44,4561164
1724904000,115.93,116.1999,110.66,110.87,5440260
1724990400,112,114.04,110.3,114.04,2956045
1725336000,112.94,114.86,110.34,111.92,2644274
1725422400,110.31,114.68,110.31,113.97,2036834
1725508800,113.73,118.15,113.66,116.71,2370174
1725595200,117.52,118.42,113.13,116.13,2173344
1725854400,117.13,121.98,117.07,120.09,3779432
1725940800,120.56,122.27,118.4101,119.73,2103950
1726027200,120,121.53,118.79,121.25,1917666
1726113600,121.25,126.24,119.9,125.47,3111515
1726200000,126.52,127,121.61,122.51,2879554
1726459200,122.74,123.85,120.25,122.85,2231174
1726545600,123.86,125.46,121.26,122.47,2151097
1726632000,123,126.1436,122.61,124.3,1790153
1726718400,126.34,127.52,123.7496,125.22,2077723
1726804800,125.23,129.5,124.75,128.79,8209735
1727064000,130.5,131.8199,127.61,128.27,2509333
1727150400,128.13,129.055,126.11,127.44,1903834
1727236800,128,129.1,125.76,126.84,1811229
1727323200,127.9,128.88,126.02,127.12,1835583
1727409600,127.25,127.295,121.89,123.76,3181198
1727668800,123.3,125.25,120.1,123.85,3230611
1727755200,124.11,125.6558,122.28,122.43,2235081
1727841600,121,123.3549,118.62,122.92,1667434
1727928000,122.92,125.22,121.89,124.93,1406234
1728014400,126.5,128.59,125.59,126.6,1905220
