T,O,H,L,C,V
1713844800,69.04,69.35,68.76,69.13,1188294
1713931200,68.45,69.87,68.45,69.66,1114521
1714017600,70.87,71.985,70.28,70.94,2427016
1714104000,70.65,72.05,70.51,71.5,1057003
1714363200,71.85,72.195,71.56,72.015,879541
1714449600,71.82,72.24,71.5,72.02,1514266
1714536000,71.71,72.35,70.95,71.59,1131086
1714622400,71.75,72.01,71.32,71.53,1215710
1714708800,71.45,71.975,71.08,71.81,1134491
1714968000,71.665,71.93,71.211,71.36,920744
1715054400,71.73,73.47,71.54,73.3,2010840
1715140800,73.35,73.635,72.84,73.52,1674847
1715227200,73.03,73.67,72.85,73.64,1021922
1715313600,73.82,74.11,73.54,73.83,1162755
1715572800,73.88,74.82,73.78,74.46,1052437
1715659200,74.58,74.965,74.2,74.81,953449
1715745600,74.79,75.435,74.56,75.13,920775
1715832000,75.25,75.42,74.71,74.92,766896
1715918400,74.59,74.64,74.12,74.51,787396
1716177600,74.4,74.6,73.89,73.95,716488
1716264000,74.37,74.37,73.475,74.01,805533
1716350400,73.62,74.06,73.2,73.25,1030766
1716436800,73.34,73.78,72.9,72.935,1130062
1716523200,73.15,73.71,73.02,73.08,1201314
1716868800,72.56,72.79,72.04,72.31,1078642
1716955200,71.32,71.64,70.82,71.42,1651454
1717041600,71.47,72.2,71.155,72.15,800725
1717128000,72.15,73.91,71.94,73.71,2625811
1717387200,73.66,74.51,73.14,73.74,1070268
1717473600,73.27,74.07,73.01,73.87,695764
1717560000,74,74.1719,73.18,73.83,1012071
1717646400,73.73,75.265,73.5,74.7,1713903
1717732800,74.57,74.94,74.39,74.43,938449
1717992000,74.07,74.635,73.56,74.31,1267576
1718078400,73.67,73.83,72.96,73.59,1408892
1718164800,74.22,74.98,74.04,74.68,1138424
1718251200,74.02,74.53,72.9,74.42,1732074
1718337600,73.6,74.3,73.095,74.05,1907559
1718596800,73.7,74.59,73.335,74.47,1140759
1718683200,74.44,74.49,72.47,73.18,1386641
1718856000,72.95,74.05,72.91,73.37,1129334
1718942400,74,75.02,73.99,74.86,2817657
1719201600,74.95,76.08,74.95,75.97,978533
1719288000,75.97,76.445,75,75.32,1164137
1719374400,74.52,75.49,74.33,74.54,1497676
1719460800,74.71,74.94,73.42,73.74,1135752
1719547200,73.68,73.7,72.3352,72.87,1699134
1719806400,73.1,73.88,72.73,73.03,869464
1719892800,72.94,73.25,72.37,72.74,1879022
1719979200,72.84,73.73,72.52,73.59,805964
1720152000,73.38,73.84,72.6,73.83,996693
1720411200,73.57,74.26,73.28,73.43,1119088
1720497600,73.28,73.43,72.16,72.22,1107271
1720584000,72.57,72.97,72.35,72.78,997553
1720670400,72.36,74.18,72.25,73.87,1381888
1720756800,73.86,74.94,73.785,74.1,998545
1721016000,74.11,74.37,72.89,72.99,759910
1721102400,72.84,74.15,72.68,73.87,703496
1721188800,74.28,75.165,73.8,73.83,1744609
1721275200,74.09,74.4,73.66,73.69,1055398
1721361600,73.21,73.9,73.05,73.66,887935
1721620800,73.84,74.22,73.38,73.74,1008476
1721707200,73.36,73.5,72.49,72.81,1145008
1721793600,72.91,73.205,71.88,73,1563681
1721880000,73.45,74.3,72.48,72.64,1322395
1721966400,73.08,74.36,73.08,74.29,994711
1722225600,73.9,74.14,73.33,73.8,832292
1722312000,73.99,73.99,72.86,73.23,1232552
1722398400,73.56,74.48,73.2,73.77,2241577
1722484800,73.77,74.59,73.63,74.19,2111160
1722571200,75.08,75.27,73.64,75.06,2404264
1722830400,73.98,74.57,72.645,73.19,1866539
1722916800,73.19,74.45,72.59,73.48,1887726
1723003200,71.97,74.33,71.49,73.26,3153691
1723089600,72.71,73.91,72.38,73.3,1699822
1723176000,73.12,73.72,72.505,73.66,1231087
1723435200,73.09,73.51,72.975,73.2,994059
1723521600,73.5,75.33,73.48,75.08,1896931
1723608000,74.89,75.8,74.75,75.65,1350195
1723694400,76,77.005,75.75,76.78,1421029
1723780800,76.8,76.99,76.1,76.42,1220177
1724040000,76.87,77.45,76.7234,77.15,1633991
1724126400,77.04,77.36,76.91,77.27,985421
1724212800,77.5,78.42,77.49,77.98,822254
1724299200,78.25,78.705,78.03,78.31,1389104
1724385600,78.63,78.84,78.185,78.73,794176
1724644800,78.76,79.21,78.72,79.02,1173498
1724731200,79.21,80.16,79.105,79.99,1329525
1724817600,80.26,80.67,79.92,80.13,1183767
1724904000,80.22,80.35,79.57,80,1115894
1724990400,80.19,80.82,80.04,80.49,1746509
1725336000,79.8,81.25,79.5,80.5,1592080
1725422400,80.14,81.41,79.76,81.3,1582131
1725508800,81.65,81.83,80.97,81.43,1588994
1725595200,81.39,81.7,80.68,80.75,1326171
1725854400,81.28,82.14,81.05,81.54,1979442
1725940800,80.84,81.075,79.33,79.66,2003984
1726027200,79.36,79.6,78.56,79.52,2786697
1726113600,79.5,80.7,79.48,80.63,1818407
1726200000,80.82,81.65,80.41,81.54,1110287
1726459200,81.54,82.32,81.345,81.88,1383127
1726545600,81.58,81.72,80.89,81.03,1092039
