T,O,H,L,C,V
1713844800,80.5,84.21,80.49,83.8,239389
1713931200,83.38,84.78,82.04,82.14,451918
1714017600,74.76,81.76,74.76,78.32,568834
1714104000,78.65,80.41,78.33,78.82,330332
1714363200,79.58,80.76,79.145,80.54,277311
1714449600,79.58,80.62,78.485,79.32,492822
1714536000,79.23,81.8099,78.1001,79.99,400134
1714622400,80.76,81.95,79.17,81.91,336162
1714708800,84.46,86.135,83.14,83.27,230024
1714968000,84.31,85.16,84,84.7,158042
1715054400,85.08,85.76,84.26,84.37,211327
1715140800,83.67,84.84,82.51,82.84,285560
1715227200,82.97,85.29,82.97,84.86,241833
1715313600,84.71,85.12,84.33,84.59,181093
1715572800,85.62,85.7,84.32,84.44,173298
1715659200,85.87,86.13,85.25,85.87,178835
1715745600,87.6,91.0582,87.45,90.59,364808
1715832000,90.19,90.57,87.19,87.26,372630
1715918400,87.59,88.87,87.005,88.39,208058
1716177600,88.37,89.23,87.975,88.42,158928
1716264000,88.33,88.33,86.39,86.91,149657
1716350400,86.11,86.29,83.735,84.68,318320
1716436800,85.21,85.21,82.33,82.7,215182
1716523200,83.74,84.28,83.23,83.89,157834
1716868800,84.7,84.7,82.52,83.06,162046
1716955200,81.56,82.015,80.1275,80.69,403420
1717041600,81.63,83.25,81.63,83.09,222741
1717128000,84.88,85.285,83.56,84.41,289575
1717387200,85.44,85.44,84.42,85.01,177648
1717473600,84.24,84.91,82.03,82.25,251538
1717560000,82.84,84.395,82.25,84.31,275530
1717646400,84.3,84.5,83.61,83.66,112337
1717732800,81.88,81.88,80.9,81.26,124677
1717992000,80.2,81.35,79.99,81.32,221812
1718078400,80.16,80.22,78.48,79.83,317148
1718164800,83.52,86.22,82.03,82.76,279425
1718251200,82.57,82.98,81.12,82.59,185050
1718337600,81.04,82.01,80.46,81.77,264488
1718596800,81.81,83.0099,81.322,82.48,214530
1718683200,81.66,82.23,80.29,80.32,160362
1718856000,80,81.47,80,80.24,218056
1718942400,80.51,80.61,79.44,80.02,794257
1719201600,80.07,82.59,80.07,81.42,288566
1719288000,81.07,81.38,78.42,79.4,308507
1719374400,78.91,79.87,78.62,79.03,327925
1719460800,79.23,80.11,78.78,79.91,382496
1719547200,80.71,82.07,80.09,81.66,728432
1719806400,81.84,81.84,78.85,79.18,235292
1719892800,78.49,78.77,77.28,78.14,240398
1719979200,78.24,80.1,77.9701,78.73,165755
1720152000,78.55,78.885,77.26,77.77,180173
1720411200,78.63,79.66,78.03,79.63,212039
1720497600,79.22,80.45,78.76,78.82,242977
1720584000,79.5,81.595,79.315,81.25,252885
1720670400,84.46,88.79,84.3,88.26,658193
1720756800,89.46,91.28,89.46,90.5,469992
1721016000,90.92,92.505,90.56,90.84,308214
1721102400,92.48,97.52,92.35,97.17,653617
1721188800,96.19,98.39,96,96.38,574156
1721275200,96.55,101.5,94.94,95.48,479932
1721361600,95.1,97.035,94.605,95.67,360965
1721620800,96.25,98.495,93.895,98.23,381183
1721707200,97.26,100.09,97.05,99.38,319317
1721793600,98.74,100.3,96.51,96.62,337534
1721880000,96.62,103.42,96.1,99.8,644881
1721966400,102.68,105.17,100.44,101.51,428727
1722225600,102.24,103.67,101.125,102.88,322541
