T,O,H,L,C,V
1713844800,153.79,156.91,153.79,156.05,474277
1713931200,156.05,157.11,154.02,155.43,597911
1714017600,154.51,154.525,152.0413,153.89,676187
1714104000,153.9,155.735,153.2,154.49,437698
1714363200,155.45,157.69,155.45,157.6,442705
1714449600,156.3,157.245,153.39,153.61,390393
1714536000,154.67,157.83,153.35,154.44,580021
1714622400,155.85,157.6,153.48,156.38,518784
1714708800,158.52,159.65,156.73,157.17,449820
1714968000,158.42,159.11,156.89,159.08,369637
1715054400,159.98,163.885,159.98,162.73,754519
1715140800,161.53,163.755,161.19,163.27,740933
1715227200,167.56,169.495,158.32,161.42,1481551
1715313600,161.5,161.5,156.64,156.69,767462
1715572800,158.62,160.65,157.86,160.24,905284
1715659200,160.96,161.935,158.77,159.71,675955
1715745600,161.28,161.44,157.89,158.58,724900
1715832000,158.5,158.6,155.37,155.67,713756
1715918400,157.35,158.075,156.33,157.34,511892
1716177600,157.3,157.74,155.53,156.53,663255
1716264000,156.2,156.5,155.19,155.43,363513
1716350400,154.09,154.545,151.92,153.21,637383
1716436800,154.08,154.08,150.85,151.59,550102
1716523200,152.89,153.465,152.41,152.87,423586
1716868800,153.25,153.705,150.72,151.26,711492
1716955200,149.55,149.58,147.98,148.36,624546
1717041600,148.75,152.07,147.75,151.32,618992
1717128000,151.26,152.11,149.585,152.04,1112264
1717387200,152.5,152.5,146.49,148.15,800612
1717473600,146.97,147.675,144.8775,145.25,631192
1717560000,145.35,147.67,144.95,146.96,390885
1717646400,147.07,148.59,146.31,147.2,422563
1717732800,145.61,147.06,144.5,146.47,652609
1717992000,142.81,145.205,142.5,144.94,599612
1718078400,144.82,145.92,143.33,145.02,459509
1718164800,149.19,150.31,144.63,145.79,591649
1718251200,145.07,146,143.49,144.14,769035
1718337600,142.13,142.8,139.2,139.39,710430
1718596800,139.31,139.68,138.48,139.35,1085583
1718683200,139.48,139.8,138.84,139.13,690420
1718856000,138.47,139.32,137.84,138.05,814980
1718942400,137.53,138.4489,135.89,137,2278622
1719201600,138.37,139.96,136.6459,139.05,1006525
1719288000,137.94,138.42,134.16,134.4,900366
1719374400,134.12,138.71,133.705,138.47,1030043
1719460800,137.51,138.61,135.57,135.97,587960
1719547200,136.18,136.93,134.36,134.89,1868139
1719806400,135.38,135.615,131.52,131.68,668484
1719892800,131.68,133.3714,131.4,132.88,598885
1719979200,133.51,135.48,133.2764,134.76,439738
1720152000,133.67,133.67,130.915,132.18,1259105
1720411200,133.3,134.86,133.21,133.99,864906
1720497600,133,133.715,131.19,131.4,538804
1720584000,131.69,134.72,131.43,134.69,696466
1720670400,136.85,140.2,136.85,139.19,885186
1720756800,139.93,142.65,138.51,142.24,898456
1721016000,142.25,144.16,141.1834,142.84,516167
1721102400,143.21,147.81,142.99,147.51,694416
1721188800,147.06,147.855,145.38,145.86,727652
1721275200,144.61,147.32,143.345,143.52,641488
1721361600,143,143,138.36,138.86,982719
1721620800,139.83,139.96,137.46,139.73,533481
1721707200,140.04,140.04,137.95,138.85,752253
1721793600,138.81,140.14,135.87,136.13,504427
1721880000,135.72,139.61,134.63,136.9,878699
1721966400,137.94,139.38,136.32,139.08,718328
1722225600,139.5,139.88,137.99,139.14,520192
1722312000,138.11,140.34,138.11,139.45,599579
1722398400,140.55,143.9,140.02,141.15,900295
1722484800,141.48,144.59,136.555,137.55,1067681
1722571200,130.43,133.33,128.18,131.55,1558092
1722830400,126.33,127.64,124.67,125.99,1622779
1722916800,126.86,130.44,126.6,127.09,1443527
1723003200,129.34,129.53,124.83,125.04,1145295
1723089600,126.07,127.35,126.07,126.4,1191250
1723176000,126.45,127.81,124.67,126.5,942085
1723435200,126.14,126.45,124.42,125.19,912190
1723521600,125.78,127.22,125.26,127.13,1017480
1723608000,127.6,128.24,125.29,125.74,903541
1723694400,128,130.05,127.89,129.33,812507
1723780800,128.93,129.39,127.68,129.06,684137
1724040000,129.38,130.18,128.59,129.71,466818
1724126400,129.41,130.175,128.34,128.5,429539
1724212800,130.18,131.085,129.4,130.73,734153
1724299200,130.17,131.02,128.98,129.53,583361
1724385600,130.54,133.43,130.16,131.97,725090
1724644800,133.02,134.1,131.3,131.5,571828
1724731200,131.26,131.55,130.055,130.99,458368
1724817600,130.06,131.27,128.65,128.82,650385
1724904000,130.65,131.39,128.36,130.06,917019
1724990400,130.98,131.1475,128.61,130.6,924747
1725336000,128.55,129.75,125.22,125.25,991449
1725422400,125.25,126.205,124.15,124.31,767048
1725508800,123.68,123.875,120.9,121.44,1082532
1725595200,121.07,122.29,119.63,120.04,1048136
1725854400,120.44,121.82,120.14,120.36,1102568
1725940800,120.39,120.565,118,119.16,1405135
1726027200,119.45,120.67,116.88,120.5,1064594
1726113600,120.47,121.09,118.87,119.88,651486
1726200000,121.14,123.7,120.74,123.14,914113
1726459200,123.14,125.135,122.39,123.8,673551
1726545600,124.59,127.14,124.34,125.76,840322
1726632000,125.99,128.96,124.95,126.37,952218
1726718400,130.16,131.755,128.825,130.09,1177112
1726804800,128.98,129.385,126.3365,126.9,3459852
1727064000,127.34,128.11,126.42,127.73,987951
1727150400,129.8,133.69,129.4,132.56,961605
1727236800,133.2,133.23,129.47,130.03,624384
1727323200,132.95,141.34,132.005,139.82,2121012
1727409600,140.98,142.54,138.77,139.29,949956
1727668800,138.8,139.02,134.83,135.96,859200
1727755200,136.05,136.05,132.84,135.01,689643
1727841600,134.88,135.68,133.91,134.87,543496
1727928000,133.52,134.33,131.01,133.9,1014857
1728014400,136.18,137.38,135.455,136.67,636978
1728273600,133.63,136.18,133.63,135.58,823414
1728360000,132.1,132.54,128.825,129.38,1212839
1728446400,129.35,133.735,128.635,133.25,881013
1728532800,133.32,135.31,132.905,134.85,498276
1728619200,134.67,137.36,134.67,136.18,509141
1728878400,135.13,135.95,133.645,135.66,420787
1728964800,134.67,136.29,133.5,133.77,700290
1729051200,135.06,136.68,134.875,134.97,862004
1729137600,136.2,136.55,133.32,135.49,645203
1729224000,136.47,136.47,134.26,135.97,460807
1729483200,135.67,135.67,132.46,133,746487
1729569600,133,133,130.52,131.38,355992
1729656000,130.46,131.82,127.63,128.94,615094
1729742400,130.34,130.34,127.33,129.78,499836
1729828800,129.99,130.94,128.79,128.87,518830
1730088000,129.78,130.505,129.095,129.97,418354
1730174400,128.09,128.575,126.77,126.88,811541
1730260800,126.33,129.07,125.39,127.02,757723
1730347200,127.17,127.57,125.83,125.97,674535
1730433600,125.63,126.73,124.57,124.81,935923
1730696400,126.05,126.36,123.48,123.5,1337404
1730782800,99.86,102,90.5068,91,10733470
1730869200,93,93.295,91.41,92.44,4808677
1730955600,92.94,92.94,89.12,89.72,3369222
1731042000,88.6,89.24,84.75,84.8,4420699
1731301200,83.8,84.37,78.44,78.61,4732348
1731387600,77.52,78.1,75.26,75.71,3882057
1731474000,75.91,76.395,73.55,74,3144635
1731560400,74.3,74.825,72.94,73.94,2590255
1731646800,74.12,74.76,72.78,73.78,2374629
1731906000,74.02,74.165,72.8,73,2820441
1731992400,71.5,73.41,71.45,72.2,4904461
1732078800,72,73.22,71.38,72.9,3538965
1732165200,72.84,76.17,72.335,75,5050436
1732251600,74.98,76.0999,74.57,74.7,2839209
1732510800,75.18,77.43,74.7,76.5,2691802
1732597200,75.45,75.88,72.77,72.85,2417469
1732683600,73.11,74.49,72.84,72.91,1559110
1732856400,72.74,74.45,72.5,73.21,2884923
1733115600,73.44,74.39,72.7,74.22,2798036
1733202000,74.55,74.77,72.21,72.5,2179260
1733288400,71.81,72.16,70.4,70.9,2735779
1733374800,71.5,71.5,69.02,69.44,5437142
1733461200,70.25,70.62,68.88,70.54,2854823
1733720400,72.25,75.41,72.0293,72.42,3305056
1733806800,71.42,72.33,69.53,69.65,2780764
1733893200,69.61,69.75,67.64,68.04,2724584
1733979600,68.62,69.32,67.86,68.85,2005464
1734066000,68.1,68.69,67.025,68.58,2360283
