T,O,H,L,C,V
1713844800,40.24,42.81,40.24,42.08,302438
1713931200,41.69,42.22,41.49,41.94,102729
1714017600,41.61,41.62,40.43,40.7,67722
1714104000,40.72,41.355,40.72,41.29,68276
1714363200,41.61,42.02,40.93,41.24,40259
1714449600,40.98,40.98,40.59,40.95,54643
1714536000,41.02,41.73,40.79,41.44,67523
1714622400,41.92,41.9822,41.46,41.75,59003
1714708800,42.27,42.27,41.305,42.15,63014
1714968000,42.24,42.61,41.58,41.64,102935
1715054400,41.92,42.2492,41.55,41.55,55601
1715140800,41.42,41.94,41.25,41.73,89724
1715227200,42.08,46.72,41.6,46.5,173982
1715313600,46.22,46.85,45.5094,46.69,141275
1715572800,46.91,46.91,46.23,46.6,124599
1715659200,47.02,47.04,45.88,46.57,69727
1715745600,47.06,47.48,46.5825,47.33,68436
1715832000,47.16,47.29,45.73,45.73,66274
1715918400,45.94,46.26,45.24,46.03,113447
1716177600,46.07,46.51,45.7,46.41,58260
1716264000,46.4,46.98,46.325,46.5,43133
1716350400,46.58,46.58,45.95,46.17,57039
1716436800,46.17,46.17,45.05,45.35,167938
1716523200,45.64,45.925,45.05,45.35,70947
1716868800,46.85,46.85,44.98,45.28,93832
1716955200,44.95,45.005,44.27,44.43,44073
1717041600,44.84,44.93,43.03,43.45,91137
1717128000,43.45,43.68,43.05,43.45,61408
1717387200,43.61,43.745,42.45,42.71,124234
1717473600,42.49,42.6,42.0723,42.19,68234
1717560000,42.37,42.68,41.96,42.3,74442
1717646400,42.08,42.64,41.9,42.47,85997
1717732800,42.31,42.62,41.39,41.83,69205
1717992000,41.39,41.47,39.87,40.69,116345
1718078400,40.36,40.765,40.02,40.5,120477
1718164800,41.4,41.4,39.86,40,131637
1718251200,39.8,39.8,39.05,39.29,77490
1718337600,38.77,38.77,37.67,37.75,220390
1718596800,37.59,38.03,37.43,37.97,144312
1718683200,37.89,38.64,37.6,38.61,137886
1718856000,38.38,39.145,38.28,38.44,219391
1718942400,38.6,39.33,38.34,39.21,552049
1719201600,38.95,39.53,38.65,38.8,177987
1719288000,38.65,39.22,38.29,39,138373
1719374400,38.88,38.92,38.2,38.3,113437
1719460800,38.3,38.33,37.525,37.79,120061
1719547200,38.07,38.67,37.58,38.5,362758
1719806400,38.37,38.955,37.91,38.84,125760
1719892800,39.05,39.54,38.44,38.59,128795
1719979200,38.74,38.74,37.97,38.43,37982
1720152000,38.24,38.4226,37.3,37.47,90587
1720411200,37.71,38.02,37.36,37.49,72071
1720497600,37.32,37.32,36.48,36.64,76332
1720584000,36.51,37.37,36.22,37.33,73969
1720670400,37.94,38.44,37.715,38.07,136647
1720756800,38.57,38.79,38.08,38.22,78287
1721016000,38.53,38.5725,37.91,38.06,81326
1721102400,38.17,39.94,38.17,39.9,90336
1721188800,39.76,41.1,39.76,40.59,86545
1721275200,40.15,40.88,39.19,39.35,93120
1721361600,39.41,39.8,38.82,39.15,77771
1721620800,39.4,39.46,38.56,39.43,81073
1721707200,39.19,39.52,38.16,38.54,110620
1721793600,38.53,39.29,38.48,38.68,130438
1721880000,38.68,39.57,38.68,38.87,77522
1721966400,39.36,39.82,39.23,39.45,124004
1722225600,39.71,40.215,38.82,39.52,135233
1722312000,39.64,40.37,38.95,40.02,198020
1722398400,40.08,40.76,39.14,39.84,124504
1722484800,39.99,40.08,38.45,39.54,112170
1722571200,38.54,39.39,38.24,39.1,81405
