T,O,H,L,C,V
1713844800,27.42,29.09,27.42,28.53,4227460
1713931200,28.49,29.25,28.25,28.88,2809054
1714017600,27.82,28.91,27.69,28.89,2620974
1714104000,29.72,30.11,29.19,29.75,3833529
1714363200,29.75,30.08,28.73,28.86,2990476
1714449600,28.48,29.06,28.09,28.12,4050791
1714536000,28.41,29.3,27.94,28.21,2313250
1714622400,28.94,28.94,27.62,28.17,2553903
1714708800,28.93,28.93,28.36,28.61,2199215
1714968000,28.75,29.37,28.5185,28.63,2675295
1715054400,28.1,28.375,27.41,27.83,7617277
1715140800,30.29,31.88,29.09,31.38,11942729
1715227200,31.685,31.86,30.63,31.03,5096315
1715313600,31.21,31.3,29.355,29.42,3734508
1715572800,29.66,30.01,28.61,29.96,4645319
1715659200,29.96,31.39,29.96,30.67,3937662
1715745600,31.39,32,31.085,31.87,4562791
1715832000,31.91,32.16,31.5,31.53,2033729
1715918400,32.01,32.39,31.62,32.23,2645770
1716177600,32.2,32.55,31.35,32.02,2913026
1716264000,31.63,31.84,30.95,31.54,2600404
1716350400,31.55,31.99,31.1,31.96,2714741
1716436800,32.25,32.56,30.94,31,4615169
1716523200,30.92,31.22,30.08,30.15,2488989
1716868800,30.07,30.39,29.79,29.83,2142148
1716955200,29.43,30.54,29.39,30.25,2817301
1717041600,29.96,30.1033,27.3317,27.56,4735650
1717128000,27.27,27.43,25.55,25.97,6605018
1717387200,26.45,26.86,25.51,25.82,3298750
1717473600,25.76,26.34,25.65,25.7,2631103
1717560000,25.96,26.54,25.57,26.36,3135250
1717646400,26.4,26.64,25.72,25.94,1904014
1717732800,25.87,26.06,25.5,25.78,2725643
1717992000,25.51,26.33,25.51,26.07,2473678
1718078400,26.45,26.47,25.7,25.86,2668323
1718164800,26.53,28.17,26.53,27.93,5149444
1718251200,27.83,28.1199,27.29,27.85,3714017
1718337600,27.84,28,27.46,27.77,2706165
1718596800,27.595,27.95,27.11,27.79,2897382
1718683200,27.74,28.31,27.57,27.85,3520199
1718856000,27.74,27.74,26.27,26.92,4024001
1718942400,26.85,27.28,26.47,27.07,7126040
1719201600,26.87,27.6,26.855,27.34,3166684
1719288000,27.37,27.48,26.92,27.12,2592075
1719374400,26.92,27.75,26.77,27.55,2895442
1719460800,27.43,29.62,27.26,29.6,3585475
1719547200,29.63,30.11,29.15,29.53,8408684
1719806400,29.5,29.57,28.03,28.54,2688003
1719892800,28.79,29.33,28.12,29.09,2283553
1719979200,29.08,29.56,28.51,28.58,1337900
1720152000,28.61,29.45,28.39,29.31,1944247
1720411200,29.1,29.52,28.56,29.2,2288804
1720497600,29.31,29.67,27.8,27.87,3650082
1720584000,28.06,28.06,25.67,25.79,8203629
1720670400,26.01,26.5,24.85,25.04,6055256
1720756800,25.04,26.44,24.85,26.14,5775057
1721016000,26.64,26.79,26.062,26.56,3005007
1721102400,26.31,26.59,25.86,26.1,5008683
1721188800,25.83,26.39,25.47,26.06,4482853
1721275200,26.06,26.25,24.04,24.51,4566523
