T,O,H,L,C,V
1713844800,45.44,46.57,44.96,46.33,1150812
1713931200,46.1,46.465,45.29,46.12,1404552
1714017600,45.36,45.75,44.65,45.62,1460835
1714104000,45.94,46.52,45.57,46.11,788959
1714363200,46.25,46.76,46.06,46.31,1802401
1714449600,45.79,46.205,44.71,44.8,1885960
1714536000,41.11,42.89,40.41,40.97,6031390
1714622400,41.07,41.09,39.888,40.58,3099294
1714708800,41.1,42.18,40.71,41.06,2767766
1714968000,41.55,42.27,41.31,41.99,1781920
1715054400,42.02,42.58,41.935,41.98,2658879
1715140800,41.59,41.82,41.365,41.48,1442452
1715227200,41.45,42.43,41.45,42.37,1190113
1715313600,42.68,42.91,42.335,42.5,1231427
1715572800,42.66,42.79,41.65,41.72,891306
1715659200,41.78,42.44,41.78,42.3,1931373
1715745600,42.91,44.1,42.8,44.06,2935646
1715832000,44.06,44.06,43.32,43.4,2581351
1715918400,43.27,43.51,42.645,43.05,1635096
1716177600,42.94,43.78,42.76,43.37,1383432
1716264000,43.2,44.49,43.195,44.39,1476181
1716350400,44.445,45.09,43.68,43.71,3492115
1716436800,44.09,44.44,43.52,43.96,1734610
1716523200,44.37,44.985,44.18,44.55,1066656
1716868800,44.54,44.77,42.98,43.09,1839269
1716955200,42.2,42.275,41.52,41.73,2162184
1717041600,41.95,42.7,41.94,42.61,1450019
1717128000,42.8,43.45,42.28,42.96,3445648
1717387200,43.5,43.55,42.47,43.41,2014688
1717473600,42.97,43.3,42.01,42.18,2001499
1717560000,42.5,42.91,41.83,42.86,1350914
1717646400,42.69,42.885,41.3,41.33,1842173
1717732800,40.78,41.08,40.54,40.68,2844096
1717992000,40.35,40.95,40.09,40.7,3088137
1718078400,40.48,40.665,39.43,39.92,2272086
1718164800,41.2,41.535,40.06,40.37,3314033
1718251200,40.14,40.29,39.44,39.66,1725073
1718337600,39.31,39.565,38.9,39.05,2780626
1718596800,39.01,39.31,38.44,39.27,2140805
1718683200,39.36,39.89,39.36,39.56,3865550
1718856000,39.55,41.02,39.47,41,3982707
1718942400,41.13,41.13,39.31,40.1,4703000
1719201600,40.1,40.705,39.93,40.47,1640876
1719288000,40.34,40.43,39.77,39.82,1676308
1719374400,39.5,39.95,39.12,39.6,2203909
1719460800,39.49,40.08,39.465,39.89,1282808
1719547200,40.2,40.68,39.93,40.15,2411176
1719806400,40.33,40.565,39.52,39.58,1499545
1719892800,39.59,40.14,39.46,40.01,973646
1719979200,40.12,40.81,40.0349,40.59,567599
1720152000,40.49,40.54,39.9,40.29,1306635
1720411200,40.45,40.92,40.32,40.49,1934189
1720497600,40.39,40.84,40.16,40.3,1212639
1720584000,40.32,41.55,40.2707,41.5,1926735
1720670400,42.35,43.03,42.3,42.6,1803879
1720756800,42.6,43.43,42.6,43.23,1998317
1721016000,43.65,44.3,43.605,44.07,1805366
1721102400,44.24,46.56,43.94,46.51,3257346
1721188800,45.62,46.37,45.26,45.47,3426275
1721275200,45.26,47.15,45.03,46.46,3354492
1721361600,46.27,46.48,45.67,45.94,1236694
1721620800,46.41,46.81,45.315,46.43,1895532
1721707200,46.36,47.105,46.09,46.48,1317907
1721793600,46.23,46.47,44.58,44.74,1342518
1721880000,44.75,47.2,44.62,46.33,1785687
1721966400,46.81,47.695,46.61,47.2,1966170
1722225600,47.19,47.685,46.82,47.55,2043635
1722312000,48.12,48.69,47.525,48.52,2150358
1722398400,49.1511,50.92,48.9,49.74,4701888
1722484800,49.5,50.08,47,47.76,2837199
1722571200,46.08,46.235,43.85,44.23,4523838
1722830400,39.75,41.9,38.88,40.91,5201261
1722916800,40.67,41.4,39.31,39.34,4112121
1723003200,39.97,40.35,38.14,38.22,5140398
1723089600,38.85,39.565,38.18,39.23,2932767
1723176000,39.12,39.69,39.03,39.56,2071792
1723435200,39.87,40.27,39.195,39.42,2056576
1723521600,39.66,40.635,39.19,40.35,1916560
1723608000,40.63,41.03,40.31,40.79,2843488
1723694400,41.6,42.56,41.42,42.03,2975264
1723780800,41.68,41.68,40.81,41.11,1658648
1724040000,41.3,41.71,40.93,41.5,1710627
1724126400,41.46,41.59,40.2,40.45,1730669
1724212800,40.46,40.65,39.82,40.16,2087682
1724299200,40.22,40.39,39.58,39.65,2808459
1724385600,39.89,41.13,39.63,40.25,3731803
1724644800,40.51,40.51,39.68,39.81,1879761
1724731200,39.84,40.38,39.45,40.29,2126060
1724817600,40.12,40.39,39.96,40.13,2581722
1724904000,40.35,40.85,39.9,40.08,1779205
1724990400,40.44,40.44,39.47,40.13,1857558
1725336000,39.57,39.89,38.38,38.49,1893672
1725422400,38.31,38.63,37.8,38.12,1053031
1725508800,38.38,38.67,37.93,38.07,885026
1725595200,38.12,38.615,37.02,37.23,2209628
1725854400,37.37,37.8,37.21,37.54,2649790
1725940800,37.6,38.07,36.95,37.81,2196237
1726027200,37.6,37.93,36.65,37.75,1985629
1726113600,37.87,38.77,37.66,38.77,2375664
1726200000,39.15,40.06,39.15,40.05,2645444
1726459200,40.25,41.1,40.035,41.08,2191923
1726545600,41.39,42.605,41.34,41.99,5725171
1726632000,42.19,43.33,41.39,42.32,1838889
