T,O,H,L,C,V
1713844800,43.78,44.93,43.53,44.72,1850556
1713931200,45,45.525,44.87,45.04,1459793
1714017600,44.73,45.89,44.69,45.68,2584518
1714104000,45.98,46.85,45.72,46.61,1461247
1714363200,46.83,47.05,46.5,46.76,1235980
1714449600,46.5,47.38,46.21,46.23,2218243
1714536000,46.23,47.5,46.04,46.63,1469430
1714622400,47.06,47.54,46.465,47.51,893801
1714708800,48.22,48.57,47.625,47.77,1101115
1714968000,48.25,49.08,48.01,48.95,1362244
1715054400,49.38,49.53,48.73,48.81,1856336
1715140800,48.73,49.25,48.52,49.21,984652
1715227200,49.25,49.39,48.32,48.92,1579458
1715313600,49.11,49.36,48.55,49.1,955232
1715572800,49.1,49.665,48.551,48.57,967078
1715659200,49.11,49.535,48.69,48.73,1290378
1715745600,48.78,49.47,48.24,49.32,1255417
1715832000,49.68,49.68,49.02,49.2,798760
1715918400,49.27,49.33,48.785,48.85,854011
1716177600,48.75,49.09,48.6,48.87,981618
1716264000,48.6,49.45,48.58,49.43,1286519
1716350400,49.6,50.25,49.11,49.56,1267434
1716436800,49.75,49.97,48.62,48.88,1445528
1716523200,49.17,49.53,48.96,49.34,816579
1716868800,49.55,49.86,49.265,49.5,837258
1716955200,48.86,49.47,48.75,49.34,1028596
1717041600,48.22,48.47,47.17,47.85,2201767
1717128000,48.06,48.27,47.21,48.17,2088869
1717387200,48.83,48.83,47.47,47.92,2607963
1717473600,47.72,47.88,46.82,47.09,1525594
1717560000,47.5,48.74,47.22,48.24,3588483
1717646400,52.58,53.58,48.4705,48.56,5779003
1717732800,47.63,47.84,45.62,45.75,2792275
1717992000,45.02,46.08,44.69,45.83,1828359
1718078400,45.89,46.41,45.76,45.92,1461491
1718164800,48.41,48.81,47.46,48.78,2248105
1718251200,48.85,49.07,47.775,48.34,1405565
1718337600,48,48.035,46.475,46.7,931322
1718596800,46.05,47.135,45.9,47.06,1583396
1718683200,46.97,47.15,46.04,46.58,1443970
1718856000,46.54,47.04,46.41,46.96,1279907
1718942400,46.83,48.5,46.61,48.45,5601082
1719201600,48.21,48.57,47.05,47.11,1662481
1719288000,47.17,47.47,46.83,47.36,1064868
1719374400,47.07,47.84,47.045,47.66,1123262
