T,O,H,L,C,V
1713844800,4.54,4.68,4.54,4.68,488373
1713931200,4.79,4.79,4.75,4.78,326328
1714017600,4.8,4.82,4.76,4.7801,3775958
1714104000,4.83,4.83,4.78,4.8,2996578
1714363200,4.84,4.9,4.84,4.88,164696
1714449600,4.89,4.89,4.78,4.78,271299
1714536000,4.6,4.83,4.6,4.82,75254
1714622400,4.925,5.06,4.85,5.04,312922
1714708800,4.973,5.02,4.97,5.02,343916
1714968000,4.92,4.9798,4.92,4.96,95239
1715054400,4.9905,5.0198,4.98,4.99,287383
1715140800,4.98,4.98,4.9182,4.95,82235
1715227200,5.2,5.2,5.01,5.05,771323
1715313600,5.18,5.38,5.11,5.18,162349
1715572800,5.38,5.38,5.29,5.29,4980425
1715659200,5.41,5.41,5.23,5.24,320805
1715745600,5.26,5.3,5.25,5.29,164110
1715832000,5.35,5.36,5.29,5.35,169938
1715918400,5.465,5.465,5.31,5.395,232957
1716177600,5.3,5.41,5.23,5.36,3539953
1716264000,5.33,5.34,5.27,5.29,1453345
1716350400,5.2904,5.33,5.28,5.3,122299
1716436800,5.292,5.292,5.2,5.23,269690
1716523200,5.2,5.27,5.2,5.27,85488
1716868800,5.2,5.29,5.2,5.26,278153
1716955200,5.1799,5.1799,4.93,4.96,174511
1717041600,4.93,4.93,4.83,4.87,203958
1717128000,4.87,4.87,4.8135,4.85,301802
1717387200,4.876,4.876,4.83,4.85,160849
1717473600,4.83,4.92,4.83,4.89,236972
1717560000,4.95,5,4.95,4.98,117683
1717646400,4.9275,4.96,4.91,4.94,75032
1717732800,4.86,4.89,4.83,4.85,117125
1717992000,5.04,5.04,4.84,4.8725,197373
1718078400,4.8,4.82,4.76,4.77,171973
1718164800,4.8,4.82,4.73,4.77,144367
1718251200,4.74,4.75,4.68,4.69,276715
1718337600,4.65,4.67,4.63,4.64,187758
1718596800,4.61,4.67,4.61,4.67,334730
1718683200,4.64,4.74,4.64,4.7235,1649789
1718856000,4.7101,4.75,4.68,4.7,203211
1718942400,4.68,4.76,4.62,4.62,218272
1719201600,4.62,4.72,4.62,4.69,378429
1719288000,4.63,4.63,4.6,4.6,281723
1719374400,4.66,4.72,4.6,4.7,125436
1719460800,4.8,4.8,4.63,4.66,236454
1719547200,4.742,4.76,4.72,4.74,319308
1719806400,4.72,4.88,4.72,4.74,522594
1719892800,4.97,4.97,4.82,4.84,430605
1719979200,4.78,4.86,4.78,4.85,69664
1720152000,4.88,4.88,4.65,4.72,271288
1720411200,4.84,4.84,4.67,4.71,304117
1720497600,4.695,4.73,4.68,4.73,227190
1720584000,4.65,4.72,4.65,4.71,168033
