T,O,H,L,C,V
1713844800,43.88,44.99,43.55,43.76,4447407
1713931200,44.89,45.9,43.36,44.1,2623718
1714017600,44.29,46.1,41.81,43.25,4363367
1714104000,43.01,43.61,41.71,43.46,3271523
1714363200,43.65,44.19,42.19,44.02,1708915
1714449600,43.88,44.55,43.11,43.33,1920781
1714536000,42.765,44.3,41.81,43.43,2954629
1714622400,44.01,44.21,41.87,44,2983520
1714708800,44.76,45.37,44.14,44.86,2483102
1714968000,45.97,47.16,45.57,46.9,2858053
1715054400,47,47.97,46.86,47.87,1875692
1715140800,47.52,49.6,47.46,49.33,2252184
1715227200,49.48,49.48,47.97,48.28,1296637
1715313600,49.08,49.4,48.31,48.51,1106770
1715572800,49.03,49.12,46.72,46.78,1433580
1715659200,46.52,48.35,46.52,48,1992672
1715745600,50.63,52.4601,49.44,52.06,4959070
1715832000,51.92,53.01,51.31,52.42,3265420
1715918400,52.8,52.8,51.412,51.58,1315146
1716177600,51.85,52.89,51.7101,52.67,1708608
1716264000,52.32,52.83,51.92,52.64,1034733
1716350400,52.79,54.28,52.79,53.88,2939977
1716436800,55.78,57.13,54.95,55.37,3845267
1716523200,55.8,58.99,55.4,58.8,2630156
1716868800,60.9,61.06,58.74,59.41,2773114
1716955200,59.02,59.7,57.68,59.23,1627503
1717041600,59.2,59.23,56.84,57.4,1858389
1717128000,57.33,57.49,53.58,55.92,3843278
1717387200,56.85,57.12,54.65,55.57,1544465
1717473600,54.74,54.8377,51.89,52.71,2533435
1717560000,53.86,56.47,53.06,56.37,2691478
1717646400,56.37,56.43,52.48,52.49,2139660
1717732800,52.08,52.475,50.89,52.25,2620022
1717992000,51.88,54.84,51.88,54.54,2135635
1718078400,54,54.37,52.9245,53.23,1691114
1718164800,54.06,55.34,53.89,54.89,2598034
1718251200,55.86,56.9,55.23,56.77,1810919
1718337600,56.57,56.583,54.6,55.71,1714906
1718596800,56.91,57.465,55.15,57.02,2035732
1718683200,57.2,60.125,57.07,59.09,2541197
1718856000,59.16,60.1461,55.8,55.8,3069491
1718942400,54.74,55.96,53.22,55.91,1937804
1719201600,55.36,55.49,53.33,53.38,2185210
1719288000,54.2,55.84,54,55.81,2132696
1719374400,55.55,56.8255,55.07,55.3,2158046
1719460800,55.52,57.25,54.86,57.2,2211484
1719547200,57.35,58.3693,56.481,57.33,1475991
1719806400,58,58.2295,55.65,57.79,1213197
1719892800,56.95,58.86,56.95,58.67,1310879
1719979200,59.11,59.77,58.44,58.53,1014600
1720152000,58.76,59.29,57.52,57.62,1139992
1720411200,58,60.5506,57.79,59.17,1448161
1720497600,59.6,60.6496,59.12,59.26,1249847
1720584000,59.62,62.09,59.1,61.47,1879148
1720670400,61.8,61.94,58.042,59.48,2131506
1720756800,59.4,60.71,58.44,59.4,1201292
1721016000,59.95,62.17,59.75,61.23,2091097
1721102400,61.81,63.489,61.29,63.27,2385373
1721188800,61.15,61.5,56.2301,56.84,4686262
1721275200,58,58.07,54.49,56.32,2872410
1721361600,56.15,57.745,55.92,56.5,1716630
1721620800,57.38,58,55.93,56.9,1791626
1721707200,56.78,58.7,56.63,57.88,1489265
1721793600,56.29,56.68,53.06,53.39,3996797
1721880000,55.8,55.88,50.33,51.07,6869241
1721966400,53.72,54.5,52.44,52.67,3249009
1722225600,53.03,53.41,49.88,50,3610421
1722312000,50.37,51.31,48.3401,48.88,3597279
1722398400,51.81,53.2,51.72,52.44,3277611
1722484800,51.58,54.12,49.63,50.39,2825625
1722571200,47.51,47.7,45.52,46.29,4529083
1722830400,41.1,48.3,40.25,46.88,3461167
1722916800,47.15,47.75,45.42,47.08,1760499
1723003200,48.19,48.525,44.11,44.48,4231260
1723089600,45.52,46.515,44.11,46.24,2656225
1723176000,46.25,47.79,46.1,47.78,1409117
1723435200,48,49.79,47.88,49.18,2072845
1723521600,49.88,51.63,49.83,51.19,1988586
1723608000,52.15,52.36,50.85,52.27,1311658
1723694400,53.3,56.61,53.18,56,2210959
1723780800,55.55,55.69,54.3001,54.78,1269744
1724040000,54.42,54.83,53.25,54.16,1704152
1724126400,54.5,55.34,54,54.03,1576175
1724212800,54.05,54.1199,53.345,53.67,1481029
1724299200,53.96,54.07,52.62,52.65,1213629
1724385600,53.36,54.58,52.97,53.14,1422974
1724644800,53,53.01,50.9301,51,1215770
1724731200,50.42,51.525,50.02,50.33,1787731
1724817600,50.01,50.27,48.54,50,2289948
1724904000,50.21,52.16,50.135,50.57,2288856
1724990400,51.1,51.25,49.585,50.92,1494525
1725336000,50,50.135,46.34,46.45,1484279
1725422400,45.62,46.76,45.01,46.65,2354156
1725508800,45.89,47.03,45.395,45.9,1659333
1725595200,45.43,45.65,40.645,41.03,5456749
1725854400,42.36,44.0886,42.195,42.57,3216653
1725940800,42.54,43.57,41.745,43.49,2105086
1726027200,43.64,45.35,42.7604,45.32,2713448
1726113600,45.38,46.92,45.0555,45.55,1666187
1726200000,45.81,46.25,45.43,45.87,1121087
1726459200,45.07,46.21,44.46,46.14,1423592
1726545600,46.9,47.69,46.14,46.99,1120752
1726632000,47.13,48.2799,46.6605,46.83,1558513
1726718400,49.09,49.79,48.36,49.71,2550146
1726804800,49.11,49.9,48.18,48.73,1272484
1727064000,49,49.66,48.77,49.63,1040568
1727150400,49.86,50.396,48.96,49.99,884964
1727236800,49.99,50.79,49.9,50.72,1527823
1727323200,52.21,53.52,51.23,52.09,1618597
1727409600,52.03,52.13,50.63,51.08,904623
1727668800,50.35,51.33,50.1712,51.12,1063998
1727755200,50.94,51.05,49.1944,49.63,1791804
1727841600,49.46,50.62,48.97,50.35,1307003
1727928000,50.12,51.53,50.03,51.47,1463364
1728014400,52.74,54.06,52.25,53.83,1940525
1728273600,53.42,54.78,53.37,54.33,1153917
1728360000,54.96,55.97,54.52,55.71,1536228
1728446400,56.3,58.83,55.9297,58.1,2876550
1728532800,57.5,61.27,57.11,61.25,2611005
1728619200,61.72,63.85,61.57,63.06,3898745
1728878400,64.19,64.555,62.63,63.16,2081400
1728964800,63.15,64,59.65,61.11,3359328
1729051200,61.74,61.98,58.185,58.42,2954195
