T,O,H,L,C,V
1713844800,54.07,54.55,53.27,54.45,849857
1713931200,54.64,55,53.43,53.7,687764
1714017600,53.16,53.81,52.595,53.71,763102
1714104000,53.91,54.37,53.44,53.48,530880
1714363200,53.59,55.105,53.59,54.87,649603
1714449600,54.44,54.67,53.65,53.74,967313
1714536000,54.11,55.025,53.745,54.19,815436
1714622400,54.73,56.49,54.41,56.46,1135842
1714708800,57.04,57.19,55.36,55.9,858036
1714968000,56.51,56.95,55.75,55.79,649024
1715054400,55.76,56.7,55.76,56.27,631945
1715140800,55.76,56.415,55.76,56.22,433563
1715227200,56.2,57.73,56.2,57.55,634970
1715313600,57.76,57.97,57.23,57.29,473065
1715572800,57.48,57.88,57.27,57.37,435808
1715659200,57.98,57.99,57.32,57.68,466876
1715745600,58,59.13,57.97,58.38,695817
1715832000,58.44,58.64,57.83,57.87,399478
1715918400,58.05,58.3912,57.42,57.6,420904
1716177600,57.37,57.615,56.72,56.77,1102898
1716264000,56.72,56.95,55.6,56.38,732659
1716350400,55.98,56.63,55.78,56.15,530351
1716436800,56.14,56.4486,54.92,55.82,816767
1716523200,56.27,56.45,55.59,55.84,376699
1716868800,56.07,56.07,54.82,55.41,657197
1716955200,54.77,55.285,54.32,54.42,431122
1717041600,54.67,55.37,54.43,55.34,744779
1717128000,55.5,56.36,54.925,56.32,918475
1717387200,56.47,56.78,55.07,55.1,807079
1717473600,54.6,54.6867,52.93,52.99,936876
1717560000,53.11,53.62,52.71,53.32,575280
1717646400,53.19,53.545,52.92,53.46,617539
1717732800,52.83,53.26,52.23,52.38,657422
1717992000,51.83,52.14,51.2,52.13,1219646
1718078400,51.61,51.775,50.78,51.47,803670
1718164800,52.75,52.75,51.19,51.29,641410
1718251200,51.19,51.24,50.42,51.17,625042
1718337600,50.47,50.52,49.84,50.38,738744
1718596800,50.14,51.12,49.46,50.87,929538
1718683200,51.07,51.31,50.345,50.74,855892
1718856000,51.5,54.11,50.24,52.67,1633554
1718942400,52.54,54.5,52.07,54.42,2516344
1719201600,54.4,55.15,54.02,54.68,1128073
1719288000,54.55,54.65,53.3,53.69,795371
1719374400,53.11,53.835,52.87,53.79,943889
1719460800,53.77,54.235,53.26,53.49,785579
1719547200,54.19,55.23,54.045,54.99,1751946
1719806400,55.01,55.01,53.32,53.52,691563
1719892800,53.55,53.88,52.36,52.96,726426
1719979200,53.33,54,52.89,52.99,409274
1720152000,52.62,52.74,51.82,52.64,707119
1720411200,52.86,53.32,52.29,52.42,562009
1720497600,52.21,52.65,51.71,51.77,781527
1720584000,52,52.63,51.96,52.59,630692
1720670400,53.49,55.08,53.06,54.74,784302
1720756800,55.51,56.22,55.34,55.5,619804
1721016000,56.02,57.51,56.02,56.67,867997
1721102400,56.39,58.88,56.35,58.33,1150523
1721188800,58.19,58.99,57.87,58.37,980711
1721275200,57.92,59.11,57.56,58.09,661745
1721361600,58.4,58.61,57.425,57.6,861601
1721620800,57.7,58.066,56.77,57.91,598298
1721707200,57.52,58.625,57.08,58.23,676125
1721793600,58.07,58.605,56.82,56.86,767347
1721880000,57.03,59.53,57.03,59.05,1135383
1721966400,59.33,60.85,59.28,60.35,912077
1722225600,60.14,60.66,59.52,60.01,600560
1722312000,60.01,60.48,59.47,59.59,561592
1722398400,60.08,61.26,59.88,60.1,721394
1722484800,60.07,60.775,56.75,57.63,987365
1722571200,55.06,55.51,54.11,54.71,752151
1722830400,52.54,53.69,51.84,52.86,884752
1722916800,52.86,54.225,52.42,53.29,632901
1723003200,54.07,54.28,52.25,52.37,853446
1723089600,52.97,53.85,52.84,53.12,578375
1723176000,53.15,53.77,52.92,53.53,400547
1723435200,53.61,53.66,52.61,52.69,518467
1723521600,52.94,53.7,52.46,53.56,416607
1723608000,53.75,53.89,52.57,53.25,573688
1723694400,54.78,55.14,53.88,54.11,462717
1723780800,53.82,54.745,53.82,54.38,431631
1724040000,54.43,54.95,53.57,53.97,489381
1724126400,53.95,54.34,53.525,53.69,424943
1724212800,54.3,54.56,53.56,53.9,894618
1724299200,53.77,53.895,52.185,52.89,942494
1724385600,53.18,54.5,53.06,54.23,706672
1724644800,54.74,55.06,54.12,54.19,499293
1724731200,54.09,54.34,53.39,53.74,570144
1724817600,53.53,53.73,52.35,52.85,932812
1724904000,53.18,54.33,52.51,53.33,664508
1724990400,53.39,54.08,53.11,53.59,839168
1725336000,52.87,52.87,50.54,50.94,1024326
1725422400,50.94,51.605,50.42,50.72,600673
1725508800,50.99,51.165,49.98,50.04,654032
1725595200,50.05,50.76,49.32,49.81,682035
1725854400,50.16,50.45,49.31,49.31,668932
1725940800,49.31,49.485,48.44,49.14,711685
1726027200,48.44,48.8,47.42,48.67,928326
1726113600,49.03,49.759,48.79,49.65,616967
1726200000,50.13,51.56,49.775,51.19,718960
1726459200,51.81,52.255,51.09,51.43,677645
1726545600,51.67,52.35,51.12,51.47,901497
1726632000,51.71,53.17,51.37,51.89,606339
1726718400,53.45,54.51,52.755,54.48,838761
1726804800,53.98,54.24,52.92,53.27,2135319
1727064000,53.48,53.83,53.16,53.66,672008
1727150400,54.62,55.38,54.38,54.52,855983
1727236800,54.82,55,53.32,53.55,650010
1727323200,54.93,55.575,54.07,54.88,854636
1727409600,55.32,56.23,54.76,55,677953
1727668800,54.81,55.29,54.56,54.96,786634
1727755200,54.76,55.13,54.27,54.56,634094
1727841600,54.43,54.73,53.06,53.19,980416
1727928000,52.8,53.27,52.39,52.65,640452
1728014400,53.63,54.145,53.22,53.35,664698
1728273600,52.92,53.46,52.59,53.27,1050292
1728360000,52.79,52.99,51.78,52.6,576693
1728446400,51.6,52.79,51,52.59,892516
1728532800,52.06,53.23,52.06,52.98,761308
1728619200,53.05,53.64,53.05,53.52,677574
1728878400,53.25,54.05,53,54.01,692906
1728964800,53.31,54.39,53.06,53.08,689002
1729051200,53.6,54.19,53.4305,53.67,1077709
1729137600,52,57.14,51.405,56.41,1977656
1729224000,56.38,56.865,55.89,56.11,1066968
1729483200,56.2,56.2,54.95,55.1,1058093
1729569600,54.87,54.87,53.45,53.47,901776
1729656000,53.13,53.75,51.14,51.26,1055654
1729742400,51.57,52.55,51.5,51.86,925239
1729828800,52.09,53.12,51.86,51.97,605812
1730088000,52.43,54.535,52.32,54.31,725917
1730174400,54.07,54.81,53.5564,54.78,941811
1730260800,54.46,55.66,54.335,54.39,828034
1730347200,54.24,55.09,53.76,53.8,895022
1730433600,54.02,54.75,53.655,54.43,966032
1730696400,54.14,55.08,53.76,53.96,638614
1730782800,53.79,55.39,53.55,55.23,776031
1730869200,58.97,62.94,58.16,62.81,2043330
1730955600,62.65,62.71,60.49,61.05,1241456
1731042000,60.58,62.36,60.35,62.24,1234647
1731301200,62.74,63.405,61.95,62.65,1135585
1731387600,62.42,62.48,60.94,61.41,874427
1731474000,61.42,61.82,60.52,60.63,727892
1731560400,60.74,61.1,59.05,59.43,834768
1731646800,59.64,60.03,58.845,59.35,771755
1731906000,59.72,60.505,59.45,59.64,608092
1731992400,58.97,59.58,58.71,59.44,850354
1732078800,59.47,60.27,59.185,59.72,496515
1732165200,59.74,60.84,59.38,60.44,454239
1732251600,60.42,61.75,60.39,61.22,575559
1732510800,61.6,62.69,61.515,62.31,902896
1732597200,62.28,62.9,61.77,62.15,680870
1732683600,62.3,63.11,61.16,61.37,523401
1732856400,62,62.58,61.37,61.69,369901
1733115600,62.79,63.75,62.27,63.32,771974
1733202000,63.66,64.53,62.78,63.16,728231
1733288400,62.97,63.45,61.83,62.18,555226
1733374800,62.05,62.605,61.15,61.71,511566
1733461200,61.91,61.91,60.76,61.37,685479
1733720400,62.32,63.49,62.114,62.26,744967
1733806800,62.26,62.79,61.26,61.75,801093
1733893200,62.14,62.325,61.225,61.6,931545
1733979600,59.79,60.4369,58.4,58.61,1119845
1734066000,58.19,58.475,56.91,57.21,1334767
1734325200,56.93,57.25,55.96,56.28,974964
1734411600,55.78,56.26,54.03,54.16,1287346
1734498000,54.46,54.62,50.89,51.24,1586377
1734584400,51.24,52.18,49.51,49.53,1497078
1734670800,48.71,50.68,48.43,50.27,3166232
1734930000,49.98,50.62,49.45,49.78,811209
1735016400,50.02,50.67,49.53,50.5,353102
1735189200,50.11,51.23,49.825,51.07,683708
1735275600,50.41,51.165,49.69,50.11,608657
1735534800,49.84,49.87,48.98,49.22,944988
1735621200,49.41,50.23,49.41,49.6,716721
1735794000,49.96,50.32,48.905,49.15,829057
1735880400,48.79,49.476,48.08,48.89,1402929
1736139600,49.56,51.74,49.4,50.41,1763564
1736226000,49.89,50.83,48.5,48.89,1785786
1736312400,48.66,48.66,47.41,47.57,1419990
1736485200,46.83,48.06,45.5,46.89,1666919
1736744400,46.53,48.665,46.53,48.47,1824918
1736830800,48.95,49.42,48.41,49.09,1187863
1736917200,50.48,52,50.05,51.61,1442879
1737003600,51.25,51.425,50.34,50.88,874356
1737090000,51.48,51.56,50.25,50.6,739226
1737435600,51.78,52.39,51.1,51.68,1224712
1737522000,51.68,51.68,50.11,50.27,1182134
1737608400,50.07,51.1,49.87,50.33,698660
1737694800,50.66,51.04,49.58,49.91,828856
1737954000,49.91,50.54,49.47,49.59,917547
1738040400,49.5,50.66,49.08,50.34,726350
1738126800,50.16,50.55,49.37,49.91,707854
1738213200,50.3,50.3,48.48,48.99,720002
1738299600,49.06,49.38,48.42,48.49,1074149
1738558800,48.01,49.0076,47.5,47.64,945640
1738645200,47.57,48.3745,47.37,47.94,663290
1738731600,48.09,48.68,47.43,48.67,838603
1738818000,49,50.86,48.9,50.14,1662750
1738904400,50.37,50.62,49.31,49.63,1307079
1739163600,52.35,52.37,50.52,50.8,1389756
1739250000,51.56,51.605,49.8,49.83,1202686
1739336400,49.09,50.5,48.54,50.04,1243821
1739422800,50.13,51.665,49.96,51.48,900485
1739509200,51.88,52.57,51.6,52.5,1096597
1739854800,52.73,53.42,51.9059,53.05,858152
1739941200,51.68,52.53,51.425,51.66,1069697
1740027600,51.69,52.62,50.27,50.84,948703
1740114000,52.03,52.18,49.73,49.78,928799
1740373200,50.29,50.945,49.74,50.07,931109
1740459600,50.2,50.75,49.64,50,840719
1740546000,50.33,51.3,49.82,49.91,621511
1740632400,49.79,49.98,48.72,49.03,832429
1740718800,49.07,49.435,47.79,48.44,1753851
1740978000,49.79,50.35,46.63,47,1450513
1741064400,46.11,46.39,43.81,45.22,1757920
1741150800,46.22,47.65,45.84,47.21,1316906
1741237200,46.71,47.24,45.95,46.45,1467592
1741323600,46.09,46.32,44.65,45.86,1710618
1741579200,44.67,45.13,42.62,43.22,1390490
1741665600,43.57,45.65,43.3001,44.87,1466904
1741752000,45.4,45.68,44.27,44.39,1158198
1741838400,44.44,45.32,43.75,44.49,1311430
1741924800,45.41,46.39,45.17,46.34,1326373
1742184000,45.9,46.51,45.21,46.16,1174666
1742270400,46.15,46.71,45.59,46.35,984651
1742356800,46.75,47.19,46.24,46.86,1321385
1742443200,45.13,47.425,45.13,47.36,1327579
1742529600,46.16,47.395,45.86,46.59,4747397
1742788800,47.86,49.3,47.64,48.75,1568215
1742875200,48.54,49.45,48.38,48.53,1207896
1742961600,48.66,49.74,48.46,48.82,1068327
1743048000,48.53,48.98,47.835,48.38,776953
1743134400,48,48.2,45.96,46.18,801923
1743393600,45.24,46.239,44.08,46.01,1204266
1743480000,45.78,47.135,45.365,46.98,1484811
1743566400,46.04,47.15,45.53,47.04,1441583
1743652800,44.18,45.96,41.285,41.62,2125484
1743739200,39.98,41.29,37.92,40.95,2010940
1743998400,39.08,42.3299,38.02,40.66,2449927
1744084800,42.21,42.365,38.38,39.2,1598702
1744171200,39.09,45.22,38.85,43.8,2558397
1744257600,41.82,42.135,40.325,41.85,1886444
1744344000,41.85,42.19,40,41.89,1677519
1744603200,42.56,42.98,41.485,41.87,822230
1744689600,41.74,42.58,41.5,41.69,826985
1744776000,41.48,42.44,41.17,41.7,932498
1744862400,41.66,42.66,41.66,42.33,888356
1745208000,42.14,42.23,41.26,41.61,793920
