T,O,H,L,C,V
1713844800,17.95,18.25,17.75,17.83,2310603
1713931200,17.77,17.92,17.46,17.71,2041133
1714017600,17.49,17.55,17.19,17.48,1780549
1714104000,17.64,17.76,17.41,17.65,1745244
1714363200,17.6,17.78,17.32,17.54,1981671
1714449600,17.39,17.43,17.03,17.14,2584902
1714536000,17.12,17.66,16.98,17.43,5392764
1714622400,18.3,18.77,17.16,17.59,3622494
1714708800,17.87,18.52,17.56,17.72,3420747
1714968000,17.68,17.86,16.995,17.01,3133972
1715054400,16.75,17.41,16.682,17.38,2397730
1715140800,17.26,17.41,17.1,17.37,1889895
1715227200,17.22,17.465,17.08,17.22,1471478
1715313600,17.22,17.3,17.115,17.18,1452317
1715572800,17.19,18.37,17.18,18.03,4375037
1715659200,18.51,19.31,18.16,18.78,6292624
1715745600,18.75,18.86,18.39,18.73,4228793
1715832000,18.74,18.89,17.8,17.81,3384053
1715918400,17.82,17.91,17.38,17.68,2629154
1716177600,17.68,17.84,17.5042,17.68,1485705
1716264000,17.54,17.89,17.345,17.48,2616345
1716350400,17.45,17.76,17.23,17.76,2833033
1716436800,17.52,18.04,17.52,17.75,1398926
1716523200,17.88,18.035,17.735,17.88,1377535
1716868800,17.87,17.87,17.01,17.09,3199614
1716955200,17,17.29,16.945,16.95,1846478
1717041600,17.04,17.24,16.94,16.99,3797186
1717128000,17.06,17.29,16.893,17.27,2092029
1717387200,17.31,17.35,16.9,17.1,2168886
1717473600,16.92,17.18,16.65,16.65,2560724
1717560000,16.61,16.685,16.32,16.47,3420333
1717646400,16.42,17.095,16.4,16.88,2617264
1717732800,16.75,16.99,16.67,16.8,2642232
1717992000,16.63,16.94,16.595,16.81,1836666
1718078400,16.76,17.55,16.62,17.15,2634325
1718164800,17.32,18.12,17.32,17.87,3979500
1718251200,17.87,18.29,17.77,17.83,2599350
1718337600,17.7,18.35,17.43,18.33,2932182
1718596800,18.46,19.2,18.46,19.16,4503765
1718683200,19.16,19.92,19.12,19.75,4015946
1718856000,19.75,19.97,19.045,19.39,2787846
1718942400,19.43,19.83,19.19,19.48,3483007
1719201600,20.285,20.785,20,20.75,5549797
1719288000,20.84,21.49,20.792,21.42,4023697
1719374400,21.29,21.49,20.98,21.25,2179625
1719460800,21.24,21.45,20.98,21.14,1996287
1719547200,21.28,21.66,20.92,21.62,3160266
1719806400,21.69,21.87,21.16,21.57,3301711
1719892800,21.6,21.7,21.3871,21.42,2074989
1719979200,21.5,21.61,21.175,21.36,1119629
1720152000,21.2,21.78,21.13,21.73,2927541
1720411200,21.95,22.19,21.46,21.84,3630748
1720497600,21.95,22.14,21.62,21.67,2485089
1720584000,21.68,21.75,21.1,21.49,3045107
1720670400,21.55,21.735,21.24,21.56,2227129
1720756800,21.68,21.88,21.435,21.6,3204019
1721016000,21.71,21.71,20.88,21.29,2393206
1721102400,21.14,21.33,20.43,20.85,2530282
1721188800,20.62,20.97,20.45,20.78,2226851
1721275200,21.23,21.9,21.13,21.71,5404607
1721361600,21.74,22.15,21.35,21.37,2999894
1721620800,21.36,21.8,21.175,21.7,2169177
1721707200,21.72,22.25,21.5,22.25,2214278
1721793600,22.13,22.25,21.47,21.52,3442055
1721880000,21.69,22.04,21.29,21.31,2572320
