T,O,H,L,C,V
1713844800,10,10.17,9.37,9.4,200077
1713931200,9.42,9.53,8.68,9.46,2251501
1714017600,9.26,9.3866,8.9,8.93,286596
1714104000,8.9,9.1089,8.7,8.92,254924
1714363200,8.93,9.34,8.87,9.29,152754
1714449600,9.21,9.59,9.13,9.16,141262
1714536000,9.17,9.64,8.98,9.48,233752
1714622400,9.52,9.62,9.19,9.55,300033
1714708800,9.84,9.965,9.29,9.47,75657
1714968000,9.47,9.5,9.24,9.25,74239
1715054400,9.35,9.71,8.93,9.67,161793
1715140800,9.68,9.7,9.32,9.48,74605
1715227200,9.52,9.66,9.31,9.55,66810
1715313600,9.57,9.68,8.83,8.97,68436
1715572800,9.12,9.33,8.74,8.83,147251
1715659200,8.81,9.7,8.81,9.04,101985
1715745600,9.04,9.33,8.7,8.79,182736
1715832000,8.73,8.99,8.54,8.95,104620
1715918400,8.89,9.12,8.765,8.87,65974
1716177600,8.87,9.08,8.7,8.72,65586
1716264000,8.7,8.7,8.32,8.6,612133
1716350400,8.55,9,8.55,8.75,212155
1716436800,8.4,8.635,8.25,8.35,293347
1716523200,8.4,8.6,8.25,8.27,108684
1716868800,8.27,8.47,8.01,8.1,124654
1716955200,8.01,8.1,7.75,8.04,124098
1717041600,8.01,8.405,7.95,8.12,62414
1717128000,8.25,8.66,8.25,8.63,165406
1717387200,8.73,8.955,8.4,8.5,414363
1717473600,8.47,8.555,7.9,8.44,195618
1717560000,8.4,8.8902,8.29,8.8,86324
1717646400,8.72,8.96,8.655,8.92,142475
1717732800,8.91,9.02,8.61,8.8,128320
1717992000,8.75,9.23,8.71,9.08,152013
1718078400,9.29,9.527,9.23,9.33,112304
1718164800,9.6,10.02,9.37,9.7,299073
1718251200,9.76,10.1,9.75,9.93,322832
1718337600,9.84,10.24,9.83,10.18,191175
1718596800,10.19,10.2,9.1812,9.53,374121
1718683200,9.56,9.75,8.5,8.515,489425
1718856000,8.5,8.94,8.5,8.86,351029
1718942400,9,9.62,8.75,9.1,482399
1719201600,9.14,9.3,8.75,8.89,106720
1719288000,8.84,9.09,8.75,8.89,192537
1719374400,8.83,9,8.76,8.99,185144
1719460800,8.96,9.025,8.85,8.98,245937
1719547200,8.92,9.03,8.75,9.03,500351
1719806400,9,9.055,8.6,8.8,202816
1719892800,8.7,9.04,8.7,8.77,217972
1719979200,8.8,8.81,8.5,8.58,110226
1720152000,8.49,8.74,8.46,8.74,139692
1720411200,8.8,9.2,8.76,9.02,96234
1720497600,9.05,9.9025,9.05,9.79,501714
1720584000,9.94,10.0894,9.74,9.9,448547
1720670400,10,10.1,9.34,9.57,124637
1720756800,9.63,9.91,9.28,9.86,158528
1721016000,9.91,9.91,9.45,9.54,130462
1721102400,9.6,10.05,9.54,9.93,160322
1721188800,9.83,9.83,9.17,9.52,306060
1721275200,9.76,10.02,9.15,9.53,580057
1721361600,9.3,9.6,9.18,9.43,234732
1721620800,9.38,9.56,9,9.4,167727
1721707200,9.34,9.93,9.34,9.87,391082
1721793600,9.7,10.43,9.6139,10.24,371624
1721880000,10.1,10.325,10.005,10.29,175618
1721966400,10.29,10.82,10.175,10.78,822043
1722225600,10.91,11.12,10.64,10.65,251120
1722312000,10.63,11,10.225,10.61,128958
1722398400,10.66,10.805,10.4,10.53,132441
1722484800,10.58,10.58,10.04,10.29,98842
1722571200,10.06,10.17,9.41,10.07,265570
1722830400,9.34,10.32,9.1,10.28,297469
1722916800,10.31,10.9,10.15,10.75,191070
1723003200,10.89,11.05,10.47,10.91,266602
1723089600,10.96,11.42,10.7,11.4,160512
1723176000,11.42,11.61,10.95,11.04,332516
1723435200,11.1,11.25,10.43,10.55,221031
1723521600,10.53,11.02,10.2,11.01,440383
1723608000,11.35,12.935,11.04,12.6,1157167
1723694400,12.6,13.557,12.598,13.09,597178
1723780800,12.93,12.97,12.2,12.5,512461
1724040000,12.52,12.98,11.91,12.31,677898
1724126400,12.25,12.73,11.99,12.02,173503
1724212800,12.03,12.34,12,12.21,196826
1724299200,12.24,12.33,12.05,12.2,84011
1724385600,12.16,12.94,12,12.85,878985
1724644800,12.85,14.48,12.85,13.92,861717
1724731200,13.85,13.85,13.02,13.5,451368
1724817600,13.36,13.9,13.26,13.48,327480
1724904000,13.55,13.7,12.9405,13.04,298689
1724990400,13.08,13.66,12.95,13.5,376379
1725336000,13.56,13.63,13.03,13.5,323341
1725422400,13.34,14.91,13.25,14.63,969813
1725508800,14.61,14.61,13.63,14.6,538275
1725595200,14.66,14.8,13.83,14.3,150556
1725854400,14.72,15.25,14.55,14.93,329521
1725940800,16.2,17.25,13.97,14.58,5169315
1726027200,14.79,15.23,13.73,13.75,1280126
1726113600,13.85,15.33,12.94,15.1,1982429
1726200000,17,17.59,15.8,16.99,3351116
1726459200,17.5,17.5,15.63,16.46,745825
1726545600,16.5,16.5236,16.03,16.28,623887
1726632000,15.99,16.6,15.69,15.71,463280
1726718400,16.49,16.79,15.79,15.85,813107
1726804800,16.45,17.11,16.245,16.58,1433885
1727064000,16.77,16.82,15.2,15.57,699535
1727150400,15.58,16.06,15.47,15.52,392943
1727236800,15.8,15.94,15.26,15.34,430104
1727323200,15.28,15.925,15.2,15.67,611912
1727409600,15.79,16.5551,15.71,15.79,731275
1727668800,15.73,16.62,15.73,15.99,480641
1727755200,16,17.44,15.37,17.2,909942
1727841600,17.13,17.16,16.04,16.26,715992
1727928000,16.13,16.45,15.72,15.88,558199
1728014400,15.97,16.3,15.57,15.94,243652
1728273600,15.94,15.97,15.4638,15.51,197669
1728360000,15.54,16.09,15.4757,16.08,382531
