T,O,H,L,C,V
1713844800,76.9,79.24,76.61,78.99,570985
1713931200,79.05,80.265,78.81,79.78,546386
1714017600,79.56,79.82,78.54,79.01,863149
1714104000,86,86.11,79.32,80,1713696
1714363200,80.13,80.25,76.9,79.09,771759
1714449600,78.2,80.51,78.2,79.63,678759
1714536000,79.78,81.81,78.965,81.48,700937
1714622400,81.7,82,80.81,81.53,415586
1714708800,82.17,82.885,80.28,81.01,352578
1714968000,81.49,81.75,81.11,81.33,313254
1715054400,81.76,82.43,81.69,82.2,324361
1715140800,82.11,82.44,81.3,81.93,348478
1715227200,82.1,82.99,81.81,82.99,211057
1715313600,83,84.2,82.37,84.07,653938
1715572800,84.5,86.73,84.1,84.77,560362
1715659200,85.67,85.96,84.03,84.72,355404
1715745600,84.69,84.77,83.19,83.59,261116
1715832000,83.69,84.1,83.44,84.01,262038
1715918400,84.23,84.23,83.23,83.61,318933
1716177600,83.61,84.95,83.31,84.82,370944
1716264000,84.51,85.89,84.1,85.83,399351
1716350400,85.18,86,84,84.48,374822
1716436800,84.38,85.09,83.73,84.57,350075
1716523200,84.8,84.815,83.74,84.03,296363
1716868800,83.96,84.78,82.855,82.98,293027
1716955200,82.79,83.53,81.85,82.87,416062
1717041600,82.87,84.36,82.7425,83.82,411308
1717128000,84.19,85.74,81.82,85.62,421574
1717387200,85.96,87.23,85.68,86.98,489007
1717473600,86.37,87.16,84.67,84.97,419560
1717560000,85.14,85.16,83.61,84,311698
1717646400,84.09,84.31,83.38,83.69,368811
1717732800,83.45,84.1699,82.215,82.83,281403
1717992000,82.42,82.43,81.35,81.92,309794
1718078400,81.63,81.83,80.91,81.4,275532
1718164800,82.53,82.88,80.505,81.27,324169
1718251200,81.04,82.05,80,81.87,471888
1718337600,81.51,82.74,80.48,80.62,250001
1718596800,80.56,82.28,80.39,81.98,424341
1718683200,82.01,82.34,81.29,81.72,443587
1718856000,81.54,82.84,80.77,82.02,415720
1718942400,82.3,83.84,81.75,83.57,1040983
1719201600,83.49,84.67,82.67,83.71,349931
1719288000,83.6,83.75,81.3,81.61,309823
1719374400,81.67,82.17,79.84,79.95,487034
1719460800,79.64,79.64,78.26,78.45,509585
1719547200,78.62,79.9,78.176,79.08,651327
1719806400,79.4,79.83,76.97,77.15,528234
1719892800,77.11,77.705,76.58,77.16,670439
1719979200,77.36,77.435,76.42,76.59,199376
1720152000,76.48,76.695,75.49,76.16,586967
1720411200,78.72,80.25,77.9,79.59,1116962
1720497600,79.55,80.4399,78.16,78.2,406162
1720584000,78.2,78.6173,76.67,77.55,468643
1720670400,78.18,79.475,78.09,79.17,463974
1720756800,79.73,79.99,78.535,78.8,500648
1721016000,78.8,78.92,77.62,77.71,338168
1721102400,77.87,80.04,77.67,79.53,485218
1721188800,79.21,80.775,78.98,80.44,477862
1721275200,80.47,80.74,78.49,79.03,357028
1721361600,78.01,78.47,77.4,77.63,382419
1721620800,77.76,78.91,77.03,78.37,502022
1721707200,78.29,79.85,78.29,78.75,416565
1721793600,78.53,78.75,77.725,78.23,462346
1721880000,78.53,79.605,77.13,77.22,741084
1721966400,77.45,78.55,75.42,76.38,962119
1722225600,76.77,79.39,76,78.99,707227
1722312000,78.82,81.77,78.82,81.22,650071
1722398400,81.19,84,80.43,81.7,613233
1722484800,81.7,83.015,79,79.08,662063
1722571200,78,78.935,77.06,78.21,481484
1722830400,76,79.08,75.795,78.21,693413
1722916800,78.53,81.975,77.67,80.48,628616
1723003200,81.48,82.92,80.32,80.47,623250
1723089600,81.48,82.3,80.6,81.81,345695
1723176000,81.91,82.03,79.875,80.52,365011
1723435200,80.75,81.78,79.81,79.98,373169
1723521600,79.7,81.14,79.45,80.71,355606
1723608000,80.63,80.98,79.76,79.8,289709
1723694400,81.23,81.695,79.74,79.92,453081
1723780800,80.13,80.6,79.2007,80.08,559634
1724040000,80.36,81.02,79.83,80.07,271376
1724126400,80.35,80.63,79.83,80.56,271474
1724212800,81.28,82.02,80.82,81.88,262651
1724299200,81.99,81.99,80.755,81.56,365482
1724385600,81.96,83.915,81.76,83.74,302939
1724644800,83.85,84.59,83.29,83.36,225373
1724731200,82.94,83.46,82.44,82.56,294195
1724817600,82.43,82.555,80.445,80.61,303334
1724904000,80.57,81.3,79.98,80.47,231469
1724990400,80.97,80.97,79.91,80.73,351238
1725336000,80.54,81.33,80.04,80.87,409529
1725422400,80.87,81.58,79.91,81.43,281685
1725508800,81.62,82,80.65,81.49,311295
1725595200,81.49,82.36,80.72,81.52,270532
1725854400,81.6,83.37,81.26,82.04,381913
1725940800,82.04,82.115,80.67,81.15,317221
1726027200,80.69,80.81,79.23,80.72,274767
1726113600,80.64,81.53,80.485,81.46,225321
1726200000,81.86,83.26,81.255,82.67,234952
1726459200,82.8,83.655,82.59,83.32,232932
1726545600,83.72,83.87,82.84,83.59,268482
1726632000,83.42,84.36,82.65,83.17,318900
1726718400,84.37,84.68,82.31,82.48,439390
1726804800,82.02,82.515,81.1421,82.23,819548
1727064000,82.24,82.89,80.88,80.9,386795
1727150400,80.85,81.22,79.71,79.8,397836
1727236800,79.97,80.61,79.71,80.1,358353
1727323200,80.71,82.3,80.51,82.13,361965
1727409600,82.67,83.99,82.17,82.76,258287
1727668800,82.89,83.38,81.81,83.19,426123
1727755200,82.94,84.76,81.76,84.32,491377
1727841600,83.62,83.81,81.96,82.16,323706
1727928000,81.69,81.895,80.8,80.99,292363
1728014400,81.59,82.51,81.21,82.43,215553
1728273600,82.01,82.01,79.47,80.06,332371
1728360000,79.92,80.88,79.59,80.76,244737
1728446400,80.78,81.125,80.3,80.38,174864
1728532800,80.07,80.685,79.26,79.45,330540
1728619200,79.65,80.3675,79.65,80.13,225857
1728878400,80.21,80.465,79.56,79.93,343542
1728964800,79.87,82.83,79.87,81.66,264897
1729051200,81.95,83.1,81.26,82.89,269055
1729137600,79.915,83.776,79.915,83.57,410861
1729224000,83.75,84.4,82.96,84.39,377592
1729483200,84,84.04,79.84,80.83,477130
1729569600,80.68,80.68,78.92,79.1,366905
1729656000,78.68,79.035,77.7,77.94,298612
1729742400,78.29,78.46,76.77,76.78,364573
1729828800,77.15,77.825,75.08,75.18,367356
1730088000,75.81,77.11,75.645,75.7,549569
1730174400,76,77.23,75.77,76.12,453603
1730260800,76.01,77.46,76.01,76.21,882721
1730347200,79.83,82.32,79.355,80.47,1399275
1730433600,80,81.175,79.355,80.35,852835
1730696400,80.66,82.42,80.585,81.78,611104
1730782800,81.63,83.875,81.63,83.09,645679
1730869200,84.36,85.18,83,83.79,714534
1730955600,83.79,85.72,83.79,85.12,318473
1731042000,84.91,85.05,83.0401,83.45,615551
1731301200,83.87,84.88,83.46,83.65,544287
1731387600,83.79,84.11,82.45,83.36,612067
1731474000,83.46,85.26,83.46,84.59,405737
1731560400,84.93,85.65,84.6,84.69,360602
1731646800,84.69,85.07,83.51,83.61,425215
1731906000,83.99,83.99,82.21,82.43,547994
1731992400,81.7,82.56,81.035,82.13,323915
1732078800,81.4,81.4,79.76,80.1,345762
1732165200,80.6,81.65,80.01,80.99,312867
1732251600,81.73,83.8,81.48,83.48,413481
1732510800,84.54,88.62,84.54,88.07,724104
1732597200,87.89,88.33,86.83,86.92,392954
1732683600,87.11,88.14,86.45,87.16,319588
1732856400,87.42,88.51,87.16,87.24,239049
1733115600,87.37,88.18,86.05,88.1,734522
1733202000,88.23,88.92,87.33,88.35,317501
1733288400,88.01,88.82,87.46,88.58,366103
1733374800,88.84,88.84,87.145,87.88,472702
1733461200,88.85,89.57,87.89,88.35,325227
1733720400,88.44,91.24,87.93,90.65,676433
1733806800,90.65,90.86,88.63,90.09,418740
1733893200,90.1,90.475,88.87,89.02,567990
1733979600,88.72,89.39,87.8,88.68,353285
1734066000,88.42,88.895,87.44,88.74,337815
1734325200,88.57,90.5,87.51,89.85,437792
1734411600,89.77,90.94,89.5,90.71,502492
1734498000,90.69,91.3,87.58,87.65,450641
1734584400,87.76,88.57,87.05,87.66,473709
1734670800,87.72,89.35,87.63,88.31,1564569
1734930000,87.76,88.685,85.97,87.23,404199
1735016400,87.04,87.46,86.75,87.25,124428
1735189200,87.05,87.9047,86.23,86.56,313942
1735275600,86.26,86.83,85.57,85.76,299036
1735534800,85.18,85.21,83.12,83.47,414698
1735621200,83.88,84.735,83.76,83.93,449767
1735794000,84.72,85.45,82.395,82.67,439231
1735880400,82.18,83.425,81,82.67,394775
1736139600,82.87,83.85,82.59,83.1,506575
1736226000,82.54,83.96,81.93,82.4,384686
1736312400,82.25,83.29,80.76,82.62,337318
1736485200,81.96,83.07,81.57,82.57,358250
1736744400,82.27,83.635,81.29,83.2,407188
1736830800,83.57,84.675,83.11,83.43,339499
1736917200,84.26,84.575,82.79,82.94,332898
1737003600,82.78,83,82.03,82.84,260433
1737090000,83.57,84.34,82.98,83.62,267862
1737435600,84.32,87.33,83.9,87.23,340895
1737522000,87.09,87.77,86.44,87.67,347832
1737608400,87.08,89.66,86.61,89.52,464886
1737694800,89.57,90.98,88.775,89.35,453861
1737954000,89.08,89.945,88.67,89.58,368407
1738040400,89.05,91.01,89.05,89.65,423572
1738126800,89.72,90.42,88.5,88.51,522264
1738213200,89.2,90.95,88.41,90.36,448660
1738299600,90.1,90.65,88.27,88.3,596328
1738558800,86.54,87.375,84.55,85.19,930152
1738645200,85.69,87.4157,85.16,85.86,872594
1738731600,79,82.66,78.88,80.97,1625400
1738818000,81.99,82.47,79.47,79.66,916252
1738904400,79.32,81.37,78.58,79.27,859845
1739163600,79.24,80.1565,77.69,78,883504
1739250000,78.56,79.355,76.3,78.34,1160450
1739336400,77.62,80.22,77.6,79.46,665654
1739422800,79.86,82.72,79.61,82.59,716227
1739509200,82.85,84.93,82.365,84.58,774046
1739854800,84.64,88.97,84.64,88.85,953512
1739941200,88,90.49,86.635,90.12,903420
1740027600,90.11,90.55,89.54,90.3,618985
1740114000,90.71,92.09,89.84,90.74,1014297
1740373200,91,92.265,90.755,92.08,860375
1740459600,91.61,92.31,90.4,91.79,978852
1740546000,91.8,92.88,90.44,91,1333038
1740632400,90.67,91.07,89.355,89.64,975161
1740718800,89.57,90.29,85.66,86.84,1163140
1740978000,86.6,87.72,84.07,84.16,1545966
1741064400,83.25,84.53,82.8,83.24,779339
1741150800,83.24,84.64,82.54,84.36,876192
1741237200,84.1,85,82.44,83.77,806475
1741323600,83.65,84.55,81.87,84.26,767100
1741579200,83.71,88.9999,83.44,85.24,1141917
1741665600,84.72,84.72,80.36,80.52,966797
1741752000,80.805,81.063,77.6,78.73,1167256
1741838400,78.53,79.045,77.11,77.96,687165
1741924800,78.19,79.05,77.56,78.42,689758
1742184000,78.68,80.37,78.67,79.54,844790
1742270400,78.61,79.495,77.945,78.51,591874
1742356800,78.34,78.71,76.76,78.09,613512
1742443200,77.8,78.195,76.0825,76.36,666260
