T,O,H,L,C,V
1713844800,3.34,3.55,3.325,3.41,2576331
1713931200,3.39,3.48,3.3,3.33,1405457
1714017600,3.23,3.295,3.19,3.22,1924306
1714104000,3.25,3.3695,3.24,3.3,2026192
1714363200,3.33,3.4195,3.235,3.27,1760486
1714449600,3.2,3.24,3.13,3.15,2192718
1714536000,3.17,3.29,3.045,3.13,3094504
1714622400,3.19,3.2,3.025,3.17,2993096
1714708800,3.3,3.475,3.28,3.37,5226605
1714968000,3.42,3.42,3.21,3.36,3148085
1715054400,3.34,3.43,3.32,3.4,2130028
1715140800,3.28,3.31,3.21,3.28,3048853
1715227200,3.66,4.07,3.66,4.06,9820184
1715313600,4.01,4.06,3.795,3.9,6604721
1715572800,3.97,4.38,3.97,4.12,6812380
1715659200,4.21,4.42,4.19,4.32,6330504
1715745600,4.5,4.68,4.38,4.41,7596136
1715832000,4.38,4.49,4.33,4.35,3332001
1715918400,4.33,4.35,4.19,4.3,3600695
1716177600,4.3,4.54,4.3,4.33,5214644
1716264000,4.28,4.37,4.25,4.3,2958057
1716350400,4.27,4.3,4.16,4.2,2875665
1716436800,4.22,4.28,3.95,4.04,4411987
1716523200,4.04,4.16,3.92,4.08,2522273
1716868800,4.08,4.1582,3.96,3.98,3016043
1716955200,3.89,3.91,3.77,3.79,3076993
1717041600,3.81,3.85,3.75,3.78,2698581
1717128000,3.81,3.86,3.72,3.75,2868837
1717387200,3.81,3.86,3.61,3.71,2351826
1717473600,3.65,3.68,3.581,3.63,3176703
1717560000,3.69,3.78,3.595,3.71,3632699
1717646400,3.66,3.77,3.6,3.73,2173617
1717732800,3.65,3.69,3.57,3.6,2190732
1717992000,3.52,3.58,3.485,3.53,2824405
1718078400,3.5,3.67,3.49,3.64,2267908
1718164800,3.86,4.12,3.83,3.94,5216416
1718251200,3.91,3.98,3.64,3.66,4201724
1718337600,3.59,3.67,3.56,3.64,2421426
1718596800,3.61,3.66,3.52,3.57,2151338
1718683200,3.57,3.66,3.56,3.59,2802861
1718856000,3.6,3.65,3.46,3.49,3395521
1718942400,3.48,3.5575,3.45,3.55,5737283
1719201600,3.52,3.62,3.37,3.48,4409194
1719288000,3.58,3.63,3.5,3.54,4650135
1719374400,3.5,3.59,3.465,3.59,2996420
1719460800,3.62,3.77,3.56,3.69,3469577
1719547200,3.74,3.755,3.56,3.6,17007051
1719806400,3.6,3.635,3.34,3.36,3215253
