T,O,H,L,C,V
1713844800,78.48,80.21,78.465,79.48,596788
1713931200,81,81.98,78.39,81.72,1043648
1714017600,81.5,81.5,78.37,78.76,643123
1714104000,79,79.5932,78.545,78.73,369416
1714363200,79.03,79.39,78.15,79.24,448281
1714449600,78.63,79.2083,77.115,77.2,427858
1714536000,77.46,78.9162,76.85,77.51,361323
1714622400,78.34,79.3,77.535,78.65,465765
1714708800,79.61,80.4,79.237,80.1,337866
1714968000,80.42,81.975,80.11,81.25,384973
1715054400,81.66,82.825,81.66,81.77,323191
1715140800,81.14,82.46,81.14,82.16,224856
1715227200,82.26,84,82.26,83.93,312438
1715313600,83.73,84.37,83.19,83.97,288994
1715572800,84.86,85,80.78,80.98,636550
1715659200,81.48,82.08,80.98,81.97,416575
1715745600,82.7,84.38,82.5301,83.11,428209
1715832000,83,84.45,83,84.22,292006
1715918400,84.56,84.83,83.66,84.36,296484
1716177600,84.53,85.17,83.64,83.8,322465
1716264000,83.45,84.75,83.45,84.75,306974
1716350400,84.25,84.685,83.256,83.44,266119
1716436800,83.86,83.86,81.6,81.69,268681
1716523200,81.94,82.94,81.75,82.52,188012
1716868800,82.97,83.4799,81.97,82.42,293294
1716955200,81.73,81.73,81,81.16,284354
1717041600,81.8,83.36,80.4,82.89,260127
1717128000,83.4,83.735,82.18,83.4,418125
1717387200,83.88,83.88,81.69,83.23,266017
1717473600,82.59,83.455,81.92,81.99,218592
1717560000,82.23,83.18,81.21,82.95,349183
1717646400,82.6,83.305,81.66,81.83,258122
1717732800,81.3,82.22,80.6201,81.81,199632
1717992000,80.76,81.57,78.79,81.09,485024
1718078400,80.67,81.49,80.27,80.93,404298
1718164800,82.61,84.4999,81.555,83.35,583077
1718251200,83.12,83.22,81.25,82.61,286647
1718337600,81.56,82.195,80.855,81.79,237056
1718596800,81.21,82.87,80.87,82.7,307222
1718683200,82.43,82.88,81.73,81.84,376829
1718856000,81.23,81.97,80.8,81.66,315875
1718942400,81.66,81.73,80.27,81.64,1027321
1719201600,81.84,82.37,81.19,81.77,632221
1719288000,81.44,81.7054,79.88,80.6,379850
1719374400,80,81.12,79.7601,80.82,296343
1719460800,80.87,81.87,80.4,81.87,235335
1719547200,82.46,82.81,79.94,81.23,1661541
1719806400,81.36,81.96,79.8293,80.26,314596
1719892800,80,81.08,80,80.48,323274
1719979200,80.72,81.44,80.1,81.24,121397
1720152000,81.07,81.21,79.88,79.98,340254
1720411200,80.72,80.88,78.46,78.57,430701
1720497600,78.57,79.705,78.2,79.25,450839
1720584000,79.34,81.73,79.24,81.71,348254
1720670400,82.635,84.6,81.9,84.15,499038
1720756800,84.64,85.82,84.575,85.08,374231
1721016000,85.79,87.04,85.57,86.46,450412
1721102400,87.36,89.45,86.46,89.44,719822
1721188800,89.03,89.54,88.2614,88.51,448058
1721275200,88.24,90.33,87.16,88.03,418692
1721361600,88.18,88.675,87.08,88.01,339764
1721620800,87.64,88.44,86.43,87.22,562525
1721707200,87.31,89.06,87.04,88.75,699826
1721793600,88,88.98,86.6,86.64,484482
1721880000,89.28,95.74,89.28,92.54,1090842
1721966400,94.89,95.64,93.15,94.54,712271
1722225600,95,95.2132,91.46,91.47,516658
1722312000,91.73,92.47,90.49,90.96,439723
1722398400,91.12,92.3,89.36,89.88,697107
1722484800,90.21,90.63,86.85,87.08,441048
1722571200,84.24,86.16,83.07,85.35,583509
1722830400,81.45,83.835,80.3501,83.11,589911
1722916800,82.75,84.44,82.55,83.31,601232
1723003200,84.3,84.6999,82.71,83.08,350371
1723089600,84.57,86.16,83.8,86.06,310405
1723176000,86.25,87.23,86.21,87.08,300666
1723435200,87.15,87.74,84.4301,84.74,225828
1723521600,85.59,86.92,85.445,85.92,363329
1723608000,87.21,88.9869,87,88.79,319213
1723694400,91.36,91.7899,89,90.72,489883
1723780800,90.43,92.035,88.875,90.14,402359
1724040000,90.39,91.285,90,91.16,194237
1724126400,91.15,91.15,89.82,90.51,201847
1724212800,90.66,91.03,89.73,90.73,268471
1724299200,90.59,91.18,90.08,90.63,261501
1724385600,90.73,93.41,90.73,92.76,339494
1724644800,93.65,94.74,91.9,92.12,364486
1724731200,92.06,92.4336,91.19,91.97,217737
1724817600,91.39,92.14,91.25,91.98,215748
1724904000,92.28,93.03,91.89,92.86,339342
1724990400,93.1,93.9,92.33,93.81,243997
1725336000,92.31,93.5,91.07,91.63,295733
1725422400,91.76,92.9999,91.39,91.65,218409
1725508800,92.22,92.295,90.98,91.87,189156
1725595200,91.85,92.996,89.215,89.39,375291
1725854400,89.47,89.5,87.81,88.14,440992
1725940800,88.11,88.16,84.79,86.92,771957
1726027200,86.49,88.03,84.1501,87.88,581379
1726113600,88.1,90.25,87.895,89.97,328382
1726200000,91.24,94.59,91.24,94.53,390839
1726459200,95,95.1,93.32,94.97,259676
1726545600,95.3,95.58,93.86,94.5,299691
1726632000,94.79,96,92.99,93.63,465619
1726718400,95.64,95.64,92.185,92.35,401120
1726804800,92.01,92.6529,90.53,90.72,1260535
1727064000,90.65,92.22,90.5,91.93,348882
1727150400,91.81,92.48,90.25,90.51,229179
1727236800,90.79,91.045,89.4451,90.7,303906
1727323200,91.57,91.58,89.72,89.88,463569
1727409600,90.72,91.57,90.06,91.07,408419
1727668800,90.75,92.8099,90.05,92.18,377210
1727755200,91.75,91.79,90.54,90.95,256923
1727841600,90.82,92.02,90.34,91.89,374624
1727928000,91.4,92,90.78,91.58,276687
1728014400,92.9,92.9,90.49,91.38,404657
1728273600,90.41,91.39,89.7445,91.36,495585
1728360000,92.07,92.62,91.4,92.54,536155
1728446400,92.76,94.6599,92.48,94,364926
1728532800,93.06,94.785,93.06,94.77,355490
1728619200,94.69,95.5799,94.34,95.19,416784
1728878400,95.9,96.825,95.2222,96.14,567735
1728964800,96.14,97.26,95.92,95.93,341790
1729051200,96.56,97.3365,96.235,97.01,256407
1729137600,97.35,97.35,96.13,96.27,266909
1729224000,96.72,96.72,95.28,95.31,395608
1729483200,95.31,95.45,91.87,91.91,550589
1729569600,91.42,92.21,90.5537,91.06,714261
1729656000,88.25,90.355,84.68,87.37,1499254
1729742400,88.37,89.85,87.5,88.88,849937
1729828800,89.51,89.51,87.75,88.52,577842
1730088000,89,91.48,88.805,91.47,710412
1730174400,90.16,91.57,90.13,91.16,475160
1730260800,90.69,91.99,90.52,90.52,280799
1730347200,90.97,90.97,88.51,88.55,431307
1730433600,88.95,89.29,87.7,88.08,501205
1730696400,88.59,91.99,88.3681,90.6,502724
1730782800,89.9,92.3,89.67,92.21,351726
1730869200,96,97.04,91.36,96.47,991213
1730955600,96.47,98.755,94.74,98.61,848951
1731042000,98.5,101.71,98.145,100.96,752074
1731301200,102.35,103.05,101.3,101.43,514798
1731387600,101.4,102.64,100.36,101.2,556003
1731474000,101.78,102,97.69,97.7,634539
1731560400,97.69,98.95,96.75,96.85,474171
1731646800,97.74,98.165,96.1,96.18,348945
1731906000,96.09,97.8125,95.5992,97.32,405741
1731992400,95.83,98.225,95.68,97.95,317097
1732078800,97.95,98.35,96.55,97.09,479721
1732165200,97.59,99.15,97.59,98.33,267362
1732251600,98.65,100.395,98.395,99.42,300695
1732510800,100.85,102.265,100.495,100.66,575121
1732597200,100.29,100.605,97.76,98.29,519178
1732683600,98.4,99.54,98.19,98.33,322888
1732856400,99.35,99.35,98.21,98.67,241180
1733115600,97.91,98.87,97.08,97.44,430637
1733202000,97.31,97.615,95.52,96.74,360809
1733288400,95.8,96.97,94.86,96.42,441730
1733374800,96.4,97.84,96,96.08,267264
1733461200,96.83,97.26,95.88,97.21,331820
1733720400,96.74,97.22,95.54,95.9,356280
1733806800,96.07,96.395,94.665,94.8,335373
1733893200,95.71,96.08,94.29,95.96,310393
1733979600,95.41,96.14,94.92,95.36,214723
1734066000,95.35,97.19,95.35,96.84,339093
1734325200,96.57,98.605,96.56,98.23,599526
1734411600,98.03,99.07,96.3,98.45,753747
1734498000,98.96,99.7,94,94.34,733266
1734584400,94.96,96.42,93.655,93.73,493853
1734670800,92.93,95.91,92.7506,95.14,1045795
1734930000,94.77,95.3654,93.4,93.6,602144
1735016400,93.51,94.95,93.51,94.92,174089
1735189200,94.46,95.89,94.07,95.75,162405
1735275600,94.83,95.74,93.83,94.31,249435
1735534800,93.5,95.365,92.88,94.77,280242
1735621200,95.61,96.47,95.55,96.01,400755
1735794000,96.96,97.225,93.45,94,756938
1735880400,94,95.46,93.5,95.39,386171
1736139600,95.46,95.905,93.72,94.43,390800
1736226000,93.76,94.701,92.32,92.81,444722
1736312400,92.56,93.57,91.385,93.54,538155
1736485200,91.25,92.43,90.72,91.4,392645
1736744400,90.38,92.32,89.7,92.25,278436
1736830800,93.55,96.55,93.55,96.54,340465
1736917200,98.98,100.125,98.045,100.03,369960
1737003600,100.15,102.0899,99.625,101.44,597113
1737090000,102.26,103.89,102.26,103.68,723131
1737435600,104.11,105,102.26,102.81,540278
1737522000,102.36,104.12,101,102.64,587288
1737608400,102.78,104.31,102.0701,102.87,370385
1737694800,102.75,104.37,102.21,104.12,242613
1737954000,102.96,107.65,102.892,107.19,616160
1738040400,107,107.37,105.06,105.86,683123
