T,O,H,L,C,V
1713844800,15.2,15.23,14.73,14.73,992474
1713931200,14.8,15.185,14.73,15.12,942143
1714017600,14.87,15.07,14.585,14.68,926397
1714104000,14.84,15.06,14.705,14.89,772457
1714363200,14.98,15.29,14.955,15.23,804908
1714449600,15.07,15.15,14.89,15.05,1227875
1714536000,15.13,15.52,14.97,15.2,1048481
1714622400,15.33,15.47,14.84,15.02,1084580
1714708800,15.29,15.35,14.7,14.72,1160512
1714968000,14.81,15,14.68,14.99,799941
1715054400,15.05,15.26,14.82,15.14,995078
1715140800,15.2,15.22,14.53,14.72,1099681
1715227200,14.87,15.8,14.47,15.65,1780987
1715313600,15.83,16.325,15.575,15.94,1437077
1715572800,16.14,16.515,16.04,16.22,1465974
1715659200,16.31,16.595,16.11,16.49,1006785
1715745600,16.59,17.03,16.51,16.66,1161513
1715832000,16.6,16.82,16.35,16.4,1331641
1715918400,16.55,16.85,16.315,16.49,1107633
1716177600,16.5,16.97,16.401,16.92,816451
1716264000,16.91,16.95,16.43,16.53,658587
1716350400,16.5,16.55,16.05,16.14,1031919
1716436800,16.16,16.195,15.75,15.92,1210260
1716523200,16.01,16.07,15.8,15.87,601635
1716868800,15.99,16.6,15.97,16.57,989595
1716955200,16.31,16.31,15.82,15.88,839984
1717041600,16.02,16.6,15.99,16.11,1096467
1717128000,16.3,16.48,16.03,16.17,666538
1717387200,16.27,16.45,15.985,16.18,978672
1717473600,16.09,16.27,15.93,16.04,690754
1717560000,16.07,16.37,15.68,16.31,1009228
1717646400,16.2,16.26,15.76,15.76,672983
1717732800,15.68,16.095,15.59,15.62,789594
1717992000,15.27,15.64,14.86,15.63,1247724
1718078400,15.5,15.61,15.19,15.56,784211
1718164800,15.94,15.97,15.38,15.45,802543
1718251200,15.35,15.5,15.17,15.33,648358
1718337600,15.13,15.25,14.95,15.06,830609
1718596800,15,15.2,14.76,15,1089076
1718683200,15,15.05,14.775,14.97,852370
1718856000,14.88,15.26,14.755,15.18,1183866
1718942400,15.26,15.72,15.035,15.59,10298810
1719201600,15.64,15.93,15.38,15.39,811314
1719288000,15.42,15.4299,15.15,15.15,610397
1719374400,15.05,15.12,14.75,15.08,957111
1719460800,15.12,15.18,14.96,15.04,601718
1719547200,15.18,15.52,15.04,15.49,1920395
1719806400,15.52,15.97,15.49,15.77,837171
1719892800,15.73,15.83,15.61,15.8,773594
1719979200,15.88,15.92,15.3,15.31,389670
1720152000,15.36,15.38,14.97,15.19,603310
1720411200,15.34,15.66,15.32,15.45,598403
1720497600,15.37,15.62,15.185,15.61,646842
1720584000,15.71,15.74,15.26,15.46,502428
1720670400,15.77,16.43,15.64,16.31,965180
1720756800,16.5,16.91,16.38,16.58,869095
1721016000,16.7,17.01,16.5805,16.75,831467
1721102400,16.97,17.23,16.6783,16.99,964273
1721188800,16.81,17.235,16.75,16.9,853464
1721275200,16.95,17,16.62,16.72,653362
1721361600,16.8,17.02,16.6901,16.94,527322
1721620800,16.96,17.065,16.74,17,671383
1721707200,16.93,17.94,16.8901,17.56,1269343
1721793600,17.61,17.99,17.5,17.51,833455
1721880000,17.5,17.89,17.325,17.37,1101992
1721966400,17.61,17.86,17.38,17.59,645558
1722225600,17.78,17.99,17.28,17.48,664921
1722312000,17.65,17.68,17.11,17.17,649566
1722398400,17.35,17.71,16.9,17.24,782539
1722484800,17.27,17.47,16.83,16.93,659617
1722571200,16.432,16.53,16.07,16.47,753537
1722830400,15.63,15.98,15.34,15.49,1243663
1722916800,15.68,16.24,15.59,16.19,744668
1723003200,16.4,16.42,16.055,16.23,1015381
1723089600,17.5,18.83,17.23,18.3,2403709
1723176000,18.45,18.99,17.58,18.48,2888357
1723435200,18.83,19.33,18.39,19.3,1560138
1723521600,19.52,19.86,19.19,19.59,1511226
1723608000,19.58,19.72,19.155,19.24,1384637
1723694400,19.55,19.98,19.16,19.91,1726869
1723780800,19.86,20.2,19.66,19.87,959180
1724040000,19.9,20.305,19.66,19.99,1137113
1724126400,20.02,20.72,19.95,20.69,1313712
1724212800,20.81,20.81,19.79,20.47,1204629
1724299200,20.47,20.87,20.3202,20.74,789598
1724385600,20.74,20.755,20.215,20.32,956800
1724644800,20.43,20.68,20.25,20.55,877401
1724731200,20.57,20.6,20.1701,20.47,443118
1724817600,20.47,20.4758,20.05,20.38,679163
1724904000,20.5,20.5,19.92,19.98,810717
1724990400,20.02,20.28,19.9001,20.25,714697
1725336000,20.2,20.37,19.735,19.74,767443
1725422400,19.64,20.1299,19.43,19.91,904030
1725508800,19.99,20.02,19.6,19.82,712181
1725595200,19.88,19.96,19.26,19.6,736447
1725854400,19.53,19.9199,19.43,19.65,810697
1725940800,19.72,19.73,19.21,19.37,856457
1726027200,19.22,19.535,19,19.46,647689
1726113600,19.6,20.7,19.585,20.29,1210359
1726200000,20.33,20.54,20.0301,20.22,810800
1726459200,20.38,20.79,19.98,20.44,1351476
1726545600,20.62,20.79,20.33,20.44,804627
1726632000,20.44,20.79,20.1501,20.43,648632
1726718400,20.9,21.36,20.78,21.35,1152628
1726804800,21.43,21.665,20.73,20.79,4503863
1727064000,20.92,20.99,20.39,20.49,790772
1727150400,20.67,20.8,20.36,20.5,877790
1727236800,20.53,20.69,19.9272,20,883503
1727323200,20.12,20.14,19.72,19.95,684628
1727409600,20,20.015,19.53,19.56,799643
1727668800,19.46,19.91,19.35,19.88,996764
1727755200,19.81,20.26,19.5407,20.22,974533
1727841600,20.26,20.26,19.82,20,645995
1727928000,19.84,20.015,19.66,19.88,566900
1728014400,20.09,20.23,19.93,20,547968
1728273600,20,20,19.67,19.73,714349
1728360000,19.84,20.14,19.7,20.08,771410
1728446400,20.01,20.1017,19.82,19.97,690647
1728532800,19.86,19.9399,19.54,19.91,559935
1728619200,19.94,20.24,19.92,20.2,851910
1728878400,20.14,20.75,20.12,20.64,864126
1728964800,20.57,21.34,20.52,21.18,774763
1729051200,21.2,21.85,21.02,21.67,926626
1729137600,21.74,21.8,21.04,21.16,704968
1729224000,21.168,21.49,21.12,21.24,1162478
1729483200,21.35,21.3829,20.865,21.02,767013
1729569600,20.88,21.48,20.81,21.46,695769
1729656000,21.46,21.62,21.02,21.34,583243
1729742400,21.37,21.6199,21.11,21.41,526551
1729828800,21.5,21.93,21.415,21.46,550523
1730088000,21.76,22.2,21.67,21.86,670268
1730174400,21.77,22.2,21.56,21.77,642954
1730260800,21.72,21.91,21.49,21.56,564679
1730347200,21.42,21.95,21.2,21.8,855519
1730433600,21.77,22.27,21.68,21.89,999346
1730696400,21.82,21.96,21.3,21.75,747040
1730782800,21.57,22.05,21.41,21.96,872619
1730869200,22.77,23.12,22.6,22.71,1424640
1730955600,24.21,24.21,23.02,23.25,1939781
1731042000,23.5,24.27,23.37,23.93,1588863
1731301200,24.1,24.11,23.22,23.45,1930125
1731387600,23.45,23.73,22.99,23.04,1314898
1731474000,23.18,23.5,22.8,22.8,895311
1731560400,22.76,22.78,21.52,21.69,1226360
1731646800,21.51,21.63,20.44,20.6,1708561
1731906000,20.76,21.19,20.53,20.82,1124099
1731992400,20.81,21.39,20.76,21.39,923979
1732078800,21.52,21.63,21.05,21.15,949429
1732165200,21.21,21.21,20.87,21.12,807742
1732251600,21.18,21.55,21.05,21.48,863885
1732510800,21.5,21.61,21.17,21.19,865743
1732597200,21.35,22.02,21.13,21.93,1152825
1732683600,22,23.02,21.63,22.34,1315662
1732856400,22.5,22.625,21.9,22.07,554323
1733115600,22.1,22.59,21.94,22.53,1096661
1733202000,22.52,22.59,21.5,21.71,903581
1733288400,21.74,22.06,21.5585,21.96,878794
1733374800,21.74,21.9214,21.5,21.7,679535
1733461200,21.83,22.08,21.79,22.02,536075
1733720400,22.12,22.35,21.71,21.74,584742
1733806800,21.82,22.14,21.7,22.11,744177
1733893200,22.11,22.14,21.575,21.97,660752
1733979600,21.86,22.027,21.31,21.34,646101
1734066000,21.27,21.42,20.93,21.38,840120
1734325200,21.43,22.04,21.33,21.65,723170
1734411600,21.64,22.49,21.64,22.07,1641191
1734498000,22.08,22.665,21.17,21.35,1222703
1734584400,21.62,21.7497,21.105,21.46,666326
1734670800,21.27,21.41,21.01,21.27,1753345
1734930000,21.21,21.63,21.21,21.6,595252
1735016400,21.54,21.64,21.35,21.62,247349
1735189200,21.48,21.93,21.45,21.91,565475
1735275600,21.89,21.94,21.265,21.47,994634
1735534800,21.36,21.36,20.93,21.07,433072
1735621200,21.14,21.3,20.8163,20.87,595485
1735794000,21.08,21.74,21.01,21.52,862577
1735880400,21.55,21.59,21.25,21.31,564366
1736139600,21.25,21.3,20.03,20.19,1216085
1736226000,20.18,20.22,19.43,19.53,1754293
1736312400,19.57,24,19.15,22.8,3095377
1736485200,22.85,22.9755,21.34,21.92,2510325
1736744400,21.8,22.26,21.2347,22.21,1614413
1736830800,22.29,22.8936,21.84,22.19,1359858
1736917200,22.51,23.13,22.11,23.06,1496364
1737003600,23.07,23.26,22.15,22.66,1592052
1737090000,22.85,23.01,22.46,22.78,4930320
1737435600,22.99,23.1516,22.32,22.92,1170472
1737522000,22.92,23.13,22.645,22.87,753312
1737608400,22.64,22.7,21.97,22.51,1053754
1737694800,22.5,22.905,22.13,22.55,653567
1737954000,22.19,23.1386,22.07,22.7,1193548
1738040400,22.69,23.1,22.55,22.84,624200
1738126800,22.84,24.24,22.84,23.96,1132329
1738213200,24.16,24.64,23.155,23.19,996219
1738299600,23.25,23.4999,22.44,22.56,1052243
1738558800,22.29,23.4,21.69,22.62,1223956
1738645200,22.85,23.2,22.57,23.09,850541
1738731600,23.17,23.74,23.07,23.4,957739
1738818000,23.3,23.64,23,23.06,1241127
1738904400,23.08,23.22,22.82,22.9,592433
1739163600,23.02,23.2,22.7288,22.76,765450
1739250000,22.56,22.74,22.18,22.58,720012
1739336400,22.4,23.03,22.4,22.7,808648
