T,O,H,L,C,V
1713844800,17.48,17.84,17.28,17.59,1019628
1713931200,18,18.42,17.47,17.78,1180731
1714017600,17.64,18.19,17.42,18.17,2242715
1714104000,18.86,18.9,18.44,18.56,1475180
1714363200,18.61,18.725,18.17,18.46,960762
1714449600,18.29,18.7,17.78,17.87,1788247
1714536000,17.6,17.9354,17.14,17.25,1396562
1714622400,17.56,17.56,16.92,17.3,1699153
1714708800,17.73,17.82,17.16,17.18,2143817
1714968000,17.35,17.5,17.21,17.25,1500985
1715054400,17.14,17.41,16.91,17.21,2622108
1715140800,17.03,17.37,16.98,17.31,1746069
1715227200,17.3,17.74,17.18,17.34,2041249
1715313600,17.42,17.72,17.17,17.68,1825056
1715572800,17.68,17.85,17.29,17.76,1789860
1715659200,17.76,17.92,17.52,17.84,1046961
1715745600,18,18.98,17.73,18.91,1297991
1715832000,18.84,19.45,18.72,19.1,1844429
1715918400,19.29,19.41,18.88,18.89,1262671
1716177600,18.95,19.26,18.7379,19.09,1090046
1716264000,18.72,19.43,18.54,19.25,828872
1716350400,19.45,19.64,19.0501,19.48,1133608
1716436800,20.01,20.2,18.98,19.1,1483309
1716523200,19.31,20.15,19.13,19.97,2364751
1716868800,20.45,20.76,19.72,20.73,2915000
1716955200,20.24,20.885,20.085,20.22,4368202
1717041600,21.4,25.88,21.4,25.69,10833930
1717128000,25.31,26.2,24.82,26.07,5136517
1717387200,26.14,26.3,24.33,25.19,3521806
1717473600,25,25,23.94,24.68,2003949
1717560000,25.19,26.55,24.81,26.5,3144026
1717646400,26.58,26.58,25.65,25.84,1440666
1717732800,26.28,28,26.1,27.15,2930001
1717992000,27.83,29.885,27.49,28.57,3846541
1718078400,28.08,28.51,27.61,28.5,1886079
1718164800,29,29.6,28.8304,29.08,1860404
1718251200,29.02,29.53,28.675,28.94,1408261
1718337600,28.5,29.74,28.37,28.88,1364707
1718596800,28.95,29.065,28.2,28.58,1518038
1718683200,28.63,29.75,28.38,29.21,1443828
1718856000,29.2,29.56,27.73,28.37,1769929
1718942400,28.14,28.14,27.02,27.49,3524830
1719201600,27,27.78,27,27.29,1558631
1719288000,29.17,30,28.4814,29.57,1976393
1719374400,29.24,29.84,28.79,29.71,1537737
