T,O,H,L,C,V
1713844800,9.66,9.895,9.5,9.78,3050267
1713931200,9.71,10.215,9.65,10.15,4570776
1714017600,10.22,10.3,9.98,10.3,3150560
1714104000,10.22,10.3794,10.03,10.32,2376375
1714363200,10.34,10.48,10.285,10.39,2217113
1714449600,10.35,10.38,10.05,10.06,3536192
1714536000,9.95,9.99,9.72,9.77,4605880
1714622400,10.04,10.04,9.48,9.86,4602852
1714708800,9.98,10.1399,9.84,9.98,2377438
1714968000,10.19,10.555,10.14,10.32,2582054
1715054400,10.34,10.49,10.28,10.33,2780917
1715140800,10.26,10.3,10.08,10.13,1857404
1715227200,10.2,10.44,10.16,10.3,1976317
1715313600,10.35,10.42,10.14,10.15,2518226
1715572800,10.2,10.48,10.15,10.36,3322901
1715659200,10.49,10.955,10.47,10.73,4312588
1715745600,10.64,10.77,10.27,10.63,3647824
1715832000,10.67,10.86,10.645,10.65,2186564
1715918400,10.73,10.91,10.658,10.8,2370965
1716177600,10.8,11.43,10.8,11.35,3483524
1716264000,11.26,11.66,11,11,3728730
1716350400,10.93,11.1,10.69,11.09,2771708
1716436800,11.19,11.27,10.78,10.86,2758146
1716523200,10.89,10.97,10.755,10.81,2507174
1716868800,10.97,11.36,10.845,11.24,2693848
1716955200,11.12,11.25,11.0606,11.22,3278752
1717041600,11.24,11.83,11.24,11.58,2980407
1717128000,11.67,11.855,11.64,11.71,2986108
1717387200,11.89,11.97,11.4,11.73,3412829
1717473600,11.57,11.625,11.29,11.43,3347358
1717560000,11.46,11.84,11.44,11.74,2377302
1717646400,11.74,11.83,11.62,11.72,1632775
1717732800,11.6,11.77,11.53,11.7,2375954
1717992000,11.76,12.145,11.69,12.02,2641794
1718078400,11.85,12.22,11.8105,12.16,2086788
1718164800,12.3,12.39,11.825,11.91,2116010
1718251200,11.86,11.95,11.4001,11.45,2921056
1718337600,11.4,11.49,11.11,11.15,2372902
1718596800,11.1,11.16,10.74,10.95,3175272
1718683200,10.95,11.07,10.805,10.93,3109754
1718856000,10.86,11.01,10.73,10.75,3723896
1718942400,10.79,10.82,10.5,10.79,12752776
1719201600,10.87,11.54,10.87,11.42,3674257
1719288000,11.33,11.335,11.1,11.16,2113974
1719374400,11.1,11.2,10.64,10.68,4254967
1719460800,10.77,10.81,10.42,10.56,2094589
1719547200,10.71,10.75,10.275,10.38,2841228
1719806400,10.45,10.53,10.16,10.23,2223142
1719892800,10.34,10.59,10.23,10.56,1955710
1719979200,10.61,10.92,10.55,10.92,1508974
1720152000,10.85,10.97,10.425,10.48,1843148
1720411200,10.53,10.67,10.4,10.55,1927918
1720497600,10.5,10.56,10.34,10.4,1532498
1720584000,10.44,10.47,10.18,10.34,3005679
1720670400,10.45,10.635,10.235,10.6,3219322
1720756800,10.71,10.765,10.52,10.72,2152470
1721016000,10.77,10.8,10.36,10.43,4708834
1721102400,10.46,10.5,10.145,10.47,3511086
1721188800,10.5,10.69,10.07,10.13,3555070
1721275200,10.2,10.3,10.08,10.21,3699200
1721361600,10.12,10.245,10.07,10.23,2176508
1721620800,10.32,10.7,10.29,10.66,3000780
1721707200,10.55,10.65,10.31,10.61,2227197
1721793600,10.66,10.82,10.055,10.07,2961033
1721880000,10,10.36,9.9535,10.05,2663426
1721966400,10.13,10.46,10.02,10.4,3486822
1722225600,10.4,10.47,9.925,10.11,3981298
1722312000,10.05,10.27,10,10.21,2560763
1722398400,9.82,10.03,9.42,9.47,6756899
1722484800,9.49,9.54,8.99,9.07,4842440
1722571200,8.87,8.91,8.32,8.32,4100192
1722830400,8.01,8.325,7.74,8.14,5003742
1722916800,8.17,8.62,8.15,8.44,4922863
1723003200,8.65,8.895,8.64,8.77,4780925
1723089600,8.96,9.65,8.9,9.64,5039617
1723176000,9.64,9.94,9.56,9.75,4573137
1723435200,9.82,10.21,9.78,10.12,4697069
1723521600,10.18,10.25,10.01,10.22,4598134
1723608000,10.35,10.71,10.22,10.51,4282658
1723694400,10.24,10.695,10.2,10.53,5886149
1723780800,10.47,10.74,10.47,10.65,3174005
1724040000,10.7,11.1,10.68,10.98,3518186
1724126400,10.87,11.17,10.68,11.03,4194636
1724212800,11.16,11.31,10.93,10.98,3539736
1724299200,11.01,11.05,10.68,10.71,3450526
1724385600,10.89,11.44,10.89,11.43,4044305
1724644800,11.55,11.65,11.4311,11.5,2690331
1724731200,11.48,11.505,11.03,11.03,2214718
1724817600,11.03,11.165,9.97,10.2,4888734
