T,O,H,L,C,V
1713844800,55.93,58.675,55.56,56.41,1184035
1713931200,56.79,57.78,55.5,55.65,920424
1714017600,53.98,54.15,52.75,53.73,1248652
1714104000,54.21,54.935,52.814,53.91,1353533
1714363200,54.09,55.62,54,54.83,1472206
1714449600,53.9,54.435,52.73,52.99,1120069
1714536000,53.16,55.9699,52.74,53.81,1342856
1714622400,54.48,55.34,53.985,55.07,1004763
1714708800,56.7,58.45,55.57,55.89,1426901
1714968000,56.35,57.4237,55.8163,57.06,1453162
1715054400,57,57.1,55.27,55.53,1377180
1715140800,54,54.5,52.62,53.29,1552923
1715227200,52.11,54.18,51.58,53.55,1701154
1715313600,54.09,54.89,51.02,51.17,1633771
1715572800,51.98,57.96,51.95,55.65,2495645
1715659200,56.84,59.1774,55.4,55.71,1785068
1715745600,57.93,58.75,56.39,56.96,1485599
1715832000,57.01,58.17,55.34,55.67,1037806
1715918400,55.98,56.37,54.64,56.22,1083032
1716177600,56.08,56.29,55.25,55.47,932030
1716264000,55,55.77,54.3,54.76,1118081
1716350400,54.69,58.645,54.27,56.8,1238759
1716436800,56.8,56.8,54.32,55.73,1361627
1716523200,55.9,56.29,55.03,55.24,623806
1716868800,55.86,56.4999,54.18,54.84,852502
1716955200,53.66,54.31,52.52,53.85,1121012
1717041600,54.26,54.87,53.4612,54.06,761338
1717128000,54.26,54.735,53.38,53.74,1119168
1717387200,54.82,58.22,54.52,57.15,1457688
1717473600,56.86,59.62,56.5389,58.275,1294169
1717560000,58.5,60,56.6,59.72,1150597
1717646400,59.6,60.259,58.62,59.96,965743
1717732800,58.98,60.0756,57.765,57.87,1137788
1717992000,57,60.08,56.8,59.99,1102540
1718078400,59.57,63.42,58.28,62.31,1965382
1718164800,64.2,67.87,63.61,64.83,2682466
1718251200,66,67.88,64.901,65.26,1769842
1718337600,64.78,65.3871,63.49,63.56,1078430
1718596800,62.85,62.8899,61.14,61.785,1236352
1718683200,62.03,62.1683,60.4101,60.57,903403
1718856000,60.05,60.19,58.05,59.6,1262558
1718942400,59.34,60.46,55.08,56.24,4019953
1719201600,56.27,58.31,56.11,57.94,1097053
1719288000,57.71,57.97,55.68,55.95,873115
1719374400,55.47,56.8,55.01,56.63,1043332
1719460800,56.66,57.98,55.31,55.38,1236984
1719547200,55.53,55.6916,53.33,54.01,1313469
1719806400,54.02,55.67,53.3105,53.95,1292722
1719892800,53.98,53.98,52.52,53.115,1058986
1719979200,53.6,54.74,53.14,53.9,679450
1720152000,53.69,53.69,52.31,53.1,1068991
1720411200,53.66,54.8286,53.17,53.23,1051596
1720497600,53.25,55.15,52.83,55.03,904889
1720584000,55.52,55.94,54.09,55.56,911038
1720670400,57.38,60.2,56.57,56.81,1976409
1720756800,57.38,58.84,56.635,57.9,1388805
1721016000,57.95,58.46,56.5,57.46,1018361
1721102400,57.72,63.68,57.4201,62.75,3079410
1721188800,61.14,63.3899,60.26,60.48,1588371
1721275200,60.84,61.47,55.82,56.21,1957678
1721361600,56.08,56.21,54.01,54.56,1391661
1721620800,55.2,56.39,54.06,56.24,1209593
1721707200,56.08,58.49,55.93,57.19,962190
1721793600,56.19,57.2,55.26,55.39,1051441
1721880000,55.38,58.76,55.31,57.57,1086040
1721966400,58.49,59.77,57.35,57.92,867106
1722225600,57.95,59.07,56.5001,58.5,800192
1722312000,57.92,58.04,55.83,56.41,1288267
1722398400,56.73,59.4999,56.02,57.29,1030905
1722484800,57.39,57.68,54.62,54.85,1363726
1722571200,53,53.15,49.73,51.11,2557314
1722830400,44.95,50.1799,44.8033,49.66,2535226
1722916800,50.21,51.11,48,49.33,1578700
1723003200,50.46,50.46,46.9,47.27,1599809
1723089600,47.55,48.46,46.65,47.86,1230559
1723176000,48.26,49.19,46.57,47.01,998709
1723435200,47.04,47.6457,46.0522,46.91,985254
1723521600,47.1,48.5,46.57,48.22,940032
1723608000,48.5,48.5,45.61,46.41,1789036
1723694400,47.77,48.94,47.23,48.85,1391221
1723780800,48.35,48.68,47.33,47.85,1062445
1724040000,47.85,49.88,47.4,49.83,949631
1724126400,49.75,50.727,48.92,49.07,959425
1724212800,49.38,50.22,49,49.99,1110502
1724299200,50.05,50.1,47.34,47.5,1118089
1724385600,47.99,49.24,47.1701,48.69,851675
1724644800,49.15,49.6199,48.31,49.17,706156
1724731200,48.6,48.79,47.57,48.24,772066
1724817600,48,48.435,46.86,47.48,706904
1724904000,47.8,48.71,47.45,47.55,677020
1724990400,47.72,48.1818,46.995,47.72,775711
1725336000,47.37,48.27,45.19,45.52,1119749
1725422400,45.39,46.14,44.71,45.03,817771
1725508800,45.17,45.73,44.04,45.25,924587
1725595200,45.25,45.6,43.42,44.62,1143930
1725854400,44.71,45.57,44.38,44.87,761527
1725940800,45,45.805,44.14,45.59,713628
1726027200,45.23,45.5,44.21,45.44,700803
1726113600,45.36,46.3599,44.4296,45.89,733556
1726200000,46.5,48.99,46.45,48.94,1386015
1726459200,48.97,49.09,47.045,47.74,978568
1726545600,48.26,50.61,48.07,49.87,1908425
1726632000,50,51.99,49.18,49.59,1686332
1726718400,51.3,51.39,49.4,49.49,1036896
1726804800,49.4,49.4,47.8256,48.18,1775423
1727064000,48.54,48.56,46.73,46.74,955256
1727150400,46.96,47.4,46.45,46.79,809503
1727236800,46.72,47.36,45.87,45.92,970988
1727323200,46.93,47.2999,45.83,46.49,855116
1727409600,47.04,47.63,46.7,47.32,869891
1727668800,46.94,47.69,46.44,46.98,926907
1727755200,47,47.005,45.015,45.58,1258756
1727841600,45.25,45.99,44.83,45.71,927441
1727928000,45.24,45.5731,44.625,44.9,1204446
