T,O,H,L,C,V
1713844800,84.51,85.48,84.01,84.25,386363
1713931200,85.48,87.185,85.395,86.29,429495
1714017600,86.08,88.26,86.08,87.31,230016
1714104000,87.22,89.1,87.22,88.53,203839
1714363200,88.53,90.94,88.53,90.3,251418
1714449600,89.52,90.52,88.5,88.57,315763
1714536000,86.63,87.7,83.92,84,534125
1714622400,85.12,86.84,84.56,85.91,389027
1714708800,87.67,88.88,86.6717,88.48,325867
1714968000,89.01,90.03,88.57,90.02,519914
1715054400,90.96,92.485,90.29,91.13,809815
1715140800,102.885,103.3,97.7727,102.24,1551671
1715227200,102.65,104.16,101.4,103.78,702191
1715313600,104.07,107.01,103.31,106.13,676647
1715572800,106.14,108.25,105.53,107.78,597067
1715659200,108.18,111.74,107.705,110.67,801044
1715745600,111.62,112.67,109.89,112.4,574222
1715832000,110.34,112.665,110.34,112.22,427185
1715918400,109.94,111.43,108.68,110.02,478130
1716177600,110.38,113.83,110.38,112.99,431950
1716264000,111.52,114.2,110.59,113.72,413400
1716350400,114.21,115.18,113.451,114.62,439237
1716436800,115.7,115.7,113.21,114.06,414867
1716523200,115.33,116.14,114.15,114.46,409422
1716868800,114.98,117.12,114.12,116.69,551125
1716955200,114.83,116.51,113.51,115.14,472461
1717041600,115.02,115.47,113.6567,114.76,353533
1717128000,114.59,115.55,112.41,114.7,475734
1717387200,115.23,115.91,114.142,114.61,399746
1717473600,114.08,114.7499,113.44,114.15,288089
1717560000,115.6,117.635,114.69,117,480789
1717646400,117.03,120.295,116.86,118.87,587587
1717732800,118.29,119.7,117.185,117.52,297794
1717992000,116.13,119.76,115.6049,119.52,425477
1718078400,119.58,119.98,118.89,119.73,358018
1718164800,120.91,124.86,120.3797,123.74,493049
1718251200,124.01,125.19,123.12,124.04,392951
1718337600,122.45,123.16,121.615,122.56,225042
1718596800,122.69,125.64,122.34,125.51,386647
1718683200,125.9,128.64,125.9,127.15,637019
1718856000,126.98,128.11,123.74,124.85,526892
1718942400,123.71,126.925,122.6632,125.96,1938885
1719201600,124.31,125.34,122.98,123.1,544927
1719288000,123.77,126.68,122.87,126.6,398664
1719374400,125.9,127.8599,125.385,126.86,517367
1719460800,126.8,127.315,125.03,126.81,397049
1719547200,127.86,130.04,126.33,127.66,666308
1719806400,127.83,128.065,125.81,127.29,407297
1719892800,127.14,130.29,127.14,129.77,354234
1719979200,129.86,130.18,128.295,128.57,294986
1720152000,128.82,129.75,127.91,129.3,413656
1720411200,130.41,131.22,129.4,130.43,322672
1720497600,131.49,138.65,131.395,135.46,736827
1720584000,136.35,136.95,134.695,136.6,799409
1720670400,137.57,137.75,134.11,135.22,332248
1720756800,136.29,139,134.895,136.96,298338
1721016000,137.86,141.94,137.37,139.81,451533
1721102400,140.83,142.83,140.18,142.65,426286
1721188800,140.12,140.65,138.06,138.75,570137
1721275200,140.88,140.88,135.2,138.81,598813
1721361600,138.34,138.82,134.0062,134.87,448823
1721620800,137.93,138.64,135.175,138.39,439675
1721707200,137.09,138.9,136.65,137.71,299365
1721793600,135.91,136.34,129.53,129.95,482760
1721880000,129.27,130,125.745,126.81,638578
1721966400,129.38,131.25,127.95,129.24,405489
1722225600,130.58,132.67,129.6901,130.96,398593
1722312000,131.73,132.47,128.134,129.2,615033
1722398400,132.78,132.78,128.2701,130.48,535456
1722484800,129.25,130.82,119.41,121.13,690222
1722571200,117.57,118.41,113.79,114.73,536964
1722830400,108.99,116.095,107.62,112.86,660601
1722916800,113.58,116.79,112.55,115.31,634570
1723003200,130.15,131.99,121,124,1189339
1723089600,126.81,132.51,124.82,131.57,729792
1723176000,131.46,134.68,130.4801,132.85,609030
1723435200,132.79,135,131.485,132.06,427975
1723521600,134.21,138.07,133.5514,137.66,430959
1723608000,137.73,138.01,134.49,137.08,407297
1723694400,139.96,142.75,139.13,141.76,420475
1723780800,139.94,141.83,139.07,141.43,302091
1724040000,141.02,141.73,138.8227,140.49,374044
1724126400,139.93,141.38,139.41,139.69,304899
1724212800,141.44,144.83,141.1,142.72,685513
1724299200,142.62,143.1,139.19,139.83,337026
1724385600,141.15,145.1,140.39,144.52,640025
1724644800,144.52,144.7685,140.765,141.73,327660
1724731200,140.32,144.27,139.53,143.35,352844
1724817600,143,143.95,140.05,141.51,307484
1724904000,142.14,147.46,142.085,144.33,454859
1724990400,146.6,147.08,142.16,145.69,546957
1725336000,143.17,143.345,136.5,137.47,773805
1725422400,136.32,141.16,136.32,138.54,396581
1725508800,137.34,139.9,135.74,138.21,372152
1725595200,138.21,138.21,131.3801,132.32,411644
1725854400,134.15,135.46,133.08,134.61,412427
1725940800,134.41,134.76,128.4503,130.94,541355
1726027200,132.37,137.22,131.422,136.63,407547
1726113600,136.29,137.73,133.43,134,451600
1726200000,135.47,135.47,131.75,133.17,579543
1726459200,129,129.94,119.21,125.22,972898
1726545600,125.23,125.97,122.8201,123.8,778227
1726632000,124.33,125.98,122.27,122.84,478408
1726718400,126.34,127.17,124.56,125.12,633158
1726804800,124.11,124.175,121.32,123.11,1606431
1727064000,123.91,126.49,123.3603,124.33,373208
1727150400,125.83,126.5,122.42,122.73,547418
1727236800,121.09,122.42,118.73,119.79,803627
1727323200,124.14,124.14,119.79,121.91,898751
1727409600,122.65,122.91,120.49,121.6,566328
1727668800,121.77,124.37,121.6,124.21,764218
1727755200,122.06,123.4,118.2,119.02,648070
1727841600,120.17,122.6,119.2601,121.03,430356
1727928000,120.355,121.63,118.39,118.87,559643
1728014400,121.79,122.09,118.7,119.61,338046
1728273600,118.72,119.38,116.89,117.38,434285
1728360000,117.8,118.97,115.96,118.54,410647
1728446400,118.73,121.48,117.5,121.21,472978
1728532800,117.57,119.8,116.39,119.69,798061
1728619200,118.41,119.9325,117.59,119.71,294235
1728878400,120.65,124.78,120.65,123.31,561983
1728964800,123.46,126.04,121.63,124.01,922845
1729051200,125.6,125.6,122.2,122.53,588031
1729137600,124.91,124.91,122.58,122.87,440990
1729224000,124.71,124.98,122.37,124.83,459225
1729483200,124.36,125.5173,123.26,125.28,484740
1729569600,124.23,124.31,122.19,124.07,452018
1729656000,123.95,124.95,116.34,119.1,1101310
1729742400,120.25,121.458,119.61,120.7,448844
1729828800,121.52,123.95,121.36,122.22,369600
1730088000,122.3,125.85,122.1,123.05,436050
1730174400,121.8,123.7,120.74,121.2,626662
1730260800,117.65,120.24,112.61,114.22,1165509
1730347200,113.81,113.81,109.21,109.82,925386
1730433600,110.89,112.24,109.55,110.3,695986
1730696400,109.41,113.77,109,110.63,1171746
1730782800,100.49,109.35,100,102.79,1948491
1730869200,105.31,106,102.28,104.11,1085050
1730955600,105.82,105.82,103.105,103.55,756424
1731042000,103.07,104.01,102.33,103.71,624917
1731301200,103.58,104.87,102.2,104.71,868704
1731387600,104.74,106.41,104.04,104.67,780070
1731474000,103.42,104.48,100.38,100.39,1092443
1731560400,101.51,102.59,100.96,101.5,775872
1731646800,100.16,102.16,99.7,100.67,796859
1731906000,100.67,101.74,100.36,101.06,775911
1731992400,100.65,101.9,100.39,100.58,554373
1732078800,100.11,100.345,98.56,100.215,696213
1732165200,101.17,102.98,100.38,102.55,467359
1732251600,102.24,104.97,102.03,104.82,568635
1732510800,105.63,109.85,104.87,108.82,894410
1732597200,109.61,110,107,107.41,502184
1732683600,107.41,107.8,104.0636,105.52,407526
1732856400,106.44,106.86,104.37,104.45,373956
1733115600,104.56,108.82,104.44,107.84,679856
1733202000,106.59,107.09,105.1,105.6,852779
1733288400,106.76,106.76,103.11,103.7,700437
1733374800,104.69,107.265,103.67,103.96,736298
1733461200,104.33,105.97,103.84,104.44,532554
1733720400,104.5,107.44,103.72,105.31,428713
1733806800,105.34,106.24,104.12,105.66,553955
1733893200,106.34,108.5,105.88,106.66,619013
1733979600,106.49,107.68,104.74,106.44,505769
1734066000,107.35,107.89,105.05,106.71,567041
1734325200,106.74,107.29,105.28,105.63,545708
1734411600,105.44,105.54,103.12,103.31,704074
1734498000,104.21,104.9526,99.2,100.62,554470
1734584400,101.2,101.77,99.22,100.16,670993
1734670800,100.09,101.8531,99.07,100.56,2122112
1734930000,100.89,103.11,100.89,102.62,521898
1735016400,102.81,103.06,101.42,102.47,241276
1735189200,101.95,104.2351,101.635,103.48,469796
1735275600,103.24,103.245,101.13,101.87,276666
1735534800,100.51,101.1,99.02,100.19,418558
1735621200,100.43,100.87,99.015,99.58,458361
1735794000,100,101.73,98.87,99.41,541777
1735880400,99.54,100.94,98.29,100.79,753048
1736139600,101.74,104.49,101.74,102.48,696579
1736226000,103.9,105.84,103.16,105.2,808503
1736312400,104.38,105.28,101.35,105.2,635831
1736485200,103.62,104.57,99.6575,101.14,655989
1736744400,100.29,100.9575,98.8,99.93,652014
1736830800,101.47,102.11,99.865,101.34,537907
1736917200,103.15,104.2332,101.82,101.91,444558
1737003600,102.5,102.61,100.78,100.85,402995
1737090000,102.78,103.065,100,101,667540
