T,O,H,L,C,V
1713844800,69.82,70.21,68.375,68.5,8450704
1713931200,68.1,68.21,67.48,67.77,8651960
1714017600,67.5,67.75,66.875,67.33,8918219
1714104000,67.21,67.42,66.75,67.18,6396438
1714363200,67.14,67.875,67.08,67.45,6556349
1714449600,67.2,68.185,66.92,67.71,13452066
1714536000,56,56.885,54,56.31,65769862
1714622400,56.39,56.74,53.7,55.15,37885245
1714708800,55.22,56.43,54.96,55.9,23946075
1714968000,55.99,56.27,55.32,55.97,16620136
1715054400,55.66,57.09,55.58,55.74,17488119
1715140800,55.79,56.06,54.685,54.91,13625329
1715227200,54.9,55.74,54.72,55.68,10292441
1715313600,55.72,56.44,55.57,55.82,9288418
1715572800,55.91,57.55,55.88,56.47,11767627
1715659200,56.69,57.1024,55.2,56,15410680
1715745600,56.21,56.4928,55.635,56.26,16430970
1715832000,56.36,57.725,56.29,57.52,13974759
1715918400,57.65,57.695,57.08,57.68,9607690
1716177600,57.65,57.87,57.27,57.4,11475943
1716264000,57.45,57.49,56.7,57.32,16758056
1716350400,57.42,57.56,57.16,57.44,9543931
1716436800,57.18,59.73,55.48,55.65,18271083
1716523200,56.13,56.85,55.53,55.54,11725739
1716868800,55.38,55.385,53.58,53.63,14387106
1716955200,53.2,53.72,52.7705,53.67,16543442
1717041600,53.67,56.22,53.6,56.04,16154336
1717128000,56,59.62,55.82,59.6,22366748
1717387200,59.13,60.44,59.0025,60.21,17087324
1717473600,60.19,60.42,59.33,60.26,12873084
1717560000,60.26,60.71,59.62,60.7,8910239
1717646400,60.5,61.0095,59.91,60.94,9545860
1717732800,60.7,61.95,60.56,61.78,12239983
1717992000,61.53,61.53,59.905,60.28,10633370
1718078400,60.08,60.21,59.555,60,10286321
1718164800,59.96,60.33,59.32,59.99,10617899
1718251200,59.87,61.84,59.07,61.03,14136576
1718337600,60.92,60.93,59.16,60.22,11690758
1718596800,60,61.235,59.84,61.09,7791324
1718683200,61.3,61.87,60.87,61.01,8908978
1718856000,60.81,61.33,60.4,61,6899505
1718942400,61.12,61.63,60.48,61.37,20871253
1719201600,61.5,62.065,61.27,61.73,8704665
1719288000,61.73,61.98,60.44,60.44,8446888
1719374400,60.23,60.95,59.77,60.63,8197761
1719460800,58.37,58.485,57.22,58.36,16224729
1719547200,59,59.985,58.47,59.06,14343538
1719806400,59.2,60.02,57.81,58.15,8337910
1719892800,58.04,58.22,57.2292,57.52,7143034
1719979200,57.56,57.85,56.45,56.7,5371350
1720152000,56.67,56.74,55.85,56.62,6275293
1720411200,56.65,57.38,56.615,56.89,5908211
1720497600,56.27,57.725,55.84,57.62,8833790
1720584000,57.87,58.05,56.36,57.53,11035018
1720670400,57.42,58.34,57.42,58.21,7531390
1720756800,58.3,59.57,57.8507,59,8220232
1721016000,59.64,59.97,58.415,58.67,6186530
1721102400,59.32,60.23,58.81,60.06,9724216
1721188800,59.87,62.01,59.76,61.6,12382503
1721275200,61,61.99,59.765,59.91,6968921
1721361600,60.28,60.46,59.13,59.57,7143914
1721620800,58.88,59.06,58.08,58.33,7913647
1721707200,58.17,58.21,57.32,57.97,7460520
1721793600,58.08,58.63,57.43,58.54,10223211
1721880000,58.87,60.04,58.27,58.65,8178244
1721966400,59.02,61.1,58.91,61,14553173
1722225600,60.69,62.04,60.27,61.57,9237813
1722312000,61.67,63.92,61.67,63.18,10469408
1722398400,60.84,62.1,60.13,60.33,12826552
1722484800,60.88,61.55,59.45,60.03,9214930
1722571200,60.24,60.64,58.19,59.32,8695521
1722830400,58,58.76,57.07,57.81,9479794
1722916800,57.69,58.96,57.33,58.34,11471861
1723003200,58,58.6098,56.27,56.47,14975963
1723089600,56.3,58.1,56.21,57.85,11683608
1723176000,57.8,57.85,56.65,57.11,8345205
1723435200,57.21,57.22,55.6,55.81,8390242
1723521600,55.9,56.49,55.745,55.82,7839264
1723608000,55.88,56.4223,55.75,55.99,5873232
1723694400,56.39,57.57,56.29,57.56,10041033
1723780800,57.36,58.54,57.3,58.35,7442666
1724040000,58.41,59.14,58.38,58.8,7469140
1724126400,58.7,59.2499,58.5147,58.9,4178664
1724212800,58.99,59.24,58.08,58.32,4730369
1724299200,58.46,58.46,57.165,57.74,7883056
1724385600,58.06,58.85,57.765,58.75,9614381
1724644800,58.7,59.79,58.57,58.7,6892582
1724731200,58.62,58.74,57.43,57.46,6180854
1724817600,57.5,57.93,56.77,57.24,7963588
1724904000,57.35,57.4838,56.5,56.97,9180970
1724990400,56.96,57.42,56.85,57.24,8188057
1725336000,57.2,58.5,57.11,57.38,11601613
1725422400,57.39,59.86,57.26,59.3,14231267
1725508800,59.5,59.6296,57.4,58.07,7022197
1725595200,58.14,59.12,57.65,57.75,6263025
1725854400,57.95,58.14,55.51,56.47,9140105
1725940800,56.58,57.07,55.73,56.94,5113498
1726027200,56.35,56.35,54.81,56.11,9768354
1726113600,56.34,57.74,55.88,57.53,7140186
1726200000,57.56,58.27,57.1,57.98,7429524
1726459200,58.32,58.64,57.88,58.37,5169872
1726545600,58.37,58.75,57.56,57.83,6171148
1726632000,57.88,59.19,57.7463,58.42,5104313
1726718400,58.7,59.1,58.12,58.4,4885434
1726804800,58,58.08,57.13,57.51,10225566
1727064000,57.57,58.1,57.3201,57.57,9407147
1727150400,57.64,58.23,57.32,58.08,7813642
1727236800,58.82,59.33,58.32,58.64,11270733
1727323200,58.74,59.08,58.35,59.01,8357246
1727409600,59.45,61.86,59.29,61.38,12510217
1727668800,63.105,63.6,62.22,62.88,16059750
1727755200,63,63.18,60.76,61.54,16285914
1727841600,63.01,63.96,61.8898,62.24,22297771
1727928000,61.95,63.22,61.46,62.92,10141644
1728014400,63.72,65.57,63.6643,64.59,16013877
1728273600,64.27,65.7,64.0905,65.25,11720108
1728360000,65.3,66.1,64.95,65.9,10476557
1728446400,65.9,66.02,64.91,65.97,8604812
1728532800,67.38,67.67,66.65,66.85,12759810
1728619200,67.1,67.7,66.28,66.63,12908846
1728878400,66.77,67.795,66.52,67.46,13436322
1728964800,64.47,66.09,63.6,65,17216591
1729051200,65.24,65.83,64.9,65.02,10734041
1729137600,63.41,63.92,62.5,63.67,9744265
1729224000,59.54,60.4599,57.47,60.34,42212233
1729483200,59.75,60.28,57.87,58.17,13579739
1729569600,57.85,57.93,56.6824,56.85,14553594
