T,O,H,L,C,V
1713844800,9.5,9.83,9.47,9.63,1709091
1713931200,9.56,9.655,9.44,9.63,1306713
1714017600,9.47,9.6,9.42,9.57,1206546
1714104000,9.62,9.86,9.54,9.72,1285278
1714363200,9.79,9.945,9.745,9.91,2142244
1714449600,9.62,10.085,9.552,9.65,2942098
1714536000,9.72,9.905,9.52,9.61,1981478
1714622400,9.81,9.95,9.615,9.91,1921628
1714708800,10.15,10.26,9.98,10.02,1304742
1714968000,10.18,10.27,10.02,10.12,1725326
1715054400,10.2,10.37,10.165,10.2,1786460
1715140800,10.03,10.23,10,10.18,1213646
1715227200,10.24,10.48,10.2,10.44,1789116
1715313600,10.44,10.55,10.34,10.55,1071881
1715572800,10.66,10.68,10.44,10.57,1945184
1715659200,10.81,11.05,10.72,10.88,1922909
1715745600,11.14,11.46,11.095,11.38,3576930
1715832000,11.4,11.66,11.35,11.65,2337966
1715918400,11.68,11.81,11.57,11.72,1841810
1716177600,11.32,11.83,11.3,11.45,11536559
1716264000,11.38,11.495,10.89,10.96,6718637
1716350400,11,11.12,10.67,10.72,3813151
1716436800,10.75,10.75,10.28,10.4,3274118
1716523200,10.44,11,10.42,10.79,10461299
1716868800,10.95,10.97,10.61,10.61,5719906
1716955200,10.36,10.78,10.34,10.77,3614115
1717041600,10.82,10.945,10.745,10.92,1711018
1717128000,10.99,11.13,10.93,11.11,5175259
1717387200,11.27,11.32,10.745,10.76,2645425
1717473600,10.71,10.835,10.38,10.47,2007769
1717560000,10.55,10.665,10.44,10.46,2764909
1717646400,10.43,10.54,10.21,10.25,1503464
1717732800,10.06,10.37,9.97,10.27,1972025
1717992000,10.09,10.365,10.07,10.28,1439952
1718078400,10.15,10.34,10.14,10.26,1456024
1718164800,10.72,10.905,10.55,10.63,3035350
1718251200,10.58,10.61,10.415,10.57,1673928
1718337600,10.42,10.49,10.29,10.46,1869049
1718596800,10.37,10.47,10.21,10.43,1415331
1718683200,10.46,10.61,10.41,10.48,1320577
1718856000,10.46,10.745,10.42,10.69,1903531
1718942400,10.69,10.89,10.615,10.87,3490408
1719201600,10.89,10.935,10.54,10.56,1340496
1719288000,10.5,10.55,10.21,10.33,1399121
1719374400,10.23,10.31,10.115,10.25,1813121
1719460800,10.31,10.39,10.16,10.36,2123426
1719547200,10.51,10.59,10.37,10.4,6817501
1719806400,10.4,10.44,9.92,10.08,1880613
1719892800,10.02,10.21,10,10.18,1153282
1719979200,10.28,10.535,10.175,10.47,668881
1720152000,10.41,10.53,10.27,10.41,1263930
1720411200,10.5,10.84,10.465,10.83,2009972
1720497600,10.77,11.065,10.675,10.91,1625645
1720584000,10.98,11.11,10.81,11.1,1381243
1720670400,11.53,11.82,11.48,11.8,2435798
1720756800,11.89,12.16,11.86,11.99,2241367
1721016000,12.08,12.3,11.97,12.06,2319523
1721102400,12.27,12.77,12.27,12.68,2984854
1721188800,12.52,12.795,12.29,12.67,2572129
