T,O,H,L,C,V
1713844800,45.59,46.74,45.49,46.23,584345
1713931200,45.78,46.96,45.59,46.57,1956457
1714017600,47.42,48.33,45.71,48.05,576718
1714104000,48.19,48.365,47.45,47.93,401414
1714363200,48.19,48.465,47.82,48.42,402812
1714449600,48.04,49.29,47.82,49.12,559548
1714536000,49.27,50.36,49.18,49.83,206542
1714622400,50.05,50.49,49.6857,50.45,232363
1714708800,50.82,50.86,49.95,50.57,259304
1714968000,50.85,50.9382,50.3,50.74,231904
1715054400,50.94,51.26,50.65,51.23,285267
1715140800,51.02,51.475,50.71,51.34,290662
1715227200,51.5,52.73,50.94,52.68,331053
1715313600,52.78,53.16,52.16,53.15,195781
1715572800,53.27,53.7883,52.5,52.62,1288435
1715659200,53.21,53.82,52.66,52.92,352581
1715745600,53.5,53.5,52.52,52.79,381206
1715832000,52.76,53.32,52.625,53.25,262317
1715918400,53.37,53.49,52.94,53.29,277806
1716177600,53.27,53.5,52.38,52.76,251329
1716264000,52.71,53.33,52.2976,53.3,295559
1716350400,53.66,53.77,52.44,52.52,381002
1716436800,52.43,52.59,50.86,51.11,292527
1716523200,51.24,51.38,50.24,50.29,272854
1716868800,50.13,50.48,48.765,48.98,390770
1716955200,48.65,48.71,48.01,48.03,257763
1717041600,48.43,48.92,48.32,48.63,428256
1717128000,48.82,50.34,48.82,49.89,448737
1717387200,50.07,50.32,49.43,49.55,318357
1717473600,49.58,50.08,49.31,49.97,516594
1717560000,49.98,50.09,49.6,49.62,161588
1717646400,49.24,49.745,49.1,49.22,163069
1717732800,48.7,48.855,47.555,47.59,235548
1717992000,47.16,47.16,46.22,46.94,440519
1718078400,46.53,48.02,46.29,47.99,514225
1718164800,49.12,49.58,47.76,47.77,278183
1718251200,47.66,48.16,47.22,47.96,239147
1718337600,47.42,47.9548,47.3,47.58,167190
1718596800,47.25,47.85,46.88,47.33,195517
1718683200,47.16,48.27,47.16,47.92,210635
1718856000,47.68,48.31,47.68,48.09,187826
1718942400,48.29,48.6,47.7501,48.03,720671
1719201600,48.19,49.455,48.07,49.1,175401
1719288000,49.13,49.13,48.07,48.15,311404
1719374400,47.69,48.13,47.3,47.94,275711
1719460800,48.25,48.52,48,48.34,216640
1719547200,48.76,48.76,48.1,48.49,618709
1719806400,48.57,49,47.81,48.37,244360
1719892800,48.41,48.92,48.31,48.32,168880
1719979200,48.5,48.5,47.6,47.83,91331
1720152000,47.72,48.99,47.61,48.96,185861
1720411200,49.19,49.42,48.32,48.36,230822
1720497600,48.19,48.9,47.9,48.61,147350
1720584000,48.8,49.64,48.3729,49.46,169045
1720670400,50.07,51.58,50.07,51.04,239715
1720756800,51.3,52.3,51.275,52.08,279025
1721016000,52.09,52.37,51.48,51.65,401848
1721102400,52.28,53.02,52.17,52.65,553438
1721188800,52.73,53.94,52.68,52.85,503654
1721275200,52.39,53.11,51.93,52.16,289048
1721361600,52.15,52.24,51.4,51.78,368451
1721620800,51.9,51.98,51.09,51.73,308053
1721707200,51.52,52.305,51.47,51.64,349572
1721793600,51.8,52.92,51.23,52.32,265759
1721880000,52.66,53.77,52.61,52.85,286656
1721966400,53.33,53.33,52.38,52.92,204197
1722225600,53.01,53.46,52.16,52.51,243347
1722312000,52.76,53.5,52.42,53.32,188499
1722398400,54,54.27,53.35,53.46,607740
1722484800,54.06,54.6,52.56,53.88,689053
1722571200,53.56,55.15,53.56,55.14,299899
1722830400,54.29,54.31,52.47,53.05,321195
1722916800,53.05,54,52.77,52.99,390815
1723003200,53.05,53.88,52.86,53.68,215655
1723089600,53.48,53.93,53.12,53.27,258678
1723176000,53.36,53.36,52.12,52.83,232932
1723435200,52.47,52.535,51.61,52.33,221133
1723521600,52.67,53.04,52.3,52.7,270718
1723608000,52.6,53.385,52.29,53.19,281273
1723694400,53.78,54.07,53.495,53.74,238459
1723780800,53.85,54.35,53.6,54.3,727630
1724040000,54.34,54.95,54.04,54.86,233151
1724126400,54.77,54.885,54.29,54.54,193059
1724212800,54.72,54.72,54.185,54.29,153954
1724299200,54.17,54.44,53.88,54.1,205262
1724385600,54.39,54.7,53.06,53.59,456907
1724644800,53.97,54.07,53.61,53.82,276439
1724731200,53.69,54.1,53.37,53.72,158448
1724817600,53.76,54.9581,53.492,54.72,272669
1724904000,54.82,55.2157,54.25,55.08,248680
1724990400,55.25,55.48,54.81,55.33,207905
1725336000,55.05,55.29,54.75,55.01,201927
1725422400,55.09,55.345,54.865,55.06,168624
1725508800,55.52,55.52,54.93,54.98,137312
1725595200,55.12,55.14,54.23,54.28,150746
1725854400,54.02,54.435,53.45,54.35,262775
1725940800,54.39,55.15,54.16,55.02,237636
