T,O,H,L,C,V
1713844800,66.72,68.76,65.53,65.57,1284335
1713931200,65.89,67.45,65.68,66.82,807781
1714017600,64.81,65.42,63.9,64.8,1112287
1714104000,65,66.12,64.5,65.34,738059
1714363200,64.95,65,62.2,62.53,1286291
1714449600,61.74,62.28,60.86,61.32,2530099
1714536000,61.41,64.3,61.37,63.37,1217153
1714622400,64.33,64.69,63.57,64.34,576678
1714708800,66.08,66.605,65,65.27,900208
1714968000,65.68,66.395,63.41,65.05,607007
1715054400,65.74,66.52,64.53,65.28,849388
1715140800,65,66.25,64.52,65.27,1174612
1715227200,68.21,68.44,61.75,64.02,2404751
1715313600,63.63,64.61,61.25,62.1,1343714
1715572800,63.33,63.4573,55.91,57.89,3552193
1715659200,58.06,60.33,57.015,59.36,2413912
1715745600,60.27,60.99,58.33,60.5,1267465
1715832000,60.68,61.04,59.5,59.92,888757
1715918400,59.62,60.47,58.64,59.53,1056744
1716177600,59.59,61.4,59.33,60.6,727476
1716264000,60.5,60.9,59.75,60.14,886415
1716350400,60.53,60.97,58.8,59.23,1499174
1716436800,49.25,50.24,47.59,48.98,15413126
1716523200,49.14,49.15,47.38,48.3,6047206
1716868800,48.68,49.32,46.25,48.21,3762066
1716955200,48.08,49.25,46.7,47.86,3316115
1717041600,48.33,49.82,47.18,49.12,2476461
1717128000,49.25,49.36,48.03,48.51,2530227
1717387200,48.64,50.34,48.11,49.87,2487275
1717473600,49.16,49.38,47.82,48.41,1960856
1717560000,48.68,55,47.02,54.58,5674174
1717646400,54.25,54.75,52,52.28,3019334
1717732800,52.1,52.935,50.87,52.79,2186655
1717992000,52.07,54.45,51.51,54.16,2583421
1718078400,53.52,54.04,52.56,53.29,1235096
1718164800,54.5,54.83,53.56,54.04,1302501
1718251200,54.02,54.41,52.67,52.71,1150372
1718337600,52.23,54.35,51.87,53.93,1182895
1718596800,53.07,53.7655,52.08,52.78,1421658
1718683200,52.71,53.44,51.57,51.94,1043705
1718856000,51.81,52.875,51.5,51.82,1080197
1718942400,52.21,53.8,51.62,53.52,6269539
1719201600,53.75,54.57,53.01,53.9,1085952
1719288000,54.02,54.77,52.72,52.87,958521
1719374400,52.5,52.5,50.815,51.75,1846897
1719460800,51.86,54.035,51.29,53.78,1436301
1719547200,53.75,54.66,52.94,54.18,7296469
1719806400,53.83,55.86,53.24,54.7,1951407
1719892800,54.97,54.97,53.3925,54.84,1316823
1719979200,55.4,55.5,54.19,54.4,487269
1720152000,54.61,55.65,53.68,55.51,959633
1720411200,55.475,56.72,54.85,56.67,1065282
1720497600,56.24,56.36,54.58,54.86,1042737
1720584000,55.14,55.58,53.59,54.93,1044746
1720670400,56.24,56.65,55.25,56.3,1464196
1720756800,56.8,57.395,55.54,55.98,1169947
1721016000,56.1,57.53,55.34,57.39,1067796
1721102400,57.69,58.85,56.24,56.76,1031887
1721188800,55.65,57.44,54.9725,56.79,2133073
1721275200,56.78,57.88,55.5,55.91,1223047
1721361600,55.95,57,55.14,56.41,827901
1721620800,56.88,57.69,55.66,57.42,1436834
1721707200,56.87,58.2,56.21,57.38,1426720
1721793600,56.76,57.94,56.63,56.8,926406
1721880000,56.86,58.69,56.765,58.5,1343270
1721966400,59.62,61.38,58.5,59.69,1166219
1722225600,59.61,60.2,57.53,59.09,1209770
1722312000,59.44,60.54,58.67,60.16,923518
1722398400,60.3,61.27,58.67,59.01,1321484
1722484800,58.95,59.805,57.85,57.91,1047666
1722571200,55.97,57.565,55.492,57.14,1322588
1722830400,53.1,56.13,53,53.43,2036510
1722916800,53.55,54.83,53.21,53.54,949220
1723003200,53.93,53.93,51.05,51.22,1474621
1723089600,51.39,54.47,51.17,54,1721648
1723176000,52,56.43,51.92,55.79,1819200
1723435200,56.18,57.14,54.35,56.18,946398
1723521600,54.74,56.34,53.94,56.07,2113356
1723608000,55.92,56.065,54.87,55.88,805608
1723694400,57.46,57.73,56.3001,57.06,1192943
1723780800,56.73,57.4542,55.68,56.5,1246023
1724040000,56.56,57.38,55.63,56.46,1497379
1724126400,56.37,57.23,55.58,56.85,1514783
1724212800,57,58.21,56.22,56.58,759240
1724299200,56.83,56.91,55.43,56.25,837974
1724385600,56.57,57.94,56.21,57.32,1206898
1724644800,57.56,58.05,56.85,57.07,625384
1724731200,56.73,57.22,55.32,55.85,965694
1724817600,55.43,55.92,55.02,55.53,567569
1724904000,55.99,58.68,55.21,57.39,1329309
1724990400,57.94,57.98,56.275,57.08,1080796
1725336000,56.72,57.8,54.22,54.56,1633057
1725422400,54.29,55.054,53.16,54.89,2056838
1725508800,55.5,56.87,54.68,55.93,1135109
