T,O,H,L,C,V
1713844800,48.42,49.62,48.2,49.23,10669321
1713931200,49.2,49.27,47.74,47.94,10329467
1714017600,47.29,49.935,46.87,49.88,12946843
1714104000,49.76,50.24,49.18,49.92,9982953
1714363200,49.83,50.74,49.75,50.45,9929057
1714449600,49.84,50.73,49.77,50.07,11063538
1714536000,50.04,50.5,49.28,50.02,10372445
1714622400,50.59,51.185,50.24,51.03,8196132
1714708800,51.36,51.65,50.82,51.55,9058450
1714968000,51.96,53,51.68,52.93,8541185
1715054400,52.14,52.525,52.01,52.2,6583942
1715140800,52.16,52.75,51.96,52.28,5125450
1715227200,52.13,52.9,52.02,52.75,4601740
1715313600,52.95,53.15,52.155,52.6,6118938
1715572800,52.96,53.86,52.8,52.99,7137368
1715659200,53.43,53.51,52.94,53.06,5516624
1715745600,53.32,53.53,52.995,53.26,5655324
1715832000,53.33,53.48,52.47,52.51,4801098
1715918400,52.53,53.2079,52.43,52.7,4535283
1716177600,52.57,53.24,52.55,52.99,4470523
1716264000,52.71,52.876,52.02,52.23,6094888
1716350400,52.21,52.3995,51.14,51.58,6309943
1716436800,51.65,51.72,50.52,51.2,6112488
1716523200,51.45,51.88,51.11,51.84,5197673
1716868800,51.71,51.76,50.2,50.28,6060764
1716955200,48.93,50,48.28,49.9,10724135
1717041600,50,50.15,49.39,50.11,4911318
1717128000,50.4,51.08,50.22,51.02,7780872
1717387200,51.45,51.64,50.4617,50.79,5403347
1717473600,50.6,51.39,49.3,49.86,7232245
1717560000,50,51.7,49.8,50.82,10234148
1717646400,51,51.6609,50.3,50.43,5228675
1717732800,50,50.71,49.99,50.44,4743544
1717992000,50.3,50.87,50.01,50.5,3734734
1718078400,50.13,50.19,49.05,49.29,7120828
1718164800,49.95,51.19,49.8,50.62,6810017
1718251200,50.41,50.5,49.35,50.17,5250358
1718337600,49.52,49.63,47.42,48.72,12323458
1718596800,48.61,49.78,48.5019,49.71,5288540
1718683200,49.58,49.92,49.18,49.58,5026554
1718856000,49.36,49.7501,49.2804,49.61,5303132
1718942400,49.56,49.6,48.715,49.38,9399774
1719201600,49.42,50.37,49.34,49.4,6695407
1719288000,49.55,49.85,48.675,48.81,7951414
1719374400,47.9,48.47,47.15,48.18,10964248
1719460800,48.15,48.64,47.87,48.6,6504929
1719547200,48.42,48.5,47.03,47.44,11892869
1719806400,47.81,47.9026,46.735,46.92,9064621
1719892800,47,47.29,46.515,46.71,6361903
1719979200,47.15,47.465,46.9149,47.39,3543205
1720152000,47.15,47.15,45.96,46.02,9605457
1720411200,46.82,47.3,46.28,46.35,7398161
1720497600,46.37,47.605,46.26,46.89,9376077
1720584000,47.13,47.29,46.48,46.86,11400611
1720670400,43.01,45.03,42.17,44.99,33854171
1720756800,44.46,44.88,43.55,43.62,16716987
1721016000,43.61,43.62,42.72,43,12563756
1721102400,43.24,46.05,43.16,46.02,15553976
1721188800,45.33,46.03,45.3,45.76,7160461
1721275200,45.75,46.8,44.585,44.92,10441489
1721361600,44.74,45.86,44.05,45.44,8789811
1721620800,44.65,44.92,43.55,43.83,14485981
1721707200,43.84,44.04,43.24,43.61,10772607
1721793600,43.48,43.895,42.81,42.94,7120133
1721880000,42.74,43.995,42.51,43.47,9293103
1721966400,43.97,44.28,43.36,44.13,8721440
1722225600,44.13,44.18,43.17,43.18,7832292
1722312000,43.4,44.09,43.09,43.23,6087686
1722398400,43.25,43.94,42.855,43.02,7710785
