T,O,H,L,C,V
1713844800,125.5,131.48,123.75,126.44,5101248
1713931200,126.69,130.38,125.57,127.07,3283714
1714017600,123.55,126.53,122.59,125.25,2950846
1714104000,131.34,132.9,128.11,131.45,5086418
1714363200,132,132.02,128.4557,129.07,2730634
1714449600,128.25,129.84,125.45,125.5,3417792
1714536000,127.02,129.62,123.39,126.42,4214306
1714622400,127.66,128.5899,124.6,125.46,3795410
1714708800,127.56,127.88,123.53,124.27,3884462
1714968000,123.52,127,122.13,126.97,5721742
1715054400,113.26,116.35,110.342,112.4,21740232
1715140800,114.1,117.75,113.37,117.28,8316229
1715227200,118.11,118.32,115.75,115.87,3443991
1715313600,116.52,119.44,115.66,118.97,5174685
1715572800,119.39,119.8,118.11,118.26,3235182
1715659200,118,118.4134,115.9,116.75,3449665
1715745600,118.83,119,117.63,118.47,3526053
1715832000,118.84,122.1599,118.25,120.61,3363004
1715918400,119.84,122.11,119.84,120.07,2069484
1716177600,120.07,122.14,119.665,121.29,2359975
1716264000,120.42,123.31,120.11,122.33,2769262
1716350400,122.91,123.29,121.17,122.75,1629702
1716436800,124.54,125.44,122.01,122.12,2699646
1716523200,121.77,125.38,121,123.6,2183231
1716868800,123.76,124.135,120.945,122.11,2197875
1716955200,120.3,122.16,120.14,121.68,1777739
1717041600,123.4,123.83,117.18,117.45,4395290
1717128000,114.75,115.1804,108.08,110.18,10469751
1717387200,111,111.4381,108.29,109.34,5068250
1717473600,108.44,110.21,107.3,108.84,4575240
1717560000,110,110.6395,108.0675,110.48,4473335
1717646400,110.48,112.8,109.5,109.62,2450095
1717732800,109.44,110.79,107.83,109.47,4034030
1717992000,109,113.94,108.99,112.99,3280849
1718078400,113.39,114.98,112.55,114.9,4775487
1718164800,117.26,120.32,116.7,119.11,5458876
1718251200,120.42,121.27,118.82,119.54,5067418
1718337600,118.5,118.8,115.74,117.84,3618892
1718596800,117.06,118.16,114.691,117.17,3645562
1718683200,117,118,116.05,116.5,2474640
1718856000,116.18,116.3,114.68,116.08,3275523
1718942400,117.24,117.95,115.93,117.57,4956288
1719201600,116.7,120.23,116.6,118.49,2297174
1719288000,119.04,120.1399,118.18,119.13,3228888
1719374400,118.81,124.165,118.3,123.19,3964944
1719460800,123.19,128.88,122.65,128.45,4411402
1719547200,129.89,131.1292,128.3,129.69,7170825
1719806400,129.04,131.99,127.96,130.5,3938228
1719892800,130.09,132.36,129.88,131.75,2847214
1719979200,130.83,133.15,130.83,131.5,1773639
1720152000,131,134.8,130.75,134.56,2535002
1720411200,131.58,132.81,129.07,132.4,3769869
1720497600,131.7,131.7,125.35,126.63,4834613
1720584000,127.55,128.14,123.91,126.29,2717646
1720670400,126.41,129.71,125.8,127.19,4175217
1720756800,126.99,128.85,125.09,127.8,2863667
1721016000,129.375,130.5979,126.17,129.415,2503284
1721102400,131.5,131.65,129.31,130.77,3156854
1721188800,123.5,125.07,120.25,121.16,6842693
1721275200,121.7,123.21,117.86,118.82,3699221
1721361600,118.58,120.52,118.205,119.03,2538558
1721620800,119.57,122.57,119.49,121.22,3191080
1721707200,121.82,125.35,121.78,123.21,2344705
1721793600,121.87,123.01,117.24,117.32,3574603
1721880000,118.27,121.99,116.51,120.31,3478573
1721966400,121.43,121.46,117.52,118.31,3762124
1722225600,119,119.95,117.41,117.92,2165116
1722312000,117.87,117.94,113.58,114.68,4164319
1722398400,115.5,117.89,114.84,116.44,3334293
1722484800,115.01,116.69,111.31,113.1,4260441
1722571200,109.89,109.92,106.2,107.25,5247345
1722830400,99.93,106.23,98.8,104.97,5975846
1722916800,105.64,107.22,103.51,105.47,4622974
1723003200,108.7,111.25,107.27,108.04,7819154
1723089600,115.08,118.07,111.02,114.06,9762990
1723176000,113.74,115.45,110.63,112.28,4503014
1723435200,113.05,113.2,110.1,112.16,3557639
1723521600,112.21,115.0152,112.21,114.37,2816177
1723608000,114.81,115.35,113.27,114.15,2803844
1723694400,115.43,118.4,115.14,116.33,3846572
1723780800,116.24,116.42,114.77,114.98,2197923
1724040000,115.34,117.25,114.13,117.21,1872537
1724126400,116.7,117.51,115.74,116.1,1834409
1724212800,116.51,117.79,115.97,117.74,2223537
1724299200,117.5,118.72,115.53,115.62,2419149
1724385600,117,117.665,115.48,117.23,1926176
1724644800,116.42,117.59,116.21,116.74,1388786
1724731200,116.25,116.96,115.53,116.02,1284924
1724817600,115.5,116.49,112.26,113.42,1797633
1724904000,115.28,116.89,114.45,115.18,2328834
1724990400,117.22,117.97,114.66,116.26,2436585
1725336000,114.87,115.501,111.1,111.48,3355767
1725422400,110.77,111.4,108.54,108.65,3536775
1725508800,108.01,110.5,108,110.09,2701582
1725595200,109.87,110.9685,105.44,107.2,3311255
1725854400,108.27,109.02,106.74,107.7,2720517
1725940800,108.46,110.2,107.02,108.12,2365271
1726027200,108.41,109.66,107.145,109.52,4320113
1726113600,110,110.92,109.2001,109.63,2553092
1726200000,109.56,110.9,108.79,109.26,3142972
1726459200,109.16,111.59,108.35,111.4,3670739
1726545600,112.3,113.65,111.45,111.93,2419994
1726632000,111.72,114.935,111.5,113.18,2779323
1726718400,115.86,116.635,114.91,115.52,3133119
1726804800,115.18,115.62,113.91,114.76,2830140
1727064000,115.01,116.67,114.9001,116.22,1917945
1727150400,116.58,118.38,115.66,117.31,2546010
1727236800,116.63,117.5,115.56,116.01,2546109
1727323200,118.2,118.23,113.1,114.21,2344306
1727409600,115.13,115.18,113.4584,114.2,2288668
1727668800,114.2,115.32,113.86,115.06,1563471
1727755200,117.45,117.75,113.08,113.98,2783517
1727841600,114.19,116.69,113.53,116.22,3193880
1727928000,115.26,118.58,115.17,117.53,3719479
1728014400,119.55,122.82,118.37,122.69,5219974
1728273600,122.2,123.78,121.16,122.38,3207710
1728360000,123.74,126.165,123.23,123.72,3838521
1728446400,123.8,126.56,123.7,125.16,3143337
1728532800,125.24,130.24,125.0388,130.09,4713086
1728619200,129.89,131.2461,128.76,129.81,2651464
1728878400,131.28,131.28,128.5545,129.12,2514133
1728964800,128.47,128.66,125.725,126.88,2703988
1729051200,126.43,126.8,123.29,126,2464065
1729137600,127.33,127.91,124.76,126.22,2506087
1729224000,129,130.17,127.19,128.12,3575210
1729483200,126.12,128.8,124.93,125.81,3279117
1729569600,125,126,123.13,124.62,1886409
1729656000,124.62,125.51,121.07,121.52,2078442
1729742400,122.75,124,122.35,123.89,2021313
1729828800,124.9,127.72,124.77,126.6,3396648
1730088000,127.29,127.95,125.75,126.37,2383456
1730174400,127.2,129.31,125.85,128.76,3551871
1730260800,129.82,131.84,127.92,128.16,2809295
1730347200,126.25,126.4342,124,125.44,3446340
1730433600,124.43,124.57,120.78,123.26,4838712
1730696400,122.51,127.1,121.7,125.56,3294045
1730782800,126.74,126.99,124.81,125.05,2540991
1730869200,129.05,129.15,127.06,128.35,5855157
1730955600,126.87,133.66,126.17,129.79,8228774
1731042000,129.49,129.5,122.977,124.45,5904912
1731301200,125.55,125.55,121.52,122.36,5554003
1731387600,122.08,124.45,121.26,123.41,7124624
1731474000,123.07,131.33,122.67,128.45,7682493
1731560400,129.57,133.2794,129.05,131.43,5315039
1731646800,129.05,129.51,124.88,126.09,5777739
1731906000,126.915,127.57,124.8187,125.97,3076330
1731992400,125.9,133.86,125.055,133.41,6251979
1732078800,134.85,136.711,132.84,135.45,6309283
1732165200,142,145.55,139.89,143.86,8671809
1732251600,148.5,155.42,147,154.83,13878759
1732510800,155.7,157.15,153.34,156.63,7686186
1732597200,155.46,157.48,151.49,154.39,4365635
1732683600,154.06,155.59,150.64,151.96,4084637
1732856400,153,153.19,151.12,152.75,1892258
1733115600,152.45,153.48,151.185,152.88,4307751
1733202000,153,156.68,151.77,155.01,4220489
1733288400,157.93,166.08,157.03,165.88,9874807
1733374800,164.58,164.94,161.58,163.35,4512467
1733461200,165,170.08,164.77,168.65,6048059
1733720400,166.65,167.59,159.38,161.19,8317548
1733806800,161.65,161.66,153.12,154.91,10653354
1733893200,156.09,159.535,153.51,156.48,5974041
1733979600,155.82,157.62,154.0601,156.73,3447623
1734066000,158.338,159,152.66,153.03,4409238
1734325200,153.46,156.14,152.97,155.82,2825275
1734411600,156.36,158.57,154.42,156.91,4324097
1734498000,156.38,158.2,149.5,150.2,4322291
1734584400,150.5,151.7099,145.87,146.93,5832521
1734670800,145.11,150.16,144,149.46,7590514
1734930000,150,150.78,146.62,147.46,2907397
1735016400,148.25,148.505,147.12,148.4,1038524
1735189200,148,149.47,146.8731,147.56,1231932
1735275600,146.48,146.98,143.04,145.99,1943444
1735534800,143.7,144.84,142.44,144.17,2062332
1735621200,144.71,145.71,142.605,142.89,1858904
1735794000,145,145.72,141.64,143.63,2361580
1735880400,144.63,146.23,144.13,144.83,2199880
1736139600,147.19,147.64,144.83,146.04,2667254
1736226000,144.48,145.72,140.29,141.4,3989046
1736312400,141.03,142.33,139.26,141.88,3334395
1736485200,139.37,140.7,137.62,140.42,2646204
1736744400,139.22,139.94,136.71,138,4296704
1736830800,139.5,141.05,138.02,139.16,3414137
1736917200,142.06,144.48,140.73,140.95,3441204
1737003600,137.505,138.8,134.7153,136.79,5913520
1737090000,139.42,140.86,137.92,138.4,3469056
1737435600,139.315,140.8,137.54,138.4,3347586
1737522000,139.99,140.4,138.59,140.12,3870564
1737608400,142.3,144.165,139.4101,140.2,3806382
1737694800,141.78,142.815,139.85,140.99,2885274
1737954000,137.5,146.58,136.87,142.16,5517601
1738040400,143.4,153.42,143.4,151.89,7940415
1738126800,147.895,148.5969,141.96,145.72,7978201
1738213200,141.5,143.15,138.6,142.61,6026006
1738299600,145.74,146.01,141.82,142.71,4950707
1738558800,140.802,144.41,140.24,143.155,5124807
1738645200,143,146.47,142.86,145.83,3290096
1738731600,144.55,144.92,140.3,144.85,4837301
1738818000,146,146.05,143.5,144.85,3568616
1738904400,145.01,145.77,141.85,142.65,4475129
1739163600,144.43,147.8199,143.65,147.1,4905244
1739250000,146.38,148.47,145,145.42,3402210
1739336400,146.29,149.01,144.2,148.09,6966802
1739422800,136.55,136.71,130.88,135.89,20141609
1739509200,133.61,135.81,129.69,131.01,8664004
1739854800,128.31,130.86,127.23,130.63,8969753
1739941200,130.52,130.9,128.15,128.85,4405342
1740027600,127.93,128.85,124.33,126.24,6105817
1740114000,126.18,126.64,119.59,119.64,6974314
1740373200,119.64,119.8,114.621,117.51,7269869
1740459600,116.53,117.29,113.456,114.98,7560919
1740546000,115.84,117.63,112.85,113.37,6581213
1740632400,116.785,118,113.31,113.53,5101790
1740718800,112.62,116.64,111.68,116.55,5046336
1740978000,116.97,117.3099,112.59,113.17,4207774
1741064400,111.73,116.58,110.3725,115.46,5788086
