T,O,H,L,C,V
1713844800,143.19,144.35,142.21,142.73,1431054
1713931200,141.29,143.485,140.625,143.16,1322942
1714017600,142.25,143.45,141.385,142.65,1387968
1714104000,142.35,144.45,141.62,142.07,1378667
1714363200,141.21,141.4899,138.96,141.15,2382333
1714449600,140.44,141.16,139.07,139.19,1753283
1714536000,138.79,140,135.42,137.58,2612539
1714622400,138.15,138.575,136.125,137.15,1639059
1714708800,136.75,138.68,135.965,137.49,2268787
1714968000,138.09,138.71,134.68,136.14,2481269
1715054400,137.77,141.09,137.3,139.9,2594436
1715140800,138.47,139.97,137.06,137.52,1700424
1715227200,137.24,140.89,136.5,140.86,1920712
1715313600,140.94,141.315,139.84,140.95,1339190
1715572800,141.84,143.66,137.58,137.93,1760050
1715659200,139.78,140.46,138.3,140.31,1905627
1715745600,140.57,142.875,140.25,141.06,2012550
1715832000,145.28,147.865,144.8286,146.59,3270068
1715918400,145.37,145.37,141.2,142.13,2744046
1716177600,141.38,141.445,137.7,137.83,1846017
1716264000,144.79,147.79,142.2427,142.6,3179345
1716350400,142.05,142.07,139.55,141.55,2268605
1716436800,140.72,142.9,138.84,139.12,2102805
1716523200,140,145.29,139.87,145.23,2230090
1716868800,144.54,145.94,141.025,142.27,3491317
1716955200,141.53,143.83,138.87,139.28,3793472
1717041600,143.89,145.5,126.2301,127.94,9925162
1717128000,128,137,127.28,136.91,4872893
1717387200,135.18,139.95,133.63,139.56,3879680
1717473600,139,141.24,133.89,134.51,2795801
1717560000,133.68,135.57,131.06,134.42,2665818
1717646400,131.47,132.19,128.33,129.53,3336010
1717732800,128.97,130.208,125.99,126.61,2211300
1717992000,126.53,128.155,126,127.69,1893169
1718078400,127.29,128.3,126.4,126.77,1790278
1718164800,127.09,127.76,123.6,124.93,2619219
1718251200,125.06,125.06,122.21,124.12,1856856
1718337600,123.62,125.86,122.86,125.79,1708918
1718596800,125.08,126.98,123.6,126.89,1982875
1718683200,126.81,127.86,124.96,126.59,2495051
1718856000,126.34,127.8,124.82,127.5,2802172
1718942400,128.15,129.89,127.5,128.77,3292960
1719201600,129.2,131.47,128.5,130.49,2449662
1719288000,129.73,129.87,127.93,128.52,1521698
1719374400,128.88,129.78,126.7,129,2570665
1719460800,128.135,130.6,127.7,130.28,2343276
1719547200,131,132.39,130.765,132.23,9278104
1719806400,131.96,134.39,130.49,130.58,3546567
1719892800,130.54,130.54,127.825,129.47,1532893
1719979200,129.53,129.7504,125.43,125.43,1302424
1720152000,125.41,128.47,124.51,128.2,1570544
1720411200,129.26,130.72,127.9319,130.12,1874215
1720497600,129.32,129.47,127.26,128.54,1572856
1720584000,129.04,129.26,126.15,127.5,1855948
1720670400,128.34,132.31,127.79,131.59,2147390
1720756800,132.32,135.46,132.04,132.42,1728853
1721016000,132.48,132.48,125.61,126.96,2714402
1721102400,127,128.615,126.28,127.48,1852041
1721188800,123.1,125.98,122.4001,124.36,3395918
1721275200,124,124.42,120.675,121.57,2548422
1721361600,122.28,122.98,120.31,122.42,2153691
1721620800,122.66,124.61,122.3,123.28,2067828
1721707200,123,123.11,120.18,120.4,1880378
1721793600,120.5,120.5,115.98,117.05,2763894
1721880000,117.24,119.725,116.57,118.31,2354563
1721966400,118.9,119.68,117.57,118.09,1577358
1722225600,118.1,119.77,116.22,117.36,1810532
1722312000,117.32,120.415,116.39,120,1595371
1722398400,119.92,122.25,119,120.39,2501872
1722484800,121.55,122.09,118.625,120.16,2286900
1722571200,119.36,123.53,117.445,121.59,3169507
1722830400,120.43,123.75,119.45,122.89,2956774
1722916800,123.21,125.03,121.55,123.25,2129798
1723003200,124.4,124.74,118.33,118.5,2186004
1723089600,118.85,119.38,116.42,118.17,2528272
1723176000,117.88,118.74,116.4,116.81,1520943
1723435200,116.54,118.95,114.91,117.6,2119400
1723521600,115.72,117.99,114.17,116.84,2901383
1723608000,116.56,117.8,115.3,116.54,2253106
1723694400,120.4,123.585,119.05,120.54,2730106
1723780800,120.18,123.43,119.915,123.27,1687439
1724040000,123.275,124.77,121.98,122.09,1534337
1724126400,122.05,123.25,120.96,121.59,1798061
1724212800,125.37,126.98,123.35,123.71,2160789
1724299200,123.75,124.27,122.42,123.24,2019652
1724385600,123.8,124.53,122.66,123.6,1553323
1724644800,124.69,125.25,123.93,124.34,1783924
1724731200,124.33,125.31,123.755,125.12,2507936
1724817600,124.99,125.42,122.47,123.84,3124666
1724904000,92.2,97,84,84.03,41654977
1724990400,84.4,87.38,82.68,82.97,21069424
1725336000,83.02,86.1,83.02,83.79,11628739
1725422400,81.73,82.48,79.36,81.08,10616781
1725508800,81.09,81.71,77.96,80.41,10493254
1725595200,81.035,83.4625,80.5,82.58,6320897
1725854400,81.96,82.93,80.74,80.98,5319833
1725940800,81.16,81.76,79.68,80.69,5181499
1726027200,80.27,81.4499,78.71,80.57,5678658
1726113600,80.79,84.27,80.3101,83.21,4589389
1726200000,84.67,86.29,84,84.75,4279955
1726459200,85,86.25,84.64,85.75,3681618
1726545600,85.745,86.34,85.36,86.01,3521158
1726632000,85.77,87.75,85.77,86.86,3514912
1726718400,87.73,87.76,85.95,86.5,4372417
1726804800,86.18,86.39,84.53,86.01,7965091
1727064000,85.985,86.73,85.2214,86.04,3010872
1727150400,86,86.4,84.99,84.99,2843772
1727236800,85.05,85.05,83.6,84.26,2876539
1727323200,84.8201,87.75,84.8201,86.94,3884171
1727409600,86.54,88.1,86,87.32,4011677
1727668800,86.73,86.73,83.74,84.57,4784709
1727755200,84.44,84.68,82.58,84.47,3582124
1727841600,84.18,84.25,81.58,81.77,3821547
1727928000,81.38,82.03,81.2,81.92,2858498
1728014400,82.955,84.98,82.51,84.35,3792959
1728273600,84.89,85.08,83.08,84.3,3696807
1728360000,83.74,84.08,82.68,83.55,2203027
1728446400,83.48,83.6,82.25,82.86,3775890
1728532800,82.86,82.86,82.01,82.44,3671384
1728619200,82.5,82.9,81.9,82.49,6849266
1728878400,82.18,82.38,79.65,79.76,5953728
1728964800,79.635,81.765,79.55,80.57,6580512
1729051200,80.75,83.18,80.22,82.23,4794667
1729137600,82.1,82.53,80.92,81.9,6300871
1729224000,81.65,81.97,80.1442,80.6,4808603
1729483200,80.78,81.531,80.3,81.13,4412139
1729569600,81.68,82.23,80.12,81.12,3850494
1729656000,81.12,81.63,80.42,81.04,3069007
1729742400,81.18,81.67,80.7,81.4,2378748
1729828800,81.65,82.67,80.18,80.38,2869727
1730088000,80.74,82.36,80.64,81.1,3468013
1730174400,80.76,82.48,79.79,79.8,3993986
1730260800,79.87,80.4761,78.82,78.94,3071873
1730347200,79.23,80.8199,78.45,80.04,3509038
1730433600,80.57,81.86,79.86,81.76,3126563
1730696400,82.31,84.39,81.76,82,4571090
1730782800,82.01,82.04,80.675,81.57,4522889
1730869200,80.3,80.75,77.22,77.41,6752639
1730955600,78.41,79.42,77.78,78.07,4150670
1731042000,78.08,78.25,76.76,76.95,3885503
1731301200,77,77.5999,76.07,76.29,4613611
1731387600,75.87,75.98,73.51,75.12,5638744
1731474000,75.12,77.0388,75.12,76.78,3379331
1731560400,76.91,78.4,76.2101,77.05,2821808
1731646800,76.94,77.75,75.05,75.88,3704309
1731906000,75.88,78.7,75.88,77.09,3252912
1731992400,77.46,78.27,76.38,76.5,2261689
1732078800,75.75,75.75,72.12,73.27,7419040
1732165200,73.47,74.43,73.27,73.92,3162302
1732251600,74.22,75.92,74.02,74.93,3828101
1732510800,75.92,77.75,75.8713,76.59,4951319
1732597200,75.83,76.24,74.2,74.64,3195683
1732683600,75.5,76.37,74.71,76.26,3306426
1732856400,77.97,77.985,76.3,77.27,2440054
1733115600,77,77.93,76.045,77.79,3658238
1733202000,77.77,79.93,77.48,79.02,3812956
1733288400,79.74,80.17,78.375,79.5,5933644
1733374800,80.165,80.795,75.35,79.6,11391814
1733461200,81.32,84.75,80.88,81.59,6926885
