T,O,H,L,C,V
1713844800,144.55,149.15,143.475,148.03,2337551
1713931200,147.61,149.95,144.99,146.12,2474200
1714017600,142.88,144.83,140,144.2,2231839
1714104000,144.93,147.85,144.74,145.33,2057426
1714363200,146.56,147.4363,144.6,145.97,1615038
1714449600,144.24,145.405,142.205,142.49,2453576
1714536000,142.3,146.21,140.99,142.48,1957393
1714622400,143.86,145.62,141.835,145.46,1779905
1714708800,150,153.54,148.45,148.48,3134157
1714968000,150.21,151.33,149.15,151.26,1548215
1715054400,152.46,153.13,151.28,151.4,2544971
1715140800,149.99,151.01,147.71,147.74,2849995
1715227200,148.44,150.0299,148.05,149.5,4055035
1715313600,149.53,150.51,149.01,149.97,2085630
1715572800,150.87,150.87,146.72,146.86,2845332
1715659200,147.74,148.375,146.41,148,1914058
1715745600,151.78,157.725,151.3,157.58,4304974
1715832000,156.58,157.07,150.65,150.97,2482321
1715918400,152.31,152.31,150.59,151.5,1490584
1716177600,151.56,151.925,149.42,149.79,1390978
1716264000,149.83,149.95,148.38,149.38,1622311
1716350400,148.5,149.25,144.08,144.59,3094421
1716436800,145.12,145.34,142.29,142.82,1906847
1716523200,143.97,144.88,143.38,144.62,1102436
1716868800,144.82,145.4733,141.815,142.85,1341075
1716955200,140.95,141.97,140.42,141.38,1850407
1717041600,142.65,145.76,142.44,145.49,1809355
1717128000,146.52,148.0828,145.09,147.8,4213675
1717387200,147.8,148.06,146.25,146.93,1911855
1717473600,145.99,146.5705,142.71,143.87,2448515
1717560000,145,146.16,142.97,146.09,1557903
1717646400,145.79,146.56,143.43,143.7,1570591
1717732800,139,141.69,138.08,140.22,2866258
1717992000,139.08,142.435,138.755,142.22,1602758
1718078400,141.35,141.35,139.285,139.56,1813125
1718164800,144.98,149.88,142.99,143.73,3222823
1718251200,143.03,144.09,141.24,143.46,1712213
1718337600,141.4,143.1,139.7665,142.78,1843350
1718596800,142.15,143.65,140.78,143.26,2394065
1718683200,141.66,142.055,138.33,139.4,2705797
1718856000,139.73,141.945,139.3633,141.15,2821114
1718942400,141.42,142.78,139.36,142.39,3460056
1719201600,142.09,145.34,141.81,144.05,1907520
1719288000,143.835,144,139.17,140.44,1931540
1719374400,139.61,140.8719,139.57,140.32,1630885
1719460800,140.41,141.43,138.99,141.2,1405749
1719547200,141.71,142.43,139.75,140.93,2792073
1719806400,141.53,141.76,136.94,137.02,2477978
1719892800,134,135.61,133.02,135.21,3632754
1719979200,134.44,137.77,134.43,136.03,1616763
1720152000,136.27,136.81,134.68,135.56,1657154
1720411200,136.62,137.79,135.04,136.18,1666126
1720497600,136,137.69,135.3001,136,1721816
1720584000,136.97,140.32,136.75,139.59,2926449
1720670400,144.04,150.57,143.7205,149.73,4569541
1720756800,150.9,155.35,150.86,153.74,4023976
1721016000,153.97,154.775,151.665,152.16,2547520
1721102400,154.9,162.64,154.38,162.26,3237715
1721188800,160.41,162.22,157.09,157.51,4137447
1721275200,167.23,177.47,165.57,173.42,9608565
1721361600,173.75,177.06,171.13,173.84,4125242
1721620800,174.54,178.01,172.025,177.16,3653743
1721707200,176.8,178.71,174.82,176.56,3051110
