T,O,H,L,C,V
1713844800,35.5,36.39,31.2,32.57,6367682
1713931200,31,37.23,30.5767,35.67,7740015
1714017600,37,39.4,36.31,38.49,6582232
1714104000,40,44.59,38.65,41.54,8820916
1714363200,41.16,47.19,41.16,46.69,10207625
1714449600,48.5,50.75,47.11,49.93,10135298
1714536000,53.37,54.98,44.65,45.13,9766136
1714622400,46.82,49.78,46.05,48.68,5196217
1714708800,47.47,48.925,44.29,47.93,5791067
1714968000,46.21,50.06,45.47,49.18,6137440
1715054400,48.99,49.7199,46.61,47.67,3134276
1715140800,47.63,50.25,47.05,49.26,4001225
1715227200,49.56,55.25,48.3,54.39,7667273
1715313600,53.64,56.52,50.61,50.99,6574934
1715572800,53.34,56.55,51.2,51.65,6446678
1715659200,53,55.2,52.81,53.4,4031263
1715745600,54.04,54.6,51.44,52.51,3180540
1715832000,53,53.8,51.6232,52.15,1942036
1715918400,51.48,52.5848,48.58,50.915,2595884
1716177600,50.51,50.55,47.84,48.38,2817731
1716264000,48.18,48.39,42.21,44.19,3942715
1716350400,43.51,46.2399,42.0301,44.59,2506048
1716436800,45.29,46.1378,43.77,43.91,1291995
1716523200,44,46.07,44,45.81,2025484
1716868800,45.99,50.45,45.312,49.93,3148510
1716955200,49.02,52.1775,48.08,51.12,3166891
1717041600,51.5,52.7499,50.67,51.84,2607112
1717128000,53.92,53.92,47.2,49.09,5953856
1717387200,49.14,50.62,46.5,46.74,2580784
1717473600,46.81,46.99,44.7,45.49,2659841
1717560000,45.74,47,44.88,46.75,2116326
1717646400,46.1,47.2,45.4852,46.02,1460373
1717732800,45.4,46,44.4659,44.59,1913010
1717992000,44.75,46.69,41.06,42.09,5431704
1718078400,41.6,42.49,38.51,39.31,3697737
1718164800,39.91,41.24,39.7,40.93,2083369
1718251200,41,41.6638,39.03,39.93,2521647
1718337600,38.84,40.03,36.6115,37.05,3151606
1718596800,36.68,37,34.51,34.72,4235704
1718683200,34.02,34.98,30.03,31.31,10013981
1718856000,28.76,29.3676,26.13,26.75,13930044
1718942400,27.31,28.21,24.83,27.66,15308112
1719201600,29.71,36.0899,28.68,33.52,23045951
1719288000,36.72,37.6,33.2,36.37,17231293
1719374400,34.9,39.42,33.7043,39.25,12898073
1719460800,38.87,40.54,36.16,36.73,12583520
1719547200,39.78,39.94,31.5499,32.75,29139807
1719806400,33.3,34.58,31,33.08,9556622
1719892800,32.23,33.08,31.3201,31.73,4925622
1719979200,31.15,32.9,31.1,31.1,4162992
1720152000,30.489,30.59,28.7,29.17,6633575
1720411200,29.11,31.37,28.99,30.32,5948143
1720497600,30.79,31.42,29.63,29.9,4062588
1720584000,30.01,30.3759,28.43,28.8,4619644
1720670400,29.14,30.31,28.9805,29.86,4056546
1720756800,30.52,31.55,30.11,30.89,4469662
1721016000,46.2,46.27,38.06,40.58,80789376
1721102400,36.43,38.72,35.9,36.89,17630980
1721188800,36.48,39.2,35.81,36.44,11750615
1721275200,36.77,37.63,35.55,37.38,8268336
1721361600,37,37.1996,34.11,34.99,8051472
1721620800,35.28,35.77,33.25,34.7,7244843
1721707200,33.68,34,32.44,32.91,4897048
1721793600,32,32.3399,30.37,30.62,5027166
1721880000,30.03,31.58,29.75,31.05,4205628
1721966400,30.88,31.45,30.26,31.45,2370403
1722225600,30.99,31.035,29.6201,30.15,3468341
1722312000,29.86,30.25,28.42,28.78,3457667
1722398400,28.71,29.2858,28.55,28.74,2493748
1722484800,28.7,29.06,26.9,27.2,3530803
1722571200,26.28,29.46,25.88,29.21,6989894
1722830400,25.5,27.8758,25.4,26.98,3706040
1722916800,27,27.6599,26.63,27.11,2772079
1723003200,27,27.16,25.2,25.72,3016470
1723089600,25.72,26.66,25.1,26.34,2556172
1723176000,26.5,26.5,25.96,26.21,1820197
1723435200,25.42,27.18,24.2,24.88,6237180
1723521600,24.01,24.7,23.21,23.98,6243848
1723608000,23.8,24.19,23.33,23.97,2125328
1723694400,24.06,25.05,23.43,23.57,4547316
1723780800,23.72,23.94,23.0305,23.06,4226210
1724040000,23.1,23.12,22.18,22.24,4975217
1724126400,22.2,22.39,21.33,21.415,3980035
1724212800,21.5,24.8295,21.4201,24.2,12677914
1724299200,24.93,25.08,22.67,22.7,6360005
1724385600,22.88,23.57,22.25,22.81,7426618
1724644800,23,23.15,21.66,21.72,4592666
1724731200,21.75,21.75,20.91,20.99,4251309
1724817600,20.61,20.73,19.38,20.1,5135369
1724904000,20.38,21.09,19.74,19.84,4333749
1724990400,19.93,20.2,19.33,19.5,4180704
1725336000,19.54,19.6051,17.72,18.08,5656788
1725422400,17.9,18.23,16.955,16.98,5420929
1725508800,17,17.75,16.7,17.4,5963438
1725595200,17.27,17.87,16.82,17.1,5933132
1725854400,17.67,19.06,17.64,18.04,10855284
1725940800,18.48,20.1,17.78,18.63,18892032
1726027200,15.77,16.8,15.3,16.68,17106563
1726113600,16.29,16.34,15.46,16.075,7071186
1726200000,16.12,20.86,16.06,17.97,25254305
1726459200,18.35,18.45,17.06,17.28,9320822
1726545600,17,17.0903,16.1,16.14,7448949
1726632000,16.05,16.15,15.41,15.62,8404196
1726718400,15.1,15.37,14.56,14.7,14347499
1726804800,14,14.385,13.5,13.55,21995168
1727064000,13.6499,13.74,12.12,12.15,19516697
1727150400,12.23,13.005,11.75,12.79,21770506
1727236800,13.44,14.48,13,14.13,25603187
1727323200,13.58,14.31,13.2,13.98,14625923
