T,O,H,L,C,V
1713844800,121.82,122.65,121.37,122.56,2165154
1713931200,121.73,123.06,120.41,122.39,1738800
1714017600,122.78,123.15,120.03,121.69,1768930
1714104000,120.53,122.89,120.53,121.74,1349933
1714363200,121.18,121.96,116.555,118.81,5277182
1714449600,118.81,119.54,117.46,118.25,2223723
1714536000,119.68,120.34,117.58,118.56,1929238
1714622400,118.92,120.67,117.8,119.78,1516120
1714708800,120.05,121.27,119.95,120.73,1471110
1714968000,121.33,121.33,119.24,120.18,1775565
1715054400,120.37,122.82,120.16,121.67,1808833
1715140800,121.02,121.02,119.4,119.57,2314448
1715227200,119.87,120.76,119.1208,120.15,3348910
1715313600,120.06,121.26,119.48,121.04,2149368
1715572800,122.34,122.51,119.85,120.2,2231870
1715659200,122.34,122.535,118.58,118.88,1897982
1715745600,119.52,119.955,118.28,118.8,1936407
1715832000,119.81,123.17,119.495,121.3,2135083
1715918400,120.8,120.89,117.15,117.31,2359970
1716177600,117.2,117.29,113.31,113.48,2912408
1716264000,115.23,116.37,114.015,114.7,2401032
1716350400,113.23,115.585,112.6,113.77,2106714
1716436800,113.55,114.7,112.62,114.6,2968883
1716523200,115.4,116.54,114.455,115.37,1628869
1716868800,114.71,116.23,112.86,113.02,2111080
1716955200,112.35,114.73,112.35,113.83,2230458
1717041600,115.13,117.695,113.91,114.79,3252208
1717128000,114.31,118.37,114.24,117.95,2844763
1717387200,117.82,121.19,117.6,120.98,3673474
1717473600,121.09,121.89,120.16,120.3,3516127
1717560000,117.995,121.92,112.55,114.38,8740744
1717646400,113.37,115.865,111.47,112.37,4534815
1717732800,112.2,112.71,110.72,111.29,2337756
1717992000,111.28,111.9599,109.553,110.19,2780736
1718078400,110.06,111.33,109.5,109.64,2115743
1718164800,110.1,111.44,108.54,108.87,3551033
1718251200,108.57,108.57,105.93,106.53,2676372
1718337600,106.47,106.869,104.6,106.03,1918750
1718596800,105.69,109.19,105.02,108.65,2491213
1718683200,108.85,108.94,106.1,107.24,1935615
1718856000,106.59,108.27,105.814,107.58,2638934
1718942400,108.01,108.665,106.24,106.87,5231956
1719201600,107,108.46,106.01,107.35,4355575
1719288000,106.89,106.89,104.93,105.41,2367327
1719374400,105.13,105.635,101.85,103.43,5640486
1719460800,103.45,106.28,103.04,105.21,7071051
1719547200,105.04,107.32,104.25,106.77,3212651
1719806400,106.87,109.36,106.26,107.25,2730308
1719892800,107.01,107.55,106.42,107.11,1953803
1719979200,106.85,107.655,105.37,105.95,971173
1720152000,106.03,106.9,105.53,106.68,1117512
1720411200,107,107.81,106,106.72,1437237
1720497600,106.41,106.41,103.9,104.03,2320873
1720584000,104.43,104.71,101.83,102.48,3464156
1720670400,102.86,107.54,102.75,106.73,2678430
1720756800,107.08,108.74,106.59,107.36,1852544
1721016000,106.84,106.955,103.505,103.83,2820928
1721102400,102.94,105.455,102.56,104.82,2913516
1721188800,102.95,105.5,102.39,105.34,2946068
1721275200,107.89,108.925,105.99,106.67,4349556
1721361600,106.71,107.53,105.31,106.56,2927962
1721620800,107.09,108.57,106.32,107.21,2279278
1721707200,106.56,108.15,106.22,107.01,2358426
1721793600,107,107.32,103.33,103.69,2999065
1721880000,104.19,106.14,102.4,102.63,2324155
1721966400,102.85,104.24,102.625,103.93,1878028
1722225600,103.74,104.48,102.5015,103.74,1841503
1722312000,103.53,105.43,103.085,105.33,2849479
1722398400,105,106.25,104.24,104.34,2174917
1722484800,104.24,104.5299,99.67,99.75,2820458
1722571200,101.115,101.46,98.2601,99.53,3532199
1722830400,98.93,99.345,95.44,96.5,3474916
1722916800,96.38,98.31,96.16,96.58,2004374
1723003200,97.27,98.96,94.93,95.03,1413654
1723089600,95,96.61,94.49,94.93,1477127
1723176000,94.6,95.7,94.285,95.05,1886470
1723435200,95.06,95.22,92.28,93.9,2217686
1723521600,93.6,94.06,91.4,92.45,2685868
1723608000,92.98,93.19,91.63,92.37,2312166
1723694400,97.358,100.66,95.42,97.19,3513990
1723780800,96.74,98.95,96.08,98.78,1901420
1724040000,99.07,101.165,99.07,100.51,2305621
1724126400,99.7,100.54,98.79,99.19,1273529
1724212800,103.5,104.17,98.99,99.98,2988280
1724299200,100.1,100.1,97.77,97.96,1637757
1724385600,98.32,98.6,96.94,97,2164017
1724644800,98.01,98.23,96.13,96.55,2170249
1724731200,96.38,96.92,95.01,95.4,3161699
1724817600,95.22,96.16,94.2,94.46,2656187
1724904000,86.07,88.95,84.77,84.79,6501709
1724990400,85.01,85.4,83.72,84.49,5093482
1725336000,84.49,85.215,81.55,81.65,6972829
1725422400,72.79,73.5,60.815,63.56,30925241
1725508800,63.09,68.63,62.15,68.47,20750644
1725595200,68.27,69.125,65.72,66.5,7538315
1725854400,66.21,68.6399,65.53,67.42,6447493
