T,O,H,L,C,V
1713844800,9.17,9.405,9.17,9.31,2714013
1713931200,9.26,9.38,9.12,9.35,2903866
1714017600,9.3,9.39,9.15,9.24,2069314
1714104000,9.22,9.415,9.2,9.35,2545477
1714363200,9.38,9.57,9.34,9.37,3239268
1714449600,9.3,9.35,9.08,9.1,3422248
1714536000,9.08,9.43,9.05,9.23,3851603
1714622400,9.43,9.66,9.12,9.49,5367653
1714708800,9.7,10.07,9.62,9.72,3862224
1714968000,9.75,10.33,9.75,10.23,6234000
1715054400,10.21,10.3,10.185,10.21,3104799
1715140800,10.11,10.27,9.89,10.13,6158973
1715227200,10.1,10.487,10.08,10.42,7552455
1715313600,10.43,10.72,10.425,10.46,4943470
1715572800,10.51,10.64,10.44,10.55,3011941
1715659200,10.68,10.7,10.51,10.67,3753997
1715745600,10.85,10.85,10.62,10.73,3978574
1715832000,10.69,10.775,10.555,10.69,4339023
1715918400,10.66,10.73,10.54,10.65,3511246
1716177600,10.65,10.77,10.54,10.64,2938990
1716264000,10.63,10.63,10.42,10.46,2989735
1716350400,10.44,10.5,10.33,10.44,1887084
1716436800,10.44,10.4475,10.1,10.16,2672228
1716523200,10.25,10.27,9.995,10.03,11264698
1716868800,10.07,10.12,9.55,9.56,6961203
1716955200,9.42,9.505,9.31,9.37,3679284
1717041600,9.44,9.6,9.39,9.47,3506591
1717128000,9.5,9.61,9.48,9.59,5345032
1717387200,9.7,9.7,9.44,9.59,2311276
1717473600,9.52,9.58,9.445,9.5,2911958
1717560000,9.53,9.63,9.345,9.6,2956829
1717646400,9.54,9.645,9.48,9.54,1823915
1717732800,9.41,9.58,9.37,9.5,2200026
1717992000,9.41,9.44,9.265,9.34,1587895
1718078400,9.25,9.35,9.215,9.28,3030109
1718164800,9.5,9.69,9.32,9.37,2281450
1718251200,9.37,9.38,9.12,9.16,2075058
1718337600,9.07,9.13,8.89,9.01,2173244
1718596800,8.94,9.03,8.85,9.01,2348777
1718683200,9.01,9.03,8.775,8.92,8633387
1718856000,8.92,9.315,8.895,9.17,3417116
1718942400,9.14,9.275,9.09,9.19,5729154
1719201600,9.22,9.25,9.11,9.17,2711261
1719288000,9.16,9.16,8.99,9.06,3137487
1719374400,9,9.15,8.94,9.14,2085095
1719460800,9.15,9.23,9.05,9.1,2107395
1719547200,9.17,9.32,9.11,9.26,5143512
1719806400,9.28,9.41,9,9.14,3780220
1719892800,9.15,9.245,9.06,9.23,2378193
1719979200,9.26,9.32,9.17,9.2,2038465
1720152000,9.18,9.19,9.03,9.14,3584492
1720411200,9.21,9.22,9.11,9.18,2033706
1720497600,9.21,9.24,9.105,9.19,1665011
1720584000,9.19,9.26,9.125,9.23,1926975
1720670400,9.43,9.71,9.385,9.64,4406515
1720756800,9.77,10.07,9.66,9.93,3026586
1721016000,9.95,10.07,9.91,9.93,2371181
1721102400,10,10.25,9.97,10.16,2870453
1721188800,10.1,10.295,10.05,10.15,4113488
1721275200,10.09,10.26,9.945,10.06,5774235
1721361600,10.05,10.18,9.9,10.13,4216420
1721620800,10.2,10.575,10.19,10.43,4395909
1721707200,10.35,10.63,10.35,10.58,2306185
1721793600,10.56,10.6404,10.25,10.28,3287490
1721880000,10.35,10.75,10.33,10.53,2707356
1721966400,10.66,10.89,10.58,10.81,2598447
1722225600,10.77,10.84,10.71,10.81,2568368
1722312000,10.87,11.11,10.75,11.05,3651309
1722398400,11.1,11.16,10.87,10.88,4379180
1722484800,10.1,10.41,9.625,10.29,7406578
1722571200,10,12.7496,9.85,11.82,19701135
1722830400,11.41,12.03,11.41,11.88,11910551
1722916800,11.93,11.945,11.51,11.68,7404053
1723003200,11.86,11.98,11.6,11.6,3719897
1723089600,11.64,11.955,11.6,11.9,2941228
1723176000,11.95,12,11.65,11.88,3130425
1723435200,11.88,11.9,11.54,11.56,3889688
1723521600,11.66,12.1701,11.655,11.98,7037455
1723608000,11.96,11.99,11.78,11.83,2184449
1723694400,11.89,12.029,11.865,11.88,1926778
1723780800,11.85,12.015,11.82,11.91,1907614
1724040000,11.91,11.995,11.83,11.96,2872158
1724126400,11.89,11.97,11.77,11.92,1794762
1724212800,11.94,12,11.86,11.99,1342233
1724299200,11.98,12.1,11.74,11.87,2468271
1724385600,11.92,12.22,11.895,12.13,4499075
1724644800,12.19,12.28,12.01,12.01,1838979
1724731200,11.99,12.05,11.945,12.02,2029337
1724817600,11.95,12.02,11.825,11.94,1616645
1724904000,11.98,12.05,11.93,11.95,1403436
1724990400,11.97,12.045,11.88,12,1353864
1725336000,11.92,12.18,11.92,12,1995204
1725422400,11.95,12.04,11.79,11.86,3325181
1725508800,11.84,11.99,11.77,11.82,1869440
1725595200,11.86,11.935,11.6301,11.66,1542194
1725854400,11.65,11.965,11.63,11.73,2681770
1725940800,11.74,11.855,11.59,11.82,1616564
1726027200,11.7,11.74,11.325,11.38,2144172
1726113600,11.37,11.45,11.22,11.25,2335066
1726200000,11.39,11.61,11.35,11.6,3293053
1726459200,11.61,11.75,11.57,11.66,1586806
1726545600,11.7,11.75,11.48,11.52,1867636
1726632000,11.53,11.615,11.37,11.44,1492505
1726718400,11.63,11.655,11.43,11.46,1424146
1726804800,11.34,11.41,11.23,11.25,7775421
1727064000,11.25,11.55,11.19,11.51,2083651
1727150400,11.51,11.51,11.24,11.4,1815377
1727236800,11.4,11.475,11.225,11.25,2029117
1727323200,11.32,11.4,11.2,11.35,1630214
1727409600,11.45,11.52,11.275,11.41,1242547
1727668800,11.44,11.595,11.37,11.51,1963617
1727755200,11.57,11.67,11.465,11.5,1467716
1727841600,11.46,11.595,11.445,11.58,1190885
1727928000,11.5,11.56,11.37,11.5,1798224
1728014400,11.53,11.58,10.98,11.29,2056243
1728273600,11.32,11.32,11.03,11.25,2085741
1728360000,11.29,11.54,11.2,11.38,1940616
1728446400,11.35,11.53,11.3,11.46,1192110
1728532800,11.45,11.45,11.2,11.33,1563467
1728619200,11.39,11.45,11.27,11.35,1071212
1728878400,11.37,11.43,11.265,11.36,2272358
1728964800,11.4,11.44,11.03,11.12,2741083
1729051200,11.27,11.5,11.15,11.44,1887364
1729137600,11.36,11.47,11.26,11.46,1956880
1729224000,11.47,11.565,11.38,11.54,1796382
1729483200,11.48,11.6,11.26,11.26,1432406
1729569600,11.2,11.31,11,11.07,5223368
1729656000,11.11,11.13,10.85,10.93,1625579
1729742400,10.95,10.97,10.775,10.78,1992593
