T,O,H,L,C,V
1713844800,69.24,71.14,68.1,70.05,108774
1713931200,69.95,70.78,68.94,69.27,55577
1714017600,68.63,69.685,67.71,69.17,107918
1714104000,69.05,69.98,68.49,68.74,61719
1714363200,68.7,69.4,68.52,69.4,79944
1714449600,68.71,68.9,67.26,67.27,76536
1714536000,67.09,68.27,66.145,67.25,73155
1714622400,67.87,68.01,67.18,68.01,67295
1714708800,69.08,69.77,68.73,68.9,80578
1714968000,69.38,69.71,68.62,68.89,59639
1715054400,68.61,69.11,67.92,68.51,88871
1715140800,67.75,69.46,67.73,69.3,153540
1715227200,68.97,70.855,68.97,70.31,121261
1715313600,70.62,70.62,69.22,70.38,85847
1715572800,70.76,72.01,68.89,69.22,90225
1715659200,69.92,70.54,68.84,70.32,98955
1715745600,70.86,70.86,69.14,69.48,104090
1715832000,69.83,69.83,68.77,68.97,96060
1715918400,68.3,68.89,67.88,68.4,84806
1716177600,68.42,68.42,67.5425,67.87,44590
1716264000,68.13,69.18,67.85,68.09,150008
1716350400,67.98,68.17,66.69,67.08,80047
1716436800,67.1,67.1,65.7,66.55,98324
1716523200,66.71,67.78,66.71,66.85,81436
1716868800,67.19,67.3383,66.94,67.12,50930
1716955200,66.29,66.75,65.09,65.2,97202
1717041600,64.97,67.315,64.95,66.36,146483
1717128000,62.5,67.57,60.81,62.5,365036
1717387200,63.93,64.71,62.56,64.14,152301
1717473600,63.49,64.29,60.76,61.62,245598
1717560000,62.13,63.19,61.56,63.13,145949
1717646400,62.77,63.77,62.63,63.35,122353
1717732800,62.56,63.43,62.23,62.57,101660
1717992000,62.18,62.18,60.605,61.22,132647
1718078400,61.05,61.23,60.32,60.86,76321
1718164800,61.62,63.4615,61.62,62.54,109892
1718251200,61.97,62.57,61.71,62.37,80675
1718337600,61.7,62.04,61.25,61.67,102911
1718596800,61.52,63.6,61.52,63.2,113770
1718683200,63.08,63.745,62,62.51,172196
1718856000,62.09,63.9807,61.99,63.76,82410
1718942400,63.51,64.95,63.31,63.99,131383
1719201600,64.34,65.86,64,65.19,68805
1719288000,64.92,65.28,62.63,62.93,90241
1719374400,62.81,63.21,62.43,62.62,58632
1719460800,62.97,63.44,62.05,63.36,136018
1719547200,63.75,64.71,63.61,64.03,101253
1719806400,64.09,64.7248,63,63.22,22060
1719892800,63.07,64.32,63.07,64.17,106050
1719979200,64.13,64.73,63.53,64.52,27040
1720152000,64.55,64.92,62.8,63.18,78175
1720411200,63.16,63.6493,61.835,62.03,59734
1720497600,61.84,61.98,59.96,61.43,218419
1720584000,61.46,63.9,61.46,63.68,67207
1720670400,64.33,67.249,63.98,67.15,75576
1720756800,67.2,69.86,67.2,69.32,118174
1721016000,69.79,69.855,68.58,68.75,94078
1721102400,68.73,71.1,68.64,70.89,73871
1721188800,70.18,71.31,69.87,70.68,101287
1721275200,70.21,71.6875,69.89,70.6,78121
1721361600,70.3,70.76,69.01,69.33,116206
1721620800,69.71,70.76,68.47,70.45,43696
1721707200,69.29,69.29,65.2,68.42,292001
1721793600,68.47,69.915,66.23,66.49,97696
1721880000,66.49,69,65.79,68.34,84772
1721966400,69.025,72.25,68.88,72.23,88811
1722225600,72.44,72.46,69.71,70.76,118714
1722312000,70.66,72.32,70.66,72.02,70168
1722398400,72.94,74,71.815,72.42,52123
1722484800,71.97,72.45,69.515,69.72,97281
1722571200,68.32,69.445,67.77,69.34,108561
1722830400,65.4,68.23,64.54,68.13,51932
1722916800,68.21,69.08,67.26,67.84,213227
1723003200,68.65,69.51,65.7,66.1,137311
1723089600,67.09,67.89,66.42,67.4,165910
1723176000,67.32,67.57,66.115,66.29,44722
1723435200,66.23,66.9,65.18,65.42,53962
1723521600,66.17,68.13,65.97,67.71,53520
1723608000,67.42,68.25,66.84,66.99,96598
