T,O,H,L,C,V
1713844800,98.11,99.05,97.9,98.2,2148843
1713931200,97.51,99.19,96.68,98.96,2652668
1714017600,98.84,99.605,98.01,99.03,2540756
1714104000,99,99.22,97.62,97.71,1994792
1714363200,98.25,99.08,98.21,98.73,2125094
1714449600,98.29,98.9399,97.65,98.26,2565865
1714536000,97.95,100.56,97.49,99.78,4862019
1714622400,100,100.0783,98.58,99.31,2808054
1714708800,99.85,100.34,99.1,100.26,4338461
1714968000,100.49,100.74,99.85,100.42,3081700
1715054400,101,102.36,100.3,102.26,5230079
1715140800,102.43,102.64,101.67,102.38,3497934
1715227200,102.25,103.05,102,103.02,2996222
1715313600,103.49,103.64,102.6,102.67,2778688
1715572800,102.7,103.83,102.61,102.89,2185261
1715659200,103.16,103.26,102.2257,102.31,2168178
1715745600,103.3,103.66,102.8601,103.35,2636053
1715832000,102.3,103.25,102.3,102.84,4143362
1715918400,103.14,103.93,102.44,103.89,3694076
1716177600,103.93,103.93,103.33,103.66,2089005
1716264000,103.79,104.6,103.25,104.38,2753641
1716350400,103.9,104.38,103.14,103.44,3124944
1716436800,103,103.15,101.61,101.79,2529900
1716523200,102.02,102.495,101.67,102.17,1864573
1716868800,101.9,102.67,101.095,101.18,2472533
1716955200,100.53,100.8599,100.03,100.42,2527921
1717041600,100.78,101.36,100.02,101.3,2423988
1717128000,101.62,103.64,101.45,103.57,4000781
1717387200,103.09,103.815,102.82,103.41,3429750
1717473600,103.25,104.8693,103.05,104.6,4822705
1717560000,104.4,104.6,103.025,103.2,2228298
1717646400,103.04,103.82,102.52,102.86,1945296
1717732800,102,103.78,101.7318,102.62,1886828
1717992000,102.5,102.98,101.92,102.52,1915559
1718078400,102.01,102.67,101.29,102.36,2434466
1718164800,103,103.26,100.925,101.32,2397272
1718251200,101.29,101.7999,100.4499,101.26,1811224
1718337600,100.89,102.39,100.67,102.36,2668062
1718596800,101.95,102.095,100.69,100.8,2953111
1718683200,100.73,101.14,99.7,100.03,2469400
1718856000,100.25,100.73,99.401,100.1,3084988
1718942400,100.29,101.05,99.55,99.84,4986006
1719201600,99.99,101.84,99.7792,101.51,2026388
1719288000,101.24,101.46,99.96,100.2,2145406
1719374400,99.85,100.21,99.3,99.95,1958946
1719460800,100,100.89,99.75,100.59,2358016
1719547200,100.59,100.76,99.65,100.23,3898744
1719806400,100.73,101.26,99.2867,99.35,2097633
1719892800,99.63,100.01,99.21,99.81,1856087
1719979200,99.72,101.07,99.54,99.84,1072695
1720152000,100,100.97,99.55,100.56,1929944
1720411200,100.44,101.39,100.03,100.64,2535169
1720497600,100.59,101.4,100.3,100.94,3200563
1720584000,101.25,102.9,100.9,102.83,3128571
1720670400,103.06,104.89,102.66,104.46,3331254
1720756800,104.68,105.9,104.2709,105.39,2715453
1721016000,104.69,105.39,104.015,105.32,2863449
1721102400,106.31,107.2559,105.8502,106.53,3056995
1721188800,107.07,108.44,105.65,107.52,3374837
1721275200,107.01,108.59,106.715,106.91,2638710
1721361600,107.58,107.605,106.31,106.92,2163194
1721620800,106.94,107.7,106.58,107.54,2373275
1721707200,107.48,107.9,107.02,107.12,1512114
1721793600,108.25,108.92,107.04,108.6,2875664
1721880000,109,110.02,106.95,107.56,3165244
1721966400,107.8,108.48,107.41,108.03,2270522
1722225600,108.28,109.2,107.94,108.68,3445128
1722312000,108.12,110.03,107.895,109.9,2929982
1722398400,108.9,109.75,108.43,109.27,3946121
1722484800,109.77,112.71,109.27,112.6,3975502
1722571200,114.35,116.67,111.65,113.92,4606697
1722830400,114.11,114.98,111.01,111.01,4918669
1722916800,112.49,114.2,111.36,112.92,4289815
1723003200,113.22,114.78,112.63,113.51,4921524
1723089600,112.47,113.96,111.9,112.43,4716709
1723176000,112.95,112.96,111.13,112.67,2218742
1723435200,112.63,113.42,112.095,113.37,3058672
1723521600,113.35,113.94,112.77,113.72,2732952
1723608000,113.38,114.54,112.81,113.46,1979232
1723694400,112.93,113.269,112.4,113.11,2658325
1723780800,112.38,112.65,111.61,112.3,2642700
1724040000,112.28,113.18,112.25,112.72,1716210
1724126400,112.91,113.41,112.1,112.38,2822667
1724212800,112.37,113.16,112.255,112.73,2798787
1724299200,112.66,112.68,111.45,112.12,5459732
1724385600,112.25,113,111.9,112.36,2732539
1724644800,112.53,113.63,112.01,113.01,3038898
1724731200,112.77,113.09,111.775,111.9,2136530
1724817600,112.39,113.64,111.89,112.7,2429737
1724904000,112.7,113.07,111.85,112.99,2022057
1724990400,113,114.08,112.84,113.95,3022442
1725336000,114,116.4099,113.91,115.79,3792664
1725422400,116.48,117.93,116.19,117.06,2795025
1725508800,117.77,118.11,116.32,116.85,2585878
1725595200,117.05,117.33,116.225,116.6,3482508
1725854400,116.93,117.25,115.94,117.16,2829822
