T,O,H,L,C,V
1713844800,29.72,30.67,29.56,30.49,1884491
1713931200,30.7,31.15,30.5,30.79,1159393
1714017600,30.06,30.32,29.82,30.14,1579115
1714104000,30.55,30.78,30.17,30.23,1071333
1714363200,30.38,30.665,30.15,30.6,3001431
1714449600,30.43,30.445,29.3,29.3,2892760
1714536000,29.4,30.32,29.18,29.72,1242707
1714622400,29.89,30.57,29.44,30.34,1237489
1714708800,30.84,30.84,30.11,30.37,1357278
1714968000,30.63,31.04,30.57,31.03,1251936
1715054400,31,31.11,30.23,30.57,4882051
1715140800,18.67,19.025,17.74,18.78,20293200
1715227200,18.66,19.3,18.465,18.83,7987944
1715313600,18.9,19.38,18.615,18.89,4861875
1715572800,19.03,19.36,18.76,19.29,3530441
1715659200,19.4,19.89,18.82,18.88,3794181
1715745600,19.09,19.38,18.495,19.35,3088513
1715832000,19.41,19.42,18.88,18.88,4829557
1715918400,19.64,19.74,19.01,19.54,5196377
1716177600,19.6,19.82,18.61,19.02,6126956
1716264000,18.9,18.91,18.46,18.8,2336289
1716350400,18.86,19.4,18.8001,18.94,4856059
1716436800,18.98,19.05,18.565,18.65,2237463
1716523200,18.58,18.8,18.52,18.76,3311952
1716868800,18.85,19.23,18.63,19.05,1623372
1716955200,18.76,19.1,18.63,19.04,2508857
1717041600,18.83,18.98,18.32,18.47,2929200
1717128000,18.47,18.73,18.08,18.2,3748986
1717387200,18.52,18.52,17.955,18,2072645
1717473600,17.95,18,17.5,17.59,2524426
1717560000,17.75,18.37,17.59,18.32,2523560
1717646400,18.18,18.87,18.18,18.81,1563907
1717732800,18.63,18.93,18.61,18.67,2234896
1717992000,18.53,18.66,18.315,18.47,1778767
1718078400,18.39,18.405,17.965,18,1741224
1718164800,18.38,18.8,18.3,18.66,2691668
1718251200,18.73,18.85,18.15,18.29,2261368
1718337600,18.26,18.91,18.11,18.7,3422092
1718596800,18.62,19.24,18.61,18.78,3993491
1718683200,18.78,19.03,18.43,18.61,4384454
1718856000,18.83,19.26,18.735,18.89,3401213
1718942400,18.87,19.51,18.8381,19.5,5034761
1719201600,19.4,19.5,19.02,19.05,2135898
1719288000,18.68,19.04,18.55,18.95,2576884
1719374400,18.93,19.2,18.82,19.2,2144200
1719460800,19.1,19.27,18.9,19.05,1488990
1719547200,19.24,19.53,18.93,19.47,4154649
1719806400,19.42,19.82,19.28,19.74,2124176
1719892800,19.74,20.04,19.71,19.76,2010588
1719979200,19.78,20.18,19.63,20.07,920185
1720152000,19.9,20.26,19.83,20.07,1978892
1720411200,20.02,20.34,19.97,20.04,1912369
1720497600,19.92,20.1,19.845,19.99,1768833
1720584000,20.08,20.115,19.73,19.93,1418851
1720670400,20.25,20.58,19.84,20.03,1544182
1720756800,20.17,20.21,19.95,19.95,1742704
1721016000,20.16,20.2,19.75,19.95,3593737
1721102400,20.15,20.37,19.95,20.13,3114596
1721188800,20.01,20.59,19.99,20.02,2769121
1721275200,20.21,20.44,19.44,19.63,3161832
1721361600,19.69,20.12,19.44,20.01,1974783
1721620800,20.13,20.27,19.85,20.25,1895890
1721707200,20.24,20.65,20.24,20.37,1165445
1721793600,20.13,20.19,19.49,19.71,3798820
1721880000,19.88,20.49,19.6,20.25,3241201
1721966400,20.55,20.66,20.13,20.52,2571175
1722225600,20.72,20.87,20.275,20.34,2556668
1722312000,20.4,21.65,20.315,21.58,4806062
1722398400,20.98,21.89,20.42,21.12,4354231
1722484800,21.34,21.6,20.885,21.06,3035559
1722571200,20.66,20.66,20,20.36,2786784
1722830400,19.36,19.945,19,19.33,2952869
1722916800,19.38,19.5,18.81,18.97,3026382
1723003200,19.19,19.34,18.5,18.52,3765576
1723089600,18.71,18.86,18.43,18.81,3035641
1723176000,18.87,19.005,18.63,18.79,1655632
1723435200,18.79,18.89,18.33,18.37,1460952
1723521600,18.47,18.67,18.15,18.31,3421270
1723608000,18.45,18.61,18.21,18.25,2899650
1723694400,18.59,19.02,18.52,18.79,3607355
1723780800,18.72,19.08,18.62,19.03,1359545
1724040000,19.06,19.41,19.01,19.39,961153
1724126400,19.33,19.4,19.11,19.21,1391784
1724212800,19.33,19.68,19.27,19.68,1481022
1724299200,19.69,19.76,19.06,19.11,947007
1724385600,19.26,19.565,19.205,19.52,832060
1724644800,19.56,19.67,19.35,19.51,835994
1724731200,19.36,19.485,19.21,19.41,899288
1724817600,19.32,19.45,19.025,19.19,1221344
1724904000,19.43,19.89,19.395,19.78,1217599
1724990400,19.94,19.97,19.61,19.7,1980070
1725336000,19.64,19.81,19.32,19.37,1028040
1725422400,19.2,19.6,19.192,19.3,1336974
1725508800,19.24,19.41,19.0225,19.09,796336
1725595200,19.19,19.23,18.06,18.12,1485871
1725854400,18.18,18.24,17.8,18,2731207
1725940800,18.14,18.14,17.49,17.83,1810362
1726027200,17.8,17.98,17.55,17.94,2693064
1726113600,18.06,18.16,17.235,17.48,4452716
1726200000,17.6,17.675,17.22,17.42,4360658
1726459200,17.42,17.63,16.935,17.09,3978659
1726545600,17.22,17.57,17.085,17.16,3163000
1726632000,17.15,17.86,17.1,17.29,2514693
1726718400,17.73,17.73,17.12,17.23,2893105
1726804800,17.3,17.3,16.963,17.19,4632401
1727064000,17.09,17.33,16.88,17.33,1808319
1727150400,17.49,17.6,17.25,17.58,2232867
1727236800,17.5,17.52,16.87,16.87,1579865
1727323200,17.14,17.27,16.81,17.26,3302188
1727409600,17.35,17.49,17.02,17.16,2423476
1727668800,17.1,17.225,16.745,16.84,3024695
1727755200,16.81,17,16.525,16.75,3556972
1727841600,16.77,16.955,16.56,16.89,2233857
1727928000,16.71,16.97,16.71,16.77,2157538
1728014400,17.03,17.26,16.85,17.25,2168639
1728273600,17.23,17.27,16.725,16.82,1840318
1728360000,16.63,17.1102,16.63,16.83,1610252
1728446400,16.8,16.8677,16.485,16.54,1455480
1728532800,16.59,16.776,16.38,16.76,2038561
1728619200,16.67,17.13,16.6166,17.08,1850550
1728878400,17.14,17.625,16.89,17.57,3101554
1728964800,17.61,17.77,17.23,17.33,2191243
1729051200,17.49,17.53,17.08,17.12,1440218
1729137600,17.18,17.395,16.965,17.35,1268169
1729224000,17.49,17.52,17.24,17.35,882677
1729483200,17.26,17.53,17.24,17.43,1111468
1729569600,17.3,17.37,16.51,16.55,1904552
1729656000,16.5,16.505,16.115,16.24,3682245
1729742400,16.43,17,16.3,16.81,2669061
1729828800,16.84,17.38,16.76,17.35,2631621
1730088000,17.53,17.918,17.4,17.46,2093630
1730174400,17.29,17.53,17.1,17.3,2490700
1730260800,17.31,17.755,17.06,17.11,1777030
1730347200,17.08,17.35,16.995,17.05,2835625
1730433600,16.96,17.4,16.79,17.17,1719718
1730696400,17.12,17.77,17.12,17.52,1697126
1730782800,17.57,18.41,17.47,18.37,2481933
1730869200,18.79,19.71,18.5467,19.55,3748147
1730955600,18.85,20.505,18.8435,19.72,5259088
1731042000,19.65,19.9,19.13,19.33,5072401
1731301200,19.49,20.245,19.33,20.14,2852157
1731387600,19.91,20.62,19.82,20.4,2649551
1731474000,20.4,20.5999,19.895,20.33,2875479
1731560400,20.41,20.5,19.99,20.05,2189132
1731646800,19.9,19.9,19.095,19.14,1858095
1731906000,19.22,19.22,18.85,19.21,1763020
1731992400,19.01,19.35,18.99,19.28,1808031
1732078800,19.29,19.52,19.13,19.33,1561449
1732165200,19.57,20.065,19.44,20,1515788
1732251600,20.14,20.29,19.9,20.07,1106284
1732510800,20.3,20.76,20.18,20.63,1769059
1732597200,20.47,20.69,20.08,20.5,1507742
1732683600,20.62,20.62,20.265,20.35,1051308
1732856400,20.42,20.5,20.075,20.33,804901
1733115600,20.22,20.8889,19.97,20.73,1834215
1733202000,20.58,20.72,20.43,20.54,1006743
1733288400,20.89,21.28,20.72,21.06,1016497
1733374800,21.25,21.31,20.53,20.56,1099505
1733461200,20.93,20.93,20.562,20.67,743094
1733720400,20.79,20.86,20.26,20.34,1273074
1733806800,20.22,20.645,20.12,20.47,1163589
1733893200,20.49,20.83,20.46,20.77,1791131
1733979600,20.62,20.63,19.995,20.1,1290051
1734066000,20.11,20.19,19.75,20.08,1248575
1734325200,20,20.16,19.82,20.1,1204864
1734411600,20,20.215,19.82,19.95,1295876
1734498000,20.47,20.86,19.815,19.85,2656930
1734584400,19.97,20.16,19.53,19.69,1911681
1734670800,19.5,20.19,19.3001,19.96,4525939
1734930000,19.86,20.0597,19.47,19.57,1543595
1735016400,19.59,19.94,19.59,19.76,783299
1735189200,19.62,19.96,19.61,19.85,1225687
1735275600,19.8,19.94,19.19,19.63,1361356
1735534800,19.41,19.55,19.24,19.37,2049944
1735621200,19.51,19.51,19.115,19.21,1111874
1735794000,19.49,19.67,19.145,19.26,1811088
1735880400,19.4,19.671,19.321,19.61,1317039
1736139600,19.85,19.95,19.375,19.45,1596289
1736226000,19.53,19.73,19.13,19.22,1353615
1736312400,19.55,20.99,19.3,19.96,4050011
1736485200,19.64,19.76,19.12,19.32,2646341
1736744400,19.01,19.215,18.955,19.07,2054268
1736830800,19.1,19.4,19.04,19.23,1358077
1736917200,19.58,19.86,19.45,19.52,1075372
1737003600,19.58,19.69,19.28,19.39,1055976
1737090000,19.67,19.67,19.4,19.47,1198703
1737435600,19.66,20.0066,19.605,19.93,1519030
1737522000,20,20.01,19.8,19.9,574216
1737608400,19.69,19.83,19.53,19.74,1353878
1737694800,19.82,20.14,19.63,20.02,1053706
1737954000,19.8,20.965,19.65,20.26,1353107
1738040400,20.21,20.83,19.96,20.67,1114590
1738126800,20.75,20.785,20.21,20.51,1081567
1738213200,20.52,20.81,20.45,20.59,856009
1738299600,20.75,20.8016,20.4173,20.61,1085663
1738558800,20.25,21.77,20.235,21.48,1829766
1738645200,21.72,21.79,21.37,21.67,1345520
1738731600,21.82,22.17,21.82,22.06,1098850
1738818000,21.86,22.0338,21.58,21.73,1015275
1738904400,21.88,21.9358,21.56,21.69,769796
1739163600,21.92,22.03,21.71,21.96,854737
1739250000,21.85,22.64,21.85,22.47,1569883
1739336400,22.09,22.96,22.05,22.9,1575566
1739422800,23.02,23.11,22.605,23.01,1868652
1739509200,23.05,23.08,22.56,22.57,971856
1739854800,22.68,23.08,22.4001,23.07,1144042
1739941200,22.92,23.02,22.5,22.5,1221714
1740027600,22.49,22.655,21.82,22.35,1301992
1740114000,22.435,22.475,21.52,21.68,1164162
1740373200,21.89,22.895,21.7677,22.32,2087486
1740459600,22.16,22.222,21.775,22.1,1623969
1740546000,22.41,22.41,21.42,21.59,2040010
1740632400,21.6,22.2,21.44,21.73,2718021
1740718800,16.94,17.085,13.4201,13.9,14923007
1740978000,13.81,15.44,13.63,14.9,8305759
1741064400,14.21,14.695,13.89,14.21,4348516
1741150800,14.2,14.96,14.16,14.77,4354250
1741237200,14.6,15.195,14.59,15.03,4087506
1741323600,14.92,15.555,14.74,15.08,2946941
1741579200,14.9,15.38,14.74,15.18,3370098
1741665600,15.21,15.57,14.81,14.97,3654646
1741752000,15.18,15.2238,14.14,14.61,2719621
1741838400,14.57,14.63,13.93,13.95,2507641
1741924800,14.08,14.53,14.06,14.36,2598457
1742184000,14.42,14.6863,14.16,14.54,2264131
1742270400,14.48,14.575,14.235,14.5,2615339
1742356800,14.49,14.72,14.325,14.55,2148864
1742443200,14.39,14.74,14.375,14.47,1473977
1742529600,14.34,14.38,13.96,14.08,3258656
1742788800,14.34,14.34,14.05,14.29,2489784
1742875200,14.26,14.51,14.19,14.35,2689948
1742961600,14.38,14.46,14,14.06,2175231
1743048000,13.96,14.345,13.785,13.99,3630814
1743134400,13.77,13.84,13.135,13.34,3307928
1743393600,13.07,13.415,12.81,13.37,2532765
1743480000,13.39,13.555,13.1,13.51,2077708
1743566400,13.32,13.575,13.23,13.39,2566188
1743652800,12.98,13.0799,12.46,12.64,3112447
1743739200,12.02,12.68,12.02,12.45,3156075
1743998400,12,12.68,11.6,11.94,2413414
1744084800,12.35,12.39,11.73,11.86,1897627
1744171200,11.72,13.49,11.52,13.37,3094740
1744257600,13,13.11,12.44,12.65,2067270
1744344000,12.68,12.82,12.1,12.57,3505705
1744603200,12.82,12.97,11.86,12.17,2662741
1744689600,12.35,12.365,12.125,12.21,1797376
1744776000,12.15,12.32,11.86,12.07,2263953
1744862400,12.08,12.605,11.985,12.48,2140193
1745208000,12.4,12.4,12.01,12.21,2664764
