T,O,H,L,C,V
1713844800,7.26,7.34,7.18,7.29,926045
1713931200,7.24,7.24,7.16,7.17,1076713
1714017600,7.08,7.26,7.05,7.21,1359154
1714104000,7.44,7.53,7.325,7.39,1450454
1714363200,7.43,7.48,7.4,7.43,824100
1714449600,7.39,7.445,7.325,7.36,1082829
1714536000,7.38,7.535,7.33,7.44,652954
1714622400,7.58,7.69,7.57,7.63,890399
1714708800,7.8,7.93,7.76,7.78,1007669
1714968000,7.77,7.91,7.77,7.81,602647
1715054400,7.86,7.925,7.835,7.89,621215
1715140800,7.71,7.89,7.71,7.83,764983
1715227200,7.46,7.46,7.235,7.36,2043198
1715313600,7.41,7.42,7.22,7.3,1140976
1715572800,7.42,7.48,7.36,7.39,727976
1715659200,7.4,7.53,7.39,7.47,1143629
1715745600,7.5,7.5,7.32,7.42,981391
1715832000,7.45,7.54,7.42,7.5,444799
1715918400,7.5,7.515,7.43,7.5,685556
1716177600,7.44,7.53,7.27,7.29,1241536
1716264000,7.25,7.365,7.17,7.35,1115965
1716350400,7.19,7.19,7.01,7.05,2193861
1716436800,7.08,7.1,6.96,7.02,594924
1716523200,7.07,7.149,7.025,7.04,413642
1716868800,7.13,7.165,6.9601,7,441899
1716955200,6.86,6.875,6.775,6.8,652402
1717041600,6.86,6.94,6.815,6.87,269638
1717128000,6.78,6.78,6.655,6.68,1151190
1717387200,6.68,6.83,6.63,6.83,817826
1717473600,6.72,6.82,6.72,6.81,841752
1717560000,6.84,6.91,6.755,6.84,988736
1717646400,6.91,7.0499,6.88,6.97,806027
1717732800,6.84,6.915,6.71,6.75,691621
1717992000,6.73,6.79,6.675,6.75,840010
1718078400,6.79,6.84,6.75,6.76,863749
1718164800,6.8,6.8,6.57,6.59,1877072
1718251200,6.6,6.67,6.54,6.62,1936092
1718337600,6.54,6.68,6.485,6.61,1826703
1718596800,6.54,6.579,6.4406,6.52,1243256
1718683200,6.44,6.555,6.415,6.48,1031173
1718856000,6.52,6.545,6.32,6.33,1376305
1718942400,6.36,6.44,6.335,6.4,1863129
1719201600,6.48,6.615,6.48,6.54,673673
1719288000,6.46,6.48,6.39,6.43,884575
1719374400,6.22,6.34,6.21,6.32,597723
1719460800,6.33,6.555,6.32,6.52,1737730
1719547200,6.5,6.62,6.42,6.43,1801827
1719806400,6.47,6.63,6.45,6.5,970644
1719892800,6.49,6.62,6.455,6.58,1738025
1719979200,6.76,6.86,6.715,6.81,859153
1720152000,7.04,7.078,6.925,6.97,2229505
1720411200,6.94,7.05,6.91,6.94,640666
1720497600,6.95,7.1385,6.94,7.1,1079709
1720584000,7.24,7.24,7.07,7.1,598259
1720670400,7.15,7.19,7.045,7.1,3113481
1720756800,7.14,7.25,7.115,7.22,1671723
1721016000,7.15,7.17,7.105,7.14,675846
1721102400,7.2,7.225,7.12,7.19,577660
1721188800,7.13,7.16,7.08,7.09,944520
1721275200,6.99,6.99,6.725,6.74,1564126
1721361600,6.84,6.84,6.6,6.65,761460
1721620800,6.73,6.85,6.69,6.83,885622
1721707200,6.74,6.75,6.645,6.69,754572
1721793600,6.6,6.695,6.535,6.62,987186
1721880000,6.66,6.685,6.595,6.63,1210816
1721966400,6.66,6.82,6.66,6.81,655140
1722225600,6.84,6.84,6.74,6.77,1223552
1722312000,6.77,6.81,6.715,6.81,804023
1722398400,6.92,7.065,6.92,7.01,1053750
1722484800,7.08,7.165,6.955,6.99,936686
1722571200,6.98,6.98,6.725,6.74,1171440
1722830400,6.51,6.71,6.48,6.58,1187890
1722916800,6.69,6.77,6.65,6.65,690868
1723003200,6.75,6.81,6.67,6.72,940177
1723089600,6.81,6.985,6.755,6.91,719321
1723176000,7.11,7.28,7.045,7.24,765136
1723435200,7.29,7.32,7.14,7.2,847864
1723521600,7.23,7.33,7.225,7.31,443768
1723608000,7.34,7.45,7.34,7.38,684931
1723694400,7.34,7.48,7.34,7.43,1390019
1723780800,7.52,7.56,7.4,7.42,975122
1724040000,7.44,7.71,7.44,7.71,1212463
1724126400,7.6,7.63,7.525,7.58,961385
1724212800,7.59,7.66,7.53,7.6,355562
