T,O,H,L,C,V
1730433600,53.5,61.2299,51.75,52.49,2334943
1730696400,51.12,55.82,50,53.7,1307828
1730782800,53.89,55.24,51.51,51.51,1739324
1730869200,52.5,56.06,51.9,54.61,1170449
1730955600,55,63.33,55,62.1,1575021
1731042000,62.91,63.63,61.33,62.93,1177336
1731301200,62.59,67.1099,62.59,63.85,1582420
1731387600,63.75,65.0165,59.83,61.03,623807
1731474000,61.53,64.21,58.91,59.22,340644
1731560400,59.13,60.78,56.59,56.74,536182
1731646800,55.56,57.13,55.4456,56.34,513157
1731906000,56.32,59.86,56.18,59.32,730055
1731992400,58.98,62.94,58.6,61.39,348492
1732078800,61.23,61.93,60.07,60.08,517036
1732165200,60.39,64.35,59.985,64.28,820622
1732251600,64.73,66.25,63.97,65.07,485492
1732510800,66,67.99,63.52,63.91,529828
1732597200,64.02,65.57,63.52,64.55,364622
1732683600,64,65,63.315,64.66,418967
1732856400,65.52,65.52,63.305,63.66,265890
1733115600,63.4,64.13,61.88,62.9,372209
1733202000,62.57,65.87,61.54,65.47,632097
1733288400,67.24,68.31,64.65,67.25,506770
1733374800,69.15,70.37,66.1933,68.24,671479
1733461200,69.01,70.2499,66.91,68.62,351726
1733720400,67.92,69.68,66.5444,66.95,452860
1733806800,66.99,67.78,65.59,66.16,305093
1733893200,67.09,67.85,65.82,67.83,692522
1733979600,67.81,71.035,67.23,68.8,702235
1734066000,68.78,69.475,67.05,68.17,312143
1734325200,68.34,71.42,67.59,71.16,430819
1734411600,70.7,70.77,68.83,69.67,644434
1734498000,70.47,71.26,68.06,68.5,1098346
1734584400,68.82,69.98,64.22,64.6,1077940
1734670800,63.55,67.39,62.56,67.09,1509329
1734930000,66.57,68.82,66.375,68.8,400871
1735016400,68.76,70.65,68.4,70.58,168507
1735189200,70.36,73.73,69.77,73.61,228330
1735275600,72.75,73.01,69.05,69.85,273222
1735534800,69.16,69.17,66.22,66.87,464237
1735621200,66.99,67.52,65.28,65.75,564796
1735794000,66.25,70.65,65.77,69.28,735600
1735880400,68.92,69.93,67.345,68.96,586592
1736139600,69.1,70.75,67.48,67.7,435410
1736226000,67.67,70.14,67.45,69.12,505869
1736312400,68.59,69.82,66.53,66.66,412456
1736485200,66.13,67.53,64.6,64.67,277621
1736744400,64.55,66.06,64.5,65.87,282977
1736830800,66.64,69.92,66.64,69.34,216106
1736917200,71.9,73.83,69.88,69.95,464210
1737003600,69.9,70.2,66.18,66.29,641577
1737090000,66.8,71.24,66.5,69.68,1976260
1737435600,70.76,73.505,69.67,72.5,325439
1737522000,72.92,77.0299,72.575,76.1,591202
1737608400,75.45,76.21,74.025,75.34,525672
1737694800,75.32,77.9325,75.2,76.76,748568
1737954000,73.25,73.3,66.07,68.45,1705377
1738040400,70.07,70.75,64.86,67.99,747562
1738126800,67.7,69.035,66.36,66.56,519385
1738213200,68.32,71.23,67.6,70.49,468807
1738299600,70.96,71.08,67.305,68.81,901408
1738558800,66.81,68.74,66.47,66.65,428867
1738645200,66.65,68.12,65.885,67.61,362370
1738731600,68.16,70.35,67.24,69.08,362114
1738818000,69.75,71.0117,68.25,70.72,282229
1738904400,71.21,72.3,70.02,70.28,440989
1739163600,70.6,71,68.1825,69.92,382823
1739250000,69.14,69.86,66.87,68.42,456508
1739336400,65.89,65.89,55.51,55.99,2042991
1739422800,56,56.05,47.62,49.54,1851638
1739509200,49.41,50.41,47.34,48.14,1010357
1739854800,48.46,49.2099,46.3,47.89,1048851
1739941200,47.51,47.86,46.16,46.58,851576
1740027600,47.29,47.38,45.73,46.54,651234
1740114000,46.81,46.91,43.395,43.56,747659
1740373200,43.24,43.83,38.46,38.62,1372635
1740459600,38.64,42.94,37.84,42.3,1382104
1740546000,42.42,45.83,42.31,45,1253194
1740632400,44.72,46,41.75,41.9,1725930
1740718800,41.79,43.1,41.13,41.6,788814
1740978000,41.94,41.955,38.985,39.29,512711
1741064400,38.61,38.97,37.18,38.01,573126
1741150800,38.1,39.95,37.51,39.86,672920
1741237200,38.66,39.8,37.65,39.54,773850
1741323600,39.75,40.25,38,39.97,489273
1741579200,39.13,39.61,38.17,38.24,840365
1741665600,38.6,39.97,37.56,37.9,769271
1741752000,39.04,39.6899,37.27,38.73,617334
1741838400,38.76,39.1,37,37.79,555809
1741924800,38.65,40.35,37.47,38.05,931884
1742184000,38.13,39.38,37.66,38.98,635213
1742270400,38,38.36,36.96,37.69,376173
1742356800,37.6,40.4299,37.58,39.96,592519
1742443200,39.5,41,39.208,40.2,594465
1742529600,39.47,40.35,38.94,39.21,1697751
1742788800,39.95,41.69,39.64,41.35,491535
1742875200,41.29,41.62,38.4,38.58,463891
1742961600,38.65,38.94,36.275,36.87,749335
1743048000,36.29,36.75,34.41,34.97,801732
1743134400,34.76,36.23,33.9,36.18,943847
1743393600,35.49,37.255,35.14,37.09,705725
1743480000,37.03,37.86,36.03,37.6,850905
1743566400,36.78,38.37,36.71,38.37,973627
1743652800,37.01,37.68,34.745,35.31,803077
1743739200,33.39,34.3863,31.38,33.6,818623
1743998400,32.75,35.55,32.255,35.21,1222938
1744084800,36.57,36.96,34.36,35.07,1059463
1744171200,34.55,40.21,34.55,39.58,783712
1744257600,38.2,39.38,37.1978,37.97,567797
1744344000,37.74,39.01,37.06,38.5,742506
1744603200,39.41,40,36.91,37.51,609832
1744689600,37.7,38.82,37.42,38.54,555948
1744776000,37.63,38.59,37.24,38.17,760735
1744862400,38.25,38.975,37.805,38.85,734774
1745208000,38.34,38.34,35.1948,35.74,396905
