T,O,H,L,C,V
1713844800,14.16,14.47,14.08,14.45,1218217
1713931200,14.32,14.45,14.285,14.34,780340
1714017600,14.36,14.85,14.24,14.78,1604677
1714104000,15.18,16.07,14.99,15.2,2138505
1714363200,15.2,15.65,15,15.19,1495168
1714449600,14.71,14.87,14.255,14.26,1510122
1714536000,14.37,14.81,14.275,14.41,1354123
1714622400,14.3,14.82,14.15,14.64,1250664
1714708800,14.73,14.76,14.195,14.31,1258314
1714968000,14.66,14.83,14.62,14.75,947643
1715054400,14.75,15.025,14.75,14.94,1052070
1715140800,14.76,15.195,14.74,15.09,1033980
1715227200,15.2,15.3199,14.93,15.08,1495477
1715313600,15.29,15.57,15.245,15.3,1667621
1715572800,15.25,15.42,15.02,15.07,1144683
1715659200,15.1,15.23,14.63,14.82,1252705
1715745600,15.09,15.09,14.69,15,1100619
1715832000,14.98,15.38,14.78,15.29,1477131
1715918400,15.54,16.2,15.5,16.19,1681382
1716177600,16.36,16.695,16.323,16.48,1417431
1716264000,16.32,16.555,16.23,16.52,1178943
1716350400,16.25,16.29,15.57,15.72,1477624
1716436800,15.62,15.81,15.33,15.34,1628143
1716523200,15.54,15.6399,15.5,15.59,1010999
1716868800,15.9,15.9999,15.75,15.88,1009304
1716955200,15.96,16.46,15.96,16.07,1674577
1717041600,16.04,16.36,16.02,16.3,1010000
1717128000,16.38,16.45,16.015,16.17,1284453
1717387200,16.17,16.37,16.02,16.2,1363915
1717473600,15.91,15.98,15.49,15.74,1086144
1717560000,15.76,15.83,15.43,15.72,1070729
1717646400,15.7,16.515,15.7,16.36,1963773
1717732800,15.72,15.87,15,15.04,2327891
1717992000,15.05,15.115,14.68,15,1391393
1718078400,14.96,14.96,14.71,14.85,1055434
1718164800,15.32,15.43,14.82,15.02,1392963
1718251200,15.01,15.21,14.67,14.69,1640959
1718337600,14.82,14.9975,14.74,14.77,1514202
1718596800,14.57,14.69,14.14,14.57,1595063
1718683200,14.62,14.9,14.55,14.84,1053456
1718856000,15,15.335,14.94,15.3,1436371
1718942400,15.24,15.32,14.76,15,4692063
1719201600,15.16,15.26,14.96,15,981534
1719288000,14.98,15.08,14.87,15,820754
1719374400,14.91,15.12,14.645,14.78,1349377
1719460800,14.97,15.06,14.76,14.81,1268696
1719547200,14.98,14.98,14.65,14.79,813224
1719806400,14.85,14.95,14.68,14.68,582571
1719892800,14.66,14.82,14.495,14.82,1585708
1719979200,15,15.7,15,15.47,892568
1720152000,15.69,16.07,15.645,15.83,1131410
1720411200,15.76,16.08,15.65,16.06,958286
1720497600,16,16.125,15.8,16.04,630870
1720584000,16.18,16.3489,16.0902,16.17,915501
1720670400,16.66,16.72,16.2,16.59,1635156
1720756800,16.37,16.57,16.285,16.55,1503933
1721016000,16.61,16.8651,16.46,16.65,1610767
1721102400,16.83,17.24,16.74,17.1,2262921
1721188800,17.12,17.28,16.78,16.78,1286762
1721275200,16.95,16.95,16.6,16.71,863010
1721361600,16.2,16.62,16.1,16.44,1258084
1721620800,16.33,16.48,16.11,16.41,1071788
1721707200,16.53,16.62,16.38,16.54,877599
1721793600,16.74,16.99,16.29,16.31,917925
1721880000,15.83,15.89,15.56,15.69,1063126
1721966400,16.19,16.46,15.91,16.01,1138917
1722225600,16.1,16.5799,16.06,16.56,1140153
1722312000,16.61,16.84,16.41,16.62,848636
1722398400,16.92,17.02,16.67,16.96,1390929
1722484800,16.96,17.1343,16.405,16.75,1282638
1722571200,16.96,17.3,16.392,16.84,3716827
1722830400,15.67,16.52,15.34,16.11,2583143
1722916800,16,16.37,15.7756,15.89,1867725
1723003200,16.1,16.1999,15.41,15.48,1465611
1723089600,15.66,16.11,15.53,15.92,2114514
1723176000,16.12,16.17,15.77,16.17,1505707
1723435200,16.37,17.001,16.34,16.92,2166328
1723521600,16.86,17.28,16.8,17.12,2573459
1723608000,17.11,17.43,16.95,17.18,1625729
1723694400,17.3,17.48,16.755,17.35,1779479
1723780800,17.6,17.725,17.315,17.68,2112954
1724040000,17.59,18.14,17.43,18.02,1508048
1724126400,18.31,18.38,17.715,17.92,1296762
1724212800,17.92,17.99,17.64,17.93,777196
1724299200,17.71,17.74,17.35,17.58,1060600
1724385600,17.77,18,17.64,17.74,904305
1724644800,17.89,17.9499,17.67,17.75,582250
1724731200,17.56,17.74,17.45,17.74,742324
1724817600,17.49,17.56,17.055,17.18,1070614
1724904000,17.28,17.47,17.24,17.3,592477
1724990400,17.28,17.3899,17.045,17.25,1160204
1725336000,17.09,17.11,16.23,16.35,1814829
1725422400,16.19,16.36,16.055,16.12,1140697
1725508800,16.37,16.57,16.25,16.41,744657
1725595200,16.32,16.415,15.69,15.82,1038698
1725854400,15.87,16.13,15.87,16.06,535766
1725940800,16.02,16.505,15.958,16.48,804710
1726027200,16.44,16.89,16.42,16.86,1525259
1726113600,17.34,17.925,17.13,17.79,1702965
1726200000,18,18.15,17.73,17.99,1334946
1726459200,17.99,18.05,17.57,17.76,891236
1726545600,17.63,17.68,17.26,17.38,960139
1726632000,17.46,17.9799,17.04,17.06,1458178
1726718400,17.54,17.55,17.09,17.29,1251184
1726804800,17.48,17.73,17.36,17.54,1749477
1727064000,17.64,18,17.5,17.54,1315738
1727150400,17.8,18.0799,17.56,17.91,1571645
1727236800,17.9,18.29,17.83,18.28,2243981
1727323200,18.46,18.8498,18.4,18.48,2047362
1727409600,18.43,18.5481,17.56,17.6,1898560
1727668800,17.37,17.515,17.11,17.37,1303206
1727755200,17.64,18.09,17.515,17.6,1933685
1727841600,17.54,17.91,17.46,17.63,1668982
1727928000,17.38,17.63,17.29,17.54,1254089
1728014400,17.48,17.865,17.255,17.29,1246220
1728273600,17.08,17.09,16.675,16.76,1322014
1728360000,16.6,16.826,16.42,16.8,849369
1728446400,16.57,16.635,16.25,16.55,935861
1728532800,16.73,17.02,16.63,16.99,1179221
1728619200,17.15,17.55,16.96,17.51,1608681
1728878400,17.44,17.73,17.4,17.72,1439517
1728964800,17.74,18.08,17.7,17.89,1309784
1729051200,18.08,18.3325,17.9,17.91,1176851
1729137600,18.02,18.22,17.935,18.01,1161172
1729224000,18.3,18.795,18.17,18.62,2357773
1729483200,18.87,19.06,18.425,18.5,1552423
1729569600,18.67,18.77,18.43,18.66,1186373
1729656000,18.28,18.5418,17.96,18.14,1093638
1729742400,18.2,18.25,17.545,17.99,1782547
1729828800,17.89,17.9,17.36,17.38,2223005
1730088000,17.38,17.44,17.13,17.13,1340314
1730174400,17.32,18.06,17.294,18.01,1759590
1730260800,18.04,18.04,17.56,17.96,2097814
1730347200,17.62,17.71,17.18,17.37,1677228
1730433600,17.49,17.8499,16.3,16.34,3144557
1730696400,16.34,16.79,16.19,16.46,1994041
1730782800,16.57,16.66,16.155,16.41,1841496
1730869200,15.65,16.3479,15.41,16.2,2006889
1730955600,16.29,16.82,16.08,16.74,1295237
1731042000,16.52,16.73,16.27,16.65,1159791
1731301200,15.98,16.18,15.22,15.55,2593431
1731387600,15.25,15.53,15.19,15.37,1770117
1731474000,15.51,15.71,15.2393,15.36,1769347
1731560400,15.22,15.44,15.15,15.29,2885541
1731646800,15.47,15.59,15.075,15.2,2418163
1731906000,15.78,16.16,15.66,15.99,1650461
1731992400,16.15,16.335,15.97,16.33,920619
1732078800,16.29,16.41,16.12,16.18,980151
1732165200,16.39,16.68,16.18,16.66,904810
1732251600,16.74,16.75,16.47,16.56,832140
1732510800,16.1,16.1,15.655,15.69,1058740
1732597200,15.63,15.72,15.501,15.7,714547
1732683600,15.82,16.025,15.77,15.88,759586
1732856400,15.92,16.22,15.81,16,376706
1733115600,15.89,15.92,15.6,15.79,1069423
1733202000,16,16.37,15.99,16.23,983377
1733288400,16.19,16.5,16.15,16.23,1147787
1733374800,16.32,16.53,16.15,16.18,705039
1733461200,16.21,16.21,15.75,15.83,668059
1733720400,16.42,16.99,16.33,16.53,1073853
1733806800,16.71,16.81,16.5,16.65,1008707
1733893200,16.76,17.3746,16.75,17.24,899817
1733979600,16.82,17.005,16.53,16.53,927839
1734066000,16.35,16.44,15.87,15.96,950000
1734325200,16.02,16.13,15.87,15.97,686767
1734411600,15.74,15.98,15.5208,15.94,950529
1734498000,15.91,15.9752,15.135,15.17,1001764
1734584400,15.16,15.31,14.905,14.97,832796
1734670800,15.05,15.36,15.05,15.19,2156598
1734930000,15.09,15.25,14.93,15.18,907482
1735016400,15.17,15.22,14.95,15.04,412333
1735189200,15.07,15.215,14.98,15.09,492226
1735275600,14.87,15.02,14.74,14.97,559766
1735534800,14.87,14.911,14.55,14.7,916606
1735621200,14.68,14.97,14.61,14.87,1421327
