T,O,H,L,C,V
1713844800,62.71,63.48,61.63,61.77,1639217
1713931200,61.28,61.65,60.95,61.32,1532954
1714017600,60.85,61.11,60.52,60.75,971626
1714104000,60.8,61.55,60.47,60.53,1117333
1714363200,60.9,61.43,60.49,60.71,1645774
1714449600,60.23,60.99,59.82,60.29,1580120
1714536000,60.19,61.88,60.19,60.95,1586750
1714622400,61.41,63.25,61.115,63.16,1597307
1714708800,63.76,64.13,62.51,63.33,1451517
1714968000,63.76,64.07,62.7,63.09,797033
1715054400,63.61,63.68,62.78,63,1684304
1715140800,62.82,63.29,62.52,62.73,1302300
1715227200,63.01,63.17,62.54,63.04,647772
1715313600,63.04,63.11,62.53,62.79,894833
1715572800,63.02,63.17,62.15,62.45,1001270
1715659200,62.83,63.2,62.03,62.29,703114
1715745600,63,64.11,62.86,63.33,2471710
1715832000,63.4,63.89,63,63.47,1281693
1715918400,63.47,64.81,63.22,64.68,1409597
1716177600,64.45,64.83,64.08,64.17,1508163
1716264000,64.09,64.8,63.88,64.63,956349
1716350400,64.38,64.74,64.05,64.1,927024
1716436800,63.85,63.93,62.2,62.3,783720
1716523200,62.52,62.78,61.83,61.85,604024
1716868800,62.02,62.43,61.16,61.25,835608
1716955200,60.42,61.29,60.04,61.25,705852
1717041600,61.61,62.65,61.53,62.6,879166
1717128000,63,63.0785,62.35,62.77,1395161
1717387200,62.58,63.46,62.43,63.22,1563577
1717473600,63.13,64.415,62.78,63.87,884789
1717560000,63.74,64,63.27,63.77,659327
1717646400,63.47,64.03,63.34,63.8,753584
1717732800,63.03,63.03,62.15,62.27,714322
1717992000,62.07,62.45,61.58,61.7,1057329
1718078400,61.44,62.01,61.07,61.34,1025577
1718164800,62.29,62.55,61,61.29,1054183
1718251200,61.48,62.85,60.96,62.41,1934007
1718337600,62.33,63.02,62.14,62.72,952375
1718596800,62.24,62.72,62.03,62.37,840389
1718683200,62.45,62.91,62.01,62.89,2212618
1718856000,62.79,63.48,62.62,63.19,789869
1718942400,63.4,64.65,63.17,64.34,1780692
1719201600,64.35,65.8,64.02,65.02,1548126
1719288000,64.77,64.94,63.69,64.24,729038
1719374400,63.74,64.54,63.64,64.44,1381323
1719460800,64.56,65.32,64.17,65.26,1587332
1719547200,65.15,65.73,64.45,65.13,3107655
1719806400,64.8,65.15,64.025,64.6,1180260
1719892800,64.95,64.95,63.88,63.97,1576784
1719979200,64.11,64.33,63.6,63.6,562655
1720152000,63.69,64.259,63.37,64,630668
1720411200,64.2,64.74,63.73,63.73,1045461
1720497600,63.8,64.39,63.29,64.17,981553
1720584000,64.4,64.65,63.61,64.57,1406034
1720670400,65.41,66.78,65.18,66.17,1226427
1720756800,66.51,67.38,66.02,66.68,1059967
1721016000,66.88,67.31,66.51,67.06,924102
1721102400,67.37,68.085,67.13,67.97,837657
1721188800,68.05,69.26,67.945,68.95,1079817
1721275200,68.68,69.24,67.64,67.86,1340971
1721361600,67.83,68.07,67.085,67.83,867684
1721620800,67.89,68.28,67.3,67.73,1365883
1721707200,68.75,68.75,65.65,66.34,2191237
1721793600,66.75,66.895,65.65,65.66,999686
1721880000,65.86,67.47,65.795,66.09,1460039
1721966400,66.41,67.59,66.14,67,906155
1722225600,66.99,67.3,66.5,67,792792
1722312000,67.11,68.641,67.0061,68.55,879272
1722398400,68.54,69.75,68,68.68,1559841
1722484800,69.22,70.48,68.93,70.4,1568790
1722571200,70.66,73.28,70.05,72.52,1896616
1722830400,71.54,73.11,70.65,70.67,1921338
1722916800,70.61,72.36,70.24,71.07,1246691
1723003200,70.87,71.78,70.37,70.7,904414
1723089600,70.37,71.49,70.23,71.06,920602
1723176000,71.43,71.98,71.11,71.85,1333684
1723435200,71.65,71.8,70.69,71.14,444682
1723521600,71.82,71.9199,71.11,71.37,818382
1723608000,71.38,71.98,71.005,71.45,681199
1723694400,71.29,71.56,70.02,70.33,1245197
1723780800,70.34,70.61,69.59,70.39,754379
1724040000,70.43,71.12,70.37,70.85,727440
1724126400,70.98,71.17,70.28,70.8,630708
1724212800,70.86,71.14,70.64,71.1,841149
1724299200,71.15,71.39,70.08,70.23,1051960
1724385600,70.36,71.06,69.94,70.36,667057
1724644800,70.8,70.865,70.1,70.18,626529
1724731200,69.83,70.56,69.605,70.39,729392
1724817600,70.45,71.47,70.45,71.34,717182
1724904000,71.16,72.18,70.9083,71.93,912890
1724990400,72.32,72.895,71.74,72.71,927143
1725336000,72.5,72.71,71.36,71.82,1075347
1725422400,71.99,73.12,71.895,72.62,926667
1725508800,73.24,73.59,72.3,72.33,1325274
1725595200,72.3,74.16,72.3,73.87,1526278
1725854400,73.75,74.61,73.34,74.2,857308
1725940800,74.47,75.39,74.35,75.3,611117
1726027200,74.59,74.93,73.82,74.84,871285
1726113600,74.73,75.34,74.06,75.23,958577
1726200000,75.61,76.47,75.45,76.25,757011
1726459200,76.48,76.6,75.23,75.31,817176
1726545600,75.24,75.69,74.38,74.45,905039
1726632000,73.87,75.08,73.44,73.49,729606
1726718400,75.11,75.11,73.49,73.57,1374548
1726804800,73.35,73.49,71.52,71.81,3010983
1727064000,72.8,73.87,72.31,73.13,1392713
1727150400,72.12,73.43,72.09,72.93,1491200
1727236800,73.11,73.11,71.72,71.96,1160518
1727323200,71.74,72.39,70.81,71,1428646
1727409600,71.12,71.15,70.27,70.76,1250080
1727668800,70.75,71.4,70.33,71.34,1257006
1727755200,71.67,71.97,69.995,70.17,1269076
1727841600,69.63,69.99,69.02,69.5,1088675
1727928000,69.49,69.89,68.85,69.81,1011747
1728014400,69.81,69.81,68.97,69.28,1214600
1728273600,69.3,69.3,67.44,67.96,1328449
1728360000,68.29,68.29,65.97,66.12,2174002
1728446400,65.47,66.61,65.32,66.37,1812704
1728532800,66.61,67.88,66.515,67.4,1444722
1728619200,67.77,68.085,67.29,67.78,834472
1728878400,67.63,68.34,67.45,67.96,814307
1728964800,68.28,69.55,68.16,69.21,1414830
1729051200,69.24,70.31,69.11,70.01,1028357
1729137600,69.34,70.44,69.34,70.13,1220442
1729224000,69.98,70.72,69.86,69.97,1721030
1729483200,69.58,69.94,67.86,68.02,1798241
1729569600,67.85,69.55,67.465,68.69,1299432
1729656000,69.28,70.95,68.72,70.59,1360336
1729742400,70.35,71.41,69.95,69.99,998197
1729828800,70.44,70.68,69.355,69.39,951902
1730088000,69.6,70.09,68.71,68.94,1292604
1730174400,68.76,69.11,68.03,69,884087
1730260800,69.07,70.35,69.07,70.1,1096246
1730347200,69.71,71.36,69.54,70.12,1820925
1730433600,70.44,71.05,69.25,69.32,1087722
1730696400,69.54,69.91,68.7,69.42,862372
1730782800,68.85,70.1,68.68,70.09,849914
1730869200,70.15,70.32,67.37,68.72,1906963
1730955600,68.6,70.14,68.14,69.76,1972787
1731042000,70.25,71.75,69.59,71.43,1274334
1731301200,71.49,73.02,71.49,72.51,1515623
1731387600,72.25,72.91,71.98,72.24,1424851
1731474000,72.73,73.67,72.22,72.45,1204407
1731560400,72.41,73.4425,71.68,71.71,1340151
1731646800,71.84,72.02,70.87,70.89,1518301
1731906000,70.82,71.3175,70.8,70.99,1008713
1731992400,70.89,71.13,70.505,70.85,1212371
1732078800,70.4,70.8803,70.11,70.67,1043891
1732165200,70.78,71.11,70.53,70.84,869782
1732251600,71.21,71.21,70.46,70.94,1094935
1732510800,71.18,71.78,70.66,71.11,1874247
1732597200,71.22,72.18,70.68,71.37,1019646
1732683600,71.91,72.81,71.91,72.09,818989
1732856400,72.02,72.565,71.28,71.33,674408
1733115600,71.26,71.26,70.15,70.35,928877
1733202000,70.23,70.43,69.54,69.73,797768
1733288400,69.73,70.15,69.16,70.01,861314
1733374800,69.8,70.55,69.61,70.23,878779
1733461200,70.44,70.54,69.43,69.7,830117
1733720400,69.34,70.3,69.04,70.11,1182735
1733806800,70.15,70.43,68.725,69,951398
1733893200,69,69.54,68.17,68.35,1276710
1733979600,68.44,68.925,68.2,68.38,1524833
1734066000,68.03,68.5614,67.63,67.92,918198
1734325200,67.75,69.23,67.75,68.34,1105070
1734411600,68.09,69.15,67.84,68.75,1183927
1734498000,68.54,68.99,66.495,66.66,1673316
1734584400,66.43,67.62,66.13,66.18,1647764
1734670800,67.05,67.71,66.37,66.61,4460872
1734930000,66.32,67.305,65.91,67.12,1111580
1735016400,67.02,67.85,66.96,67.78,394024
1735189200,67.51,67.91,67.2783,67.42,937698
1735275600,66.82,67.61,66.43,66.6,992981
1735534800,66.57,66.57,65.39,66.06,826641
1735621200,66.7,66.75,65.89,66.6,1114832
1735794000,66.59,67.825,66.42,66.65,1719280
1735880400,66.64,68.02,66.47,67.79,1039285
1736139600,67.39,67.72,65.63,65.72,1405449
1736226000,66.06,66.5,64.9,65.38,995539
1736312400,65.49,65.81,64.85,65.75,1730775
1736485200,64.98,65.5,63.73,64.47,1768554
1736744400,64.66,65.18,64.25,65.05,1311374
1736830800,64.93,65.37,64.61,64.99,1289211
1736917200,66.43,66.45,64.25,64.36,1826212
1737003600,64.65,66.37,64.35,66.2,1436380
1737090000,66.31,67.11,66.125,66.46,839233
1737435600,66.71,67.585,66.56,67.42,862373
1737522000,66.97,66.97,65.74,65.82,1080682
1737608400,65.9,66.51,65.23,66.51,1923745
1737694800,66.57,67.29,66.11,67.23,1090432
1737954000,68,69.99,67.685,69.32,2400095
1738040400,68.75,69.19,66.46,66.61,1822504
1738126800,66.6,67.25,64.8,65.26,1482730
1738213200,65.87,66.21,64.73,65.16,1683182
1738299600,65.11,66.395,64.97,65.45,4887879
1738558800,64.85,65.93,64.22,65.29,1124322
1738645200,64.53,65.525,64.445,64.97,1020184
1738731600,65.52,66.51,64.93,65.96,1620085
1738818000,66.22,66.46,65.26,66.42,1152861
1738904400,66.38,66.87,65.96,66.22,1225221
1739163600,66.14,66.66,65.455,66.3,1237545
1739250000,65.93,66.78,65.8271,66.75,1161135
1739336400,65.83,66.625,65.78,66.2,1207549
1739422800,66.42,67.37,66.18,66.92,1111356
1739509200,67.09,67.555,65.39,65.42,783361
1739854800,64.95,65.89,64.93,65.3,1003924
1739941200,65.32,65.62,64.9,65.22,1006370
1740027600,65.19,66.41,65,66.18,769448
1740114000,66.21,66.795,65.77,66.05,1454517
1740373200,66.26,68.035,66.08,67.02,2135468
1740459600,67.11,68.835,67.11,68.59,1931295
1740546000,68.33,68.865,67.2,67.28,1267800
1740632400,67.18,68.54,67.01,68.31,1993262
