T,O,H,L,C,V
1713844800,124.56,127.875,124.11,126.17,993265
1713931200,128.84,129.95,125.33,127.84,1371463
1714017600,125.95,129.76,122.23,128.54,1338805
1714104000,129.41,133.805,129.24,132.6,1074585
1714363200,131.54,136.17,131.54,136.06,1869746
1714449600,135.95,138.69,132.87,132.92,2326111
1714536000,127.52,129.84,122.04,123.31,2963305
1714622400,126.65,127.19,123.79,126.6,1320896
1714708800,131.13,134.6,131.13,131.8,1600512
1714968000,132.98,134.13,132.54,133.9,1314732
1715054400,134.59,135.41,132.6,132.7,1110910
1715140800,130.63,131.78,128.385,130.01,1538180
1715227200,129.98,130.4,129.1,129.38,1234154
1715313600,130.43,132.04,129.88,131.55,1447841
1715572800,131.78,131.78,128.77,128.79,914261
1715659200,128.53,130.575,128.31,130.22,1083374
1715745600,131.92,135.19,130.32,133.96,1287598
1715832000,133.84,133.98,130.295,130.57,1197102
1715918400,131.79,131.85,128.38,129.5,758254
1716177600,129.78,133.55,129.78,132.86,1201013
1716264000,128.72,132.6,128.72,130.59,805106
1716350400,131.93,132.645,130.25,131.01,1282542
1716436800,133.5,134.62,127.31,128.35,1715617
1716523200,129.66,132.71,128.11,132.29,1048750
1716868800,133.75,133.8,130.87,131.41,1573002
1716955200,128.26,130.47,128.26,128.92,1307933
1717041600,129.07,131.02,129,130.14,944130
1717128000,130.19,131.15,122.98,126.35,2641244
1717387200,129.05,129.15,123.62,126.09,959116
1717473600,125.06,127.41,124.65,126.39,1382411
1717560000,128.63,132.76,127.91,132.3,1410160
1717646400,131.41,132.75,129.17,130.83,1406429
1717732800,129.94,131.285,128.13,130.08,832533
1717992000,128.55,133.05,127.6,132.43,1164679
1718078400,131.38,131.61,129.1625,131.28,976958
1718164800,135.24,139.81,133.6,137.75,1421557
1718251200,136.17,138.27,135.26,137.33,1137423
1718337600,135.18,136.275,132.83,133.9,1079541
1718596800,133.93,136.3,132.68,135.61,1116705
1718683200,135.3,139.69,134.63,137.73,1340289
1718856000,137.2,137.43,132.42,133.33,1194767
1718942400,133.27,134.03,130.79,133.55,1694841
1719201600,132.06,134.3,131.29,131.31,1229926
1719288000,131.89,134.88,129.64,134.54,1247501
1719374400,134.41,135,131.53,133.23,904168
1719460800,131.1,135.42,131.1,134.48,1100205
1719547200,135.31,138.02,133.125,135.4,5715364
1719806400,134.48,135.23,130.3,133.54,1346987
1719892800,132.49,136.73,132.455,136.61,1047862
1719979200,136.95,142.3,136.17,140.68,1205623
1720152000,141.65,141.97,138.98,139.11,771508
1720411200,139.76,142.63,138.91,141.52,1187558
1720497600,141.03,141.9899,139.52,140.23,903727
1720584000,141.87,144.0879,140.02,143.77,1088779
1720670400,145,145.45,140.44,140.65,2069851
1720756800,140.7,147.57,138.5,144.45,1814107
1721016000,144.77,146.87,142.94,145.2,1111123
1721102400,146.12,147.4,143.53,146.48,996750
1721188800,141.23,144.15,133.58,133.81,3462378
1721275200,135.42,136.46,128.22,130.38,2810943
1721361600,130.66,132.15,127.05,127.32,1594137
1721620800,131.31,133.79,129.06,133.52,1733003
1721707200,131.34,133.78,131.1,131.4,916264
1721793600,129.16,130.035,124.54,124.72,1807080
1721880000,124.36,129.16,121.44,123.63,2047917
1721966400,126.55,129.3,125.07,126.72,1398285
1722225600,128.94,130.56,126.945,127.78,1251829
1722312000,127.78,128.67,121.23,122.44,2375811
1722398400,115.2,119.07,106.44,118.29,5209311
1722484800,114.43,119.46,108.53,109.88,4926236
1722571200,107,107,100.87,102.14,5638150
1722830400,96.66,105.54,95.54,101.88,4252184
1722916800,102.84,106.11,100.23,102.17,4472400
1723003200,106.76,107.64,97.575,98.09,3270500
1723089600,101.58,106.63,99.14,106.49,3024113
1723176000,105.485,106.24,102.835,103.93,1289076
1723435200,104.63,106.0275,102.46,104.65,1720623
1723521600,105.76,109.09,104.73,108.66,1565218
1723608000,109.52,110.2508,105.64,107.69,1525152
1723694400,110.79,113.87,110.04,113.35,2215795
1723780800,111.41,113.88,110.47,112.81,1202336
1724040000,112.31,114.98,110.22,114.59,1292651
1724126400,112.93,114.17,111.07,112.09,1575786
1724212800,113.44,116.51,112.735,115.36,1400634
1724299200,116.36,118.27,111.77,112.01,1737523
1724385600,113.73,117.05,112.905,116.32,1610180
1724644800,118.42,119.95,112.09,112.53,1526194
1724731200,111.86,115.99,111.12,115.54,1420464
1724817600,115.37,116.34,111.22,112.84,1001518
1724904000,114.5,116.26,111.97,112.52,1095373
1724990400,115.46,116.2,114.335,115.87,1848509
1725336000,113.64,113.65,107.21,108.31,3673560
1725422400,107.2,110.86,106.76,109.14,1672848
1725508800,107.06,110.54,106.1684,110.17,2134901
1725595200,109.83,110.545,106.13,107.11,3653570
1725854400,108.61,108.61,104.13,105,2488837
1725940800,105.36,107.46,103.83,107.37,1311785
1726027200,108.32,111.1399,105.835,110.67,2705409
1726113600,111.23,111.23,107.725,108.23,1436666
1726200000,109.63,111.66,108.7,110.67,1459319
1726459200,109.51,110.475,108.34,110.15,1328403
1726545600,112.23,113.24,110.48,111.64,836666
1726632000,112.71,113.7,109.71,110.07,1488581
1726718400,115.29,117.19,113.28,115.36,2582348
1726804800,113.99,114.08,109.94,110.64,3488939
1727064000,112.13,112.59,110.97,111.58,1588992
1727150400,112.17,113.12,110.33,112.3,2069544
1727236800,112.35,113.54,110.68,111.36,1787799
1727323200,115.91,117.88,112.41,116.61,2416724
1727409600,116.88,117.44,114.325,114.86,1777988
1727668800,113.27,114.19,111.1,112.53,1606768
1727755200,113.18,113.52,109.01,109.72,1993255
1727841600,109.82,113.59,109.045,112.92,1476665
1727928000,111.07,112.75,109.5,110.56,1525415
1728014400,113.18,113.9,110.65,112.2,847626
1728273600,110.57,111.525,109.1,110.14,1412469
