T,O,H,L,C,V
1713844800,270.42,273.91,270,271.75,1186998
1713931200,270.51,271.33,263.58,266.07,1696568
1714017600,263.94,265.8,262.7,265.52,876128
1714104000,264.13,267.45,263.31,265.84,958876
1714363200,266.53,268.24,263.965,265.86,787712
1714449600,264.84,264.97,261.66,261.78,853888
1714536000,261.65,263.03,259.78,260.73,901041
1714622400,263.29,263.8782,260.01,262.03,1311629
1714708800,263.5,265.57,259.845,260.65,1085243
1714968000,262.84,263,260.17,260.29,929625
1715054400,261.23,262.035,258.49,259.47,1356150
1715140800,257.78,259,255.81,258.01,1453867
1715227200,258.18,262.51,258.18,262.06,923721
1715313600,262.06,265.95,262.06,265.73,1092424
1715572800,266.03,268.33,265.03,266.89,2036442
1715659200,267.22,267.625,258.35,259.04,2534036
1715745600,260,260.73,258.19,259.32,1145756
1715832000,258.56,260.99,257.41,258.78,1136270
1715918400,260.08,260.08,256.2796,257.25,1419700
1716177600,256.99,257.41,254.07,254.71,899543
1716264000,254,254.8,250.93,252.33,1025456
1716350400,252,252.66,249.79,252.07,1766130
1716436800,251.55,252.15,246.895,249.29,1446511
1716523200,250,250.89,246.31,247.59,1090290
1716868800,247.2,249.43,246.71,248.04,1227416
1716955200,245.84,247.03,244.31,245.11,1108329
1717041600,246.15,249.7,245.505,249.58,1084452
1717128000,250,254.325,248.12,253.96,1747147
1717387200,253.38,253.99,246.71,248.62,1409883
1717473600,248,248.33,244.26,245.95,1253621
1717560000,247.9,248.335,244.47,248.05,930390
1717646400,248.05,251.29,247.31,250.27,1171199
1717732800,247.96,251.37,247.145,247.73,1281900
1717992000,247,254.21,245.915,253.72,1475471
1718078400,252.16,252.5875,249.9,252.43,1176868
1718164800,253.38,254.3,248.13,248.6,1555991
1718251200,249.14,249.5,244.26,248.6,1015640
1718337600,246.55,247.91,242.92,246.43,1245761
1718596800,245.54,250.47,244.85,250.06,1248643
1718683200,250.2,252.41,247.6,248.09,1506100
1718856000,248.76,253.3499,248.465,252.52,1488600
1718942400,252.98,255.89,251.6101,253.66,3145207
1719201600,253.98,257.3085,253.14,256.51,1897242
1719288000,256.15,256.8,252.6001,256.38,6309559
1719374400,288.425,296.86,284,296.19,11126144
1719460800,293.12,295.85,288.41,295.47,3989167
1719547200,293.9,302.4084,293.44,299.84,4278920
1719806400,298.12,301.28,297.21,298.68,2442072
1719892800,296.49,301.21,296.49,298.22,1834588
1719979200,299.24,299.5,292.655,293.71,1274326
1720152000,293.71,294.97,292.07,294,1480190
1720411200,294.51,297.8936,293.615,295.53,1532993
1720497600,296,296.84,292.52,292.73,1252354
1720584000,292.73,293.66,289.46,293.27,1466553
1720670400,294.99,300.94,294.675,299.54,1860782
1720756800,298.56,301.01,297.68,299.02,1445706
1721016000,300.46,305.59,299.06,305.02,2068704
1721102400,305.84,313.84,305.775,313.52,2812578
1721188800,310.43,313.6691,308.1,310.43,1588345
1721275200,308.98,313.16,305.64,306.62,1603002
1721361600,306.62,308.73,304.02,306.31,1294627
1721620800,307,307.74,301.4,307.43,1414201
1721707200,299,304.0875,297.75,300.8,2268483
1721793600,300.81,300.81,296.58,298.28,1541125
1721880000,298.29,303.29,298.01,298.59,1262657
1721966400,299.85,302.18,297.47,300.14,1200882
1722225600,300.32,301.97,298.06,299.23,865086
1722312000,299.96,303,299.305,300.88,1038532
1722398400,301.05,305.61,300.8812,302.25,947414
1722484800,303.22,305.8721,296.29,297.83,1532574
1722571200,292.98,294.54,287.73,292.3,2252729
1722830400,284.61,289.18,279.6,283.09,2684030
1722916800,284.8,289.7,282.57,285.73,1424722
1723003200,289,289,277.06,278.13,1790974
1723089600,279.12,281.8,276.465,278.62,1573352
1723176000,277.44,277.97,274.15,277.41,1256175
1723435200,279.21,281.41,277.49,279.15,1247323
1723521600,280.23,283.39,279.2,283.1,1232043
1723608000,283.31,285.03,282.815,283.33,768241
1723694400,287.3,291.7,282.64,284.18,1292881
1723780800,284,285.55,279.15,285.4,1318335
1724040000,285.88,288.87,285.5235,288.42,804192
1724126400,287.99,289,286.46,288.44,591742
1724212800,290.76,292.625,289.29,291.52,787399
1724299200,292.6,294.63,290.67,294.28,980082
1724385600,295.91,298.57,294.84,297.18,865593
1724644800,298.57,299.31,295.75,297.24,771591
1724731200,297.23,297.64,292.73,294.9,828694
1724817600,294.91,297.58,294.2,296.13,712298
1724904000,297.75,299.19,295.46,296.25,729970
1724990400,297.09,299.1,294.7101,298.77,1096965
1725336000,296.06,297.16,291.56,293.48,1138831
1725422400,293.91,295.36,291.995,292.84,719195
1725508800,293.46,293.95,283.75,285.31,1301998
1725595200,285.38,288.005,282.65,283.04,1117464
1725854400,283.5,286.1842,282.93,283.3,880031
1725940800,283.92,284.82,280.0755,283.85,940090
1726027200,282.66,285.37,277.885,284.86,937701
1726113600,285.67,288.31,284.33,286,862185
1726200000,287.57,287.57,280.865,286.38,1142647
1726459200,289.74,293.81,288.35,292.63,1141728
1726545600,296,300.45,294.7,297.34,1331334
1726632000,295.52,301.01,295.52,298.17,1368510
1726718400,304.13,308,297.87,300.39,4220491
1726804800,260.775,262.5614,253.5,254.64,17455457
1727064000,255.51,260.7299,255.5,258.79,3730597
1727150400,259.12,268.33,259.12,267.13,4108980
1727236800,266.01,267.7699,262.85,263.77,2593692
1727323200,267.09,270.9891,265.21,266.33,1862548
1727409600,267.1,270.48,266.5,267.55,1819238
1727668800,269.62,276.75,269.0601,273.68,2908280
1727755200,273.86,275.3199,268,269.56,1703842
1727841600,268.93,269.52,266.36,266.93,1406439
1727928000,266,266.24,261.37,262.08,1733135
1728014400,264.8,265.03,259.27,260.84,1638679
1728273600,259.38,261.21,258.1001,260.5,1342256
1728360000,260.94,262.2999,259.36,261.4,1073116
1728446400,263.53,267.09,262.74,264.64,1308338
1728532800,263.35,265.98,263.2,264.27,872825
1728619200,265.35,267.18,264.17,264.36,965705
1728878400,264.34,267.9,263.95,267.45,922317
1728964800,267.77,269.07,265.64,265.92,1363221
1729051200,269,272.9,268.41,271.8,1713680
1729137600,271.72,275.55,270.16,274.26,1603015
1729224000,276.12,276.12,272.51,274.4,1217071
1729483200,272.74,273.32,267.7577,268.81,1443007
1729569600,267.99,271.0992,267.72,269.79,971993
1729656000,269.2,270.44,266.83,268.05,1153174
1729742400,277.92,278.69,270.7975,272.87,1635802
1729828800,274.27,275.68,271.88,272.12,835534
1730088000,272.62,275.85,272.12,275.45,1179784
1730174400,273.64,277.12,273,275.04,1190146
1730260800,274.08,278.54,273.91,274.08,1197151
1730347200,273.38,276.72,273.01,273.85,1099532
1730433600,273.78,277.48,273.17,274.35,1370415
1730696400,274,274.98,270.69,271.18,1020139
1730782800,271.14,275.45,269.515,275.42,945309
1730869200,276,281.2,271.62,280.06,2639846
1730955600,281.94,285.5,280,283.21,1317201
1731042000,283.78,289.1,282.86,286.28,1734576
1731301200,288.7,293.45,288.7,289.79,1594026
1731387600,289.71,291.2675,285.42,287.27,1235636
1731474000,287.38,294,287.38,291.89,1896947
1731560400,293.07,295.24,291.72,292.29,1248469
1731646800,290.95,295.87,290.95,294.46,1506570
1731906000,293.61,297.58,293.41,295.21,1460032
1731992400,291.59,295.24,290.99,293.06,1474784
1732078800,293.91,294.43,285.25,288.03,1392808
1732165200,288.05,295.54,288.05,295.16,1596920
1732251600,296.19,302.375,295.17,299.97,1846044
