T,O,H,L,C,V
1713844800,145.25,149.97,145.03,147.79,1242129
1713931200,147,149.2,146,148.54,717957
1714017600,150.3,151.65,148.67,150.85,1029354
1714104000,150.25,151.945,149.24,150.08,699933
1714363200,150.09,150.88,146.33,147.22,801819
1714449600,146.2,147.69,146,146.34,705881
1714536000,146,146.2,140.19,141.93,1100296
1714622400,143.12,144.54,142.02,143.47,734118
1714708800,144.52,147.64,143.81,144.81,825169
1714968000,145.62,146.965,143.955,146.02,625127
1715054400,145.71,146.95,144.6,146.74,780673
1715140800,145.95,145.95,141.21,142.1,618451
1715227200,141.65,144.48,141.12,143.48,748415
1715313600,143.25,143.71,139.16,139.2,1061535
1715572800,141.22,144.28,139.19,140.03,1317204
1715659200,141.57,143.06,139.94,141.99,761078
1715745600,142.39,143.36,140.39,140.67,590162
1715832000,141.56,145,140.94,141.03,773168
1715918400,140,140.7445,137.35,137.54,780861
1716177600,137.23,137.67,132.8,133.81,1024818
1716264000,134.54,134.68,131.67,132,1152527
1716350400,130,132.07,128.6393,131.73,1253979
1716436800,132.08,132.24,129.47,129.6,747666
1716523200,129.84,133.8299,129.84,132.99,1118625
1716868800,133.63,134.65,131.68,132.74,1043026
1716955200,130.99,132.5799,130.9,131.7,920029
1717041600,133.3,135.4999,133.27,134.71,1049532
1717128000,134.71,138.19,134.71,138.13,825713
1717387200,138.57,141.695,138.57,140.75,1168003
1717473600,138.66,140.51,136.12,137.87,1280301
1717560000,137.79,138.37,132.44,132.79,3864953
1717646400,107.95,119.51,106.2058,118.72,9079829
1717732800,119.35,124.97,117.02,118.49,3333681
1717992000,117.524,117.93,114.22,115.48,2447568
1718078400,115.37,121.14,113.78,120.32,1761371
1718164800,122.4,125.08,116.35,116.57,1629290
1718251200,117.17,117.17,112.46,113.75,1274010
1718337600,112.91,114.16,111.085,112.88,2399244
1718596800,112.74,116.28,112.03,114.31,1135659
1718683200,113.6,115.01,112.84,113.93,1027775
1718856000,112.94,114.09,111.95,112.55,1011724
1718942400,112.84,115.95,112.84,115.34,1464641
1719201600,115.34,117.98,115.25,116.29,1177434
1719288000,115.86,115.86,110.3,110.5,1081284
1719374400,110.33,112.68,107.8,109.67,2067837
1719460800,109.19,111.75,108.2933,110.62,1232003
1719547200,110.45,111.26,107.62,108.97,1976094
1719806400,109.52,109.605,106.51,107.85,1283482
1719892800,108.48,108.95,104.8,106.15,1630820
1719979200,106.83,108.83,106.3194,108.47,676992
1720152000,108.62,109.36,105.26,106.17,1011945
1720411200,107.06,107.2,103.9,104.09,1382259
1720497600,104.04,104.04,101.5,102.43,1297272
1720584000,102.43,102.58,100.76,100.94,1029361
1720670400,102,105.1,101.24,104.23,1210227
1720756800,104.4,105.63,102.69,103.22,858025
1721016000,102.19,103.07,98.52,100,2050097
1721102400,100.5,102.24,99.3,102.07,1854933
1721188800,86.32,89,76.16,76.5,15620918
1721275200,75.76,76.77,71.66,75.75,7392149
1721361600,76.4,77.87,73.6335,77.31,3020877
1721620800,78.08,79.5,77.63,78.87,2407284
1721707200,78.2,78.505,75.2,75.77,1550775
1721793600,74.7,75.92,72.81,73,1568485
1721880000,72.87,73.9,71.56,71.75,1814090
1721966400,72,72.38,71.02,71.97,2158737
1722225600,72.06,73.55,70.56,71.92,2154564
1722312000,71.56,73.1699,71.15,71.59,1869343
1722398400,71.95,74.725,71.5,72.74,2095329
1722484800,72.47,74.505,69.82,70.02,1664710
1722571200,68.26,71.11,67.11,69.19,1490529
1722830400,65.65,68.3,65.1487,67.22,2296527
1722916800,67.51,67.51,66.08,66.36,1717246
1723003200,66.38,68.1,64.87,64.97,1290926
1723089600,65.11,67.99,65.06,66.47,1637211
1723176000,66.6,67.97,65.79,66.74,1349516
1723435200,67.14,68.54,66.28,66.73,1362914
1723521600,66.62,68.23,66.25,67.81,1341104
1723608000,68.69,70.75,68.29,68.36,1702332
1723694400,72.19,76.1,72.125,75.33,3029292
1723780800,74.27,77.06,73.98,76.96,2023548
1724040000,76.62,79.7,76.45,78.12,2240948
1724126400,77.51,79.26,76.65,77.31,997866
1724212800,79.95,81.49,79.6464,80.67,2280322
1724299200,80.74,81.64,79.57,80.44,1309041
1724385600,81.88,82.83,81.165,82.46,1214721
1724644800,82.7,84.65,81.99,83.69,1621424
1724731200,83.03,84,82.04,82.52,1895673
1724817600,81.85,82.99,78.37,78.94,3907360
1724904000,82.81,83.83,76.24,78.24,4733789
1724990400,78.35,79.19,74.12,75.43,2446909
1725336000,75.3,77.53,74.2,76.28,1930139
1725422400,74.47,75.39,72.91,74.54,1649329
1725508800,75.25,76.86,73.6001,76.05,1075763
1725595200,76.05,80.44,76.035,79.17,2330976
1725854400,79,85.13,78.47,84.07,2718619
1725940800,84.19,84.95,81.59,83.97,1808451
1726027200,84.46,89.96,84.395,89.58,2965221
1726113600,90.13,93.045,88.53,92.53,1968695
1726200000,94.94,98.57,94.575,96.56,2824308
1726459200,97.01,101.19,96.8,98.92,2333783
1726545600,99.74,102.27,99.1,101.76,1621133
1726632000,102,102.46,99.02,100.2,1320240
1726718400,99,99.4,95.03,97.98,2620214
1726804800,97.4,97.68,94.56,95.41,2731196
1727064000,95.81,97.27,93.8,96.31,1728842
1727150400,97.09,97.35,93.59,93.99,1482923
1727236800,94.46,94.46,90.94,91.04,1674002
1727323200,92.88,96.315,91.74,94.98,1797919
1727409600,96.19,98.11,92.44,92.59,2018687
1727668800,90.6,91.97,87.39,88.35,2314231
1727755200,89.34,90.57,87.54,89.53,1455435
1727841600,89.7,89.765,87.45,89.06,984760
1727928000,88.02,89.84,87.47,89.75,1065826
1728014400,93.22,95.88,93.01,94.27,1921492
1728273600,94.11,94.275,90.85,91.8,1299178
1728360000,91.83,93.34,90.78,92.07,750128
1728446400,92.07,93.055,90.91,91.43,792117
1728532800,91.19,91.755,90.31,91.53,954818
1728619200,91.15,93.89,90.9644,93.4,1111150
1728878400,92.97,93.27,88.7,90.48,1552505
1728964800,90.63,96.27,90.63,93.6,1835693
1729051200,94.37,96.89,93.68,95.75,1052506
1729137600,96.14,96.63,93.6157,95.05,1175166
1729224000,96.215,96.37,94,94.91,966630
1729483200,94.28,95.17,89.25,91.65,1655877
1729569600,91.73,91.73,89.55,89.97,1086845
1729656000,89.51,89.79,87.51,88.44,1085508
1729742400,89.21,89.96,88.2,89.09,615767
1729828800,90.4,90.88,87.29,87.37,958079
1730088000,89.65,92.23,88.865,91.1,1332928
1730174400,90.41,91.6,89.39,90.54,899460
1730260800,90.06,93.21,89.8,93.08,1146691
1730347200,93.67,95.485,91.77,94.79,1442521
1730433600,95.085,96.28,92.2132,95.93,1230728
1730696400,96.61,99.53,94.41,95,1725287
1730782800,94.77,95,90.48,93.69,1505120
1730869200,83.86,88.05,82.2325,84.42,5263523
1730955600,85.1,93.3,85.055,91.52,3617373
1731042000,92.37,92.38,85.05,86.28,2194919
1731301200,87.37,87.37,82.79,83,2476456
1731387600,82.7,83.97,80.82,83.26,1963367
1731474000,83.22,86.29,82.71,84.51,1671313
1731560400,83.62,89.73,83.53,88.05,2164241
1731646800,87.45,89.31,86.86,87.02,1038239
1731906000,87.04,89.06,84.6,86.65,1552037
1731992400,86.52,86.65,84.48,84.57,1153671
1732078800,81.19,83.32,79.14,83.1,2196958
1732165200,83.1,84.495,82,83.49,1082501
1732251600,83.89,86.94,83.55,86.92,1639282
1732510800,89.17,94.6,88.74,91.61,3100218
1732597200,91.2,91.2,87.08,88.9,2061267
1732683600,89.99,93.23,89.505,93.01,1165923
1732856400,93.75,94.13,92.49,92.7,634043
1733115600,93.85,99.29,93.18,99.2,2443301
1733202000,99.16,103.85,98.5801,103.2,2905181
1733288400,103,105.1,101.66,104.97,4159895
1733374800,119.2,121.9999,113.9,115.97,7271051
1733461200,117.32,118.298,111.1,112.73,2392894
1733720400,113.63,115.71,111.32,111.93,1542815
1733806800,111.41,112.74,109.17,109.42,1152242
1733893200,110.48,110.65,107.87,109.53,1295141
