T,O,H,L,C,V
1713844800,187.18,190.08,186.83,189.89,199503
1713931200,187.94,187.94,182.88,186.39,277402
1714017600,183.58,187.99,182.535,187.33,182484
1714104000,185.92,188.045,184.42,185.47,230864
1714363200,184.19,188.43,183.72,187.42,181577
1714449600,189.32,189.47,186.12,186.26,266691
1714536000,185.71,192.23,184.85,189.76,435578
1714622400,192.05,192.82,189.655,191.58,479788
1714708800,196.47,205.9,194.97,196.38,427022
1714968000,201.06,204.8,198.85,202.9,704944
1715054400,202.27,205.8,200.96,202.89,512174
1715140800,199.4,201.84,198.18,199.76,545293
1715227200,199.08,204.94,198.77,204.64,496262
1715313600,203.45,207.2,202.8,207.01,1385406
1715572800,204.7,205.716,201.33,204.17,1545221
1715659200,197.58,205.6998,197.43,201.8,1463278
1715745600,206.09,212.37,206.09,211.72,1435435
1715832000,210.92,211.68,206.92,207.57,964408
1715918400,204.93,207.34,203.18,206.5,887906
1716177600,205.96,209.87,205.84,209.8,990613
1716264000,210.11,210.12,207.62,209.69,1039592
1716350400,207.56,208.31,203.23,206.43,987111
1716436800,205.84,206.58,196.89,199.87,1174621
1716523200,202.11,205.32,200.87,204.11,678037
1716868800,195,195.11,187.88,188.33,1395160
1716955200,186.31,187.26,183.76,185.8,1308467
1717041600,187.86,192.75,186.93,187.9,2287601
1717128000,188.48,192.5,188.42,192.09,2254080
1717387200,190.79,191.95,187.78,189.14,1068779
1717473600,190.55,192.4,189.93,191.7,1183409
1717560000,191.2,191.2,186.22,186.51,2117069
1717646400,188.25,191.74,188.14,190.53,3837430
1717732800,187.99,192.02,187.81,191.55,1038606
1717992000,189.19,189.19,186.6,186.83,876547
1718078400,185.72,186.12,182.01,183.15,2128801
1718164800,187.81,187.85,181.705,181.83,1322138
1718251200,182.65,183.18,178.13,178.58,1032828
1718337600,176.03,178.495,174.03,177.96,1159379
1718596800,179.8,189.91,178.83,188.81,2749798
1718683200,185.05,186.55,182.14,184.77,1188631
1718856000,186.1,191.05,185.5326,190.4,1039258
1718942400,189.47,191.185,188.825,189.03,2260467
1719201600,185.78,187.67,185.17,187.31,1341390
1719288000,188.03,188.73,185.39,186.05,942555
1719374400,183.18,183.61,180.79,181.01,762921
1719460800,183.11,185.29,182.41,182.81,475881
1719547200,183.69,184.83,181.04,182.36,3251047
1719806400,186.33,187,183.52,186.31,1031542
1719892800,186.89,191.24,186.66,190.38,2316183
1719979200,192.96,194.97,191.97,193.92,479386
1720152000,198.43,198.71,193.94,195.16,956665
1720411200,199.55,200.99,197.21,197.45,986178
1720497600,197.55,199.75,196.92,198.93,524550
1720584000,200.96,201.45,198.2,198.48,849495
1720670400,200.89,203.78,200.1,203.47,1441790
1720756800,203.41,209.18,203.4,207.23,2322229
1721016000,205.62,208.59,205.07,207.21,1793225
1721102400,206.06,209.14,205.1,207.95,2158773
