T,O,H,L,C,V
1713844800,4.07,4.17,4.07,4.09,126903
1713931200,4.04,4.22,4.04,4.11,349792
1714017600,4.07,4.155,4.07,4.1,459228
1714104000,4.1,4.11,3.97,4.05,651850
1714363200,4.05,4.1,4,4.1,341608
1714449600,4.1,4.1,3.99,4.05,131573
1714536000,4.05,4.13,4.02,4.13,392900
1714622400,4.09,4.14,3.99,4.1,143841
1714708800,4.08,4.15,4.03,4.08,275530
1714968000,4.07,4.1101,4.07,4.1,123758
1715054400,4.1,4.18,4.1,4.18,116938
1715140800,4.18,4.3,4.18,4.3,710742
1715227200,4.29,4.319,4.226,4.25,79200
1715313600,4.22,4.25,4.1,4.12,97756
1715572800,4.15,4.16,3.85,4.16,84686
1715659200,4.16,4.18,4.13,4.16,28082
1715745600,4.16,4.19,4.13,4.18,20673
1715832000,4.17,4.38,4.17,4.31,341512
1715918400,4.31,4.4,4.25,4.39,851028
1716177600,4.4,4.61,4.39,4.6,662774
1716264000,4.6,4.65,4.45,4.55,209940
1716350400,4.55,4.59,4.51,4.55,304486
1716436800,4.55,4.61,4.53,4.61,647222
1716523200,4.61,4.65,4.57,4.6,287437
1716868800,4.58,4.7,4.57,4.69,366607
1716955200,4.64,4.8,4.57,4.77,2127051
1717041600,4.75,4.81,4.67,4.8,1306910
1717128000,4.76,4.91,4.66,4.89,1368496
1717387200,4.82,4.91,4.8,4.85,160248
1717473600,4.9,4.9,4.79,4.9,448723
1717560000,4.92,4.96,4.852,4.95,246980
1717646400,4.92,4.96,4.85,4.92,46922
1717732800,4.89,4.89,4.82,4.85,72529
1717992000,4.9,4.9,4.79,4.8,92748
1718078400,4.83,4.83,4.78,4.78,13003
1718164800,4.81,4.81,4.68,4.75,526589
1718251200,4.7,4.72,4.65,4.7,137974
1718337600,4.8,4.8,4.52,4.7,180750
1718596800,4.69,4.69,4.57,4.6,675339
1718683200,4.69,4.69,4.38,4.4495,221919
1718856000,4.42,4.49,4.42,4.47,428428
1718942400,4.7,4.7,4.36,4.52,291799
1719201600,4.42,4.6,4.42,4.51,109315
1719288000,4.555,4.61,4.4,4.495,380804
1719374400,4.5,4.57,4.46,4.55,93136
1719460800,4.55,4.6,4.54,4.58,617353
1719547200,4.7,4.98,4.7,4.8,1333168
1719806400,4.81,5.17,4.78,5.11,1017518
1719892800,5.08,5.12,5.02,5.06,191295
1719979200,4.97,5.09,4.83,4.95,337537
1720152000,5,5.15,4.95,5.09,84812
1720411200,5,5.15,4.95,5.08,394989
1720497600,5.1,5.17,5.1,5.12,779853
1720584000,5.07,5.14,4.97,5,174759
1720670400,5.01,5.05,4.97,5.01,135343
1720756800,5.04,5.12,4.85,4.983,88312
1721016000,5.14,5.35,5.14,5.22,700671
1721102400,5.22,5.45,5.22,5.43,1274149
1721188800,5.42,5.64,5.2201,5.5,558887
1721275200,5.6,5.6,5,5.3,210564
1721361600,5.17,5.345,5.09,5.18,730739
1721620800,5.235,5.26,4.9,5,136211
1721707200,5,5.03,4.87,4.995,144946
1721793600,5,5,4.73,4.8,202099
1721880000,4.71,4.84,4.36,4.67,244975
1721966400,4.64,4.7,4.62,4.66,914707
1722225600,4.71,4.71,4.62,4.64,498644
1722312000,4.61,4.65,4.55,4.6,136529
1722398400,4.5504,4.59,4.5,4.52,286404
1722484800,4.5,4.5,3.99,4,1371452
1722571200,3.95,4.02,3.68,3.79,1277014
1722916800,3.58,3.84,3.58,3.84,333624
1723003200,3.8,3.94,3.75,3.9,322210
1723089600,3.89,3.95,3.85,3.95,307730
1723176000,3.9,3.96,3.9,3.92,536144
1723435200,3.87,3.97,3.78,3.83,2436806
1723521600,3.8,3.8,3.65,3.69,110075
1723608000,3.64,3.73,3.5,3.65,315812
1723694400,3.62,3.65,3.52,3.54,185329
1723780800,3.58,3.58,3.5,3.53,573379
1724040000,3.5,3.63,3.5,3.59,290067
1724126400,3.605,3.74,3.6,3.72,743222
1724212800,3.6,3.99,3.6,3.95,1169347
1724299200,4,4.07,4,4.0007,1740
