T,O,H,L,C,V
1713844800,118.87,119.44,116.07,116.38,994905
1713931200,117,117.035,115.27,115.9,1692841
1714017600,115.05,115.97,113.62,115.11,1062570
1714104000,117.39,120.33,114.67,118.93,1229201
1714363200,118,119.845,118,118.92,1217798
1714449600,119.38,119.95,116.82,117.66,687441
1714536000,117.85,119.76,116.89,118.09,487614
1714622400,118.6,119.4,117.06,117.56,545065
1714708800,118.09,119.27,117.95,118.68,437698
1714968000,119.42,120.985,118.635,119.45,469985
1715054400,120,120.91,118.29,119.92,624743
1715140800,120.06,120.085,118.625,119.39,394207
1715227200,119.69,121.85,119.33,121.31,701179
1715313600,122.09,122.09,120.63,120.97,363999
1715572800,121.92,123.09,120.64,122.02,684954
1715659200,121.94,122.405,120.33,120.79,524615
1715745600,121.62,123.03,120.75,121.77,507832
1715832000,121.43,121.43,119.53,120.32,545068
1715918400,120.2,121.21,119.65,119.91,1465154
1716177600,119.57,120.15,118.16,118.78,581071
1716264000,118.59,118.695,116.195,117.51,846695
1716350400,117.55,118.44,116.05,116.89,1004050
1716436800,116.42,118.5482,115.69,117.37,620141
1716523200,117.99,117.99,116.05,116.75,447835
1716868800,116.99,118.45,115.62,117.32,469417
1716955200,116.41,117.23,114.97,116.17,480454
1717041600,116.48,117.8,114.57,116.24,579566
1717128000,116.93,117.13,114.49,114.62,513577
1717387200,112.62,112.92,105.72,105.82,1337051
1717473600,105.92,111.82,105.78,111.41,1521323
1717560000,112.07,114.72,111.97,113.76,788777
1717646400,113.71,115.32,111.65,112.85,429016
1717732800,111.78,114.04,107.848,108.35,728345
1717992000,107.91,110.76,107.91,109.19,557217
1718078400,109.21,110.75,107.96,109.94,615067
1718164800,110.23,110.76,107.88,108.25,446858
1718251200,108.96,110,106.76,107.23,483094
1718337600,106.37,107.23,104.91,106.24,283016
1718596800,105.79,108.38,105.41,108.3,417354
1718683200,108.31,110.27,108.06,108.24,693386
1718856000,108.04,110.42,107.12,107.88,718077
1718942400,107.31,109.39,106.54,106.75,847786
1719201600,107.61,109.89,106.995,108.63,584008
1719288000,108.24,109.49,105.39,109.28,1059941
1719374400,108.53,108.66,105.645,106.25,706932
1719460800,106.09,107.15,105.37,106.15,388063
1719547200,106.08,107.83,106.08,107.65,542053
1719806400,107.58,108.96,106.9,108.39,431493
