T,O,H,L,C,V
1713844800,1.44,1.49,1.42,1.45,1796952
1713931200,1.45,1.48,1.43,1.4699,1271526
1714017600,1.45,1.48,1.44,1.455,695267
1714104000,1.44,1.48,1.43,1.46,1098305
1714363200,1.45,1.55,1.44,1.53,3118682
1714449600,1.53,1.53,1.43,1.47,1255540
1714536000,1.46,1.54,1.445,1.52,2100675
1714622400,1.52,1.53,1.47,1.48,2179091
1714708800,1.51,1.51,1.47,1.49,1980681
1714968000,1.5,1.51,1.47,1.49,1292957
1715054400,1.49,1.49,1.45,1.456,1343487
1715140800,1.45,1.47,1.4,1.44,2083125
1715227200,1.45,1.45,1.36,1.38,2578502
1715313600,1.38,1.5,1.38,1.476,1780494
1715572800,1.5,1.52,1.43,1.47,2108663
1715659200,1.47,1.51,1.44,1.5,3277548
1715745600,1.51,1.53,1.49,1.52,1669011
1715832000,1.52,1.64,1.48,1.57,5416227
1715918400,1.55,1.62,1.55,1.595,3575606
1716177600,1.59,1.66,1.58,1.66,2960965
1716264000,1.65,1.7,1.57,1.6,2812920
1716350400,1.6,1.63,1.57,1.59,2192794
1716436800,1.58,1.61,1.505,1.51,2337642
1716523200,1.52,1.55,1.51,1.52,1053021
1716868800,1.52,1.52,1.46,1.5,2700202
1716955200,1.535,1.54,1.46,1.47,1548958
1717041600,1.49,1.575,1.46,1.565,1612553
1717128000,1.45,1.55,1.44,1.55,3070744
1717387200,1.54,1.55,1.53,1.54,1618574
1717473600,1.48,1.56,1.48,1.53,1727469
1717560000,1.55,1.58,1.54,1.56,2143666
1717646400,1.56,1.635,1.56,1.6,3126544
1717732800,1.6,1.64,1.6,1.6,2869585
1717992000,1.6,1.62,1.55,1.6,2474000
1718078400,1.6,1.615,1.52,1.52,2458521
1718164800,1.55,1.566,1.47,1.5,4370763
1718251200,1.49,1.52,1.41,1.42,3678587
1718337600,1.4,1.45,1.38,1.42,5413814
1718596800,1.42,1.46,1.38,1.394,1940900
1718683200,1.38,1.4,1.25,1.295,7147981
1718856000,1.3,1.3,1.26,1.3,3855190
1718942400,1.29,1.31,1.06,1.13,14759933
1719201600,1.12,1.27,1.12,1.25,5850145
1719288000,1.27,1.3,1.22,1.255,2625636
1719374400,1.25,1.31,1.25,1.31,1660480
1719460800,1.26,1.37,1.26,1.31,2878549
1719547200,1.35,1.48,1.34,1.43,7010305
1719806400,1.45,1.55,1.44,1.46,5517491
1719892800,1.45,1.48,1.35,1.4,2565342
1719979200,1.38,1.48,1.35,1.48,2354698
1720152000,1.47,1.49,1.425,1.46,1605400
1720411200,1.43,1.49,1.42,1.45,1353747
1720497600,1.43,1.46,1.39,1.41,1877929
1720584000,1.39,1.41,1.35,1.35,1979565
1720670400,1.35,1.38,1.34,1.36,1744496
1720756800,1.37,1.39,1.33,1.36,1392140
1721016000,1.44,1.54,1.41,1.49,7879666
1721102400,1.5,1.57,1.5,1.54,4064954
1721188800,1.53,1.54,1.45,1.46,2632968
1721275200,1.47,1.47,1.41,1.46,2315077
1721361600,1.42,1.44,1.38,1.4,1576946
1721620800,1.4,1.42,1.35,1.37,2908237
1721707200,1.37,1.44,1.36,1.4,1826453
1721793600,1.4,1.4,1.38,1.39,1146977
1721880000,1.38,1.39,1.32,1.35,3403519
1721966400,1.35,1.43,1.32,1.38,3141516
1722225600,1.38,1.4,1.31,1.32,2195094
1722312000,1.33,1.35,1.3,1.3,1534584
1722398400,1.3,1.31,1.28,1.28,2520767
1722484800,1.28,1.29,1.22,1.26,3208787
1722571200,1.24,1.255,1.08,1.13,6486972
1722916800,1.06,1.24,1.06,1.17,5731434
1723003200,1.19,1.24,1.12,1.12,2836936
1723089600,1.12,1.18,1.0875,1.11,2999595
1723176000,1.08,1.16,1.07,1.15,1444051
1723435200,1.15,1.18,1.12,1.12,1028287
1723521600,1.1,1.13,1.09,1.1,1534645
1723608000,1.11,1.12,1.08,1.1,1571064
1723694400,1.1,1.21,1.09,1.2,2326872
1723780800,1.21,1.23,1.2,1.225,2040693
1724040000,1.24,1.28,1.23,1.27,2629608
1724126400,1.27,1.29,1.23,1.25,1465572
1724212800,1.25,1.31,1.23,1.3,2567168
1724299200,1.27,1.3,1.26,1.29,206673
1724385600,1.26,1.29,1.23,1.28,1233796
1724644800,1.26,1.29,1.24,1.25,1071163
1724731200,1.25,1.26,1.22,1.24,812315
1724817600,1.24,1.245,1.19,1.2,1686464
1724904000,1.2,1.26,1.19,1.21,1235529
1724990400,1.2,1.23,1.2,1.2,627987
1725336000,1.21,1.225,1.15,1.15,1828134
1725422400,1.15,1.18,1.14,1.15,1029355
1725508800,1.16,1.23,1.15,1.19,1667141
1725595200,1.19,1.25,1.18,1.2,1831261
1725854400,1.2,1.26,1.2,1.26,2441287
1725940800,1.26,1.27,1.21,1.27,1518770
1726027200,1.22,1.22,1.11,1.13,7472681
1726113600,1.13,1.17,1.1,1.1,3188450
1726200000,1.2,1.25,1.1635,1.17,5072753
1726459200,1.19,1.24,1.17,1.23,2958328
1726545600,1.24,1.27,1.17,1.24,3222969
1726632000,1.24,1.28,1.24,1.28,3950790
1726718400,1.28,1.29,1.23,1.24,1938329
1726804800,1.25,1.28,1.24,1.26,2130099
1727064000,1.25,1.26,1.23,1.24,1288449
1727150400,1.24,1.26,1.22,1.24,1196443
1727236800,1.22,1.25,1.21,1.24,1151625
1727323200,1.23,1.25,1.2,1.23,2017769
1727409600,1.22,1.23,1.19,1.22,1933253
1727668800,1.22,1.23,1.12,1.18,3011564
1727755200,1.17,1.18,1.14,1.1655,2805638
1727841600,1.16,1.17,1.14,1.15,2163594
1727928000,1.14,1.16,1.13,1.16,1284230
1728014400,1.15,1.18,1.094,1.17,5082100
1728273600,1.13,1.15,1.09,1.13,5277690
1728446400,1.1,1.145,1.1,1.13,2295813
1728532800,1.13,1.2,1.12,1.13,3869871
1728619200,1.16,1.19,1.15,1.18,3129618
1728878400,1.19,1.38,1.18,1.36,12704219
1728964800,1.34,1.38,1.27,1.3,4546299
1729051200,1.31,1.36,1.3,1.35,3860771
1729137600,1.36,1.42,1.345,1.37,5427017
1729224000,1.36,1.4,1.35,1.39,2103355
1729483200,1.39,1.51,1.36,1.47,7848788
1729569600,1.48,1.6,1.47,1.58,9158091
1729656000,1.59,1.68,1.56,1.66,7734926
1729742400,1.66,1.67,1.48,1.52,7642418
1729828800,1.53,1.62,1.52,1.54,7901978
1730088000,1.57,1.62,1.39,1.47,10246834
1730174400,1.48,1.53,1.42,1.44,6447215
1730260800,1.48,1.48,1.39,1.43,3857808
1730347200,1.44,1.44,1.35,1.39,4891880
1730433600,1.39,1.41,1.26,1.3,7794389
1730696400,1.34,1.35,1.2,1.325,7285431
1730782800,1.35,1.45,1.34,1.39,11885166
1730869200,1.86,1.94,1.65,1.94,53254830
1730955600,1.93,2.38,1.89,2.07,54638249
1731042000,2.16,2.4,2.04,2.16,32159039
1731301200,2.23,2.38,2.23,2.36,31817919
1731387600,2.3,2.95,2.3,2.805,51096405
1731474000,2.87,3.25,2.65,3.14,54573919
1731560400,3.16,3.17,2.82,3.06,31590262
1731646800,3.05,3.26,2.92,3.19,22620953
1731906000,3.15,3.55,3.14,3.43,23391244
1731992400,3.47,3.65,3.32,3.39,14942410
1732078800,3.36,3.37,2.89,3.01,29175334
1732165200,2.98,3.25,2.98,3.16,17603233
1732251600,3.16,3.31,3.11,3.209,14564755
1732510800,3.27,3.56,3.26,3.56,21785483
1732597200,3.57,3.6,3.2,3.31,16536287
1732683600,3.32,3.42,3.12,3.16,9673253
1732856400,3.16,3.19,3.1,3.13,3761106
1733115600,3.16,3.24,2.4,2.57,29183042
1733202000,2.6,2.73,2.57,2.7,11151353
1733288400,2.71,2.8,2.07,2.33,36688557
1733374800,2.33,2.58,2.27,2.49,15627287
1733720400,2.78,2.92,2.66,2.815,14567716
1733806800,2.82,2.9,2.8,2.81,8168098
1733893200,2.83,2.87,2.62,2.71,8494656
1733979600,2.64,2.76,2.61,2.69,8963022
1734066000,2.66,2.71,2.55,2.56,4688974
1734325200,2.56,2.625,2.51,2.55,5071002
1734411600,2.58,2.75,2.58,2.7,6696887
1734498000,2.71,2.82,2.62,2.67,6147777
1734584400,2.69,2.71,2.59,2.65,5489171
1734670800,2.6,2.78,2.6,2.69,5485446
1734930000,2.69,2.71,2.61,2.62,5455901
1735016400,2.63,2.6855,2.57,2.63,7034297
1735189200,2.63,2.64,2.57,2.59,2722200
1735275600,2.57,2.59,2.49,2.49,5101620
1735534800,2.49,3.48,2.24,3.39,29443630
1735621200,3.47,3.55,3.13,3.28,31943538
1735794000,3.31,3.52,3.21,3.44,19850296
1735880400,3.53,4.47,3.52,4.465,56113381
1736139600,4.64,5.25,4.16,4.3601,50950726
1736226000,4.6,4.721,4.23,4.55,16750710
1736312400,4.69,5.05,4.56,4.98,23763339
1736485200,5.16,5.4,5.06,5.255,24282848
1736744400,5.31,5.51,5.29,5.49,16542881
1736917200,7.5,7.8,5.785,6.21,46621566
1737003600,6.33,6.48,5.06,5.4,41310195
1737090000,5.43,6.92,5.42,6.905,36587269
1737435600,7.03,7.13,6.12,6.86,19164380
1737522000,6.92,6.98,6.5,6.86,18607773
1737608400,6.8,6.8,6.5,6.5,9202447
1737694800,6.36,6.36,5.23,5.74,32230441
1737954000,5.38,5.72,5.24,5.46,17765456
1738040400,5.43,6.02,5.39,5.74,11905611
1738126800,5.73,5.74,5.4,5.66,11572012
1738213200,5.65,5.85,5.57,5.65,5243321
1738299600,5.66,5.69,5.45,5.49,5827093
1738558800,5.2,5.34,4.91,5.16,13800049
1738645200,5.15,5.65,5.15,5.48,5758658
1738731600,5.43,6.03,5.41,5.98,13606819
1738818000,6.77,7.22,6.48,6.85,32493122
1738904400,6.85,6.93,6.43,6.6,7837675
1739163600,6.67,6.97,6.515,6.7,7983887
1739250000,6.68,6.9,6.67,6.82,5053587
1739336400,6.82,7.04,6.755,6.99,8602684
1739422800,7.01,7.12,6.58,6.725,12762613
1739509200,6.81,7.1,6.725,7.09,10475044
1739854800,7.12,7.32,7.1,7.26,13980520
1739941200,7.3,7.71,7.29,7.7,12416467
1740027600,7.81,8,6.88,7.43,18466022
1740114000,7.65,7.69,7.1,7.3,12240430
1740373200,7.16,7.25,6.57,6.81,12143496
1740459600,6.75,6.78,6.21,6.24,11461661
1740546000,6.2,6.73,6.19,6.285,8602566
1740632400,6.36,6.65,6.36,6.55,8838147
1740718800,6.52,6.53,6.24,6.4,6838575
1740978000,6.45,6.75,6.44,6.49,6417624
1741064400,6.27,6.5,5.93,6.38,14549078
1741150800,6.48,6.78,6.16,6.62,7336385
1741237200,6.56,6.57,5.98,6.07,8777456
1741323600,6.04,6.04,5.27,5.84,23016921
1741579200,5.63,5.64,4.9,4.91,16801441
1741665600,4.96,5.28,4.91,5.19,10482222
1741752000,5.3,5.77,5.27,5.65,9589694
1741838400,5.77,5.83,5.35,5.5,5952072
1741924800,5.54,6.38,5.53,6.11,16522891
1742184000,6.19,6.31,5.72,5.82,9319542
1742270400,5.84,5.99,5.49,5.65,10345142
1742356800,5.77,6.14,5.67,6.02,8074552
1742443200,6.02,6.26,5.78,6.26,8037939
1742529600,6.26,6.54,6.16,6.39,8510618
1742788800,6.95,7.1,6.46,7.1,16716622
1742875200,7.07,7.58,7.05,7.31,13852046
1742961600,7.3,7.58,6.86,6.92,9603429
1743048000,6.95,7.38,6.95,7.01,5471390
1743134400,7.07,7.08,6.5,6.7,5988358
1743393600,6.68,6.69,6.04,6.32,8622505
1743480000,6.34,6.75,6.33,6.6,6049077
1743566400,6.59,6.66,6.43,6.57,3016925
1743652800,6.13,6.33,5.95,6.12,11696680
1743739200,5.77,5.8,5.17,5.65,16047045
1743998400,5.04,5.73,4.83,5.67,17138658
1744084800,5.84,6.26,5.1,5.2,12121942
1744171200,5.1,6.1,5,6.02,17803318
1744257600,5.97,5.99,5.55,5.72,7628555
1744344000,5.8,5.97,5.66,5.83,4578917
1744603200,6,6.65,5.83,6.25,12359042
1744689600,6.25,6.51,6.24,6.51,6355212
1744776000,6.38,6.45,6.06,6.11,5211884
1744862400,6.2,6.29,6.06,6.26,2974934
1745208000,6.23,6.25,5.9,6.13,4325370
