T,O,H,L,C,V
1713844800,4.35,4.39,4.32,4.37,81810
1713931200,4.3,4.42,4.28,4.37,341144
1714017600,4.3,4.38,2.275,4.24,663940
1714104000,4.27,4.33,4.22,4.24,316416
1714363200,4.25,4.33,4.25,4.31,343881
1714449600,4.2702,4.32,4.27,4.31,112887
1714536000,4.3,4.41,4.275,4.41,406573
1714622400,4.25,4.405,4.25,4.38,1360026
1714708800,4.38,4.41,4.29,4.3,105644
1714968000,4.31,4.38,4.28,4.38,230494
1715054400,4.4,4.45,4.35,4.44,416679
1715140800,4.42,4.56,4.4,4.47,942844
1715227200,4.48,4.49,4.4,4.42,198695
1715313600,4.43,4.43,4.28,4.29,542966
1715572800,4.3,4.335,4.02,4.31,638747
1715659200,4.26,4.34,4.26,4.33,229987
1715745600,4.26,4.37,4.26,4.32,174719
1715832000,4.3,4.52,4.3,4.45,475384
1715918400,4.44,4.59,4.38,4.59,626231
1716177600,4.6,4.85,4.59,4.81,690156
1716264000,4.85,4.8725,4.64,4.7,237737
1716350400,4.75,4.81,4.7,4.77,296614
1716436800,4.8,4.86,4.76,4.85,293652
1716523200,4.86,4.91,4.83,4.9,378168
1716868800,4.9,5.02,4.9,5.01,1059037
1716955200,4.93,5.08,4.9,5.08,953414
1717041600,5.02,5.12,5.02,5.11,211198
1717128000,5.14,5.25,4.91,5.18,526675
1717387200,5.14,5.2,5.07,5.12,280189
1717473600,5.15,5.25,5.1475,5.23,1171261
1717560000,5.24,5.28,5.17,5.24,386856
1717646400,5.25,5.25,5.15,5.2,60613
1717732800,5.24,5.24,5.15,5.19,82001
1717992000,5.15,5.22,5.12,5.13,126012
1718078400,5.2,5.2,5.08,5.09,104219
1718164800,5.08,5.09,4.98,5.05,626555
1718251200,4.99,5,4.9,4.9325,318382
1718337600,5.04,5.04,4.9,4.98,122188
1718596800,5,5,4.87,4.88,154721
1718683200,4.9,4.9,4.7,4.71,452084
1718856000,4.7,4.79,4.6,4.78,972272
1718942400,4.79,4.92,4.65,4.75,277834
1719201600,4.75,4.8,4.64,4.75,107935
1719288000,4.74,4.8,4.74,4.74,213384
1719374400,4.7,4.8,4.7,4.79,262313
1719460800,4.73,4.9,4.73,4.87,595592
1719547200,4.9,5.26,4.83,5.13,1276696
1719806400,5.16,5.5,5.13,5.5,1731177
1719892800,5.485,5.55,5.38,5.41,1186803
1719979200,5.41,5.45,5.26,5.29,236240
1720152000,5.27,5.53,5.27,5.5,1007324
1720411200,5.5,5.53,5.28,5.32,871912
1720497600,5.355,5.43,5.29,5.29,409377
1720584000,5.37,5.39,5.21,5.21,164401
