T,O,H,L,C,V
1713844800,71.05,73.859,70.9,72.69,840846
1713931200,72.95,74.44,71.27,73.45,1045698
1714017600,72.16,74.17,71.03,73.25,1289461
1714104000,73.26,74.99,69.01,70.75,1806320
1714363200,71.33,73.395,69.93,72.59,1051619
1714449600,72.21,72.52,70.13,70.21,1045195
1714536000,70.68,74.2,70.08,73.2,1137603
1714622400,74.15,75.7,73.025,75.51,1349243
1714708800,77.5,79.6,76.74,78.32,1315806
1714968000,79.94,81.4,78.32,78.4,1512365
1715054400,78.32,79.12,77.08,77.5,563798
1715140800,77,79.35,77,78.5,396826
1715227200,78.45,80.1299,77.78,78.7,568140
1715313600,78.82,79.49,78.09,79.11,454844
1715572800,79.5,79.56,76.52,76.65,504353
1715659200,76.63,78.75,75.77,78.48,560502
1715745600,79.62,80.765,79.4759,79.77,1008085
1715832000,79.53,80.37,78.7,78.7,332822
1715918400,79.25,79.565,77.25,78.24,1636964
1716177600,78.4,80.3138,78.32,80.06,544105
1716264000,79.56,82.95,79.51,82.93,1040798
1716350400,82.93,84.17,81.61,81.89,951643
1716436800,81.95,82.94,80.41,80.55,568359
1716523200,81.45,84.66,81.12,84.47,588564
1716868800,85.43,86.3103,83.77,84.65,1255441
1716955200,81.3,81.5,77.06,79.13,2590165
1717041600,79.88,81.53,79.66,81.28,1655540
1717128000,83.87,84.73,82,84.32,1556544
1717387200,84.53,84.6835,80.75,82.92,1100929
1717473600,82.92,83.07,77.24,78.21,1276477
1717560000,79.18,81.885,78.55,81.29,854632
1717646400,81.51,85,81.51,82.67,1153176
1717732800,83.04,84.59,81.3,81.95,855319
1717992000,81.87,85.75,81.5201,84.94,1225894
1718078400,84.77,84.93,82.24,83.9,628173
1718164800,86.4,88.03,84.65,87.33,991625
1718251200,87.79,88.64,84.73,86.12,707692
1718337600,84.15,84.94,81.82,84.56,820461
1718596800,85.36,89.88,85.36,89.4,974667
1718683200,89.05,93.92,89.05,93.68,1408656
1718856000,93.52,94.43,91,92.6,1898734
1718942400,92.87,93.5,89.83,92.73,1281093
1719201600,92.92,93.08,89.74,91.48,1016217
1719288000,92.47,101.09,92.1602,99.67,2219605
1719374400,99.3,101.525,97.5,100.71,1347380
1719460800,100,101.99,95.4901,101.81,964627
1719547200,102.635,106.1,101.29,103.23,2387309
1719806400,103.97,105.03,101.42,105,961122
1719892800,104.19,108.01,103.68,107.96,857154
1719979200,108.91,111.02,105.067,106.79,705571
1720152000,106.87,108.7,103.54,105.71,1025943
1720411200,106.07,107.77,105.395,106.47,659568
1720497600,106.26,106.71,103.67,104.25,1048843
1720584000,102.69,102.69,95.3101,95.67,2618895
1720670400,96,97.2,93.13,96.45,2140216
1720756800,96.95,99.83,96.9,97.72,869181
1721016000,99.54,102.63,98.5,101.69,1530059
1721102400,102.5,107.9,102.5,107.42,1270623
1721188800,105.26,106.95,102.18,102.79,1304619
1721275200,104.33,105.73,101.13,102.99,1143665
1721361600,103.61,105.4,101.86,102.06,1014528
1721620800,102.93,105.73,100.6,105.23,1563249
1721707200,105.76,108.16,105.6,107.84,1540930
1721793600,112,113.98,105.38,109.25,2757966
1721880000,109.11,110.49,103,105.33,1783575
1721966400,110,115,108.2,112.63,2386326
1722225600,113.565,117.45,110.31,112.59,1555202
1722312000,112.92,114.75,108.35,109.9,961081
1722398400,111.83,114.4,110.7,111.45,1297696
1722484800,111.4,113.5399,106.26,108.92,1058281
1722571200,104.06,104.94,99.2001,101.96,1633253
1722830400,92.83,99.658,86.75,97.18,1736041
1722916800,99.3,103.52,96.2203,101.61,1068914
1723003200,104.11,104.27,98.82,100.78,776871
1723089600,103.25,105.107,101.4,104.76,585298
1723176000,104.2,105.26,103.59,104.7,415676
1723435200,104.15,104.46,101.89,103.78,770814
1723521600,104.81,105.74,102.76,103.75,1447685
1723608000,104.45,104.948,102.685,104.51,906702
1723694400,106.66,107.95,105.36,106.44,863241
1723780800,108.93,114.601,107.81,113.52,1276174
1724040000,113.8,116.3298,113.01,115.13,814163
1724126400,116.53,117.12,113.33,114.3,641881
1724212800,114.71,119.83,114.61,119.15,886709
1724299200,119.75,122.71,119.15,119.56,986316
1724385600,119.09,122.57,118.5143,121.74,1180105
