T,O,H,L,C,V
1713844800,38.34,39.08,38.3,38.63,39003
1713931200,38.82,38.82,38.09,38.19,28080
1714017600,38.06,38.06,37.58,37.9,67336
1714104000,37.68,38.61,37.68,38.32,48236
1714363200,38.69,39.16,38.2328,38.76,39430
1714449600,38.77,39.11,38.28,38.67,44846
1714536000,38.33,39,38.1,38.1,137226
1714622400,38.33,38.63,37.86,37.86,116791
1714708800,38.49,39.6199,38.1701,39.43,143793
1714968000,39.42,40.48,39.23,40.35,112397
1715054400,40.23,40.48,39.8939,40.46,76602
1715140800,40.02,41.85,40,40.84,308381
1715227200,40.92,44.87,39.32,43.49,744351
1715313600,43.61,44.87,42.85,44.6,520009
1715572800,44.82,45.76,44.43,44.9,364681
1715659200,44.88,45.73,44.44,44.75,216526
1715745600,45,45.61,43.99,44.41,295032
1715832000,44.45,44.51,43.2,43.5,163541
1715918400,43.2,44,42.94,43.32,190437
1716177600,42.94,43.59,42.4985,43.5,79995
1716264000,43.41,44.47,42.77,44.46,134716
1716350400,44.06,44.5,43.8515,44.25,140900
1716436800,44.07,44.07,43.06,43.55,174473
1716523200,43.36,44.1,43.225,43.83,105569
1716868800,43.47,44.09,43.17,43.81,148177
1716955200,43.27,43.485,42.52,42.61,107894
1717041600,42.54,43.25,42.23,42.45,82031
1717128000,42.38,43.67,42.38,43.43,156113
1717387200,43.28,43.815,42.15,43.24,110399
1717473600,43,44.25,43,43.01,86122
1717560000,42.55,43.6,42.4401,43.32,84713
1717646400,43.07,43.65,42.13,42.39,75905
1717732800,42.39,44.015,42.1,43.76,92511
1717992000,43.23,44.11,43.01,43.88,74605
1718078400,43.58,44.8,43.58,44.17,135865
1718164800,44.8,47.6,44.615,46.63,376337
1718251200,46.13,47.49,45.98,47,1160186
1718337600,47.01,47.01,46.0201,46.73,110423
1718596800,45.96,48.46,45.9,48.26,211617
1718683200,48.21,52.53,48.21,51.89,1053171
1718856000,51.24,52.344,50.06,50.91,470064
1718942400,50.5,51.595,49.66,51.04,411900
1719201600,51.04,51.8,50.4,50.73,253245
1719288000,51,51.275,49.24,49.25,291303
1719374400,49.19,51.37,49.08,50.97,687976
1719460800,50.62,56,50.36,53.69,2611289
1719547200,53.03,56,53.01,54.35,986780
1719806400,55.35,55.35,52.11,52.11,1945906
1719892800,53.49,55.37,52.64,54.89,17759673
1719979200,55.36,57,54.52,56.75,2232264
1720152000,56.26,57.68,55.61,57.63,4148618
1720411200,57.9,58.7,56.15,56.57,2760884
1720497600,56.86,57.48,55.3,55.42,1669446
1720584000,56.02,56.08,52.56,53.46,4189643
1720670400,53.19,53.94,51.54,51.99,2601053
1720756800,52.25,53.71,52.02,52.94,1575213
1721016000,52.87,53.64,52.48,52.68,3064480
1721102400,52.65,53.2228,52.3,53.08,951650
1721188800,52.61,54.58,51.6668,52,1940330
1721275200,51.72,52,49.77,50.74,1543440
1721361600,50.7,51.79,49.81,50.29,1315148
1721620800,50.21,51.07,49.96,50.62,1144154
1721707200,50.01,51.13,49.26,49.58,1317495
1721793600,49.18,49.96,47.19,47.33,1378301
1721880000,47.43,48,46.33,46.63,1210734
1721966400,47.36,48.17,46.78,47.22,950771
1722225600,47.22,47.385,45.91,47,1123456
1722312000,47.03,48,46.45,46.9,975362
1722398400,47.77,49.1,47.28,47.63,1279867
1722484800,47.72,48.51,45.645,47.04,1428970
1722571200,45.56,45.765,43.79,44.04,1635383
1722830400,41.095,44.28,41.095,43.59,2984520
1722916800,42.79,45.14,42.64,45.09,1953568
1723003200,45.63,45.82,42.91,43.25,3371784
1723089600,43.36,45.27,42.16,44.61,2137767
1723176000,44,44.53,42.67,43.18,2214917
1723435200,42.91,43.07,41.6,42.63,2456070
1723521600,42.63,42.89,41.1,42.62,1374174
1723608000,42.76,42.99,41.79,42.76,1024873
1723694400,43.47,44.37,43.16,44.16,1921777
1723780800,44.24,46.02,43.96,44.44,1033455
1724040000,44.51,45.65,44.37,45.29,797965
1724126400,44.93,45.33,43.7,44.06,941935
1724212800,44.35,45.42,43.9,45.31,1269332
1724299200,45.32,45.33,43.53,43.72,903685
1724385600,43.82,44.85,43.5,44.53,1014741
1724644800,43.81,44.66,43.34,43.62,2353139
1724731200,43.15,43.795,42.94,43.33,2010755
1724817600,42.95,44.2,42.28,43.86,3097864
1724904000,44.95,45.64,43.8,43.97,2885376
1724990400,43.75,44.15,43.05,43.78,1696709
1725336000,43.33,44.56,43.33,43.91,1748615
1725422400,43.63,44.93,43.63,44.08,847564
1725508800,43.84,44.47,43.2,43.55,958875
1725595200,43.25,43.57,41.04,41.67,1608342
1725854400,41.77,42.34,40.75,40.89,1566523
1725940800,40.85,41.08,39.2,39.9,2845489
1726027200,39.86,39.91,38.93,38.93,2989512
1726113600,38.92,40.635,38.92,40.23,2150620
1726200000,40.25,41.78,40.17,40.88,1714736
1726459200,40.54,41.16,40.27,40.59,805822
1726545600,40.64,42,40.64,41.52,1134349
1726632000,41.29,42.58,41.26,41.47,1395408
1726718400,42.5,43.55,42.03,42.18,1091034
1726804800,42.13,42.51,40.57,41.46,8876750
1727064000,41.35,41.98,41.15,41.34,1069645
1727150400,41.35,41.4,40.68,40.72,1309505
1727236800,40.32,40.7725,39.98,40,1470968
1727323200,40.26,41.3,40.145,41,863415
1727409600,41.01,41.55,40.375,40.68,745112
1727668800,40.5,41.06,40.02,40.31,2430940
1727755200,40.18,40.43,38.27,38.55,2035469
1727841600,38.16,38.67,37.88,38.4,2044376
1727928000,37.85,38.31,36.98,37.2,1428354
1728014400,37.55,38.53,37.16,37.58,2065985
1728273600,37.42,38.91,37.42,38.91,1624875
1728360000,38.84,38.895,37.06,37.08,1843473
1728446400,36.89,37.86,36.75,36.96,1946736
1728532800,36.61,36.95,35.93,36.42,1261451
1728619200,36.31,38.04,36.27,38.04,1635839
1728878400,37.76,39.72,37.23,39.27,1882403
1728964800,38.97,40.13,38.6,39.19,1666137
1729051200,39.68,40.3278,39.28,39.67,958331
1729137600,39.83,40.34,39.55,40.34,850717
1729224000,40.64,40.64,39.51,39.53,848552
1729483200,39.65,40.13,39.51,40,1096145
1729569600,39.85,40.34,39.63,39.89,1184705
1729656000,39.73,40.08,39.23,39.37,583925
1729742400,39.61,39.96,39.13,39.93,961928
1729828800,39.76,41.54,39.76,40.53,790509
1730088000,40.94,42.165,40.94,42.11,1195005
1730174400,42.02,43.3639,41.8,42.43,1478825
1730260800,42.26,42.44,40.965,40.99,1028873
1730347200,40.97,41.38,39.25,39.41,1552457
1730433600,39.8,40.65,39.4311,40.62,1041986
1730696400,40.12,41.86,40.02,41.61,1815642
1730782800,41.9,42.86,41.5,42.55,1728905
1730869200,45.75,48.74,44.84,45.64,5813494
1730955600,44.57,46.28,43.09,45.59,2525330
1731042000,44.84,45.76,44.62,45.44,1496992
1731301200,45.44,46.13,45.1361,45.78,1103755
1731387600,45.78,46,44.65,45.8,964168
1731474000,46.05,46.45,45.55,46.32,702216
1731560400,46.47,47.52,46.02,46.55,792303
1731646800,46.55,46.91,45.4,45.94,1202332
1731906000,46.14,46.61,45.49,45.65,1010841
1731992400,45.2,46.1,44.9,45.83,871854
1732078800,45.62,46.18,45.03,46.1,808782
1732165200,46.32,46.57,45.24,45.3,1068335
1732251600,45.63,46.14,45.17,45.43,1086510
1732510800,45.67,47.27,45.67,45.74,2580962
1732597200,45.8,46.15,45.17,46.07,3173032
1732683600,46.55,47.48,45.91,46.39,675845
1732856400,47.1,47.115,46.19,46.19,631181
1733115600,46.83,49.22,46.42,48.35,1633311
1733202000,48.55,48.55,46.87,47.21,1086232
1733288400,47.44,48.54,46.84,48.33,841108
1733374800,48.2,48.6485,47.51,47.51,571365
1733461200,47.97,48.25,47.18,47.26,595820
1733720400,48.05,48.14,46.64,46.64,785745
1733806800,46.99,47.3,46.15,46.29,686128
1733893200,46.63,47.49,46.13,46.14,1187200
1733979600,46.03,47.39,46.01,46.6,1297113
1734066000,46.11,46.625,45.885,46.1,1023405
1734325200,46.1,48.16,45.63,47.98,2340514
1734411600,47.5,48.41,46.85,47.51,2343186
1734498000,47.66,48.18,45.26,46.25,2865767
1734584400,46.51,47.29,45.5028,46.4,1592020
1734670800,45.9,48.93,45.62,48.64,2009653
1734930000,48.37,49.13,47.76,48.77,875912
1735016400,49.22,49.32,48.48,49.07,363334
1735189200,48.52,49.75,48.335,49.64,625993
1735275600,49.31,49.74,48.49,49.08,1088116
1735534800,48.74,48.87,48.07,48.26,596623
1735621200,48.56,49.14,48.07,48.19,603557
1735794000,48.5,48.67,47.43,47.77,907538
1735880400,47.83,48.035,46.64,46.89,943125
1736139600,47.14,49.77,46.8801,49.01,1856016
1736226000,49,49.2,47.25,47.88,714700
1736312400,47.78,47.78,46.53,47,1119404
1736485200,46.11,46.58,44.5,46.37,2147494
1736744400,45.62,46.35,45.34,46.21,954220
1736830800,46.04,46.855,46.04,46.27,980501
1736917200,47.83,48.15,44.7,44.71,1557469
1737003600,44.8,45.52,44.19,44.46,1053014
1737090000,44.86,45.89,44.16,44.38,1362469
1737435600,44.43,45.393,43.52,45.37,1506950
1737522000,45.41,45.55,44.76,45.49,974831
1737608400,45.08,45.275,44.71,45.01,804475
1737694800,44.64,45.05,43.19,43.77,1984355
1737954000,43.75,45.25,43.585,45.25,1029721
1738040400,45.19,45.71,44.89,45.34,481737
1738126800,45.46,45.745,44.84,45.02,567383
1738213200,45.53,45.62,44.4,44.53,936300
1738299600,44.51,44.64,43.46,44.09,1015805
1738558800,43.41,45.27,43.16,44.33,1279568
1738645200,44.27,44.47,43.31,44.05,2095448
1738731600,44.21,45.22,43.91,44.73,685330
1738818000,44.95,45.62,44.5,45.26,619778
1738904400,45.25,45.25,43.69,44,1040742
1739163600,44.14,44.625,43.44,43.46,508500
1739250000,43.21,44.18,43.005,43.63,720836
1739336400,43.14,43.7,42.77,42.82,785800
1739422800,43.15,44.17,42.71,42.9,827007
1739509200,43.27,43.58,42.51,43.28,744643
1739854800,43.32,45.925,43.16,45.76,1109914
1739941200,45.5,47.5,45.1,47.31,1183052
1740027600,46.99,47.42,46.14,46.43,1089172
1740114000,46.87,46.87,44.71,45.09,988203
1740373200,45.41,46.86,44.85,46.17,1756072
1740459600,46.05,46.78,45,46.63,1995781
1740546000,46.7,48.8,45.92,45.99,1890688
1740632400,47,47.0754,42.78,43.36,3114527
1740718800,42.5,45.44,42.5,43.97,2290303
1740978000,44.15,45.235,42.6508,43.39,1905220
1741064400,42.77,42.97,39.81,40.44,4751160
1741150800,40.56,41.56,40.26,41.04,1579433
1741237200,40.41,40.77,38.495,39.01,2009534
1741323600,38.81,38.9,36.895,37.64,2115469
1741579200,37.26,37.833,34.75,36.02,2140391
1741665600,36.38,36.66,34.36,34.5,2324641
1741752000,34.92,35.9342,33.83,35.41,2139382
1741838400,35.46,36.09,34.76,35.06,1789076
1741924800,35.9,38.01,35.5299,37.8,1404112
1742184000,38.01,39.21,37.78,38.88,1371342
1742270400,38.48,38.52,35.93,35.95,1891049
1742356800,35.96,37.41,35.95,37.22,1376527
1742443200,36.85,37.36,36.67,37.13,1000769
1742529600,37,37.48,36.35,37.44,2018330
1742788800,38.09,39.08,37.865,38.82,960186
1742875200,38.54,38.69,37.335,37.46,979458
1742961600,37.34,38.042,37.03,37.33,1056581
1743048000,37.06,37.32,36.665,37.1,1405423
1743134400,36.74,36.94,35.2,35.42,1285563
1743393600,34.79,35.86,34.78,35.67,1290606
1743480000,35.81,36.215,34.61,36.12,1030955
1743566400,35.51,37.64,35.51,37.37,1060566
1743652800,34.96,35.42,31.33,31.98,3198828
1743739200,30.59,31.9,29.9,31.48,3708999
1743998400,30.37,32.86,29.5,30.04,3844537
1744084800,31.38,31.9999,28.12,28.29,3827310
1744171200,28.34,34.33,28.02,33.57,3902682
1744257600,32.295,32.56,30.61,32.29,2183121
1744344000,31.83,32.585,31.15,31.91,1151401
1744603200,32.24,32.99,31.07,32.2,1201168
1744689600,32.15,32.79,31.55,31.74,1089608
1744776000,31.36,32.315,30.9,31.84,1250705
1744862400,31.54,33.46,31.54,33.4,1092824
1745208000,33.3,33.38,32.38,32.94,2113716
