T,O,H,L,C,V
1713844800,57.55,63.2699,57.55,61.93,3781114
1713931200,63,65.49,62.94,63.98,3132877
1714017600,61.63,63.2,61.06,63,1842617
1714104000,65.16,68.92,65.16,66.38,3064293
1714363200,66.39,66.64,65.01,65.28,1506645
1714449600,64.26,65.53,64.01,64.31,1732078
1714536000,64.31,65.15,63.721,64.1,1137307
1714622400,67.58,72.89,67.365,71.71,4366133
1714708800,70.6,71.92,69.8,71.78,2274463
1714968000,72.32,75.25,72.1,73.485,2450912
1715054400,72.13,72.21,70.34,71.06,1850781
1715140800,69.01,69.8633,67.5,69.015,1943349
1715227200,71.8297,72.08,69.295,69.89,1393426
1715313600,71.45,72.35,68.535,68.9,1790389
1715572800,70.23,74.49,70.23,72.53,2638050
1715659200,70.71,73.53,69.7,73.52,2198981
1715745600,74.46,74.67,72.56,74.57,1190627
1715832000,75,77.78,74.41,77.78,2177645
1715918400,78.79,81.86,78.68,80.41,2805743
1716177600,80,80.33,77.932,78.63,1243579
1716264000,76.86,77.7467,75.6,76.76,1276594
1716350400,75.5,76.99,75.2,76.59,1132376
1716436800,76.23,76.23,73.07,73.8,2405716
1716523200,73.29,75.6,72.73,74.64,1636508
1716868800,76.75,80.82,75.7,76.91,3664691
1716955200,74.61,78.4,74.25,76.36,1300752
1717041600,76.54,76.54,74.21,74.69,1741096
1717128000,74.86,76.35,74.25,75.14,1822967
1717387200,76.4,77.2,73.8,74.4,1048891
1717473600,74.87,75.43,73.8275,74.33,1362872
1717560000,75.15,76.78,74.9,75.38,1148787
1717646400,75.38,77.09,74.47,76.48,1066894
1717732800,75.41,76.05,74.32,74.9,961288
1717992000,73.51,75.28,72.67,74.88,891233
1718078400,74.32,76.1,73.69,74.61,1286339
1718164800,74.8,75.24,73.165,73.57,1169593
1718251200,73.79,74.27,70.2413,71.58,2116846
1718337600,70.76,71.5,70.66,71.06,1022011
1718596800,70,70.002,66.9,69.05,2733249
1718683200,67.9,68.19,66.55,67.48,1474313
1718856000,68.25,68.54,65.81,66.17,1707467
1718942400,65.51,67.98,65.38,67.94,1529032
1719201600,67.43,69.9,67.22,69.46,1243504
1719288000,68.97,69.465,66.52,67.92,1618368
1719374400,68.22,68.22,67.19,67.54,466816
1719460800,66,66.155,65.26,65.79,1378898
1719547200,66.25,66.25,64.82,65.605,1329936
1719806400,65.98,66.2,64.03,64.17,745450
1719892800,64.3,66.06,63.61,66.02,672633
1719979200,67.27,69.23,67.27,68.79,1015815
1720152000,67.29,71.04,65.55,70.9,2568690
1720411200,71.4,71.5,65.34,65.65,2007490
1720497600,66.75,67.97,65.5,67.61,1283688
1720584000,67.8,69.96,67.67,69.46,809062
1720670400,70.95,70.99,68.0168,68.8,996578
1720756800,69.59,70.3,68.52,68.57,547230
1721016000,67.2,68.055,66.244,67.61,596419
1721102400,67.4,68.1183,67.04,67.68,491669
1721188800,67.19,67.2,62.32,63.81,1931420
1721275200,63.97,64.38,62.2,62.92,1238916
1721361600,62.78,63.225,60.92,61.61,960445
1721620800,62.75,63.04,61.46,62.17,1256251
1721707200,61.18,63.13,61.14,62.81,802781
1721793600,62.18,62.495,60.55,60.9,664627
1721880000,60.39,61.38,60.05,60.31,595344
1721966400,60.7,61.89,60.29,61.24,474564
1722225600,61.43,63.18,61.2,61.3,533429
1722312000,60.97,61.19,59.75,60.19,777964
1722398400,62.89,64.12,62.66,63.28,1222789
1722484800,62.6,62.79,59.28,59.69,855075
1722571200,58.2,58.51,56.23,57.275,1013083
1722830400,52.5,56.08,51.8,55.54,1652597
1722916800,55.78,58.72,55.01,58.12,1902486
1723003200,59.2,59.8184,57.04,57.29,582176
1723089600,58.05,59.06,57.285,58.7,695709
1723176000,58.29,58.44,57.2,58.24,412411
1723435200,58.62,58.95,57.67,58.88,476750
1723521600,59.04,60.94,58.77,60.82,1237155
1723608000,60.51,62.02,60.47,60.94,1002878
1723694400,61.6,62.47,61.12,61.48,922673
1723780800,62.2,62.4,60.92,61.51,993281
1724040000,62.45,63.065,61.3,62.52,2162681
1724126400,62.6,63.86,59.25,59.71,3291074
1724212800,60.19,63.66,60.19,62.67,1394229
1724299200,62.5,64.36,62.03,62.74,1227551
1724385600,62.95,63.7508,62.4,62.92,1037633
1724644800,62.1,62.1,59.63,61.2,1482944
1724731200,61.13,61.91,60.845,61.52,674673
1724817600,60.67,60.9,58.34,58.99,1456808
1724904000,60.18,61.1,59.93,60.39,668793
1724990400,62.33,64.06,62,63.56,2825329
1725336000,62.3,62.88,61.05,61.18,1086341
1725422400,61.32,61.43,59.35,59.56,915605
1725508800,59.38,60.58,58.83,60.45,939436
1725595200,59.91,60.55,58.36,58.69,966828
1725854400,58.79,59.47,58.56,59.18,616378
1725940800,58.85,59.22,58.35,58.44,587331
1726027200,58.66,59.74,58.46,59.61,730565
1726113600,59.61,59.74,56.22,56.96,1953888
1726200000,56.78,57.75,56.36,57.58,1579993
1726459200,57.5,58.34,57.48,57.54,688099
1726545600,58.79,61.1,58.555,60.37,1848963
1726632000,60.71,60.71,59.51,59.51,550974
1726718400,62.2,68.49,62.2,67.81,3680632
1726804800,67,69.16,65.18,65.53,1599219
1727064000,66.24,68.85,66.22,67.29,2145846
1727150400,74.88,76.28,73.633,74.88,5466194
1727236800,72.488,75.61,71.79,75.52,1650857
1727323200,80.74,83.045,77.6,81.47,9581063
1727409600,82.8,85.99,81.7,85.68,5115057
1727668800,93.01,102.99,92,95.65,18121719
1727755200,96.05,108.6,94.66,107.54,13607756
1727841600,118.67,127.33,106.3,112.85,24604667
1727928000,108.295,124.41,108,122.79,19436976
1728014400,124.27,128.3,118.0912,127.98,14554455
1728273600,129.97,130.5,121.05,128.93,12561035
1728360000,104.9,113.38,102,112.08,17139170
1728446400,105.01,112.69,102.18,110.92,8754571
1728532800,109.49,110.4999,100.52,107.17,8815037
1728619200,104.07,114.4346,103.75,111.02,6149315
1728878400,108.63,111.98,105.51,106.35,4390256
1728964800,100.98,104.6,95.03,96.21,8398632
1729051200,97.4,98.2898,94.53,95.25,3382900
1729137600,90.6,90.855,86.41,89.71,6741184
1729224000,96.92,97.37,92.53,93.26,5951003
1729483200,91.56,93.64,90.73,92.33,2318527
1729569600,91.84,96.185,91.3392,92.37,3598360
1729656000,93.27,93.27,88.61,88.8,2622683
1729742400,89.1,89.44,86.725,88.14,1682332
1729828800,89.37,94.04,89.03,92.58,2962887
1730088000,93.23,98.25,92.91,96.88,3220529
1730174400,100.13,100.18,95.5015,98.17,4132713
1730260800,95.93,98.68,94.3,96.14,2157230
1730347200,96.59,97.23,93.06,94.99,2244813
1730433600,96.2,98.235,94.6,95.08,2153147
1730696400,96.29,101.96,96.17,96.9,3127871
1730782800,101.678,103.6,98.3,99.08,2824381
1730869200,95.88,97.205,92.3678,96.655,3420702
1730955600,104,111.88,100.8,108.66,7321967
1731042000,101.7,101.7,92.17,94.51,6872348
1731301200,97.46,101.97,93.76,101.91,4986953
1731387600,96.42,97.88,92.76,93.02,3429334
1731474000,95.82,95.82,90.12,90.74,2501660
1731560400,89.94,90.03,87.1511,88.68,2401942
1731646800,89.5,89.6,87.48,89.08,1268758
1731906000,91.84,93.66,90.71,92.3,2180378
1731992400,91,91.87,86.58,86.7,4554493
1732078800,87.82,91,87.6703,88.99,2437919
1732165200,87.2,87.69,84.58,84.69,2970304
1732251600,81.68,85.05,81.335,84.22,2393581
1732510800,83.7,84.95,82.75,84,1941692
1732597200,83.98,85.168,82.76,83.76,1427265
1732683600,88.68,89.89,86.3,86.33,2184435
1732856400,87.28,87.48,85.72,87.23,1006300
1733115600,88,88.33,85.27,85.32,1540806
1733202000,86.3,89.905,86.13,88.22,1834481
1733288400,87.5,88,84.64,86.25,1394738
1733374800,86.41,87.3,85.75,86.82,964716
1733461200,87.4,87.455,83.11,83.27,1787204
1733720400,92.865,104.99,92.76,98.08,9746744
1733806800,91,93.43,86.21,86.98,4253426
1733893200,87.61,87.79,83.81,85.88,2793616
1733979600,85.84,86.66,84.36,85.24,1984696
1734066000,84.5,86.9297,83.86,86.54,2438743
1734325200,84,85.3,81.4,82.45,2724341
1734411600,83.4,86.45,82.25,86.18,1836505
1734498000,86,87.1,82.385,83.2,1591413
1734584400,85.1,85.44,83.37,83.64,1067009
1734670800,83.58,85.39,83,84.04,912009
1734930000,84.4,86.52,84,86.19,1217562
1735016400,87.61,88,86.41,87,839721
1735189200,86.26,87.0999,85.02,86.125,1138447
1735275600,85.3,85.3,82.15,82.83,1136039
1735534800,81.83,82,79.93,80.52,1379564
1735621200,80.18,81.48,79.39,79.99,1469582
1735794000,78.68,81.64,78.5601,79.46,1389069
1735880400,81,81.58,78.93,80.63,1085209
1736139600,82,83.545,79.9,80.76,3334011
1736226000,81.49,81.49,78.4,79.57,1217618
1736312400,77.88,78.1899,76.2,77.43,1476120
1736485200,75.89,75.91,74.07,75.41,1850437
1736744400,74.39,76.18,73.4,75.13,1304231
1736830800,78.9,79.46,77.1,77.64,1838118
1736917200,78.82,80.5,78.82,80.13,1657647
1737003600,80.35,80.635,78.58,80.4,1259562
1737090000,81.1,89.128,81.1,87.53,5347118
1737435600,89.15,91.91,85.5,91.33,5024813
1737522000,89,90.67,87.7,89.26,3577266
1737608400,87.99,92.86,87.8,92.44,1928455
1737694800,93.9,97.23,93.78,97.12,2979641
1737954000,94.94,96.1,93.66,93.87,2696563
1738040400,94.99,99.82,94.22,99.69,1916528
1738126800,98.97,99,96.16,97.18,1627058
1738213200,98.04,103.37,98.04,100.19,2951294
1738299600,100.83,100.83,95.7409,96.65,1725129
1738558800,92.1,96.5,91.2908,92.94,1851372
1738645200,95.8,100.2333,95.8,98.72,3280894
1738731600,95.83,96.365,94.0206,94.12,1309657
1738818000,97.99,98.69,96.79,97.16,1515020
1738904400,100,106.96,100,105.64,5051294
1739163600,110.3,111.47,104.48,107.6,3309818
1739250000,105.5,109.57,104.88,105.88,2159134
1739336400,109.82,117.3597,109.7499,115.81,4542281
1739422800,111.8,119.3843,110.57,117.92,3670557
1739509200,125.71,127.39,119.05,121.82,5573530
1739854800,124.44,125.26,116.6,123.56,3531388
1739941200,123.905,124.18,120.4,121.36,1729471
1740027600,127.32,130.2,120.14,120.59,4022664
1740114000,127.08,130.88,121.36,121.4,4387717
1740373200,116.34,116.625,105.02,110.28,5192424
1740459600,111.375,111.375,103.9103,104.58,3350762
1740546000,112.68,116.5,112.0328,114,4344292
1740632400,111.31,114.55,109.04,111.43,1598721
1740718800,104.245,109.8275,104.04,109.19,1683661
1740978000,109.7,109.98,103.1,103.74,1646869
1741064400,104.25,111.36,101.54,108.18,2573817
1741150800,112,121.19,112,121.09,3774706
1741237200,119.22,122.64,114.88,116.79,3293836
1741323600,117.12,119.81,112.4,113,2532764
1741579200,109.5,112.1,104.15,106.06,2983998
1741665600,108.93,111.69,106.91,110.28,2208540
1741752000,111.35,112.58,107.5527,111.73,2848379
1741838400,108.6,113.26,104.51,107.52,4204246
1741924800,112.99,121.09,112.9,118.47,4591581
1742184000,117.98,118.6,112.25,117.11,4054285
1742270400,117.5,122.4999,113.7,114.47,3612686
1742356800,116.25,118.3366,114.03,114.7,1637171
1742443200,110.4,111.5,107.05,109.13,2615887
1742529600,106.66,107.2599,104.78,106.36,1997378
1742788800,109.46,110.5,107.2366,107.76,1538728
1742875200,105.99,109.34,105.81,107.99,1377447
1742961600,108.43,110.03,105.9252,107.51,1250813
1743048000,106.88,114.5,106.88,109.68,3549136
1743134400,107.13,108.5,102.22,103.62,3084971
1743393600,101,102.71,98.15,102.35,3380867
1743480000,101.18,104.045,100.925,103.37,2249808
1743566400,103.37,104.3,102.02,103.47,1111513
1743652800,97.915,98.88,95.4,97.49,3262890
1743739200,89.4,89.4,79.8,83.51,8698891
1743998400,79.39,87.355,77.2,79.11,6731619
1744084800,83.64,83.7,74,75.26,4434080
1744171200,75,82.67,70.6,80.19,7500720
