T,O,H,L,C,V
1724299200,23.6,24.54,23.5,24.44,4067177
1724385600,24.76,25.4,24.36,24.62,6528584
1724644800,24.81,24.85,23.31,23.34,5709733
1724731200,23.1,23.72,23.04,23.28,5000019
1724817600,23.04,23.28,22.24,22.43,7220765
1724904000,24.5,24.5,21.73,22.8,16630096
1724990400,22.26,22.61,21.68,22.43,10872705
1725336000,22.19,23.06,22.03,22.83,7060867
1725422400,22.61,23.12,22.015,22.36,4091071
1725508800,22.2,22.45,21.26,21.31,4657464
1725595200,21.13,21.5,19.915,20.01,8820338
1725854400,20.02,20.35,19.69,19.73,7741684
1725940800,19.76,19.79,19.23,19.42,7195524
1726027200,19.63,19.97,19.37,19.88,6764739
1726113600,19.9,20.755,19.9,20.54,5454864
1726200000,20.85,21.43,20.84,21.21,5577063
1726459200,21,21.29,20.32,20.41,4756117
1726545600,21.2,21.24,19.96,20.02,5417047
1726632000,20.03,20.92,20,20.16,4889556
1726718400,20.66,20.88,20.17,20.46,6284027
1726804800,20.48,20.69,20.07,20.32,9171618
1727064000,20.25,20.45,19.79,20.28,5898244
1727150400,20.46,20.9,20.25,20.73,5092637
1727236800,20.51,20.73,20.18,20.41,4244534
1727323200,21.05,21.15,20.57,21.05,4834292
1727409600,21.21,21.53,20.69,21.42,4974613
1727668800,21.33,22.14,21.11,22.05,7052203
1727755200,21.86,21.888,20.79,21.08,5229204
1727841600,20.91,21.04,20.43,20.77,5326295
1727928000,20.59,20.98,20.305,20.94,4474961
1728014400,21.35,21.825,21.05,21.25,3987566
1728273600,21.23,21.23,20.225,20.62,4049089
1728360000,20.6,21.11,20.38,20.68,4401171
1728446400,20.75,20.75,19.95,20.72,3691695
1728532800,20.55,20.8,20.22,20.71,3173411
1728619200,20.67,21.83,20.555,21.8,3923563
1728878400,21.76,22.025,21.42,21.79,3859230
1728964800,21.75,22.27,21.55,21.63,3399900
1729051200,21.88,22.35,21.78,22.18,3287386
1729137600,22.25,22.505,22.02,22.24,3519635
1729224000,22.3,22.87,22.15,22.5,4268449
1729483200,22.44,22.63,22.11,22.49,4463457
1729569600,22.37,22.47,21.52,21.73,4412185
1729656000,21.62,21.79,21.3,21.48,3862211
1729742400,21.58,21.75,21.4,21.43,2937365
1729828800,21.68,21.85,21.49,21.61,4338190
1730088000,21.81,22.28,21.67,21.74,4031044
1730174400,21.37,21.67,21.174,21.44,2875802
1730260800,21.23,21.7076,21.23,21.46,3516832
1730347200,21.25,21.31,20.605,20.77,3629937
1730433600,20.8,21.1,20.595,20.74,3153707
1730696400,20.82,21.79,20.725,21.61,4967088
1730782800,21.42,21.75,21.13,21.72,4660743
1730869200,21.93,21.93,20.67,21.52,7686427
1730955600,21.6,21.92,21.3881,21.84,3565655
1731042000,21.6,21.8,21.375,21.67,3779921
1731301200,21.87,22.41,21.87,22.36,5030658
1731387600,22.33,22.98,21.87,21.9,5427926
1731474000,22.22,22.66,22.09,22.34,4189170
1731560400,22.6,22.6,22.01,22.1,3132417
1731646800,22.19,22.2,21.28,21.52,3914541
1731906000,21.6,21.95,21.315,21.36,5439878
1731992400,21.22,21.28,20.64,21,6593331
1732078800,20.75,20.815,20.13,20.62,9459370
1732165200,20.96,22.14,20.43,22.04,20166204
1732251600,25.8,25.89,23.25,24.87,35444173
1732510800,25.34,25.54,24.64,24.83,15428378
1732597200,24.64,25.05,23.97,24.15,7695523
1732683600,24.15,24.44,23.74,24.22,7508455
1732856400,24.5,24.69,23.7,24.25,4298002
1733115600,25.325,26.24,24.87,25.81,12493074
1733202000,25.65,26.04,25.15,25.79,8225563
1733288400,25.73,26.03,25.43,26,5176618
1733374800,25.8,25.9799,25.42,25.54,5399198
1733461200,25.88,26.155,25.64,26,5057068
1733720400,26.06,26.41,25.4,25.41,6459749
