T,O,H,L,C,V
1713844800,52.79,53.08,52.1701,52.4797,14019
1713931200,51.48,52.714,50.8201,51.29,14005
1714017600,49.9,51.09,49.855,51.07,21171
1714104000,51.57,51.58,50.2001,50.51,40492
1714363200,50.57,50.57,49.36,49.502,67426
1714449600,50.62,50.81,49.48,49.48,221995
1714536000,49.87,50.44,49.405,49.742,12031
1714622400,50.86,51.35,50.44,50.44,9455
1714708800,50.59,51.245,50.55,51.245,11704
1714968000,51.25,51.4,51.11,51.11,10458
1715054400,50.91,51.72,50.9,50.98,15865
1715140800,51,51.8606,50.486,51.8606,14254
1715227200,51.0101,52.21,51.0101,52.05,9254
1715313600,52.425,52.698,52.212,52.25,8373
1715572800,52.97,53.297,52.32,53.297,12067
1715659200,52.8099,52.8099,51.6,51.6,8239
1715745600,51.5,53.1,51.32,52.65,16908
1715832000,52.23,53.1699,52.23,52.83,8616
1715918400,52.695,53.37,52.6,52.62,45111
1716177600,52.01,52.5099,51.1,51.1,11420
1716264000,51.4,51.835,50.24,50.24,76527
1716350400,50.01,50.21,49.3,49.52,12858
1716436800,49.85,50.01,47.8,47.9684,28823
1716523200,48.66,50.24,48,50.24,7810
1716868800,49.838,49.838,48.41,48.45,23223
1716955200,47.51,48.25,46.96,47.36,29447
1717041600,46.67,46.76,45.71,45.71,27709
1717128000,45.42,48.07,45.42,47.49,25926
1717387200,44.5,45.4,38.17,40.4475,185749
1717473600,39.79,41.83,39.79,41.69,104101
1717560000,42.72,44.376,41.4,44.26,188422
1717646400,44.14,44.54,40.47,41.73,290054
1717732800,41.67,41.7,37.77,37.845,487330
1717992000,37.8,38.29,37,37.71,226197
1718078400,37.8,37.91,36.678,37,102977
1718164800,36.1,36.95,36,36.24,930185
1718251200,37,37,35.8,35.8,502988
1718337600,35.22,37.47,35.22,37.14,64379
1718596800,36.23,38.02,36.21,37.79,37811
1718683200,37.05,39.67,37.05,39.38,63575
1718856000,39.34,40.4436,39.22,40.07,55634
1718942400,39.72,42.4,39.56,41.61,78022
1719201600,43.44,43.44,41.16,41.63,56447
1719288000,41.01,42.19,40.87,42.02,33888
1719374400,41.99,41.99,40.93,40.96,44281
1719460800,42.1075,42.45,40.948,41.1,164654
1719547200,41.1,42.78,41.1,41.41,34342
1719806400,34.27,40.59,34.27,39.9,135164
1719892800,38.03,41.15,38.03,40.4,235681
1719979200,40.0845,41.1493,39.8701,40.9,27372
1720152000,41.16,41.28,40.3,41.1,158744
1720411200,41.1,41.26,40.54,40.84,37974
1720497600,41.33,41.61,39.95,41.1,174610
1720584000,40.07,42.32,40.07,42.3005,67347
1720670400,42,42.36,41.07,41.954,31809
1720756800,41.3,42.87,41.3,42.43,24077
1721016000,43.02,43.02,41.55,41.635,58974
1721102400,41.835,42.83,41.59,42.15,106471
1721188800,43.21,43.21,41.28,41.64,38250
1721275200,41.55,41.83,40.905,41.27,19136
1721361600,40.63,41.6699,40.63,41.445,62768
1721620800,43,43,41.45,42.04,20702
1721707200,42,42,40.88,41.16,29074
1721793600,39.43,40.05,39.24,39.24,88037
1721880000,39.35,39.65,38.5701,38.82,51479
1721966400,39.11,39.11,38.29,38.37,23105
1722225600,39.06,39.06,37.365,37.48,27860
1722312000,38.69,38.69,36.7,37.3,419247
1722398400,37.47,38.55,37.3,37.51,377028
1722484800,37.64,37.64,36.8701,37.21,22284
1722571200,36.75,36.75,35.25,35.45,46504
1722916800,33.92,34.44,33.59,34.25,66433
1723003200,34,35.8,34,35.54,35681
1723089600,35.19,36.5399,35.0301,35.8,24515
1723176000,35.18,36.48,35.18,36.32,24785
1723435200,35.84,36.44,35.84,36.082,28593
1723521600,35.69,37.31,35.53,36.98,44428
1723608000,36.86,37.58,36.84,37.49,31397
1723694400,36.66,38.87,36.66,38.39,27759
1723780800,37.83,39.19,37.67,38.55,32617
1724040000,37.46,38.01,37.35,37.91,45596
1724126400,36.5,38.4,36.5,38.4,29316
1724212800,36.6,37.71,36.57,36.61,113266
1724299200,36.6,36.6,36.6,36.6,1187
1724385600,34.64,36.14,34.64,35.85,34829
1724644800,35.5,35.715,34.54,34.54,78270
1724731200,33.46,34.83,33.46,33.617,45965
1724817600,33.81,34.5,33.71,33.8,26261
1724904000,33.5101,34.85,33.51,34.46,83775
1724990400,34.5,35.48,34.27,34.32,38422
1725336000,37.31,37.31,33.94,34.86,74555
1725422400,34.8,35.5,34.7,34.91,42146
1725508800,37.13,37.13,34.64,34.92,28869
1725595200,35.5465,35.62,34.1,34.33,54197
1725854400,33.51,35.11,33.51,34.4542,60562
1725940800,33.68,33.9821,33.25,33.23,60781
1726027200,32.4,34.06,32.4,33.76,57579
1726113600,33.76,35.7499,33.11,35.55,54341
1726200000,35.98,37.2,35.89,36.955,25795
1726459200,34.74,36.9999,34.5901,36.788,143408
1726545600,36.74,36.92,36.06,36.72,106711
1726632000,36.7,36.79,36.33,36.41,42919
1726718400,36.62,36.8,36.17,36.21,37854
1726804800,35.96,36.6399,34.97,34.97,19036
1727064000,35.2,35.85,35.04,35.57,32398
1727150400,35.03,37.372,35.03,37.28,41311
1727236800,36.93,37.14,35.75,35.82,18500
1727323200,37.34,38.12,36.39,36.8,34187
1727409600,35.89,38.08,35.55,35.55,28547
1727668800,35.8405,36.64,35.3,35.379,42046
1727755200,36.05,36.05,34.87,35.19,14474
1727841600,35.5,38.611,35.5,38.611,23263
1727928000,37.9201,38.79,37.9201,38.79,19291
1728014400,38.08,40.67,38.08,40.53,35878
1728273600,40.11,40.73,39.34,40.22,42912
1728446400,38.6365,40.1699,37.98,37.98,22189
1728532800,38.27,38.8,38.12,38.5743,20634
1728619200,39.43,39.59,38.16,38.75,37643
1728878400,38.99,38.99,37.48,37.6,24393
1728964800,37.48,38.0299,37.07,37.92,18565
1729051200,37.6,37.6,36.24,36.542,41328
1729137600,36.245,36.51,36.1745,36.51,168577
1729224000,36.3,37.52,36.3,37.52,17679
1729483200,36.75,36.75,35.59,36.053,18814
1729569600,36,36.71,35.2201,35.59,23193
1729656000,34.4,36.61,34.4,36.48,51046
1729742400,34.9,37.04,34.9,35.73,89360
1729828800,35.8,35.84,35.12,35.12,31010
1730088000,35.3,36.25,34.9885,35.26,25602
1730174400,34.976,35.2199,34.55,34.805,24238
1730260800,34.9,34.9,34,34,32761
1730347200,34.6,35.09,34.341,34.74,31087
1730433600,33.4,35.78,33.4,35.07,18560
1730696400,35.835,36.11,35.3975,35.69,42362
1730782800,35.4,35.78,34,35.44,48131
1730869200,35.45,37.23,33.12,36.97,25654
1730955600,36.95,37.85,36.34,37.634,29689
1731042000,37.325,37.325,35.57,36.22,26760
1731301200,35.39,36.23,35.33,35.795,33318
1731387600,35.8,35.8,35.22,35.4,28107
1731474000,35.61,35.61,34.93,35.01,123913
1731560400,34.88,35.22,34.02,35.17,66186
1731646800,35.98,35.98,34.28,34.32,48344
1731906000,34.71,35.07,34.44,34.62,71363
1731992400,35.22,35.3256,34.28,35.3,31042
1732078800,34.28,35.4199,34.12,34.88,25792
1732165200,34.28,35.6599,34.28,35.06,50693
1732251600,34.28,34.525,33.72,34.15,122193
1732510800,34.45,34.8599,34.01,34.12,186214
1732597200,34.1,34.22,32.1,32.41,145409
1732683600,32.19,32.655,32.12,32.32,195704
1732856400,32.59,33.6399,32.01,33.53,50745
1733115600,32.25,33.79,32.25,33.56,110028
1733202000,32.81,35.145,32.81,34.82,68339
1733288400,33.87,35.39,33.87,35.12,65729
1733374800,35.2,35.2,34.5101,34.64,66617
1733720400,34.49,36.35,34.49,35.28,76420
1733806800,36.32,36.32,34.36,34.52,62112
1733893200,33.38,35.11,33.38,34.736,58843
1733979600,36.95,36.95,33.78,34.4,52718
1734066000,30,35.7702,30,35.63,62299
1734325200,34.0501,35.7,34.05,34.95,125250
1734411600,34.05,35.39,34.05,34.06,59136
1734498000,34.05,35,33.78,33.81,67777
1734584400,33.78,34.67,32.43,32.43,85200
1734670800,31.77,35.1,31.77,35.1,75701
1734930000,36,36,33.26,33.84,104867
1735016400,33.84,34.02,33.48,33.6,37135
