T,O,H,L,C,V
1713844800,6.66,6.77,6.605,6.77,1340064
1713931200,7.06,7.27,6.98,7.26,1755088
1714017600,7.04,7.22,7,7.2,895202
1714104000,7.5,7.81,7.32,7.76,2034990
1714363200,7.89,8.57,7.89,8.5,2478486
1714449600,8.22,8.22,8.01,8.16,2398494
1714536000,8.2,8.73,8.1,8.42,1368548
1714622400,8.75,9.01,8.325,8.85,1736540
1714708800,8.96,8.96,8.505,8.74,1002670
1714968000,8.55,8.77,8.41,8.43,839949
1715054400,8.45,8.84,8.33,8.33,1368709
1715140800,8.17,8.33,7.97,8.09,1094314
1715227200,8.23,8.53,8.215,8.43,1050473
1715313600,8.48,8.56,8.275,8.33,777885
1715572800,8.39,8.95,8.39,8.44,872742
1715659200,8.49,8.75,8.37,8.42,647709
1715745600,8.59,8.61,8.27,8.59,618673
1715832000,8.61,9.24,8.49,9.23,1639037
1715918400,9.37,9.57,9.23,9.5,1864980
1716177600,9.51,9.81,9.31,9.75,2213646
1716264000,9.3,9.41,9,9.3,2049012
1716350400,9.26,9.45,7.77,8.01,2825625
1716436800,8.01,8.075,7.611,7.81,1405544
1716523200,7.81,7.8683,7.52,7.74,1307760
1716868800,7.77,7.855,7.555,7.61,1671918
1716955200,7.43,7.63,7.3533,7.61,473241
1717041600,7.59,8.09,7.59,8.08,930704
1717128000,7.92,8.19,7.88,8.02,1195947
1717387200,8.1,8.225,8.035,8.08,691237
1717473600,8.24,8.465,8.18,8.31,799393
1717560000,8.36,8.96,8.26,8.8,1276333
1717646400,8.76,9.24,8.5,8.94,927662
1717732800,8.72,8.84,8.62,8.82,768139
1717992000,8.9,9.07,8.7405,9.05,635733
1718078400,9.06,9.11,8.73,9.03,937701
1718164800,8.99,9.165,8.915,8.97,998160
1718251200,8.98,9.16,8.97,9.14,532281
1718337600,9,9.09,8.85,8.96,463577
1718596800,8.97,9.08,8.66,8.71,1037599
1718683200,8.62,8.945,8.62,8.78,1211377
1718856000,8.8,8.89,8.665,8.79,1365448
1718942400,8.73,9,8.65,8.77,1768861
1719201600,8.96,9.72,8.935,9.39,1649584
1719288000,9.39,9.59,9.27,9.41,453295
1719374400,9.47,9.61,9.28,9.32,940330
1719460800,9.2,9.45,9.07,9.42,772446
1719547200,9.54,9.68,9.15,9.29,817678
1719806400,9.39,9.46,9.215,9.3,429486
1719892800,9.3,10.17,9.3,10.15,1197433
1719979200,10.5,11.18,10.45,10.96,1531465
1720152000,10.78,10.865,10.58,10.83,1795912
1720411200,10.97,11.95,10.84,11.82,2144856
1720497600,11.82,12.4,11.76,12.26,2304468
1720584000,12.34,12.36,11.875,12.18,1911188
1720670400,12.3,12.47,11.42,11.43,1685095
1720756800,11.6,12.14,11.43,11.53,2006114
1721016000,11.36,11.86,11.1224,11.57,1832582
1721102400,11.61,12.38,11.4,12.12,2117717
1721188800,12.13,12.35,11.52,11.645,1685903
1721275200,11.79,12.285,11.495,11.59,1539885
