T,O,H,L,C,V
1713844800,5.12,5.25,5.08,5.09,1540638
1713931200,5.12,5.24,4.985,5.23,2670452
1714017600,5.1,5.2,5.07,5.17,1545164
1714104000,5.2,5.2453,5.14,5.19,1229247
1714363200,5.23,5.235,5.13,5.21,1457308
1714449600,5.16,5.18,5.02,5.04,1291510
1714536000,5.01,5.13,4.91,5.03,1966244
1714622400,5.13,5.2975,5.02,5.26,1656656
1714708800,5.33,5.43,5.25,5.32,1491241
1714968000,5.37,5.47,5.3199,5.45,1565199
1715054400,5.41,5.565,5.38,5.42,2112429
1715140800,5.73,5.84,5.31,5.38,4099997
1715227200,5.46,5.54,5.29,5.45,1597999
1715313600,5.47,5.475,5.17,5.19,1695608
1715572800,5.22,5.255,5.05,5.14,2017641
1715659200,5.12,5.3,5.09,5.3,1136293
1715745600,5.38,5.475,5.27,5.45,2125978
1715832000,5.45,5.4804,5.41,5.45,1565297
1715918400,5.47,5.51,5.38,5.5,1066797
1716177600,5.5,5.52,5.355,5.5,1441484
1716264000,5.42,5.55,5.335,5.54,1382472
1716350400,5.52,5.54,5.385,5.45,1784883
1716436800,5.48,5.49,5.03,5.11,4118830
1716523200,5.13,5.245,5.095,5.23,1193976
1716868800,5.24,5.25,5.13,5.23,1272277
1716955200,5.12,5.25,5.09,5.13,1023967
1717041600,5.14,5.215,5.05,5.07,1571529
1717128000,5.12,5.2575,5.03,5.24,1334926
1717387200,5.27,5.3,5.14,5.19,679981
1717473600,5.15,5.18,5.06,5.12,1381901
1717560000,5.15,5.345,5.085,5.3,1267846
1717646400,5.3,5.6,5.2675,5.55,3213948
1717732800,5.47,5.525,5.37,5.43,1110534
1717992000,5.4,5.515,5.3,5.32,773314
1718078400,5.27,5.38,5.25,5.36,463850
1718164800,5.5,5.575,5.315,5.33,1264993
1718251200,5.34,5.34,5.21,5.25,1177479
1718337600,5.21,5.2899,5.1491,5.17,1856180
1718596800,5.17,5.285,5.085,5.26,1556065
1718683200,5.22,5.245,5.115,5.16,930635
1718856000,5.15,5.215,5.105,5.14,1305848
1718942400,5.17,5.45,5.13,5.42,1886334
1719201600,5.41,5.58,5.33,5.34,1542515
1719288000,5.29,5.325,5.16,5.17,1171559
1719374400,5.19,5.29,5.12,5.28,1156656
1719460800,5.27,5.55,5.23,5.55,1317610
1719547200,5.55,5.64,5.39,5.45,2494885
1719806400,5.45,5.49,5.4,5.42,1909995
1719892800,5.42,5.42,5.29,5.35,717311
1719979200,5.36,5.4768,5.33,5.39,373643
1720152000,5.4,5.46,5.32,5.41,637689
1720411200,5.41,5.58,5.39,5.57,998607
1720497600,5.57,5.58,5.44,5.45,910916
1720584000,5.54,5.54,5.31,5.36,7853751
1720670400,5.45,5.67,5.425,5.67,7372310
1720756800,5.7,6,5.66,5.97,2514946
1721016000,6.03,6.06,5.855,5.97,2125367
1721102400,6.01,6.06,5.895,6.06,1814990
1721188800,5.91,6.13,5.75,5.82,2628416
1721275200,5.76,5.88,5.68,5.7,2246862
1721361600,5.7,5.88,5.6,5.87,972184
1721620800,5.92,6.395,5.87,6.32,3343309
1721707200,6.76,6.89,6.4626,6.74,5954834
1721793600,6.63,6.86,6.6,6.72,5790906
1721880000,6.84,6.84,6.53,6.58,3017440
1721966400,6.68,6.825,6.51,6.74,2618567
1722225600,6.76,6.87,6.61,6.81,3103949
