T,O,H,L,C,V
1713844800,138.46,148.35,137.87,147.83,4682814
1713931200,147,149.9,144.35,146.18,4684613
1714017600,143,152.14,138.6725,148.31,6069264
1714104000,153.64,157.25,150.2,153.07,4230515
1714363200,153.58,159.55,153.58,159.01,5937215
1714449600,158.14,163.1,152.25,153.71,3490075
1714536000,154.19,156.7,149.4207,151.67,3397459
1714622400,153.53,155.44,151.6589,153.83,2530741
1714708800,155.63,167.17,155.14,166.26,4635134
1714968000,167.16,171.17,164.51,169.14,4007044
1715054400,168.66,173.5,167.165,167.36,2884150
1715140800,167,167.01,163.225,164,3679684
1715227200,165,168.72,164.65,166.4,4022569
1715313600,169,170.8,165.99,167.27,3459622
1715572800,165,167.55,160.18,161.53,4413798
1715659200,160.69,166.555,158.86,165.63,3855420
1715745600,168.36,172.35,166.956,167.87,2572025
1715832000,168.03,170,166.35,166.4,1604395
1715918400,166.88,167.64,160.94,162.62,1937153
1716177600,163.06,164.3,160.21,160.95,1736122
1716264000,160.24,164.49,159.07,163.93,1945469
1716350400,164.29,167.36,163,163.85,2018868
1716436800,166.42,170,161.44,161.67,3139003
1716523200,162.81,177.7695,162.09,177.43,4294052
1716868800,178.34,182.78,176.78,178.09,2632749
1716955200,176,178.69,174.0962,177.32,1537710
1717041600,176.97,177.81,174.5,175.08,2043133
1717128000,177.1,179.765,165.4,175.9,5454904
1717387200,178.93,179,166.44,170.37,3434765
1717473600,168.35,169.41,161.33,163.04,5279783
1717560000,165.09,168.3,162.47,163.49,8005543
1717646400,163.25,164.13,155.5,160.31,5249018
1717732800,159.5,165.76,159.04,162.08,4850297
1717992000,161.22,170,160.5984,166.64,4224304
1718078400,165.5,168.54,163.3,168.23,2036122
1718164800,171.54,179.22,171.155,177.52,4016501
1718251200,179.8,181.96,172.84,176.17,3462158
1718337600,174.09,174.78,166.2,170.17,3128342
1718596800,169.75,171.88,166.15,168.76,2804196
1718683200,167.94,180.25,166.33,179.57,3364919
1718856000,178.47,185.5,175.095,177.18,4005304
1718942400,177.1,177.18,170.4,175.73,3876954
1719201600,176.55,179.15,174.77,178.14,2552892
1719288000,179.8,181.5,176.27,181.45,2554030
1719374400,180.89,181.725,177.62,180,2283955
1719460800,178.39,179.2729,173.25,176.28,2541263
1719547200,174.8,176.3,167.175,171.51,3783554
1719806400,171,171.2,165.12,167.52,2748335
1719892800,165.41,171.98,165.41,169.81,2447440
1719979200,170.1,174.78,169.18,172.68,1317151
1720152000,171.5,177.44,171.26,176.23,1629585
1720411200,176.81,178.6,174.17,174.37,1659343
1720497600,174.28,174.83,172.6,172.98,1801065
1720584000,174.93,179.8,174.6,179.73,1835670
1720670400,181,183.16,176.55,176.7,2574654
1720756800,177.95,184.331,174.4,180.45,1603909
1721016000,180.24,181.8099,176.5,177.44,3026614
1721102400,178.78,183.89,178.18,182.74,1789742
1721188800,180.2,180.2,162.9,165.83,6033756
1721275200,168,171.45,159.43,161.49,4736552
1721361600,162,163.69,159.11,163.34,2547792
1721620800,166.38,168.25,163.6839,166.76,1738608
1721707200,167,171.01,166.22,170.49,3209514
1721793600,167.34,172.3,162.73,162.9,5532133
1721880000,166,166.29,156.41,160,5163169
1721966400,168.46,173.9755,163.69,173.11,3871920
1722225600,174.32,174.77,169.85,172.05,1757967
1722312000,172.93,174.07,162.45,162.7,2639331
1722398400,171.25,180.255,171.25,178.24,4056500
1722484800,181.9,183.86,171.81,174.03,3706765
1722571200,168.78,169.99,161.5,164.73,3314487
1722830400,152.405,165.39,150.01,162.24,3700451
1722916800,163.08,166.465,160,164.35,2800031
1723003200,168.66,172.75,164.69,166.07,3312842
1723089600,169.2,177.46,165.05,177.21,2755834
1723176000,176.52,179.55,172.6,179.11,2766628
1723435200,178.49,180.5,174.39,176.44,1797785
1723521600,178.05,180.26,175.315,179.65,1552036
1723608000,180,185.19,178.25,184.16,2242670
1723694400,185.5,190.7999,181.61,188.82,3477950
1723780800,188.72,188.82,180.3907,184.06,2718507
1724040000,184.1,185.51,181.215,185.4,1626853
1724126400,184.96,186,181.68,184,1138332
1724212800,183.47,185.24,181.81,184.26,1601541
1724299200,185,186.745,182.31,186,2067915
1724385600,180.8,183.56,173.07,183.29,4872683
1724644800,181.48,183.27,179.19,182.13,2177004
1724731200,181,187.1,180.49,185.55,1613268
1724817600,183.85,185.37,180.77,184,2067683
1724904000,186,195.68,185.355,191.36,3155472
1724990400,195.86,201.3696,194.2,201,3347707
1725336000,200,202.6,187.5479,192.55,4275304
1725422400,193.03,204.19,192.1223,199.63,3765078
1725508800,197.09,200.73,194.27,198.44,3064325
1725595200,198.99,201.18,193.38,198.33,3884686
1725854400,200.01,202.93,197.38,201.81,1654895
1725940800,202.74,203,199.14,202.01,1842633
1726027200,204.1,210.12,201.5,209.15,3787508
1726113600,200,217.09,199.65,215.27,4042215
1726200000,220.65,228.6765,219.01,225.59,3697548
1726459200,227.88,231.51,225.24,229.93,2334854
1726545600,237.67,240,233.51,237.15,5143950
1726632000,238.62,241.5185,234,235.67,3255887
1726718400,243.305,245,238.11,244.45,3044326
1726804800,243.23,250.8494,242.25,245.46,4111410
1727064000,247.825,254.87,246.79,251.53,3282725
1727150400,254,257.5,252.12,255.48,3804409
1727236800,257.1,257.75,252.17,255.05,2454244
1727323200,257.76,258.64,247.07,251.22,2817719
1727409600,250.76,254.43,249.58,249.86,2293570
1727668800,251,255.35,248.96,254.98,3374184
1727755200,256,257.5999,251.1,256.53,2304083
1727841600,251,257.5299,248.5,252.29,2769650
1727928000,253.15,257.24,250.89,254.68,1913736
1728014400,257,266.42,253.23,265.59,3159216
1728273600,265.41,265.98,260.52,262.54,1925059
1728360000,264.03,266.556,262.25,264.27,1671943
1728446400,264.5,269.2977,262.88,266.6,1891695
1728532800,264,266.55,261.79,264.62,1795789
1728619200,263.75,270.11,261.05,266.89,1848390
1728878400,267.26,270.83,265.6901,269.5,1822285
1728964800,270,270.87,260.05,266.36,2190164
1729051200,268.9,276.19,267.69,274.77,1844916
1729137600,279.24,281.3732,271.89,272,2510144
1729224000,273.69,275.3,271.35,272.72,2353706
1729483200,277,277.6,272.28,276.43,2569958
1729569600,271,278.29,270.545,276.42,2631832
1729656000,273.71,282.97,268.5,279.88,4244597
1729742400,285.81,297.54,283,297,3620065
1729828800,295.39,298.81,292.395,293.54,2087779
1730088000,295.74,295.94,288.0801,289.23,2231616
1730174400,288,298.96,284.1,298.77,2030580
1730260800,300,301.53,294.67,297.6,2085187
1730347200,300,303.709,296.0201,301.66,2550666
1730433600,305,311.58,300.52,301.09,2702214
1730696400,298,301.5,292.54,295.46,2070478
1730782800,295.85,316.4499,294.87,315.77,3461434
1730869200,321.16,338.58,319,336.3,4486408
