T,O,H,L,C,V
1713844800,30.84,31.85,30.39,30.53,857573
1713931200,30.77,30.77,29,29.07,937739
1714017600,28.9,30.13,28.32,29.49,712534
1714104000,30,30.7,29.35,30.7,967866
1714363200,30.65,31.68,30.28,31.26,554679
1714449600,31.65,33.585,31.4,32.43,2045013
1714536000,32.11,32.9,31.02,32.37,532521
1714622400,32.9,32.9,31.6479,31.89,873375
1714708800,32.06,34.45,32.06,34.32,1481726
1714968000,34.79,36.87,34.7484,36.8,2109281
1715054400,37.01,37.7499,35.15,35.65,1382201
1715140800,36.38,37.29,35.492,36.05,1332730
1715227200,35.68,36.289,34.63,35.51,625360
1715313600,35.79,36.25,34.9,34.97,660578
1715572800,36.24,36.24,34.22,34.65,753981
1715659200,34.5,35.86,34.0401,35.47,815028
1715745600,35.59,37.0955,35.51,36.84,656064
1715832000,36.58,36.9,35.85,36.61,509163
1715918400,36.9,37.34,36.37,36.67,555273
1716177600,36.67,37.83,35.99,37.28,870261
1716264000,36.93,37.6099,35.6,36.18,916212
1716350400,35.5,36,33.27,33.58,1464523
1716436800,33,33.39,30.77,30.99,2206596
1716523200,31.1,33.1299,30.54,32.47,1204581
1716868800,32.98,33.9761,32.68,33.07,1135124
1716955200,32.6,34.24,32.42,34.17,662785
1717041600,34.5,37.2999,34.5,36.88,1647760
1717128000,37.2,37.24,34.91,35.85,1388545
1717387200,36.05,36.2299,35.01,35.6,850327
1717473600,34.51,35.045,32.51,33.24,1396268
1717560000,33.3,33.81,31.4,33.25,1434967
1717646400,33.27,33.27,31.48,31.51,708570
1717732800,30.81,32.61,30.75,31.67,728754
1717992000,31.34,33.3199,30.42,33.055,796909
1718078400,32.84,33.2,32.03,32.14,788740
1718164800,33.61,34.9,31.95,33.94,756536
1718251200,35.5,36.69,33.68,35.2,2514312
1718337600,34.64,35.48,34.0001,34.79,511421
1718596800,34.64,35.64,33.77,34.07,495641
1718683200,33.97,35.62,33.6,34.83,703041
1718856000,34.41,35.245,31.85,33,1751546
1718942400,31.8,32.66,31.22,32.06,1456264
1719201600,32.59,32.68,31.24,32.195,952420
1719288000,32.1,33.18,31.91,32.64,772806
1719374400,32.59,32.88,30.8,30.87,1262477
1719460800,30.69,31.79,30.12,31.64,1600977
1719547200,31.81,31.98,30.32,30.56,1284472
1719806400,30.78,30.7999,27.62,27.67,2387290
1719892800,27.16,28.34,27.16,28.11,1732169
1719979200,28.3,29,27.61,28.5,695781
1720152000,28.19,28.74,27.61,28.46,799007
1720411200,28.11,28.89,27.9,28.53,577209
1720497600,28.72,29.47,28.54,28.83,394247
1720584000,28.66,29.7899,28.66,29.51,499926
1720670400,29.86,29.98,28.98,29,477250
1720756800,29.1,29.1,28.3101,28.66,456565
1721016000,29.06,29.335,27.32,27.42,710058
1721102400,27.52,28.79,27.09,28.61,898597
1721188800,28.39,28.62,27.13,27.46,705199
1721275200,27.27,27.9673,26.72,27.5,552305
1721361600,27.78,29.37,27.505,28.21,958181
1721620800,28.28,28.73,27.93,28.28,350117
1721707200,28.2,29.5,28.2,29.5,848722
1721793600,29.45,29.91,28.51,28.68,556325
1721880000,28.62,29,27.92,28.37,660667
1721966400,27.84,28.7,27.76,28.33,308202
1722225600,28.33,28.3349,27.22,27.59,628530
1722312000,27.54,27.97,26.97,27.02,662795
1722398400,27.62,29.5,27.41,28.97,1198769
1722484800,29.05,29.42,27.99,28.37,727967
1722571200,27.61,27.645,26.5006,26.65,868799
1722830400,24,27.06,23.53,26.605,988642
1722916800,26.89,28.4,26.33,28.05,853709
1723003200,28.5,29.08,28.17,28.67,1362364
1723089600,29.3,32.78,29,32.77,2497992
1723176000,32.63,34.25,32.25,34.24,1686052
1723435200,34.26,35.05,33.73,34.24,837082
1723521600,34.62,34.62,33.5801,34.41,788250
1723608000,34.035,36.63,34.02,35.44,1842277
1723694400,35.55,36.28,35.18,35.485,1192611
1723780800,35.49,36.46,34.99,35.17,813576
1724040000,34.46,35.665,33.9578,34.64,1217144
1724126400,34.9,35.4499,34.24,34.76,851788
1724212800,34.51,35,33.76,33.87,599218
1724299200,33.64,33.95,32.52,33.115,896722
1724385600,33.43,34.75,33.115,34.68,962422
1724644800,35,35.41,33.5,33.79,705957
1724731200,33.7,35.11,33.0401,34.94,766012
1724817600,34.66,35.27,34.28,35.19,727563
1724904000,34.76,37.78,34.76,37.68,1716836
1724990400,38.39,41.3299,38.39,39.17,3197799
1725336000,39.68,41.23,38.67,40.29,1601897
1725422400,40.33,42.5,40.28,42.24,3046755
1725508800,42.26,43.18,41.59,41.99,1299512
1725595200,41.37,42.39,40.43,41.08,949864
1725854400,41.99,42.86,40.96,42.29,1013176
1725940800,42.45,42.475,40.03,41.55,719558
1726027200,41.2,43.8895,41.02,43.16,1011799
1726113600,43.25,43.93,42.85,43.48,826205
1726200000,43.78,45.14,43.64,45.06,1253280
1726459200,45.1,46.93,44.21,44.33,1520443
1726545600,44.43,45.46,43.2862,45.14,1033889
1726632000,45.49,46.49,44.58,46.13,953916
1726718400,46.36,47.7,46.2602,47.1,1088824
1726804800,46.62,47,45.84,46.63,822234
1727064000,47.39,47.39,45.1101,45.63,796232
1727150400,45.75,45.97,44.31,44.36,749694
1727236800,44.4,44.61,43.1,43.13,906285
1727323200,43.65,44.18,42.55,43.21,601408
1727409600,43.32,43.87,42.8001,43.78,450883
1727668800,43.74,43.76,41.55,42.09,1013832
1727755200,41.9,43.22,41.13,42.41,757350
1727841600,41.97,42.4,41.14,41.94,506727
1727928000,41.8,43.63,41.35,43.41,858344
1728014400,43.64,44.03,43.02,43.49,589402
1728273600,43.16,43.31,41.91,42.52,637203
1728360000,42.62,44.23,42.53,44.18,634657
1728446400,43.66,46.6,43.5,46.58,1496230
1728532800,46.63,48.35,46.12,47.94,1495277
1728619200,47.94,49.82,47.425,49.77,973610
1728878400,50,51,48.6614,49.44,1156967
1728964800,49.62,50.29,48.83,49.65,1183747
1729051200,50.16,51.02,48.5,48.84,1147879
1729137600,48.84,49.79,48.04,48.82,748215
1729224000,49.06,50.65,48.2018,50.62,774476
1729483200,50.1,50.97,49.36,50.63,913437
1729569600,50.6,51.09,50.18,50.54,499950
1729656000,50.14,50.655,48.92,49.77,583113
1729742400,50.03,53.16,49.98,52.93,1128976
1729828800,53.3,54.3,52.73,53.89,825288
1730088000,54.28,55.61,53.88,54.11,930757
1730174400,54.11,55.1625,53.1749,53.53,727939
1730260800,53.51,53.98,51.66,52.26,746113
1730347200,51.71,53.32,51.36,52.72,906420
1730433600,52.8,54.47,51.765,51.93,890433
1730696400,51.5,53.16,51.3,51.75,524470
1730782800,51.94,53.12,50.205,51.79,961746
1730869200,52.29,57.235,52.05,54.94,2362334
1730955600,55.29,56.065,54.3065,54.76,675967
1731042000,55,56.15,53.2,53.82,743694
1731301200,54.12,54.3618,52.12,53.81,640142
1731387600,53.82,55.1066,53.0742,54.75,904003
1731474000,55.05,55.49,54.26,55.03,864975
1731560400,55.01,55.77,54.35,54.71,1112125
1731646800,55.1,57.5499,54.54,56.29,2022911
1731906000,56.8,59.79,56.13,59.16,1591371
1731992400,58.6,58.75,56.16,57.03,1110092
1732078800,57.73,58.12,55.84,57.66,980281
1732165200,57.72,58.079,55.12,55.93,1425243
1732251600,55.79,56.7084,54.23,55.48,1357828
1732510800,56,57,54.38,55.51,1491532
1732597200,56.11,58.19,55.38,56.73,1012685
1732683600,57.35,57.8,55.56,56.11,863321
1732856400,55.89,57.11,55.15,56.44,480142
1733115600,56.63,60.38,56.18,59.23,1435143
1733202000,60.05,60.58,58.06,58.11,1085208
1733288400,58.42,58.49,55.96,56.12,1304350
1733374800,56.28,58.42,56.05,58.23,685158
1733461200,57.57,59.25,57.37,58.92,638913
1733720400,59.5,61.075,58,58.28,756546
1733806800,58.59,59.7473,56.74,57.95,1307903
1733893200,58.29,62.11,56.8,61.77,1916397
1733979600,61.76,62.25,60.62,61.58,1197497
1734066000,61.6,63.15,61.02,62.315,1102404
1734325200,63.5,69.29,63.38,67.76,2882098
1734411600,69.23,70.3,67.04,68.72,1766550
1734498000,69.74,70.0644,63.1501,63.325,1780236
1734584400,64.78,65.7,61.26,61.3,1747279
1734670800,61,63.75,59.58,63.59,1534259
1734930000,64.6,65.32,61.91,63.11,710975
1735016400,63.54,64.9,63.365,64.87,295422
1735189200,64.46,65.97,64.2065,64.72,477747
1735275600,64.72,64.9849,63.2,64.3,519788
1735534800,63.37,63.89,62.03,62.82,580411
1735621200,62.83,63.57,62.2053,62.32,338447
1735794000,62.52,69,62.52,68.8,1370674
1735880400,69.8,70.99,67.3361,70.12,1170797
1736139600,72.5,73.95,70.86,71.11,1454001
1736226000,72.39,74,71,72.22,1133579
1736312400,71.91,73.0184,69.69,71,929861
1736485200,72,73.2474,69.25,72.06,1484724
1736744400,71.795,71.795,67.24,68.06,1191422
1736830800,69.03,71.78,68.45,70.425,1166151
1736917200,72.51,72.51,70.1,71.63,1200894
1737003600,71.69,71.78,69.25,69.9,997392
1737090000,69.86,70.4,65.6325,67.07,1614424
1737435600,67,70.375,66.09,70.16,1450939
1737522000,70.4,71.5,68.69,70.86,956272
1737608400,70.85,70.97,68.82,68.9,1028230
1737694800,69.15,71.23,66.75,68.23,988803
1737954000,67.31,67.475,63.05,64.77,1710960
1738040400,65.27,65.95,63.0102,65.9,882218
1738126800,65.98,68.4738,64.79,68.38,735008
1738213200,69.32,71.1408,68.2,69.3,1030059
1738299600,69.14,69.83,67.4,67.48,1020997
1738558800,65.75,66.84,64.67,65.18,835419
1738645200,65.18,67.22,65.18,65.42,498517
1738731600,64.96,65.545,63.51,63.7,569263
1738818000,64.41,66.875,64.41,66.65,808322
1738904400,66.84,67.54,62.7,63.59,914747
1739163600,62.7,65.475,62.7,63.04,924999
1739250000,61.75,62.2,57.9,58.61,2373740
1739336400,57.5,59.97,57.5,58.09,1112012
1739422800,59.01,59.565,57.2998,59.04,1004727
1739509200,60.04,60.17,58.14,58.8,905231
1739854800,56.085,60.47,55.84,59.24,1759151
1739941200,59.56,61.03,58.73,59.55,1083058
1740027600,60.19,61.37,58.71,61.05,884480
1740114000,61.47,62.4356,58.44,58.92,1215502
1740373200,59.21,60.2799,57.0606,58.14,1036932
1740459600,58.36,59.2,55.93,57.65,914377
1740546000,57.7,59.97,57.04,59.1,696917
1740632400,59.51,59.76,54.89,55.5,1520408
1740718800,54.8,57.71,54.48,57.22,1456484
1740978000,59.01,60.82,56.04,56.56,1011339
1741064400,55.37,56.985,53.38,55.8,890101
1741150800,56.62,58.58,55.56,58.35,841554
1741237200,57.91,59.42,56.49,56.82,821125
1741323600,58.41,59.61,55.88,57.63,988864
1741579200,55.66,56.75,53.02,54.11,1583025
1741665600,53.98,55.74,53.12,54.39,1134307
1741752000,55.84,58.61,55.205,57.78,1120144
1741838400,57.89,58.48,56.52,57.14,749924
1741924800,58.28,59.92,57.61,59.42,950007
1742184000,58.98,59.5953,58.01,58.3,563379
1742270400,57.89,58.055,53.655,54.81,1457888
1742356800,55.52,58.1099,55,57.72,988590
1742443200,57.06,57.53,56.06,56.36,976620
1742529600,55.99,58.6,55.58,58.56,763910
1742788800,59.45,60.7,57.51,57.74,385937
1742875200,58.43,60,57.945,58.95,611503
1742961600,59.35,59.57,57.09,57.78,551403
1743048000,59.54,60.3,56.01,56.42,1384001
1743134400,56.23,56.5747,54.6,55.78,1027766
1743393600,55.01,55.01,52.1,54.47,1375610
1743480000,55,56.335,54.23,55.21,703711
1743566400,54.6,55.6,54.36,55.19,470556
1743652800,52.31,54.29,52.15,53.62,1237265
1743739200,51.1,51.36,46.68,48.24,2683821
1743998400,45.39,48.78,43.97,45.31,2489937
1744084800,47.1,48.3597,44.745,45.67,2394450
1744171200,45.39,52.43,42.88,52.17,3479883
1744257600,51.7,51.7,47.14,48.92,1841815
1744344000,49.43,55.3199,49.43,53.87,2398547
1744603200,60.9,63.42,59.51,61.43,4338834
1744689600,61.55,62.42,58.89,59.53,1708752
1744776000,58.9,61.32,58.9,60.04,1139502
1744862400,60.72,62.98,60.562,61.95,1327006
1745208000,62.35,62.35,59.86,60.48,1284452
