T,O,H,L,C,V
1713844800,71.07,71.55,70.635,70.82,3690612
1713931200,70.16,71.87,69.95,71.61,4446051
1714017600,71.86,72.315,71.11,71.38,2875187
1714104000,71.01,72.13,70.81,70.83,4170378
1714363200,70.87,71.19,69.915,70.23,4179101
1714449600,70.08,70.529,69.83,70.46,3121599
1714536000,70.32,70.47,69.46,69.99,3396798
1714622400,70.4,70.86,70.33,70.65,3071103
1714708800,70.53,70.57,69.43,69.91,3444229
1714968000,70.02,70.22,68.865,69.14,3602079
1715054400,69.58,70.06,69.38,69.91,2453786
1715140800,70.08,70.27,69.49,69.53,2494607
1715227200,69.43,70.27,68.85,70.26,2397406
1715313600,70.24,70.855,69.95,70.7,2398731
1715572800,70.75,71.15,70.395,70.64,2896996
1715659200,70.68,71,70.37,70.85,3237297
1715745600,70.99,71.01,69.65,69.83,3847222
1715832000,69.92,71.485,69.85,71.4,2481033
1715918400,71.45,71.52,70.79,71.24,2752992
1716177600,71.26,71.445,70.44,71.43,2280368
1716264000,71.67,71.7,70.48,70.63,2541096
1716350400,70.38,70.45,69.6741,70.35,3409927
1716436800,70.01,70.01,68.85,69.09,3083440
1716523200,69.29,69.415,68.2,68.3,3195959
1716868800,67.72,67.99,66.13,66.68,6351055
1716955200,66.61,67.255,65.83,66.49,6099917
1717041600,66.67,67.45,66.6,66.65,3679532
1717128000,66.65,68.81,66.65,68.75,7500907
1717387200,68.69,69.21,67.67,67.75,4232568
1717473600,67.85,68.27,67.16,68.14,2511972
1717560000,67.8,68.105,66.77,67.46,3294160
1717646400,67.46,67.81,66.8,67.39,2805128
1717732800,67.3,68.025,67.26,67.46,3373922
1717992000,67.26,67.46,66.12,66.9,4002683
1718078400,66.71,67.29,66.42,66.98,2999615
1718164800,66.66,66.92,65.24,65.29,4019287
1718251200,65.19,66.05,65.07,65.61,3639741
1718337600,65.67,66.24,65.48,65.5,2904124
1718596800,65.17,66.3,64.91,66.29,2965027
1718683200,65.98,66.86,65.945,66.66,4662800
