T,O,H,L,C,V
1713844800,134.17,138.04,133.84,136.1,1450442
1713931200,136.41,139.7,135.3052,137.18,770392
1714017600,135.29,139.38,133.89,138.85,1481610
1714104000,140,143.3,139.281,140.12,1178988
1714363200,140.65,141.99,137.08,137.3,2112921
1714449600,136.27,139.85,135.07,135.96,1713152
1714536000,139.95,140.85,125.57,127.63,3335716
1714622400,131.11,132.54,125.36,128.66,1542124
1714708800,131.66,134.9799,131.01,133.38,1315710
1714968000,134.69,136.38,133.025,136.3,850404
1715054400,136.1,138.81,135.73,136.42,899690
1715140800,135.29,138.18,134.09,137.16,743064
1715227200,137,140.15,136.84,139.16,551772
1715313600,140.22,140.71,136.45,137.52,484530
1715572800,138.47,141.31,138.2,140.07,661238
1715659200,141.49,145.74,141.49,143.08,887741
1715745600,145.52,146.65,143.43,145.1,892808
1715832000,144.77,145.02,141.905,143,560947
1715918400,143.72,145.42,143.335,144.77,718371
1716177600,145,151.3,144.6101,151.22,1048224
1716264000,150.18,154.54,150.18,154.23,1069497
1716350400,150.86,155.35,150.2,151.79,745691
1716436800,151.77,152.255,144.01,144.14,1160496
1716523200,145.11,150.18,145.11,148.66,873086
1716868800,149.32,151.47,147.5,151.26,1058648
1716955200,148.98,151.695,147.4401,149.49,1349944
1717041600,147.22,149.74,144.11,149.61,814754
1717128000,149.5,150.805,144,147.21,772814
1717387200,148.98,148.99,139.75,141.37,1107883
1717473600,141.29,142.96,138.3,139.43,682138
1717560000,137.71,144.34,137.66,141.04,733667
1717646400,139.94,142.11,139.6,140.03,484945
1717732800,138.11,140.91,136.82,138.25,532619
1717992000,137.45,141.68,137.3,140.66,604530
1718078400,139.59,141.5,138.33,139.29,529312
1718164800,143.31,145.6914,142.225,142.7,585463
1718251200,141.45,142.53,133.811,136.16,1025759
1718337600,134.03,135.05,131.69,134.97,685789
1718596800,134.77,136.29,130.7,135.91,713685
1718683200,135.01,139.26,134.36,138.88,661259
1718856000,137.95,139.6,135.16,137.59,588770
1718942400,137.14,137.7,134.6,137,1093001
1719201600,137.3,140.3,136.98,138.41,630529
1719288000,137.86,139.38,135.75,136.19,782639
1719374400,135.51,136.31,132.76,134.66,689716
1719460800,135.03,136.08,133.43,135.93,480280
1719547200,136.09,137.64,131.66,132.22,1714199
1719806400,133.39,134.9709,132.64,133.16,811909
1719892800,133.86,138.08,133.3763,137.3,972006
1719979200,137.24,138.87,135.225,138.03,401100
1720152000,138.28,140.71,136.725,140.5,726893
1720411200,141,143.319,140.185,142.19,747035
1720497600,142.25,143.88,139.93,142.85,674161
1720584000,140.95,142.75,137.6901,142.12,1135171
1720670400,145.7,148.53,144.24,148.45,982367
1720756800,150,156.46,149.49,153.94,1490384
1721016000,153.49,157.5,150.255,154.82,1125415
1721102400,157.27,160.8999,154.72,159.23,1236250
1721188800,158.21,159.59,155.24,158.12,898822
1721275200,158.26,161.03,156.18,156.97,1015646
1721361600,157.11,158.8638,154.64,156.49,725469
1721620800,159.17,160.485,155.98,159.78,604408
1721707200,159.57,161.8,157.89,158.02,754516
1721793600,157.09,158.43,151.68,152.06,1075837
1721880000,151.16,156.75,150.61,152.78,579522
1721966400,156.33,160.14,154.4,159.43,798316
1722225600,159.52,160.359,154.24,155.42,725219
1722312000,155.99,157.23,153.55,155.57,854248
1722398400,169.57,169.57,151.1501,155.68,2283171
1722484800,155.98,156.43,144.12,145.5,1527612
1722571200,143.1,144.19,137.25,142.87,1501281
1722830400,137,148.19,134.01,142.29,1388494
1722916800,142.3,143.9199,139.29,139.64,990953
1723003200,141.27,142.95,136.965,137.05,930904
1723089600,138.08,142.06,136.07,141.53,1100931
1723176000,142.13,145.065,141.57,144.33,897357
1723435200,144.23,144.23,141.09,143.22,757105
1723521600,143.78,145.45,141.62,143.85,775325
1723608000,144.47,145.415,141.838,144.46,578613
1723694400,146.17,149.24,146.17,149.04,785890
1723780800,149.1,151.06,148.075,150.62,914144
1724040000,151,155.13,151,155.1,729746
1724126400,155.14,156.47,152.016,152.06,587770
1724212800,152.97,154.5,151.55,152.55,582605
1724299200,152.55,153.905,149.16,150.31,632707
1724385600,151.76,157.14,151.76,156.85,497878
1724644800,157.45,158.27,155.66,157.71,586565
1724731200,156.37,156.815,153.81,156.06,466587
1724817600,156.06,156.08,152.5,153.66,447864
1724904000,155,157.64,153.71,155,481053
1724990400,155.82,157.62,153.25,156.53,466881
1725336000,155.36,155.36,146.15,147.03,648893
1725422400,146.71,148.51,145.52,146.83,599521
1725508800,146.36,146.7825,143.1235,145.26,645585
1725595200,145.33,146.38,138.89,139.61,652783
1725854400,140.94,144.76,140.17,142.37,748642
1725940800,144.24,144.24,140.4401,142.6,542120
1726027200,142.44,143.47,138.625,143.2,546960
1726113600,142.96,142.96,139.7368,140.68,697734
1726200000,142.32,143.6099,139.85,140.53,779409
1726459200,141,142.01,139.66,141.45,603436
1726545600,142.73,144.59,141.8501,143.72,967057
1726632000,143.79,147,142.47,143.14,719883
1726718400,147.58,147.58,142.2501,142.91,1229344
1726804800,142.31,143,140.23,141.76,1692639
1727064000,143.01,146.7781,142.95,146.24,1037511
1727150400,146.77,151.24,146.52,150.84,1049718
1727236800,150.94,152,147.46,147.61,721856
1727323200,150.73,153.21,149.88,152.22,834185
1727409600,154,157.67,153.2,154.84,920070
1727668800,155.44,159.08,154.4246,158.88,952273
1727755200,158.2,161.76,155.8749,158.17,914033
1727841600,157.12,162.1199,156.08,161.96,712580
