T,O,H,L,C,V
1713844800,52.73,55.0599,52.44,54.65,398366
1713931200,54.74,55.29,53.91,54.31,184895
1714017600,53.49,54.6,52.38,54.46,320923
1714104000,54.84,55.94,54.715,55.59,284929
1714363200,56.02,56.44,55.455,56.26,346723
1714449600,55.68,56.035,54.09,54.13,397017
1714536000,54.11,56.68,53.5284,55.05,425977
1714622400,56.24,56.41,53.01,55.03,513221
1714708800,57.07,59.39,56.34,56.64,530272
1714968000,57.31,57.65,55.915,56.4,456254
1715054400,56.4,56.85,56.1361,56.17,326635
1715140800,55.58,56.11,55.14,55.71,476500
1715227200,55.69,56.105,55.3525,55.85,324636
1715313600,55.87,56.5,55.63,55.99,291207
1715572800,56.63,56.6899,55.235,55.37,373851
1715659200,56.02,56.02,55.42,55.71,264045
1715745600,56.71,58.415,56.39,58.09,431645
1715832000,57.8,58.08,56.85,57.47,457090
1715918400,57.95,57.95,56.96,57.43,382972
1716177600,57.45,58.07,57.15,57.54,312715
1716264000,57.4,57.4,56.12,56.47,341427
1716350400,56.24,56.24,54.57,54.67,466823
1716436800,54.71,54.84,53.87,54.22,355414
1716523200,54.76,55.29,54.3,55.04,208949
1716868800,55.28,55.64,54.07,54.75,308588
1716955200,54.2,54.3,52.98,53.38,374501
1717041600,53.83,54.49,53.51,53.92,317726
1717128000,54.02,55.11,54.02,54.6,463018
1717387200,55.1,56.178,54.715,55.08,486505
1717473600,54.93,55.185,53.31,54.29,666469
1717560000,54.74,55.55,53.84,55.39,326856
1717646400,55.24,55.57,54.79,55.07,333016
1717732800,54.27,54.76,53.52,53.68,436642
1717992000,53.16,54.08,53,54.07,407157
1718078400,53.91,54.39,53.1,53.81,545656
1718164800,55.9,58.41,55.705,56.72,579522
1718251200,56.55,57.56,55.57,57.24,580568
1718337600,56.41,57.35,56.03,57.15,395019
1718596800,57.33,58.39,57.28,58.32,451177
1718683200,58.31,58.56,57.43,57.84,471108
1718856000,57.84,58.25,56.611,56.93,516922
1718942400,57,57.95,55.97,57.04,3766281
1719201600,57.22,58.22,57.04,57.87,483247
1719288000,57.63,57.725,55.91,56.29,442429
1719374400,56,56.84,55.71,56.63,364982
