T,O,H,L,C,V
1713844800,9.76,9.9,9.58,9.79,236783
1713931200,9.76,9.76,9.46,9.63,212687
1714017600,9.53,9.61,9.43,9.56,200330
1714104000,9.6,10.04,9.6,9.89,232652
1714363200,9.91,10.02,9.8,9.92,195910
1714449600,9.84,9.9,9.71,9.79,182178
1714536000,9.81,10.32,9.81,10.17,342239
1714622400,10.26,10.309,10.13,10.19,153224
1714708800,10.36,10.395,10.245,10.29,240440
1714968000,10.33,10.46,10.18,10.46,277262
1715054400,10.46,10.79,10.46,10.57,342694
1715140800,10.53,10.59,10.4,10.53,248856
1715227200,10.55,10.62,10.385,10.59,261482
1715313600,10.71,10.7717,10.14,10.14,489229
1715572800,10.15,10.15,9.86,9.98,480367
1715659200,10.1,10.3,9.98,10.27,376633
1715745600,10.27,10.37,9.825,10.06,419084
1715832000,10.05,10.05,9.49,9.6,645087
1715918400,9.63,9.64,9.42,9.48,402927
1716177600,9.48,9.5,9.295,9.37,592306
1716264000,9.37,9.57,9.3,9.55,250019
1716350400,9.51,9.61,9.2601,9.32,299581
1716436800,9.35,9.39,9.12,9.16,388122
1716523200,9.15,9.43,9.11,9.37,304131
1716868800,9.51,9.53,9.07,9.26,413798
1716955200,9.16,9.435,9.16,9.32,419074
1717041600,9.37,9.51,9.31,9.44,422033
1717128000,9.44,9.53,9.4,9.5,407748
1717387200,9.5,9.505,9.33,9.5,368352
1717473600,9.39,9.47,9.31,9.34,442056
1717560000,9.47,9.47,9.15,9.31,638693
1717646400,9.3,9.47,9.18,9.23,556710
1717732800,9.35,9.61,9.32,9.48,830890
1717992000,9.4,9.48,8.98,9.13,496144
1718078400,9.05,9.125,8.95,9.08,289187
1718164800,9.2,9.34,9.06,9.1,675393
1718251200,9.21,9.44,9.14,9.43,983061
1718337600,9.61,10.45,9.52,10.15,1891935
1718596800,10.2,10.35,9.88,9.92,1004767
1718683200,9.89,10.03,9.692,9.92,473241
1718856000,9.84,9.9135,9.4201,9.7,587211
1718942400,9.67,9.73,9.45,9.63,744020
1719201600,9.6,9.72,9.48,9.59,489119
1719288000,9.59,10.32,9.52,10.25,850974
1719374400,11,12.15,10.63,11.82,3965489
1719460800,12,12.41,11.59,12.29,2978279
1719547200,12.35,12.418,11.91,12.24,3052972
1719806400,12.3,12.365,11.76,11.86,934476
1719892800,11.75,11.99,11.6416,11.88,701647
1719979200,11.92,12,11.8,11.9,377798
1720152000,11.9,12,11.79,11.97,538056
1720411200,11.92,12.09,11.74,12.09,673187
1720497600,12.17,12.5,12.07,12.28,743629
1720584000,12.39,12.39,11.92,12.01,408001
