T,O,H,L,C,V
1713844800,18.75,19.65,18.75,19.5,141908
1713931200,19.2,19.65,19.05,19.2,133505
1714017600,19.2,19.65,19.05,19.5,177711
1714104000,19.35,19.575,19.2,19.35,102432
1714363200,19.5,20.1,19.35,19.5,154764
1714449600,19.2,19.65,19.05,19.35,128585
1714536000,19.5,19.95,19.2,19.35,170065
1714622400,19.5,19.65,19.2,19.35,168248
1714708800,19.8,19.8045,19.2,19.5,126841
1714968000,19.35,19.65,18.9,19.2,156452
1715054400,19.5,19.65,19.35,19.35,109979
1715140800,19.05,19.35,18.9,19.2,184047
1715227200,19.2,19.2,16.8,18.15,484198
1715313600,18,18.45,18,18.45,111002
1715572800,18.3,18.6,17.4,17.55,250433
1715659200,17.55,18.15,17.55,18,226209
1715745600,18.3,18.75,17.85,18.6,179491
1715832000,18.75,18.975,18.15,18.45,158702
1715918400,18.6,18.6015,18,18,134305
1716177600,18,18.15,17.85,18,171079
1716264000,17.7,17.7,16.95,17.55,237092
1716350400,17.55,17.55,16.95,17.1,158674
1716436800,16.95,17.1,15.975,16.2,480680
1716523200,16.5,17.7,16.2,16.95,304293
1716868800,17.55,17.55,16.275,16.35,203751
1716955200,16.2,17.1,16.2,16.5,186640
1717041600,16.8,17.4,16.65,16.95,153845
1717128000,17.1,17.25,16.2,16.35,242334
1717387200,16.65,16.95,16.35,16.65,162388
1717473600,16.5,16.95,16.5,16.65,88253
1717560000,16.65,16.8,16.35,16.65,118615
1717646400,16.5,16.575,16.2,16.2,101386
1717732800,16.2,16.65,15.75,16.35,270206
1717992000,16.2,17.85,15.75,15.9,534180
1718078400,15.9,16.95,15.9,16.8,283083
1718164800,17.1,17.4,16.65,16.95,243017
1718251200,16.8,16.95,16.35,16.5,121531
1718337600,16.2,16.5,16.2,16.2,134586
1718596800,16.2,16.278,15.45,15.45,250498
1718683200,15.3,15.75,15.15,15.6,281009
1718856000,15.45,16.5,15.45,16.2,202198
1718942400,16.2,16.5,15.45,15.6,337538
1719201600,15.75,16.2,15.75,15.9,138305
1719288000,15.75,16.2,15.75,15.75,152992
1719374400,15.75,16.2,15.75,15.9,154308
1719460800,16.05,16.65,15.975,16.65,147143
1719547200,16.95,16.95,16.35,16.8,561546
1719806400,16.65,17.1,16.05,16.05,221483
1719892800,16.2,16.65,16.05,16.35,138467
1719979200,16.5,16.8,16.275,16.5,136028
1720152000,17.7,18.45,17.1,18.3,588021
1720411200,19.2,19.8,18.3,19.65,675003
1720497600,19.8,19.8,18.75,19.35,252307
1720584000,19.2,19.5,18.75,19.05,224966
1720670400,19.5,20.1,19.05,19.95,395171
1720756800,19.5,19.65,18.75,19.35,394091
1721016000,19.05,20.1,18.75,19.95,280112
1721102400,20.1,20.175,19.2,19.5,369099
1721188800,19.2,19.65,18.6,18.9,324888
1721275200,18.9,18.9,17.85,18,293454
1721361600,18,18.15,17.7,17.7,173372
1721620800,18,18.3,17.475,18.3,292866
1721707200,18.15,19.0485,18.15,18.9,213012
1721793600,18.75,18.9,17.775,17.85,232131
1721880000,17.85,18.75,17.85,18.45,239318
1721966400,18.6,18.9,18,18.75,160507
1722225600,18.3,18.6,17.775,17.85,190242
1722312000,17.7,18.225,17.25,18,205445
1722398400,18,18.9,17.775,18.15,310109
1722484800,18.6,18.6,16.95,17.1,338031
1722571200,16.65,17.1,16.425,16.5,211455
1722830400,15.75,16.65,15.45,16.2,285528
1722916800,16.5,16.8,16.2,16.35,181390
1723003200,16.8,17.4,16.35,16.35,220681
1723089600,16.95,18.15,16.65,18,312813
1723176000,18,18.15,17.25,17.55,269123
1723435200,17.7,18,17.4,17.85,212029
1723521600,18,18.15,17.85,18.15,185848
1723608000,18,18.3,17.85,18.15,149547
1723694400,18.3,19.2,18,18.75,343797
1723780800,18.75,19.05,18.225,18.75,242771
1724040000,19.2,20.25,18.6,19.95,566165
1724126400,19.95,20.3925,19.05,19.05,337643
1724212800,19.5,22.2,19.2,21.75,847567
1724299200,22.5,22.65,21,21.15,604099
1724385600,21.6,22.2,21.15,22.2,443871
1724644800,22.35,22.5,21.15,21.45,269401
1724731200,21.45,21.6,20.1,20.4,282710
1724817600,20.85,21.075,18.15,18.6,615050
1724904000,18.6,19.8,18.225,19.65,334056
1724990400,19.35,19.725,18.6,18.75,341976
1725336000,18.75,19.65,18.6,19.2,277029
1725422400,19.05,19.95,18.75,19.2,244106
1725508800,19.2,19.425,18.75,19.05,366695
1725595200,19.2,19.65,18.75,18.75,277492
1725854400,18.75,19.5,18.675,18.9,309891
1725940800,18.9,19.2,17.85,19.05,376806
1726027200,18.75,18.825,18,18.15,213071
1726113600,18.15,18.3,17.55,17.7,252949
1726200000,17.7,18.15,17.4,17.55,360251
1726459200,17.4,18.15,17.4,18,458921
1726545600,17.85,18.75,17.4,17.55,488553
1726632000,17.7,18.45,17.4465,17.85,326943
1726718400,18.3,18.45,17.877,18.3,227269
1726804800,18.6,18.75,17.85,18.45,1001352
1727064000,18.6,18.675,17.7,17.85,148738
1727150400,18.15,18.15,17.55,17.7,165367
1727236800,18.45,18.6,17.85,18.45,292439
1727323200,18.6,18.6,18,18,218496
1727409600,18.15,18.6,17.85,18.45,179128
1727668800,18.3,19.05,18.3,18.6,275165
1727755200,18.9,18.9,17.7,17.7,206885
1727841600,17.55,18,17.475,17.55,160639
1727928000,17.7,17.85,17.4,17.55,92487
1728014400,17.7,18.15,17.7,18,188326
1728273600,17.85,18.15,17.4,17.55,150644
1728360000,17.7,18.15,17.55,17.85,157763
1728446400,17.85,18.45,17.85,18.15,221325
1728532800,17.85,18.15,17.55,18,164906
1728619200,17.85,18,17.7,18,125111
1728878400,17.85,18.1125,17.4,17.85,198014
1728964800,17.85,18,17.55,17.85,144965
1729051200,17.55,18.15,17.4,18.15,176079
1729137600,18.15,18.3,17.925,18.15,85864
1729224000,18.15,18.45,17.7,18,221240
1729483200,18,18.0015,16.5,16.8,366188
1729569600,16.95,16.95,16.2,16.35,394141
1729656000,16.35,16.5,15.75,15.9,361297
1729742400,15.75,16.05,15,15.45,563693
1729828800,15.15,16.2,15.15,15.45,305242
1730088000,16.35,16.8,16.05,16.5,190709
1730174400,16.2,16.95,16.2,16.95,134482
1730260800,16.95,17.1,16.05,16.05,171992
1730347200,16.05,16.35,15.45,15.75,220001
1730433600,21.45,22.95,18,20.7,13574621
1730696400,22.5,27.675,21.9,27.3,7988486
1730782800,27.3,28.35,24.9,26.25,3439500
1730869200,25.95,28.5,24.9,27.9,2725692
1730955600,28.5,30,27,27.75,3598488
1731042000,28.5,30,27.45,29.7,3364973
1731301200,29.7,31.95,28.95,30.15,2734102
1731387600,29.25,31.65,27.9,28.5,1873483
1731474000,28.35,28.8,25.875,26.25,1755761
1731560400,26.1,28.8,25.8,28.35,1606089
1731646800,28.8,28.8,27,27,782700
1731906000,27.3,27.825,24.6,25.65,1475815
1731992400,24.45,26.475,24.3,26.1,794097
1732078800,26.4,26.7,25.5,25.65,491311
1732165200,24.6,26.775,24.6,26.55,746559
1732251600,26.25,27.6,26.1,26.85,629138
1732510800,27.3,28.65,27.15,28.05,920960
1732597200,28.35,28.35,26.55,27.3,538271
1732683600,27,29.55,26.925,28.5,868355
1732856400,29.25,30.3,28.95,29.25,526987
1733115600,29.25,29.4,27.75,28.95,647770
1733202000,28.5,33.3,28.35,31.5,1720155
1733288400,32.25,34.35,31.05,31.35,2033757
1733374800,31.2,31.65,30,30.9,892105
1733461200,31.95,33.6,31.8,33.15,1488697
1733720400,33.6,34.95,31.35,31.65,1430755
1733806800,31.65,41.1,30.75,34.35,5199794
1733893200,35.85,36.6,32.7,33.3,2479608
1733979600,33.3,34.65,29.7,30,1825442
1734066000,30.15,30.375,27.75,29.25,1441409
1734325200,29.7,29.85,28.5,29.25,1002515
1734411600,28.95,29.412,27.9,28.5,790494
1734498000,28.95,31.125,27.45,27.75,1534813
1734584400,28.5,29.55,27.3,28.2,774844
1734670800,27.9,30.15,27.45,29.25,1053146
1734930000,29.7,29.9955,28.5,28.95,656427
1735016400,29.55,30,28.5,29.55,375434
1735189200,29.7,32.25,29.55,31.95,1249436
1735275600,31.65,33.375,30.45,32.25,1343606
1735534800,31.8,33.3,30.15,32.55,1346545
1735621200,33.3,33.6,30.9,31.05,902848
1735794000,31.35,33.3,31.2,31.8,946984
1735880400,31.95,34.5,31.8,33,1279025
1736139600,33.9,35.1,32.1,32.85,1456568
1736226000,33,33.75,31.5,32.1,1126955
1736312400,30.75,31.5,29.25,29.7,1281942
1736485200,29.1,29.4,28.05,28.35,735607
1736744400,28.05,28.8,26.85,27,732897
1736830800,27.9,28.35,27.15,27.3,447763
1736917200,28.5,28.95,27.6,27.9,547838
1737003600,27.9,28.191,27.3,27.9,404836
1737090000,28.5,29.025,27.9,28.35,448332
1737435600,28.5,29.7,27.3,29.55,840451
1737522000,29.7,29.7,28.2,29.1,616290
1737608400,28.65,29.0895,27.75,28.5,562808
1737694800,28.65,30.6,28.65,29.7,640118
1737954000,29.25,29.4,27,27.3,798729
1738040400,28.05,28.8,27.45,28.65,478779
1738126800,21.75,24.3,19.35,23.55,4296871
1738213200,23.4,23.7,21.75,22.2,1056195
1738299600,22.2,23.85,21.75,22.95,993888
1738558800,21.45,22.875,21.3,22.5,655968
1738645200,22.5,23.7,22.5,23.1,625745
1738731600,23.1,23.85,22.65,23.7,610989
1738818000,23.7,24.825,23.625,24,797253
1738904400,24,24.15,22.2,22.65,1273816
1739163600,23.1,25.5,22.8,23.4,2173681
1739250000,26.99,26.99,23.3,24.33,1582903
1739336400,23.51,23.6,21.04,21.06,1627401
1739422800,21.64,22.1,20.85,22.1,914194
1739509200,21.95,23.05,21.88,22.66,859795
1739854800,22.66,23.49,22.15,22.29,817633
1739941200,22.37,23.4843,22.1301,23.01,1037787
1740027600,22.87,23,21.41,22.26,1048985
1740114000,22.42,22.65,20.48,20.67,864190
1740373200,20.75,21.04,19.9,20.58,717966
1740459600,20.58,20.61,18.88,19.57,1162990
1740546000,20.36,21.9,20.12,21.74,1026172
1740632400,21.815,22.2999,21.35,21.56,883547
1740718800,19.3,21.91,19.089,21.59,1688348
1740978000,21.63,22.73,20.54,20.935,1143073
1741064400,20.41,21.98,19.77,21.58,927233
1741150800,21.54,23.2,21.43,23.09,709849
1741237200,22.72,23.04,22.03,22.42,518390
1741323600,22.3,23.14,21.54,23.09,641251
1741579200,22.49,22.85,21.22,21.73,656505
1741665600,21.5,22.42,21.2005,22.19,592284
1741752000,22.26,22.66,21.54,22.16,635619
1741838400,22.18,22.2,21,21.42,480874
1741924800,21.72,21.99,21.25,21.33,483667
1742184000,21.38,21.93,21.31,21.61,952104
1742270400,21.25,21.34,20.5,20.78,742415
1742356800,21.4,21.99,20.9048,21.7,695176
1742443200,21.48,22.23,21.48,21.62,532997
1742529600,21.28,22.5899,21.06,21.97,1219830
1742788800,22.45,23.48,22.33,23.42,747307
1742875200,23.33,23.6282,22.9716,23.19,437088
1742961600,23.13,23.41,22.65,23.05,439181
1743048000,22.91,23.27,22.46,22.52,419986
1743134400,22.32,22.375,20.99,21.28,590627
1743393600,20.71,21.13,20.3441,20.86,702713
1743480000,20.77,21.3557,20.31,20.71,475027
1743566400,20.64,21.138,20.195,20.81,516068
1743652800,19.94,19.94,19.19,19.65,666368
1743739200,18.42,19.4,17.9285,18.64,1041339
1743998400,17.32,20.05,17.3,18.7,1288895
1744084800,19.71,19.91,18.08,18.45,745193
1744171200,18.13,20.55,17.8,20.02,745065
1744257600,19.75,19.96,18.82,19.3,1044078
1744344000,19.36,19.75,18.66,19.56,906586
1744603200,20.15,20.22,19.0109,19.54,438342
1744689600,19.57,20.01,19.44,19.71,318704
1744776000,19.37,19.65,18.95,19.465,506807
1744862400,19.52,19.6689,19.15,19.57,292348
1745208000,19.4,19.48,18.84,19.03,412097
