T,O,H,L,C,V
1713844800,40.66,41.26,40.6,41.24,2289896
1713931200,41.2,41.24,40.635,40.86,1816111
1714017600,41.06,41.11,40.805,40.91,3461979
1714104000,40.95,41.3125,40.87,41.11,2730464
1714363200,41.66,42,41.5,41.61,4140178
1714449600,41.75,42.03,41.42,41.44,3672349
1714536000,42.7,42.84,42.275,42.57,4686149
1714622400,42.9,43.515,42.75,43.35,6320454
1714708800,43.58,43.68,43.27,43.5,4048068
1714968000,43.5,43.64,43.175,43.45,2045663
1715054400,44.13,44.33,43.96,44.15,3104015
1715140800,44.23,44.29,44.06,44.14,2127460
1715227200,44.3,44.72,44.3,44.67,4924643
1715313600,44.98,45.095,44.8,45.07,3771079
1715572800,45.31,45.41,45.14,45.17,2830827
1715659200,45.34,45.755,45.3,45.66,3615092
1715745600,45.82,45.925,45.65,45.7,3788130
1715832000,45.12,45.2,44.82,44.88,4666360
1715918400,44.85,45.09,44.74,44.98,1882986
1716177600,45.06,45.19,44.4,44.59,5172442
1716264000,44.49,44.72,44.46,44.46,3475004
1716350400,44.53,45.795,44.42,45.78,6830708
1716436800,45.75,45.77,44.94,45.15,5218576
1716523200,45.42,45.45,45.03,45.12,2210289
1716868800,44.7,44.75,44.225,44.24,2648080
1716955200,44.24,44.36,44.155,44.28,2092187
1717041600,44.08,44.23,43.89,44.02,1597451
1717128000,44.64,45.01,44.56,44.77,3623877
1717387200,41.22,41.72,40.51,40.88,13483897
1717473600,41.34,41.48,40.99,41.35,5469440
1717560000,42.39,42.44,41.86,41.97,7230440
1717646400,41.69,42,41.475,41.54,3860822
1717732800,41.11,41.46,40.935,41.21,3025354
1717992000,41.1,41.51,40.955,41.29,2834397
1718078400,41.05,41.36,40.89,41.06,2379050
1718164800,41.36,41.38,40.97,41.11,2548560
1718251200,40.98,41.22,40.785,41.11,2020251
1718337600,40.82,40.88,40.475,40.65,2235352
1718596800,40.43,40.68,40.36,40.66,2131428
1718683200,41.03,41.08,40.785,40.95,2847649
1718856000,40.87,41.02,40.68,40.76,2538141
1718942400,40.25,40.53,40.215,40.48,3490372
1719201600,40.8,40.86,40.54,40.55,3495700
1719288000,40.47,40.48,40.19,40.31,2780351
1719374400,40.24,40.51,38.35,38.87,10997043
1719460800,38.4,38.79,38.2,38.64,5542940
1719547200,38.68,39.03,38.45,38.5,7855979
1719806400,38.43,39.065,38.31,38.38,2872558
1719892800,38.11,38.32,37.805,38.21,3354099
1719979200,38.15,38.49,38.13,38.46,1349530
1720152000,38.83,38.91,37.97,38.84,3284491
1720411200,38.85,38.95,38.525,38.71,2075447
1720497600,38.75,38.87,38.52,38.6,2095353
1720584000,38.54,38.645,38.44,38.56,2376638
1720670400,38.84,39.03,38.725,38.9,2684196
1720756800,39.39,39.505,39.135,39.16,2512206
1721016000,39.11,39.13,38.665,38.67,2451434
1721102400,38.48,38.955,38.46,38.9,2118311
1721188800,39.2,39.94,39.14,39.84,3846610
1721275200,39.74,39.83,39.29,39.36,1592081
1721361600,39.14,39.46,39.125,39.35,1993996
1721620800,39.4,39.58,39.3,39.39,2790193
1721707200,39.225,39.27,38.775,38.84,3470272
1721793600,38.86,39.3,38.86,39.3,2060260
1721880000,38.95,39.46,38.92,39.07,2479742
1721966400,39.63,40.12,39.58,39.86,3064146
1722225600,40.02,40.195,39.855,40.01,3603668
1722312000,39.97,40.005,39.49,39.77,4916963
1722398400,39.25,39.3,38.55,38.77,3969864
1722484800,38.9,39.739,38.72,39.64,4525593
1722571200,40.45,40.57,39.95,40.42,4544971
1722830400,39.74,39.99,39.28,39.38,6283141
1722916800,38.5,38.96,38.3229,38.68,5179606
1723003200,39.12,39.43,38.965,39.37,5332399
1723089600,39.42,40.0863,39.37,40.02,5598922
1723176000,39.69,40.355,39.6715,40.26,5831882
1723435200,40.32,40.495,40.08,40.32,2751727
1723521600,40.55,41.265,40.53,41.18,3306815
1723608000,41.09,41.26,41.05,41.22,2482910
1723694400,41.66,41.7,41.36,41.4,2024219
1723780800,41.07,41.32,41.01,41.28,3145786
1724040000,41.32,41.7,41.28,41.52,1833646
1724126400,41.51,41.72,41.47,41.6,1647242
1724212800,41.72,42,41.7,41.85,2410394
1724299200,42.01,42.075,41.83,41.95,1327218
1724385600,42.27,42.64,42.12,42.63,3780536
1724644800,42.63,42.65,42.455,42.54,1842813
1724731200,42.82,44.67,42.8,44.15,11513903
1724817600,43.59,43.91,43.56,43.9,3279703
1724904000,43.86,43.93,43.515,43.74,3274783
1724990400,43.75,43.98,43.53,43.91,3129097
1725336000,43.63,43.84,43.3302,43.44,3441882
1725422400,43.49,44.26,43.49,44.26,2844728
1725508800,43.39,43.77,43.03,43.13,3811877
1725595200,43.6,43.95,43.43,43.67,3763259
1725854400,43.62,44.05,43.47,43.94,2494844
1725940800,43.83,44.19,43.81,44.1,3970633
1726027200,43.97,44.03,43.42,43.77,3411692
1726113600,43.43,43.48,43.04,43.11,3859727
1726200000,43.16,43.435,42.95,43.01,3696278
1726459200,43.24,43.62,43.225,43.55,2417012
1726545600,43.13,43.14,42.435,42.56,3095429
1726632000,42.84,42.895,42.375,42.43,3522469
1726718400,42.4,42.42,41.46,41.62,6510357
1726804800,41.25,41.26,40.79,40.8,5028061
1727064000,40.96,41.03,40.805,40.86,2736707
1727150400,40.76,41.06,40.7,40.98,3241244
1727236800,41.11,41.16,40.55,40.56,2667156
1727323200,40.6,40.9,40.5,40.9,2796834
1727409600,41.09,41.425,40.66,40.71,3137117
1727668800,40.79,40.93,40.66,40.88,2322057
1727755200,40.47,40.57,40.275,40.3,3120664
1727841600,40.1,40.11,39.37,39.45,5383682
1727928000,38.6,38.65,38.155,38.37,5360964
1728014400,38.07,38.84,37.93,38.82,6582359
1728273600,39.04,39.115,38.61,38.63,3853184
1728360000,38.31,38.38,37.94,38.02,4625673
1728446400,37.88,41.8,37.8,40.24,19967657
1728532800,40.29,40.37,39.055,39.21,7774962
1728619200,39.02,39.15,38.634,38.83,7244135
1728878400,39.17,39.23,38.835,39.13,4799361
1728964800,38.93,39.4,38.82,38.96,4291285
1729051200,38.9,39.285,38.9,39.21,4952600
1729137600,39.21,39.24,38.92,38.96,4990561
1729224000,38.8,38.84,38.38,38.55,3728344
1729483200,38.49,38.51,38.085,38.16,2872533
1729569600,37.72,38.045,37.72,38,3890217
1729656000,37.74,37.9899,37.6511,37.98,4865936
1729742400,38.03,38.19,37.665,37.74,4665570
1729828800,37.95,38.005,37.43,37.52,3375405
1730088000,37.7,38.085,37.67,37.88,4111601
1730174400,37.94,38.255,37.88,38.17,6140692
1730260800,36.5,37.23,36.28,37.01,13419996
1730347200,36.27,37.01,36.07,36.76,12121661
1730433600,37.59,37.6,36.85,36.88,6877236
1730696400,37.03,37.26,36.94,36.97,3994531
1730782800,36.695,37.05,36.4805,37.02,7088128
1730869200,35.93,36.14,35.625,35.9,14281667
1730955600,36.23,36.73,36.135,36.66,14931962
1731042000,36.12,36.42,36.1,36.29,8866773
1731301200,36.55,36.74,36.315,36.35,5053971
1731387600,35.5,35.63,35.25,35.52,7245974
1731474000,35.17,35.29,34.81,35.11,7279471
1731560400,35.4,35.46,34.36,34.39,7032511
1731646800,33.26,33.5,32.825,33.35,13747891
1731906000,33.29,33.79,33.25,33.69,8802112
1731992400,33.28,33.6,33.23,33.46,8988437
1732078800,33.4,33.53,33.19,33.35,7519391
1732165200,33.4,33.7,33.175,33.7,7030641
1732251600,33.83,34.15,33.76,33.96,4173390
1732510800,34.05,34.25,34.02,34.15,4148516
1732597200,34.23,34.29,33.855,34.02,4194666
1732683600,34.19,34.47,34.185,34.33,2959073
1732856400,34.05,34.2,33.89,34.13,2051795
1733115600,34.23,34.33,33.965,34.31,3145146
1733202000,34.7,35.085,34.58,34.9,5911131
1733288400,34.74,34.75,34.4,34.4,4394206
1733374800,34.42,34.56,34.2145,34.53,4509145
1733461200,34.6,34.8,34.43,34.57,3702817
1733720400,34.95,36.285,34.91,35.99,7252562
1733806800,35.89,35.9,35.18,35.21,5383630
